Date,Close,Volume,Open,High,Low
03/01/2024,$1.82,"32,400",$1.71,$1.85,$1.68
02/29/2024,$1.7102,"17,511",$1.77,$1.8799,$1.70
02/28/2024,$1.80,"55,557",$2.03,$2.05,$1.66
02/27/2024,$2.03,"29,816",$2.01,$2.24,$2.01
02/26/2024,$2.11,"87,539",$2.26,$2.26,$1.95
02/23/2024,$2.399,"34,803",$2.53,$2.679,$2.301
02/22/2024,$2.697,"57,959",$2.286,$2.80,$2.14
02/21/2024,$2.356,"109,795",$2.15,$2.75,$2.14
02/20/2024,$2.06,"22,771",$2.279,$2.28,$2.05
02/16/2024,$2.151,"26,523",$2.101,$2.29,$2.038
02/15/2024,$2.14,"36,851",$2.335,$2.45,$1.976
02/14/2024,$2.345,"6,304",$2.40,$2.499,$2.25
02/13/2024,$2.451,"7,520",$2.622,$2.636,$2.451
02/12/2024,$2.588,"14,451",$2.70,$2.73,$2.46
02/09/2024,$2.65,"25,264",$2.50,$2.7812,$2.475
02/08/2024,$2.525,"11,884",$2.48,$2.60,$2.404
02/07/2024,$2.50,"33,748",$2.211,$2.50,$2.211
02/06/2024,$2.25,"10,537",$2.205,$2.40,$2.202
02/05/2024,$2.20,"18,964",$2.48,$2.48,$2.15
02/02/2024,$2.385,"8,639",$2.39,$2.491,$2.275
02/01/2024,$2.40,"51,052",$2.10,$2.599,$2.077
01/31/2024,$2.20,"5,051",$2.297,$2.297,$2.178
01/30/2024,$2.13,"19,224",$2.298,$2.40,$2.121
01/29/2024,$2.37,"14,269",$2.407,$2.48,$2.236
01/26/2024,$2.398,"26,828",$2.124,$2.40,$2.101
01/25/2024,$2.124,"12,056",$2.047,$2.25,$2.007
01/24/2024,$2.093,"22,848",$2.006,$2.199,$2.00
01/23/2024,$2.067,"13,617",$2.19,$2.20,$2.004
01/22/2024,$2.002,"15,503",$2.188,$2.20,$2.00
01/19/2024,$2.111,"8,816",$2.001,$2.20,$2.001
01/18/2024,$2.07,"4,543",$2.183,$2.183,$2.006
01/17/2024,$2.10,"6,511",$2.262,$2.262,$2.10
01/16/2024,$2.105,"24,084",$2.166,$2.35,$2.082
01/12/2024,$2.355,"51,885",$2.49,$2.49,$2.205
01/11/2024,$2.225,"30,850",$2.18,$2.388,$2.09
01/10/2024,$2.115,"9,056",$2.09,$2.20,$2.001
01/09/2024,$2.00,"51,662",$1.99,$2.125,$1.93
01/08/2024,$1.949,"21,126",$1.939,$2.003,$1.925
01/05/2024,$2.013,"417,345",$2.00,$2.221,$1.882
01/04/2024,$2.499,"2,752",$2.51,$2.625,$2.405
01/03/2024,$2.601,"2,631",$2.582,$2.749,$2.581
01/02/2024,$2.65,"5,854",$2.561,$2.84,$2.561
12/29/2023,$2.5605,"5,371",$2.702,$2.702,$2.502
12/28/2023,$2.51,"16,651",$2.50,$2.63,$2.411
12/27/2023,$2.45,"17,221",$2.65,$2.70,$2.442
12/26/2023,$2.65,"12,682",$2.814,$3.00,$2.50
12/22/2023,$2.675,"15,207",$2.326,$2.69,$2.30
12/21/2023,$2.40,"9,405",$2.282,$2.49,$2.20
12/20/2023,$2.289,"11,887",$2.475,$2.50,$2.28
12/19/2023,$2.438,"9,645",$2.52,$2.70,$2.357
12/18/2023,$2.589,"11,265",$3.00,$3.10,$2.521
12/15/2023,$2.909,"3,248",$2.859,$2.999,$2.812
12/14/2023,$2.998,"11,756",$2.767,$3.20,$2.73
12/13/2023,$2.84,"6,112",$2.836,$2.896,$2.731
12/12/2023,$2.852,"28,098",$2.68,$2.896,$2.50
12/11/2023,$2.676,"27,290",$3.20,$3.459,$2.646
12/08/2023,$3.039,"15,243",$3.10,$3.39,$3.011
12/07/2023,$3.30,"46,493",$3.586,$3.70,$3.05
12/06/2023,$3.697,"156,665",$3.198,$3.794,$2.887
12/05/2023,$3.051,"377,150",$2.699,$3.80,$2.611
12/04/2023,$3.42,"4,344,317",$3.625,$4.10,$2.601
12/01/2023,$2.099,"387,093",$1.927,$2.50,$1.927
11/30/2023,$1.977,"21,784",$2.00,$2.148,$1.84
11/29/2023,$2.051,"21,711",$2.259,$2.30,$2.05
11/28/2023,$2.299,"13,365",$2.208,$2.48,$2.176
11/27/2023,$2.299,"3,847",$2.40,$2.40,$2.25
11/24/2023,$2.34,"1,498",$2.115,$2.34,$2.115
11/22/2023,$2.20,"2,583",$2.25,$2.348,$2.113
11/21/2023,$2.102,"7,094",$2.228,$2.228,$1.98
11/20/2023,$2.30,"3,604",$2.231,$2.375,$2.228
11/17/2023,$2.29,"6,349",$2.314,$2.40,$2.02
11/16/2023,$2.204,"5,114",$2.35,$2.35,$1.75
11/15/2023,$2.18,"8,598",$2.22,$2.36,$2.10
11/14/2023,$2.289,"32,492",$2.02,$2.29,$1.912
11/13/2023,$2.22,"14,620",$2.01,$2.39,$2.01
11/10/2023,$2.164,"46,602",$2.731,$2.731,$2.00
11/09/2023,$2.55,"10,799",$2.674,$2.725,$2.55
11/08/2023,$2.563,"23,968",$2.714,$2.80,$2.501
11/07/2023,$2.615,"49,296",$2.617,$2.715,$2.312
11/06/2023,$2.49,"136,304",$2.723,$2.73,$2.326
11/03/2023,$2.581,"30,837",$2.80,$2.80,$2.3426
11/02/2023,$2.80,"8,555",$2.90,$2.90,$2.601
