Date,Close,Volume,Open,High,Low
03/01/2024,$0.36,"22,020",$0.3626,$0.3627,$0.3281
02/29/2024,$0.3626,"198,636",$0.275,$0.3714,$0.2501
02/28/2024,$0.275,"34,152",$0.265,$0.275,$0.2551
02/27/2024,$0.2601,"82,826",$0.2701,$0.3083,$0.25
02/26/2024,$0.2863,"8,287",$0.28,$0.3094,$0.28
02/23/2024,$0.2866,"3,348",$0.2676,$0.2866,$0.265
02/22/2024,$0.2651,"10,458",$0.3013,$0.3097,$0.265
02/21/2024,$0.2999,"3,808",$0.2784,$0.2999,$0.27
02/20/2024,$0.28,"34,190",$0.2675,$0.28,$0.2675
02/16/2024,$0.285,"2,600",$0.30,$0.30,$0.285
02/15/2024,$0.2965,"34,543",$0.28,$0.3008,$0.2799
02/14/2024,$0.2801,"4,001",$0.2799,$0.2811,$0.2799
02/13/2024,$0.28,"1,415",$0.28,$0.28,$0.2799
02/12/2024,$0.28,"18,169",$0.29,$0.2997,$0.28
02/09/2024,$0.2799,"6,210",$0.28,$0.28,$0.275
02/08/2024,$0.281,"8,275",$0.2684,$0.2897,$0.2684
02/07/2024,$0.282,"7,529",$0.2701,$0.282,$0.27
02/06/2024,$0.2701,"2,430",$0.2667,$0.2999,$0.2667
02/05/2024,$0.28,"11,913",$0.285,$0.29,$0.28
02/02/2024,$0.30,"5,301",$0.295,$0.30,$0.29
02/01/2024,$0.3199,"1,264",$0.29,$0.3199,$0.2856
01/31/2024,$0.31,"2,700",$0.3131,$0.3131,$0.305
01/30/2024,$0.32,"103,952",$0.31,$0.33,$0.29
01/29/2024,$0.315,"127,975",$0.30,$0.315,$0.295
01/26/2024,$0.2855,"24,184",$0.29,$0.30,$0.2855
01/25/2024,$0.295,"86,281",$0.29,$0.31,$0.29
01/24/2024,$0.29,"5,628",$0.30,$0.30,$0.29
01/23/2024,$0.29,"80,545",$0.3199,$0.3273,$0.29
01/22/2024,$0.315,"13,380",$0.2901,$0.3199,$0.2901
01/19/2024,$0.30,"37,728",$0.2902,$0.3099,$0.2901
01/18/2024,$0.2902,"15,604",$0.29,$0.2902,$0.29
01/17/2024,$0.2897,"6,721",$0.32,$0.32,$0.2897
01/16/2024,$0.2901,"13,202",$0.31,$0.31,$0.2901
01/12/2024,$0.32,"33,273",$0.32,$0.32,$0.30
01/11/2024,$0.32,"52,815",$0.2961,$0.3203,$0.2901
01/10/2024,$0.31,"27,182",$0.2901,$0.31,$0.2901
01/09/2024,$0.292,"5,077",$0.2905,$0.2921,$0.2905
01/08/2024,$0.30,"23,329",$0.33,$0.33,$0.29
01/05/2024,$0.33,"22,086",$0.33,$0.33,$0.316
01/04/2024,$0.3235,"15,102",$0.3099,$0.3235,$0.3023
01/03/2024,$0.3195,"16,946",$0.31,$0.329,$0.31
01/02/2024,$0.3231,"25,397",$0.36,$0.36,$0.323
12/29/2023,$0.3551,"21,966",$0.3574,$0.3581,$0.35
12/28/2023,$0.37,"40,205",$0.37,$0.3899,$0.37
12/27/2023,$0.37,"116,591",$0.35,$0.38,$0.35
12/26/2023,$0.367,"132,486",$0.36,$0.369,$0.34
12/22/2023,$0.34,"174,572",$0.315,$0.3507,$0.312
12/21/2023,$0.335,"91,583",$0.33,$0.34,$0.32
12/20/2023,$0.33,"25,201",$0.31,$0.33,$0.30
12/19/2023,$0.3031,"23,154",$0.29,$0.3031,$0.29
12/18/2023,$0.30,"55,067",$0.32,$0.32,$0.298
12/15/2023,$0.32,"14,701",$0.30,$0.325,$0.30
12/14/2023,$0.3299,"76,057",$0.33,$0.33,$0.284
12/13/2023,$0.2831,"74,855",$0.268,$0.30,$0.2452
12/12/2023,$0.2673,"6,681",$0.2575,$0.2673,$0.25
12/11/2023,$0.27,"56,644",$0.255,$0.28,$0.2401
12/08/2023,$0.27,"25,372",$0.28,$0.28,$0.26
12/07/2023,$0.2779,"3,610",$0.26,$0.278,$0.26
12/06/2023,$0.265,"3,188",$0.28,$0.28,$0.2526
12/05/2023,$0.26,"34,552",$0.28,$0.28,$0.235
12/04/2023,$0.2685,"15,096",$0.217,$0.28,$0.2146
12/01/2023,$0.215,"29,194",$0.19,$0.217,$0.1852
11/30/2023,$0.19,"10,603",$0.18,$0.20,$0.18
11/29/2023,$0.1999,"2,800",$0.1999,$0.1999,$0.1804
11/28/2023,$0.195,"6,258",$0.1801,$0.1975,$0.1801
11/27/2023,$0.1988,"31,073",$0.2099,$0.21,$0.18
11/24/2023,$0.2181,N/A,$0.2181,$0.2181,$0.2181
11/22/2023,$0.2181,"9,691",$0.1878,$0.2181,$0.187
11/21/2023,$0.17,"58,395",$0.16,$0.18,$0.1591
11/20/2023,$0.172,"31,204",$0.14,$0.1934,$0.14
11/17/2023,$0.1672,"99,682",$0.185,$0.25,$0.1672
11/16/2023,$0.1775,"7,261",$0.1848,$0.1848,$0.1775
11/15/2023,$0.18,"28,848",$0.1749,$0.1849,$0.1603
11/14/2023,$0.1744,"176,423",$0.16,$0.1749,$0.1584
11/13/2023,$0.16,"3,444",$0.1749,$0.1749,$0.16
11/10/2023,$0.1701,"224,034",$0.15,$0.1749,$0.15
11/09/2023,$0.1596,"67,929",$0.1405,$0.1651,$0.1405
11/08/2023,$0.1411,750,$0.141,$0.1425,$0.141
11/07/2023,$0.1578,"2,807",$0.1501,$0.1578,$0.1499
11/06/2023,$0.16,"22,030",$0.155,$0.16,$0.1413
11/03/2023,$0.1599,"7,239",$0.16,$0.1628,$0.1404
11/02/2023,$0.1576,"42,474",$0.17,$0.17,$0.14
11/01/2023,$0.163,390,$0.1649,$0.1649,$0.163
10/31/2023,$0.141,"10,331",$0.1402,$0.1544,$0.14
10/30/2023,$0.17,"35,244",$0.141,$0.17,$0.14
10/27/2023,$0.17,"4,077",$0.1531,$0.17,$0.153
10/26/2023,$0.1512,"11,763",$0.1425,$0.1769,$0.1425
10/25/2023,$0.155,"7,330",$0.14,$0.1849,$0.14
10/24/2023,$0.145,"10,425",$0.1451,$0.1451,$0.145
10/23/2023,$0.142,"5,704",$0.1401,$0.142,$0.14
10/20/2023,$0.1401,"27,602",$0.14,$0.1771,$0.14
10/19/2023,$0.14,"3,267",$0.14,$0.14,$0.14
10/18/2023,$0.14,"10,528",$0.16,$0.16,$0.14
10/17/2023,$0.16,"2,422",$0.1719,$0.1719,$0.16
10/16/2023,$0.16,"3,424",$0.155,$0.1675,$0.155
10/13/2023,$0.155,"11,242",$0.1447,$0.1631,$0.1447
