Date,Close,Volume,Open,High,Low
03/01/2024,$9.90,"520,745",$9.81,$10.035,$9.7108
02/29/2024,$9.92,"300,785",$9.78,$10.10,$9.7775
02/28/2024,$9.51,"664,313",$8.30,$9.63,$8.205
02/27/2024,$7.79,"143,451",$7.83,$7.85,$7.69
02/26/2024,$7.70,"91,683",$7.67,$7.79,$7.61
02/23/2024,$7.72,"77,156",$7.66,$7.765,$7.61
02/22/2024,$7.69,"110,329",$7.85,$7.85,$7.67
02/21/2024,$7.89,"99,554",$7.88,$7.91,$7.80
02/20/2024,$7.90,"118,812",$7.83,$8.04,$7.79
02/16/2024,$7.94,"124,581",$8.01,$8.095,$7.93
02/15/2024,$8.08,"173,630",$7.80,$8.09,$7.79
02/14/2024,$7.77,"114,566",$7.67,$7.7858,$7.60
02/13/2024,$7.57,"191,840",$7.88,$7.88,$7.55
02/12/2024,$8.10,"170,886",$7.74,$8.22,$7.74
02/09/2024,$7.72,"130,848",$7.81,$7.825,$7.68
02/08/2024,$7.81,"119,885",$7.76,$7.89,$7.75
02/07/2024,$7.75,"179,173",$7.71,$7.86,$7.61
02/06/2024,$7.68,"191,975",$7.91,$8.04,$7.595
02/05/2024,$7.98,"215,320",$8.10,$8.10,$7.93
02/02/2024,$8.18,"121,375",$8.22,$8.30,$8.1101
02/01/2024,$8.34,"182,025",$8.28,$8.35,$8.05
01/31/2024,$8.23,"221,267",$8.32,$8.43,$8.205
01/30/2024,$8.35,"119,094",$8.29,$8.365,$8.24
01/29/2024,$8.31,"161,026",$8.19,$8.355,$8.09
01/26/2024,$8.23,"146,403",$8.24,$8.36,$8.17
01/25/2024,$8.16,"146,807",$8.22,$8.27,$8.06
01/24/2024,$8.09,"160,397",$8.20,$8.24,$8.025
01/23/2024,$8.10,"201,049",$8.33,$8.335,$8.08
01/22/2024,$8.20,"269,168",$8.07,$8.33,$8.07
01/19/2024,$8.06,"208,847",$8.13,$8.13,$7.88
01/18/2024,$8.07,"279,870",$7.95,$8.18,$7.8824
01/17/2024,$8.02,"247,829",$8.09,$8.16,$7.95
01/16/2024,$8.18,"289,424",$8.38,$8.74,$8.135
01/12/2024,$8.37,"236,678",$8.61,$8.72,$8.28
01/11/2024,$8.45,"193,538",$8.47,$8.66,$8.31
01/10/2024,$8.47,"194,675",$8.26,$8.53,$8.185
01/09/2024,$8.29,"181,090",$8.91,$8.91,$8.26
01/08/2024,$9.03,"677,172",$8.42,$9.06,$8.31
01/05/2024,$8.48,"169,742",$8.40,$8.635,$8.3867
01/04/2024,$8.53,"271,545",$8.61,$8.695,$8.50
01/03/2024,$8.57,"209,597",$8.85,$8.89,$8.53
01/02/2024,$8.89,"225,802",$8.92,$9.105,$8.86
12/29/2023,$8.94,"133,336",$9.23,$9.305,$8.885
12/28/2023,$9.19,"196,590",$9.06,$9.215,$9.035
12/27/2023,$9.01,"249,910",$9.24,$9.26,$8.98
12/26/2023,$9.16,"166,094",$9.26,$9.27,$9.04
12/22/2023,$9.21,"205,005",$9.13,$9.37,$9.105
12/21/2023,$9.05,"117,244",$9.17,$9.17,$8.97
12/20/2023,$9.10,"197,614",$9.15,$9.395,$9.05
12/19/2023,$9.16,"230,743",$9.00,$9.18,$8.972
12/18/2023,$8.89,"186,595",$9.28,$9.34,$8.85
12/15/2023,$9.32,"853,738",$9.41,$9.61,$9.28
12/14/2023,$9.37,"198,313",$9.46,$9.833,$9.29
12/13/2023,$9.28,"310,507",$9.05,$9.31,$8.81
12/12/2023,$9.08,"172,172",$9.07,$9.145,$8.97
12/11/2023,$9.09,"271,084",$8.95,$9.30,$8.95
12/08/2023,$8.99,"241,688",$8.70,$9.05,$8.68
12/07/2023,$8.69,"243,728",$8.69,$8.80,$8.59
12/06/2023,$8.69,"231,795",$8.86,$9.08,$8.66
12/05/2023,$8.84,"232,210",$8.83,$8.9199,$8.68
12/04/2023,$8.77,"861,276",$8.53,$8.875,$8.45
12/01/2023,$8.62,"500,007",$8.30,$8.77,$8.25
11/30/2023,$8.25,"948,570",$8.50,$8.545,$8.22
11/29/2023,$8.53,"248,698",$8.56,$8.6363,$8.47
11/28/2023,$8.50,"203,836",$8.43,$8.60,$8.36
11/27/2023,$8.47,"230,704",$8.40,$8.48,$8.25
11/24/2023,$8.43,"80,585",$8.32,$8.43,$8.31
11/22/2023,$8.29,"215,703",$8.46,$8.46,$8.16
11/21/2023,$8.40,"174,381",$8.45,$8.51,$8.37
11/20/2023,$8.50,"343,029",$8.54,$8.645,$8.42
11/17/2023,$8.50,"424,724",$8.46,$8.61,$8.27
11/16/2023,$8.41,"127,741",$8.68,$8.7294,$8.37
11/15/2023,$8.75,"334,530",$8.54,$8.88,$8.54
11/14/2023,$8.49,"499,487",$8.11,$8.68,$8.11
11/13/2023,$7.98,"376,780",$7.94,$8.07,$7.91
11/10/2023,$7.98,"340,767",$8.16,$8.20,$7.95
11/09/2023,$8.13,"291,930",$8.25,$8.348,$8.07
11/08/2023,$8.22,"248,819",$8.39,$8.52,$8.20
11/07/2023,$8.44,"233,852",$8.45,$8.58,$8.37
11/06/2023,$8.60,"389,093",$8.76,$8.90,$8.47
11/03/2023,$8.62,"349,754",$8.69,$8.85,$8.55
11/02/2023,$8.50,"308,010",$8.50,$8.70,$8.44
11/01/2023,$8.40,"300,804",$8.47,$8.608,$8.34
10/31/2023,$8.27,"261,124",$8.45,$8.555,$8.10
10/30/2023,$8.50,"203,540",$8.61,$8.85,$8.42
10/27/2023,$8.55,"263,803",$8.63,$8.73,$8.38
10/26/2023,$8.64,"348,484",$8.58,$9.365,$8.58
10/25/2023,$8.64,"670,481",$8.79,$8.86,$8.56
10/24/2023,$8.82,"166,963",$8.80,$9.03,$8.74
10/23/2023,$8.78,"254,145",$8.52,$8.80,$8.405
10/20/2023,$8.61,"230,515",$8.84,$9.00,$8.57
10/19/2023,$8.87,"253,916",$9.02,$9.18,$8.78
10/18/2023,$9.00,"189,709",$9.20,$9.26,$8.9209
10/17/2023,$9.26,"497,007",$9.48,$9.50,$8.87
10/16/2023,$9.50,"403,774",$9.65,$9.88,$9.29
10/13/2023,$9.53,"217,534",$9.97,$10.05,$9.30
10/12/2023,$9.99,"416,504",$11.49,$11.50,$9.5801
10/11/2023,$11.77,"623,441",$11.64,$12.00,$11.26
10/10/2023,$13.44,"95,055",$13.40,$13.49,$13.15
10/09/2023,$13.37,"91,891",$12.99,$13.40,$12.985
10/06/2023,$13.06,"115,799",$12.98,$13.24,$12.80
10/05/2023,$13.04,"108,584",$12.93,$13.06,$12.77
10/04/2023,$12.90,"138,884",$12.90,$13.025,$12.71
10/03/2023,$12.94,"116,123",$13.03,$13.04,$12.875
10/02/2023,$13.04,"141,028",$13.00,$13.09,$12.90
09/29/2023,$13.05,"140,220",$13.03,$13.0899,$12.89
09/28/2023,$12.97,"115,160",$12.85,$13.10,$12.85
09/27/2023,$12.86,"110,193",$12.61,$12.94,$12.61
09/26/2023,$12.60,"135,193",$12.415,$12.71,$12.415
09/25/2023,$12.67,"85,994",$12.37,$12.69,$12.0797
09/22/2023,$12.45,"155,892",$12.54,$12.59,$12.195
09/21/2023,$12.56,"84,056",$12.55,$12.62,$12.40
09/20/2023,$12.65,"88,719",$12.68,$12.82,$12.55
09/19/2023,$12.63,"86,965",$12.47,$12.665,$12.45
09/18/2023,$12.52,"122,038",$12.67,$12.67,$12.32
09/15/2023,$12.61,"619,143",$12.62,$12.74,$12.29
09/14/2023,$12.68,"226,779",$12.37,$12.72,$12.25
09/13/2023,$12.35,"153,673",$12.33,$12.40,$12.19
09/12/2023,$12.29,"102,915",$12.15,$12.36,$12.15
09/11/2023,$12.16,"124,275",$12.07,$12.19,$12.03
09/08/2023,$12.02,"123,067",$11.75,$12.05,$11.6555
09/07/2023,$11.81,"171,678",$11.74,$11.8699,$11.565
09/06/2023,$11.74,"97,473",$11.69,$11.82,$11.63
09/05/2023,$11.69,"121,510",$11.91,$11.91,$11.59
09/01/2023,$12.02,"82,766",$12.08,$12.2136,$11.945
08/31/2023,$12.03,"86,139",$12.13,$12.26,$12.00
08/30/2023,$12.13,"59,892",$12.19,$12.21,$12.02
08/29/2023,$12.23,"126,070",$11.70,$12.25,$11.64
08/28/2023,$11.73,"89,697",$11.67,$11.85,$11.6127
08/25/2023,$11.60,"82,448",$11.65,$11.72,$11.36
08/24/2023,$11.63,"91,024",$11.49,$11.729,$11.46
08/23/2023,$11.57,"139,231",$11.47,$11.62,$11.28
08/22/2023,$11.42,"137,398",$11.52,$11.52,$11.27
08/21/2023,$11.52,"112,636",$11.51,$11.5648,$11.42
08/18/2023,$11.55,"117,135",$11.51,$11.64,$11.36
08/17/2023,$11.61,"119,268",$11.58,$11.63,$11.5216
08/16/2023,$11.54,"126,989",$11.61,$11.8299,$11.48
08/15/2023,$11.73,"96,342",$12.16,$12.25,$11.73
08/14/2023,$12.25,"81,961",$12.28,$12.455,$12.1027
08/11/2023,$12.36,"101,796",$12.50,$12.56,$12.31
08/10/2023,$12.51,"181,412",$12.62,$12.71,$12.37
08/09/2023,$12.56,"486,209",$12.19,$12.59,$12.09
08/08/2023,$12.14,"1,411,029",$12.23,$12.31,$11.86
08/07/2023,$12.30,"398,068",$12.21,$12.48,$12.13
08/04/2023,$12.19,"121,613",$12.15,$12.54,$12.14
08/03/2023,$12.11,"252,215",$12.38,$12.39,$12.09
08/02/2023,$12.43,"120,973",$12.64,$12.73,$12.41
08/01/2023,$12.74,"138,792",$12.63,$12.765,$12.57
07/31/2023,$12.66,"192,965",$12.56,$12.74,$12.56
07/28/2023,$12.53,"229,400",$12.74,$12.96,$12.45
07/27/2023,$12.64,"169,893",$13.31,$13.39,$12.42
07/26/2023,$13.40,"207,702",$13.25,$13.60,$13.00
07/25/2023,$14.00,"160,512",$13.79,$14.24,$13.79
