Date,Close,Volume,Open,High,Low
03/01/2024,$12.03,"9,218",$11.95,$12.25,$11.95
02/29/2024,$12.00,"28,102",$12.01,$12.3405,$11.8801
02/28/2024,$12.03,"33,130",$12.71,$12.79,$12.03
02/27/2024,$12.46,"12,820",$12.97,$12.97,$12.46
02/26/2024,$12.98,"44,707",$12.34,$12.98,$12.25
02/23/2024,$12.21,"17,522",$12.05,$12.38,$12.05
02/22/2024,$12.01,"49,578",$12.06,$12.37,$12.01
02/21/2024,$12.10,"15,035",$12.08,$12.3257,$12.025
02/20/2024,$12.08,"6,713",$12.32,$12.37,$12.05
02/16/2024,$12.26,"23,183",$12.48,$12.50,$12.06
02/15/2024,$12.45,"36,883",$12.46,$12.55,$11.57
02/14/2024,$12.29,"13,622",$12.48,$12.48,$12.02
02/13/2024,$12.30,"44,285",$12.40,$12.56,$11.91
02/12/2024,$11.99,"45,554",$11.70,$12.3486,$11.70
02/09/2024,$11.56,"30,229",$11.32,$11.70,$11.19
02/08/2024,$11.27,"28,117",$11.50,$11.50,$10.81
02/07/2024,$11.05,"20,996",$11.22,$11.34,$10.9001
02/06/2024,$11.19,"115,259",$10.72,$11.45,$10.5319
02/05/2024,$10.71,"92,372",$12.24,$12.24,$10.65
02/02/2024,$12.29,"29,494",$12.54,$12.6522,$12.26
02/01/2024,$12.69,"15,887",$12.80,$12.80,$12.55
01/31/2024,$12.62,"35,499",$12.72,$12.96,$12.58
01/30/2024,$12.82,"13,426",$12.79,$12.91,$12.65
01/29/2024,$12.97,"26,082",$13.00,$13.05,$12.755
01/26/2024,$12.98,"14,408",$13.00,$13.00,$12.7021
01/25/2024,$12.95,"20,758",$13.10,$13.10,$12.7001
01/24/2024,$13.01,"11,767",$12.99,$13.09,$12.86
01/23/2024,$12.97,"34,200",$13.07,$13.212,$12.57
01/22/2024,$12.97,"20,374",$13.01,$13.17,$12.70
01/19/2024,$13.00,"24,408",$13.29,$13.29,$12.87
01/18/2024,$13.20,"19,047",$13.15,$13.33,$12.8332
01/17/2024,$13.04,"22,349",$12.79,$13.15,$12.655
01/16/2024,$12.80,"62,228",$13.20,$13.77,$12.75
01/12/2024,$13.31,"71,557",$12.58,$13.63,$12.40
01/11/2024,$12.51,"29,939",$12.59,$12.70,$12.2701
01/10/2024,$12.50,"51,318",$13.00,$13.05,$12.48
01/09/2024,$12.67,"32,224",$12.77,$12.88,$12.46
01/08/2024,$12.655,"59,876",$13.00,$13.00,$12.40
01/05/2024,$12.94,"87,355",$13.34,$13.55,$12.42
01/04/2024,$13.31,"115,222",$13.04,$13.93,$12.90
01/03/2024,$13.12,"67,516",$12.90,$13.46,$12.90
01/02/2024,$13.03,"64,781",$13.049,$13.40,$12.80
12/29/2023,$13.31,"40,523",$13.04,$13.58,$13.04
12/28/2023,$13.43,"114,006",$13.82,$14.2873,$12.77
12/27/2023,$13.91,"39,487",$13.6821,$13.98,$13.6821
12/26/2023,$13.69,"56,663",$13.95,$13.95,$13.635
12/22/2023,$13.76,"56,862",$13.10,$13.87,$12.9753
12/21/2023,$13.26,"32,079",$13.26,$13.79,$12.8501
12/20/2023,$13.08,"21,506",$13.06,$13.49,$13.01
12/19/2023,$13.23,"56,939",$13.00,$13.45,$12.65
12/18/2023,$12.92,"45,745",$12.70,$13.10,$12.565
12/15/2023,$12.51,"91,581",$11.70,$12.58,$11.67
12/14/2023,$11.68,"116,240",$12.40,$12.77,$11.57
12/13/2023,$12.33,"123,451",$12.77,$13.03,$11.81
12/12/2023,$12.77,"92,253",$13.60,$13.63,$12.59
12/11/2023,$13.70,"176,712",$15.17,$15.17,$13.50
12/08/2023,$15.17,"38,383",$15.27,$15.49,$15.01
12/07/2023,$15.00,"61,788",$16.77,$16.77,$14.76
12/06/2023,$15.48,"46,677",$16.03,$16.39,$15.32
12/05/2023,$16.19,"63,145",$15.74,$16.50,$15.5107
12/04/2023,$15.80,"28,690",$15.57,$16.10,$15.57
12/01/2023,$16.28,"81,268",$14.95,$16.34,$14.53
11/30/2023,$14.96,"34,553",$15.12,$15.30,$14.74
11/29/2023,$15.16,"48,211",$15.67,$15.9999,$15.08
11/28/2023,$15.66,"33,013",$15.86,$15.99,$15.42
11/27/2023,$15.72,"49,123",$15.76,$16.10,$14.87
11/24/2023,$15.75,"40,543",$15.43,$16.47,$15.2697
11/22/2023,$15.47,"81,627",$13.84,$15.8299,$13.84
11/21/2023,$13.84,"24,734",$14.00,$14.09,$13.71
11/20/2023,$13.92,"64,463",$14.27,$14.65,$13.68
11/17/2023,$14.08,"80,036",$13.61,$14.32,$13.51
11/16/2023,$13.47,"223,567",$15.51,$15.79,$13.21
11/15/2023,$14.02,"111,594",$15.00,$15.23,$13.76
11/14/2023,$15.00,"161,178",$17.00,$17.90,$14.69
11/13/2023,$16.25,"293,189",$15.50,$16.3999,$15.05
11/10/2023,$14.70,"242,933",$15.00,$16.00,$14.00
11/09/2023,$14.20,"222,511",$13.30,$14.45,$12.70
11/08/2023,$12.175,"5,379",$12.87,$12.87,$11.75
11/07/2023,$12.08,"14,117",$13.24,$13.24,$11.1682
11/06/2023,$12.56,"6,022",$12.68,$12.68,$12.32
11/03/2023,$12.80,"15,601",$12.70,$13.25,$12.70
11/02/2023,$12.95,"20,128",$12.33,$12.9958,$12.33
11/01/2023,$12.40,"10,763",$12.30,$12.40,$12.20
10/31/2023,$12.51,"20,354",$12.41,$12.57,$11.98
10/30/2023,$12.59,"11,247",$12.28,$12.6468,$12.22
10/27/2023,$12.19,"15,681",$12.11,$13.08,$12.11
10/26/2023,$12.32,"14,756",$12.2885,$12.4661,$12.05
10/25/2023,$12.16,"26,277",$12.555,$12.64,$11.9978
10/24/2023,$12.52,"5,693",$12.23,$12.62,$12.14
10/23/2023,$12.11,"24,353",$12.20,$12.49,$11.96
10/20/2023,$12.55,"12,952",$12.72,$12.81,$12.2701
10/19/2023,$12.69,"11,060",$12.44,$12.97,$12.39
10/18/2023,$12.35,"21,145",$12.59,$12.90,$12.114
10/17/2023,$12.58,"76,407",$12.25,$13.615,$12.25
10/16/2023,$11.93,"36,964",$11.845,$12.34,$11.74
10/13/2023,$11.99,"8,885",$11.81,$12.16,$11.50
10/12/2023,$11.81,"14,309",$12.19,$12.19,$11.77
10/11/2023,$12.15,"18,745",$12.07,$12.29,$12.07
10/10/2023,$12.07,"32,058",$11.43,$12.3501,$11.43
10/09/2023,$11.35,"11,989",$11.30,$11.545,$11.30
10/06/2023,$11.38,"7,282",$10.93,$11.45,$10.93
10/05/2023,$11.17,"50,039",$10.495,$11.33,$10.2888
10/04/2023,$10.45,"69,503",$11.00,$11.01,$10.252
10/03/2023,$11.08,"86,569",$11.26,$11.50,$10.71
10/02/2023,$11.58,"72,122",$11.70,$12.14,$11.48
09/29/2023,$11.93,"72,880",$12.40,$12.40,$11.90
09/28/2023,$12.28,"39,667",$12.42,$12.43,$12.10
09/27/2023,$12.43,"167,233",$12.78,$12.852,$12.18
09/26/2023,$12.30,"29,819",$12.68,$12.7851,$11.955
09/25/2023,$12.50,"24,841",$12.04,$12.70,$11.732
09/22/2023,$12.42,"20,352",$11.95,$12.80,$11.95
09/21/2023,$12.16,"18,524",$11.74,$12.35,$11.50
09/20/2023,$11.97,"13,759",$11.90,$12.32,$11.81
