Date,Close,Volume,Open,High,Low
03/01/2024,$23.94,"30,106",$24.14,$24.30,$23.8082
02/29/2024,$24.27,"72,973",$23.77,$24.29,$23.66
02/28/2024,$23.83,"12,694",$23.80,$24.1078,$23.7042
02/27/2024,$23.75,"14,878",$23.89,$23.955,$23.71
02/26/2024,$23.97,"16,358",$24.14,$24.23,$23.8001
02/23/2024,$24.14,"25,597",$24.24,$24.38,$24.075
02/22/2024,$24.15,"9,397",$24.36,$24.36,$24.12
02/21/2024,$24.18,"11,578",$23.906,$24.21,$23.8801
02/20/2024,$23.945,"12,695",$23.76,$24.01,$23.76
02/16/2024,$23.91,"24,304",$24.09,$24.09,$23.70
02/15/2024,$24.22,"11,872",$24.0401,$24.23,$24.03
02/14/2024,$23.9972,"15,451",$24.22,$24.22,$23.98
02/13/2024,$24.22,"75,922",$24.40,$24.58,$24.14
02/12/2024,$24.65,"32,937",$24.44,$24.65,$24.3101
02/09/2024,$24.50,"19,209",$24.33,$24.56,$24.1123
02/08/2024,$24.25,"36,657",$24.00,$24.42,$23.8158
02/07/2024,$24.00,"16,664",$23.98,$24.00,$23.745
02/06/2024,$23.98,"21,115",$23.83,$23.99,$23.5801
02/05/2024,$23.89,"19,094",$23.66,$23.9499,$23.6101
02/02/2024,$23.95,"17,150",$23.88,$23.95,$23.30
02/01/2024,$24.00,"31,405",$23.49,$24.00,$23.28
01/31/2024,$23.49,"20,701",$23.605,$23.68,$23.40
01/30/2024,$23.77,"24,310",$23.46,$23.77,$23.4004
01/29/2024,$23.55,"19,956",$23.35,$23.55,$23.31
01/26/2024,$23.39,"19,341",$23.33,$23.53,$23.20
01/25/2024,$23.45,"29,648",$22.885,$23.4999,$22.885
01/24/2024,$22.97,"8,033",$22.86,$22.9988,$22.81
01/23/2024,$22.83,"18,596",$22.99,$23.00,$22.74
01/22/2024,$22.97,"33,647",$22.69,$22.99,$22.65
01/19/2024,$22.63,"27,886",$22.15,$22.65,$22.129
