Date,Close,Volume,Open,High,Low
03/01/2024,$17.46,"8,409",$17.53,$17.53,$17.41
02/29/2024,$17.53,"48,899",$17.22,$17.53,$17.21
02/28/2024,$17.22,"1,741",$17.22,$17.22,$17.21
02/27/2024,$17.22,"2,248",$17.25,$17.25,$17.14
02/26/2024,$17.19,"4,362",$17.32,$17.40,$17.08
02/23/2024,$17.26,"12,605",$17.38,$17.38,$17.185
02/22/2024,$17.27,"6,879",$17.40,$17.495,$17.24
02/21/2024,$17.38,"4,576",$17.32,$17.38,$17.22
02/20/2024,$17.32,"4,167",$17.20,$17.35,$16.91
02/16/2024,$17.20,"2,682",$17.25,$17.25,$17.0255
02/15/2024,$17.24,"8,832",$17.12,$17.24,$16.87
02/14/2024,$17.07,"7,393",$16.95,$17.07,$16.88
02/13/2024,$16.86,"16,087",$17.23,$17.23,$16.84
02/12/2024,$17.37,"14,690",$17.49,$17.50,$17.30
02/09/2024,$17.50,"3,268",$17.48,$17.50,$17.48
02/08/2024,$17.45,"3,888",$17.42,$17.45,$17.24
02/07/2024,$17.36,"7,110",$17.14,$17.36,$17.10
02/06/2024,$17.08,"8,676",$17.10,$17.15,$16.9601
02/05/2024,$17.08,"13,512",$17.14,$17.15,$16.98
02/02/2024,$17.14,"4,636",$17.20,$17.20,$16.96
02/01/2024,$17.31,"17,685",$17.17,$17.31,$17.00
01/31/2024,$17.05,"9,732",$17.02,$17.19,$17.00
01/30/2024,$17.10,"23,000",$16.90,$17.12,$16.80
01/29/2024,$16.93,"4,107",$16.80,$16.93,$16.74
01/26/2024,$16.80,"11,784",$16.81,$16.9052,$16.56
01/25/2024,$16.81,"14,963",$16.51,$16.82,$16.40
01/24/2024,$16.48,"7,033",$16.50,$16.62,$16.28
01/23/2024,$16.42,"5,047",$16.46,$16.47,$16.30
01/22/2024,$16.48,"8,741",$16.45,$16.53,$16.30
01/19/2024,$16.38,"14,963",$16.20,$16.38,$15.9445
01/18/2024,$16.09,"7,940",$16.42,$16.45,$15.92
01/17/2024,$16.35,"4,415",$16.41,$16.41,$16.30
01/16/2024,$16.43,"7,112",$16.61,$16.61,$16.29
01/12/2024,$16.62,"3,573",$16.59,$16.65,$16.43
01/11/2024,$16.51,"2,243",$16.61,$16.6295,$16.45
01/10/2024,$16.60,"3,717",$16.50,$16.79,$16.50
01/09/2024,$16.56,"7,608",$16.51,$16.5917,$16.43
01/08/2024,$16.51,"8,889",$16.48,$16.5892,$16.42
01/05/2024,$16.40,"17,732",$16.48,$16.64,$16.35
01/04/2024,$16.5399,"4,816",$16.48,$16.55,$16.38
01/03/2024,$16.40,"11,616",$16.56,$16.56,$16.35
01/02/2024,$16.57,"4,987",$16.58,$16.6699,$16.55
12/29/2023,$16.64,"21,694",$16.62,$16.67,$16.40
12/28/2023,$16.56,"34,114",$16.50,$16.71,$16.50
12/27/2023,$16.68,"13,750",$16.54,$16.70,$16.4001
12/26/2023,$16.52,"9,936",$16.58,$16.62,$16.39
12/22/2023,$16.56,"15,468",$16.80,$16.80,$16.44
12/21/2023,$16.69,"12,585",$16.88,$16.88,$16.56
12/20/2023,$16.73,"11,349",$16.70,$16.8499,$16.5443
12/19/2023,$16.66,"15,723",$16.48,$16.69,$16.48
12/18/2023,$16.49,"12,237",$16.59,$16.60,$16.28
12/15/2023,$16.62,"24,831",$16.72,$16.89,$16.44
12/14/2023,$16.72,"16,494",$16.55,$16.80,$16.50
12/13/2023,$16.41,"21,581",$16.27,$16.5774,$16.06
12/12/2023,$16.18,"23,677",$16.10,$16.24,$15.90
12/11/2023,$16.09,"19,238",$16.10,$16.25,$15.97
12/08/2023,$16.14,"7,060",$16.12,$16.23,$15.93
12/07/2023,$16.18,"10,891",$16.28,$16.43,$16.1101
12/06/2023,$16.22,"42,662",$16.04,$16.25,$16.04
12/05/2023,$15.95,"43,927",$15.93,$16.03,$15.69
12/04/2023,$15.86,"41,384",$15.70,$16.0999,$15.70
12/01/2023,$15.90,"90,775",$15.76,$15.93,$15.60
11/30/2023,$15.69,"75,851",$15.85,$15.85,$15.59
11/29/2023,$15.90,"6,726",$15.89,$16.21,$15.89
11/28/2023,$15.89,"7,046",$15.65,$15.89,$15.5501
11/27/2023,$15.72,"2,966",$15.84,$16.125,$15.72
11/24/2023,$16.025,"3,350",$16.00,$16.025,$15.73
11/22/2023,$15.73,"2,135",$16.28,$16.28,$15.73
11/21/2023,$16.1106,"12,752",$16.21,$17.20,$16.1106
11/20/2023,$16.32,"3,893",$16.58,$16.79,$16.32
11/17/2023,$16.47,"3,013",$16.66,$16.66,$16.47
11/16/2023,$16.5136,880,$16.45,$16.58,$16.45
11/15/2023,$16.64,"4,252",$16.63,$16.83,$16.63
11/14/2023,$16.63,"3,712",$16.63,$17.00,$16.63
11/13/2023,$16.35,"2,269",$16.45,$16.45,$16.1756
11/10/2023,$16.20,"7,501",$16.37,$16.37,$16.0583
11/09/2023,$16.40,"1,148",$16.69,$16.69,$16.40
11/08/2023,$16.62,"10,005",$16.60,$16.74,$16.48
11/07/2023,$16.46,"1,603",$16.53,$16.6116,$16.46
11/06/2023,$16.60,"1,485",$16.59,$16.64,$16.59
11/03/2023,$16.70,"5,580",$16.45,$16.85,$16.44
11/02/2023,$16.46,"14,352",$15.69,$16.57,$15.69
11/01/2023,$15.58,"4,088",$15.26,$15.58,$15.26
10/31/2023,$15.34,"16,203",$14.81,$15.35,$14.80
10/30/2023,$14.81,"3,826",$14.8908,$14.8908,$14.79
10/27/2023,$14.98,"4,494",$14.944,$14.98,$14.79
10/26/2023,$14.89,"4,400",$15.04,$15.10,$14.89
10/25/2023,$15.04,"1,510",$15.04,$15.10,$15.00
10/24/2023,$15.11,"4,125",$15.09,$15.375,$15.05
10/23/2023,$14.9999,"1,819",$14.86,$15.00,$14.86
10/20/2023,$14.94,"5,185",$15.09,$15.11,$14.895
10/19/2023,$15.18,"8,452",$15.26,$15.439,$15.00
10/18/2023,$15.32,"8,466",$15.44,$15.44,$15.2281
10/17/2023,$15.58,"7,634",$15.58,$15.58,$15.40
10/16/2023,$15.88,"8,147",$15.30,$16.34,$15.30
10/13/2023,$15.40,"1,016",$15.40,$15.49,$15.40
10/12/2023,$15.3303,"5,242",$15.43,$15.5757,$15.33
10/11/2023,$15.65,"3,545",$15.64,$15.69,$15.5455
10/10/2023,$15.66,"5,322",$15.56,$15.69,$15.545
10/09/2023,$15.60,"3,278",$15.34,$15.60,$15.34
10/06/2023,$15.48,"11,559",$15.03,$15.48,$14.95
10/05/2023,$15.18,"3,176",$15.16,$15.18,$15.051
10/04/2023,$15.27,"18,918",$14.96,$15.27,$14.72
10/03/2023,$14.96,"17,834",$15.18,$15.18,$14.77
10/02/2023,$15.21,"15,939",$15.32,$15.37,$14.904
09/29/2023,$15.34,"31,404",$15.16,$15.34,$15.12
09/28/2023,$15.07,"24,465",$14.71,$15.10,$14.71
09/27/2023,$15.18,"19,457",$15.08,$15.18,$14.80
09/26/2023,$14.95,"8,714",$15.03,$15.15,$14.90
09/25/2023,$15.10,"10,179",$15.00,$15.1426,$15.00
09/22/2023,$15.19,"13,059",$15.13,$15.30,$15.1119
09/21/2023,$15.13,"15,073",$15.21,$15.3299,$15.01
09/20/2023,$15.47,"6,630",$15.67,$15.755,$15.4228
09/19/2023,$15.64,"8,526",$15.62,$15.70,$15.55
09/18/2023,$15.60,"5,729",$15.59,$15.75,$15.49
09/15/2023,$15.67,"5,226",$15.51,$15.67,$15.43
09/14/2023,$15.56,"3,249",$15.49,$15.5851,$15.49
09/13/2023,$15.38,"1,613",$15.48,$15.48,$15.3761
09/12/2023,$15.50,"1,169",$15.50,$15.5198,$15.50
09/11/2023,$15.58,"2,621",$15.63,$15.63,$15.50
09/08/2023,$15.58,"3,303",$15.52,$15.60,$15.50
09/07/2023,$15.47,"7,382",$15.57,$15.5999,$15.40
09/06/2023,$15.65,"7,526",$15.69,$15.765,$15.65
09/05/2023,$15.72,"6,601",$15.90,$16.00,$15.72
09/01/2023,$15.95,"3,939",$16.03,$16.03,$15.72
08/31/2023,$16.19,"25,200",$15.78,$16.19,$15.78
08/30/2023,$15.78,"4,275",$15.787,$15.80,$15.78
08/29/2023,$15.77,"1,868",$15.62,$15.8599,$15.62
08/28/2023,$15.69,"2,017",$15.65,$15.79,$15.65
08/25/2023,$15.59,N/A,$15.59,$15.59,$15.59
08/24/2023,$15.59,"2,154",$15.84,$15.86,$15.59
08/23/2023,$15.77,"4,477",$15.46,$15.79,$15.46
08/22/2023,$15.43,"4,607",$15.21,$15.52,$15.21
08/21/2023,$15.25,"4,815",$15.2274,$15.3895,$15.2274
08/18/2023,$15.35,"3,100",$15.52,$15.59,$15.35
08/17/2023,$15.44,"5,314",$15.46,$15.46,$15.29
08/16/2023,$15.44,"4,308",$15.66,$15.66,$15.44
08/15/2023,$15.68,"6,471",$15.92,$15.932,$15.68
08/14/2023,$15.96,"3,497",$15.97,$16.0332,$15.95
08/11/2023,$16.02,814,$16.02,$16.02,$16.00
08/10/2023,$16.18,"3,712",$16.08,$16.40,$16.08
08/09/2023,$16.10,"3,924",$16.34,$16.41,$16.10
08/08/2023,$16.31,"2,611",$16.15,$16.40,$16.15
08/07/2023,$16.10,590,$16.10,$16.10,$16.10
08/04/2023,$16.15,987,$16.15,$16.15,$16.10
08/03/2023,$16.00,"10,526",$16.20,$16.20,$16.00
08/02/2023,$16.22,"6,592",$16.51,$16.51,$16.20
08/01/2023,$16.61,"3,811",$16.95,$16.95,$16.61
07/31/2023,$16.95,"5,153",$16.90,$16.97,$16.81
07/28/2023,$16.88,"7,440",$16.90,$16.90,$16.56
07/27/2023,$16.78,"2,075",$16.80,$17.01,$16.64
07/26/2023,$16.80,"17,798",$16.81,$16.92,$16.64
07/25/2023,$16.77,"3,580",$16.80,$16.80,$16.74
07/24/2023,$16.74,"3,194",$16.75,$16.91,$16.73
07/21/2023,$16.70,"3,258",$16.74,$16.8151,$16.63
07/20/2023,$16.60,"2,147",$16.70,$16.70,$16.575
07/19/2023,$16.685,"2,803",$16.58,$16.73,$16.58
07/18/2023,$16.50,"5,826",$16.35,$16.50,$16.35
07/17/2023,$16.30,"1,929",$16.43,$16.43,$16.13
07/14/2023,$16.32,"1,318",$16.50,$16.50,$16.31
07/13/2023,$16.49,"3,896",$16.34,$16.49,$16.32
07/12/2023,$16.3203,"6,908",$16.40,$16.41,$16.30
07/11/2023,$16.28,"1,466",$16.06,$16.30,$16.06
07/10/2023,$16.04,694,$16.25,$16.25,$16.04
07/07/2023,$16.1523,"3,246",$16.13,$16.43,$16.13
07/06/2023,$16.09,"4,885",$16.46,$16.46,$15.97
07/05/2023,$16.55,"5,703",$16.50,$16.59,$16.50
07/03/2023,$16.71,"4,073",$16.73,$16.73,$16.63
06/30/2023,$16.75,"27,488",$16.36,$16.75,$16.36
06/29/2023,$16.27,"3,702",$16.49,$16.49,$16.05
06/28/2023,$16.415,"4,720",$16.39,$16.55,$16.28
06/27/2023,$16.54,"7,748",$16.55,$16.86,$16.54
06/26/2023,$16.50,"3,456",$16.35,$16.50,$16.35
06/23/2023,$16.31,"4,005",$16.38,$16.38,$16.01
06/22/2023,$16.36,"11,355",$16.46,$16.50,$16.06
06/21/2023,$16.38,"7,635",$16.71,$16.95,$16.23
06/20/2023,$16.72,"1,717",$16.87,$16.87,$16.35
06/16/2023,$16.89,"1,671",$16.97,$16.97,$16.4593
06/15/2023,$16.88,"1,371",$16.49,$16.88,$16.49
06/14/2023,$16.36,"4,860",$16.76,$16.76,$16.36
06/13/2023,$16.62,"6,006",$16.75,$16.94,$16.62
