Date,Close,Volume,Open,High,Low
03/01/2024,$8.1043,"7,380",$8.05,$8.1499,$8.00
02/29/2024,$8.03,"1,512",$8.00,$8.03,$7.91
02/28/2024,$8.10,N/A,$8.10,$8.10,$8.10
02/27/2024,$8.10,539,$7.96,$8.10,$7.9337
02/26/2024,$8.2101,"8,001",$7.65,$8.2101,$7.65
02/23/2024,$7.65,"6,653",$7.65,$7.85,$7.64
02/22/2024,$7.62,"2,920",$7.50,$7.62,$7.50
02/21/2024,$7.51,307,$7.53,$7.6659,$7.51
02/20/2024,$7.6032,N/A,$7.6032,$7.6032,$7.6032
02/16/2024,$7.6032,"5,672",$7.68,$7.78,$7.60
02/15/2024,$7.52,"4,735",$7.70,$7.85,$7.52
02/14/2024,$7.80,"7,620",$7.9499,$7.9499,$7.75
02/13/2024,$7.65,"4,892",$7.52,$7.9499,$7.50
02/12/2024,$7.85,"11,133",$7.81,$7.9499,$7.51
02/09/2024,$7.7119,"10,485",$7.80,$8.1537,$7.50
02/08/2024,$7.7001,"1,345",$7.61,$7.833,$7.61
02/07/2024,$8.1152,246,$8.1152,$8.1152,$8.1152
02/06/2024,$7.875,N/A,$7.875,$7.875,$7.875
02/05/2024,$7.875,969,$8.24,$8.24,$7.5983
02/02/2024,$8.19,N/A,$8.19,$8.19,$8.19
02/01/2024,$8.19,561,$7.90,$8.19,$7.7439
01/31/2024,$7.881,"2,824",$7.5867,$8.174,$7.5501
01/30/2024,$8.4199,"1,542",$7.68,$8.4199,$7.50
01/29/2024,$8.07,"6,833",$7.83,$8.0899,$7.37
01/26/2024,$8.0269,N/A,$8.0269,$8.0269,$8.0269
01/25/2024,$8.0269,"1,894",$7.37,$8.0269,$7.37
01/24/2024,$7.40,"6,345",$8.0305,$8.09,$7.35
01/23/2024,$7.8708,"5,880",$8.06,$8.27,$7.8708
01/22/2024,$7.9815,"1,505",$7.85,$8.24,$7.85
01/19/2024,$8.01,"3,766",$7.66,$8.3802,$7.66
