Date,Close,Volume,Open,High,Low
03/01/2024,$9.96,"787,211",$9.78,$9.98,$9.72
02/29/2024,$9.78,"1,811,985",$9.88,$9.89,$9.73
02/28/2024,$9.74,"908,804",$9.70,$9.835,$9.69
02/27/2024,$9.80,"616,423",$9.87,$9.905,$9.72
02/26/2024,$9.86,"776,358",$9.79,$9.86,$9.725
02/23/2024,$9.81,"1,495,391",$9.78,$9.93,$9.76
02/22/2024,$9.80,"1,170,022",$9.72,$9.84,$9.72
02/21/2024,$9.78,"912,047",$9.80,$9.805,$9.65
02/20/2024,$9.87,"1,344,797",$9.84,$9.94,$9.78
02/16/2024,$10.01,"2,099,388",$9.86,$10.01,$9.81
02/15/2024,$10.02,"3,072,854",$10.18,$10.25,$9.95
02/14/2024,$10.05,"6,759,450",$10.23,$10.32,$9.71
02/13/2024,$9.42,"1,299,645",$9.68,$9.76,$9.41
02/12/2024,$9.96,"1,120,713",$9.97,$10.09,$9.95
02/09/2024,$9.93,"695,798",$9.81,$9.96,$9.80
02/08/2024,$9.79,"1,181,380",$9.75,$9.885,$9.75
02/07/2024,$9.77,"519,402",$9.88,$9.90,$9.74
02/06/2024,$9.86,"415,625",$9.73,$9.86,$9.70
02/05/2024,$9.74,"695,139",$9.67,$9.76,$9.515
02/02/2024,$9.78,"516,142",$9.63,$9.83,$9.60
02/01/2024,$9.75,"681,577",$9.45,$9.75,$9.45
01/31/2024,$9.45,"804,411",$9.64,$9.7993,$9.43
01/30/2024,$9.65,"497,399",$9.66,$9.72,$9.595
01/29/2024,$9.70,"865,295",$9.54,$9.70,$9.41
01/26/2024,$9.54,"761,831",$9.78,$9.81,$9.53
01/25/2024,$9.71,"1,032,219",$9.47,$9.72,$9.45
01/24/2024,$9.33,"803,945",$9.66,$9.70,$9.245
01/23/2024,$9.56,"469,374",$9.70,$9.71,$9.51
01/22/2024,$9.64,"703,908",$9.63,$9.73,$9.56
01/19/2024,$9.50,"939,537",$9.47,$9.5075,$9.33
01/18/2024,$9.45,"764,141",$9.52,$9.525,$9.37
01/17/2024,$9.46,"941,316",$9.40,$9.515,$9.365
01/16/2024,$9.60,"1,067,029",$9.62,$9.69,$9.46
01/12/2024,$9.71,"1,073,059",$10.06,$10.10,$9.66
01/11/2024,$9.90,"847,420",$9.97,$9.97,$9.77
01/10/2024,$9.99,"847,288",$9.95,$10.04,$9.825
01/09/2024,$10.00,"853,840",$9.97,$10.105,$9.95
01/08/2024,$10.15,"660,911",$10.08,$10.21,$10.03
01/05/2024,$10.04,"790,979",$9.95,$10.19,$9.9019
01/04/2024,$10.01,"719,286",$10.12,$10.225,$10.00
01/03/2024,$10.04,"803,108",$10.15,$10.1799,$10.025
01/02/2024,$10.19,"824,190",$10.14,$10.375,$10.08
12/29/2023,$10.25,"709,395",$10.35,$10.385,$10.22
12/28/2023,$10.42,"545,899",$10.11,$10.515,$10.03
12/27/2023,$10.49,"639,517",$10.45,$10.52,$10.355
12/26/2023,$10.45,"473,844",$10.45,$10.495,$10.365
12/22/2023,$10.38,"738,023",$10.35,$10.43,$10.27
12/21/2023,$10.32,"955,430",$10.26,$10.32,$10.16
12/20/2023,$10.16,"1,497,421",$10.32,$10.435,$10.15
12/19/2023,$10.28,"1,828,534",$10.30,$10.415,$10.24
12/18/2023,$10.24,"1,400,922",$10.14,$10.25,$10.055
12/15/2023,$10.12,"2,386,218",$10.00,$10.18,$9.955
12/14/2023,$10.08,"2,077,229",$10.13,$10.15,$9.935
12/13/2023,$10.02,"1,917,494",$9.73,$10.05,$9.60
12/12/2023,$9.72,"1,031,643",$9.68,$9.87,$9.66
12/11/2023,$9.60,"957,443",$9.44,$9.63,$9.32
12/08/2023,$9.39,"1,359,128",$9.24,$9.505,$9.15
12/07/2023,$9.31,"1,031,985",$9.15,$9.40,$9.09
12/06/2023,$9.10,"698,653",$9.25,$9.30,$9.07
12/05/2023,$9.16,"816,464",$9.04,$9.235,$9.01
12/04/2023,$9.11,"873,480",$8.89,$9.11,$8.89
12/01/2023,$8.89,"963,190",$8.90,$9.00,$8.79
11/30/2023,$8.93,"1,579,207",$8.92,$9.00,$8.73
11/29/2023,$8.88,"658,740",$8.97,$9.03,$8.815
11/28/2023,$8.90,"917,709",$8.91,$8.955,$8.765
11/27/2023,$8.90,"528,731",$8.70,$8.90,$8.645
11/24/2023,$8.76,"292,817",$8.76,$8.815,$8.71
11/22/2023,$8.73,"540,409",$8.84,$8.86,$8.68
11/21/2023,$8.72,"793,539",$8.79,$8.84,$8.68
11/20/2023,$8.83,"651,894",$8.70,$8.85,$8.66
11/17/2023,$8.68,"1,107,834",$8.57,$8.765,$8.55
11/16/2023,$8.48,"619,921",$8.73,$8.73,$8.43
11/15/2023,$8.71,"1,710,163",$8.70,$8.75,$8.55
11/14/2023,$8.68,"1,604,372",$8.58,$8.71,$8.36
11/13/2023,$8.20,"805,712",$8.06,$8.26,$8.06
11/10/2023,$8.14,"686,020",$8.03,$8.22,$7.97
11/09/2023,$7.98,"691,404",$8.30,$8.30,$7.965
11/08/2023,$8.20,"787,752",$8.31,$8.42,$8.165
11/07/2023,$8.30,"799,097",$8.19,$8.33,$8.13
11/06/2023,$8.29,"939,477",$8.25,$8.38,$8.16
11/03/2023,$8.19,"1,612,765",$7.97,$8.275,$7.91
11/02/2023,$7.72,"1,911,085",$7.34,$7.73,$7.20
11/01/2023,$6.76,"1,449,671",$6.88,$6.93,$6.70
10/31/2023,$6.93,"710,823",$6.88,$7.09,$6.84
10/30/2023,$6.91,"767,314",$6.90,$6.95,$6.72
10/27/2023,$6.80,"678,793",$6.85,$6.93,$6.77
10/26/2023,$6.87,"807,054",$6.96,$6.995,$6.85
10/25/2023,$6.91,"811,850",$6.94,$6.99,$6.885
10/24/2023,$7.03,"590,697",$7.03,$7.12,$6.97
10/23/2023,$7.00,"705,750",$6.95,$7.10,$6.90
10/20/2023,$7.01,"691,950",$7.05,$7.08,$6.90
10/19/2023,$7.00,"796,371",$7.19,$7.27,$7.00
10/18/2023,$7.23,"566,576",$7.25,$7.27,$7.115
10/17/2023,$7.33,"815,003",$7.11,$7.37,$7.11
10/16/2023,$7.17,"1,066,762",$7.17,$7.27,$7.10
10/13/2023,$7.11,"777,229",$7.14,$7.155,$7.00
10/12/2023,$7.10,"853,339",$7.29,$7.29,$7.05
10/11/2023,$7.24,"472,805",$7.31,$7.36,$7.17
10/10/2023,$7.29,"1,194,610",$7.15,$7.29,$7.11
10/09/2023,$7.15,"830,399",$7.22,$7.27,$7.045
10/06/2023,$7.39,"1,470,897",$7.30,$7.505,$7.26
10/05/2023,$7.40,"1,300,233",$7.48,$7.49,$7.305
10/04/2023,$7.48,"678,498",$7.38,$7.49,$7.245
10/03/2023,$7.38,"1,267,382",$7.36,$7.49,$7.33
10/02/2023,$7.47,"861,558",$7.47,$7.515,$7.395
09/29/2023,$7.47,"1,212,551",$7.48,$7.50,$7.332
09/28/2023,$7.44,"1,215,574",$7.37,$7.55,$7.35
09/27/2023,$7.44,"1,572,752",$7.60,$7.69,$7.38
09/26/2023,$7.56,"1,316,817",$8.02,$8.09,$7.53
09/25/2023,$8.07,"1,597,191",$7.78,$8.09,$7.775
09/22/2023,$7.81,"1,265,874",$7.60,$7.88,$7.57
09/21/2023,$7.60,"942,944",$7.62,$7.68,$7.54
09/20/2023,$7.70,"666,419",$7.70,$7.82,$7.63
09/19/2023,$7.64,"721,270",$7.68,$7.70,$7.555
09/18/2023,$7.69,"1,043,505",$7.74,$7.80,$7.625
09/15/2023,$7.73,"5,468,346",$7.78,$7.89,$7.645
09/14/2023,$7.70,"1,323,852",$7.70,$7.785,$7.645
09/13/2023,$7.61,"1,111,927",$7.70,$7.73,$7.58
09/12/2023,$7.70,"691,272",$7.73,$7.835,$7.69
09/11/2023,$7.74,"708,659",$7.92,$7.995,$7.74
09/08/2023,$7.88,"999,481",$7.85,$7.91,$7.79
09/07/2023,$7.91,"1,068,109",$7.79,$7.96,$7.66
09/06/2023,$7.82,"1,297,011",$8.27,$8.34,$7.73
09/05/2023,$8.24,"870,428",$8.47,$8.49,$8.23
09/01/2023,$8.55,"979,553",$8.63,$8.715,$8.41
08/31/2023,$8.54,"1,661,065",$8.47,$8.62,$8.41
08/30/2023,$8.47,"930,735",$8.32,$8.53,$8.32
08/29/2023,$8.36,"838,181",$8.30,$8.49,$8.23
08/28/2023,$8.24,"1,028,406",$8.16,$8.275,$8.14
08/25/2023,$8.10,"872,066",$7.94,$8.145,$7.905
08/24/2023,$7.91,"831,413",$7.99,$8.145,$7.89
08/23/2023,$8.00,"853,069",$7.83,$8.055,$7.78
08/22/2023,$7.83,"1,081,425",$7.82,$7.85,$7.685
08/21/2023,$7.76,"1,115,990",$7.60,$7.78,$7.60
08/18/2023,$7.60,"1,129,556",$7.46,$7.675,$7.46
08/17/2023,$7.54,"715,424",$7.61,$7.63,$7.41
08/16/2023,$7.58,"604,686",$7.66,$7.755,$7.56
08/15/2023,$7.65,"1,957,470",$7.69,$7.80,$7.605
08/14/2023,$7.67,"1,690,937",$7.72,$7.76,$7.625
08/11/2023,$7.79,"712,129",$7.78,$7.88,$7.77
08/10/2023,$7.77,"974,761",$7.92,$7.9765,$7.755
08/09/2023,$7.86,"757,263",$7.86,$7.91,$7.82
08/08/2023,$7.89,"802,705",$7.94,$8.03,$7.84
08/07/2023,$7.99,"851,250",$7.82,$8.05,$7.80
08/04/2023,$7.82,"813,724",$7.88,$7.90,$7.71
08/03/2023,$7.80,"1,667,517",$8.02,$8.02,$7.66
08/02/2023,$7.94,"1,519,340",$7.72,$8.00,$7.55
08/01/2023,$7.54,"1,021,041",$7.56,$7.62,$7.47
07/31/2023,$7.55,"1,297,962",$7.46,$7.5699,$7.41
07/28/2023,$7.43,"1,269,784",$7.48,$7.56,$7.41
07/27/2023,$7.38,"1,292,922",$7.87,$7.87,$7.35
07/26/2023,$7.79,"739,031",$7.70,$7.845,$7.685
07/25/2023,$7.76,"890,614",$7.66,$7.78,$7.61
07/24/2023,$7.68,"685,864",$7.84,$7.90,$7.62
07/21/2023,$7.85,"865,044",$7.94,$8.00,$7.81
07/20/2023,$7.92,"921,827",$7.95,$7.985,$7.8242
07/19/2023,$7.93,"885,895",$8.12,$8.16,$7.92
07/18/2023,$8.11,"637,551",$8.19,$8.29,$8.09
07/17/2023,$8.20,"514,179",$8.18,$8.27,$8.11
07/14/2023,$8.17,"642,167",$8.36,$8.39,$8.13
07/13/2023,$8.37,"568,931",$8.36,$8.445,$8.335
07/12/2023,$8.36,"1,358,710",$8.48,$8.51,$8.345
07/11/2023,$8.38,"2,137,184",$8.35,$8.51,$8.25
07/10/2023,$8.30,"748,467",$7.90,$8.32,$7.90
07/07/2023,$7.89,"543,371",$7.92,$8.01,$7.88
07/06/2023,$7.89,"534,760",$8.06,$8.06,$7.87
07/05/2023,$8.19,"702,141",$8.23,$8.255,$8.115
07/03/2023,$8.32,"385,252",$8.32,$8.44,$8.22
06/30/2023,$8.45,"1,005,072",$8.25,$8.49,$8.24
06/29/2023,$8.17,"789,591",$8.32,$8.45,$8.15
06/28/2023,$8.22,"1,386,540",$7.79,$8.23,$7.76
06/27/2023,$7.81,"1,102,490",$7.78,$7.82,$7.71
06/26/2023,$7.78,"1,661,538",$8.18,$8.19,$7.74
06/23/2023,$8.24,"8,628,014",$8.20,$8.415,$8.13
06/22/2023,$8.32,"749,853",$8.24,$8.41,$8.20
06/21/2023,$8.26,"1,882,346",$8.19,$8.42,$8.135
06/20/2023,$8.25,"1,726,364",$8.15,$8.29,$8.09
06/16/2023,$8.20,"2,492,484",$8.13,$8.20,$8.08
06/15/2023,$8.21,"1,417,969",$7.99,$8.26,$7.98
06/14/2023,$8.04,"1,799,714",$8.33,$8.335,$8.02
06/13/2023,$8.27,"2,894,825",$8.12,$8.305,$8.12
06/12/2023,$8.07,"946,644",$7.99,$8.12,$7.99
06/09/2023,$8.00,"693,432",$8.21,$8.26,$7.985
06/08/2023,$8.17,"799,616",$8.31,$8.37,$8.15
06/07/2023,$8.35,"1,246,901",$8.24,$8.41,$8.23
06/06/2023,$8.14,"1,258,820",$7.90,$8.15,$7.88
06/05/2023,$7.89,"868,050",$8.10,$8.15,$7.82
06/02/2023,$8.15,"1,182,811",$8.02,$8.20,$7.935
06/01/2023,$7.98,"851,104",$7.90,$8.07,$7.855
05/31/2023,$7.91,"4,118,446",$7.79,$7.925,$7.625
05/30/2023,$7.87,"1,144,632",$7.86,$8.00,$7.82
05/26/2023,$7.80,"911,297",$7.53,$7.81,$7.48
05/25/2023,$7.44,"711,731",$7.42,$7.545,$7.345
05/24/2023,$7.48,"973,854",$7.77,$7.77,$7.47
05/23/2023,$7.85,"1,114,536",$7.79,$8.03,$7.79
05/22/2023,$7.87,"1,318,742",$7.70,$7.995,$7.615
05/19/2023,$7.66,"892,312",$7.85,$7.85,$7.59
05/18/2023,$7.74,"1,352,807",$7.73,$7.90,$7.69
05/17/2023,$7.78,"962,840",$7.57,$7.80,$7.535
05/16/2023,$7.56,"1,031,205",$7.40,$7.62,$7.37
05/15/2023,$7.52,"1,348,512",$7.58,$7.64,$7.38
05/12/2023,$7.54,"5,325,804",$7.34,$7.62,$7.21
05/11/2023,$7.92,"892,681",$8.12,$8.20,$7.905
05/10/2023,$8.21,"837,456",$8.60,$8.635,$8.16
05/09/2023,$8.51,"1,180,147",$8.34,$8.5858,$8.26
05/08/2023,$8.38,"837,858",$8.47,$8.595,$8.36
05/05/2023,$8.49,"1,412,752",$8.51,$8.62,$8.36
05/04/2023,$8.43,"876,718",$8.42,$8.525,$8.30
05/03/2023,$8.42,"1,081,454",$8.07,$8.54,$7.90
05/02/2023,$8.06,"1,327,244",$8.17,$8.28,$8.035
05/01/2023,$8.24,"803,507",$8.07,$8.305,$8.07
04/28/2023,$8.10,"1,880,057",$7.99,$8.19,$7.95
04/27/2023,$8.04,"1,934,740",$8.02,$8.35,$8.01
04/26/2023,$7.97,"1,753,216",$8.14,$8.165,$7.85
04/25/2023,$8.20,"714,383",$8.17,$8.355,$8.17
04/24/2023,$8.30,"538,200",$8.38,$8.42,$8.125
04/21/2023,$8.44,"752,241",$8.18,$8.465,$8.16
04/20/2023,$8.15,"502,319",$8.28,$8.35,$8.13
04/19/2023,$8.35,"453,257",$8.34,$8.55,$8.28
04/18/2023,$8.43,"458,456",$8.54,$8.65,$8.395
04/17/2023,$8.50,"426,888",$8.42,$8.51,$8.35
04/14/2023,$8.42,"1,203,153",$8.50,$8.555,$8.325
04/13/2023,$8.48,"398,210",$8.43,$8.515,$8.40
04/12/2023,$8.37,"427,986",$8.40,$8.51,$8.28
04/11/2023,$8.30,"591,781",$8.21,$8.335,$8.19
04/10/2023,$8.18,"1,089,014",$8.20,$8.2988,$8.14
04/06/2023,$8.23,"587,805",$8.18,$8.28,$8.085
04/05/2023,$8.20,"1,036,378",$8.34,$8.34,$8.15
04/04/2023,$8.36,"606,767",$8.44,$8.50,$8.26
04/03/2023,$8.43,"879,792",$8.49,$8.57,$8.39
03/31/2023,$8.54,"1,125,758",$8.39,$8.62,$8.3745
03/30/2023,$8.33,"1,123,713",$8.17,$8.425,$8.07
03/29/2023,$8.06,"837,982",$8.13,$8.13,$7.885
03/28/2023,$8.05,"1,939,947",$7.78,$8.05,$7.69
03/27/2023,$7.79,"1,549,792",$7.54,$7.825,$7.41
03/24/2023,$7.42,"605,635",$7.37,$7.49,$7.29
03/23/2023,$7.43,"1,826,720",$7.43,$7.63,$7.0031
03/22/2023,$7.37,"1,320,456",$7.49,$7.56,$7.35
03/21/2023,$7.46,"1,123,564",$7.38,$7.50,$7.305
03/20/2023,$7.26,"1,217,187",$7.25,$7.30,$7.18
03/17/2023,$7.28,"1,492,322",$7.32,$7.38,$7.25
03/16/2023,$7.46,"1,594,544",$7.31,$7.52,$7.30
03/15/2023,$7.44,"1,119,503",$7.42,$7.53,$7.33
03/14/2023,$7.59,"1,408,760",$7.85,$7.91,$7.485
03/13/2023,$7.67,"1,243,733",$7.67,$7.79,$7.59
03/10/2023,$7.83,"1,642,638",$8.00,$8.14,$7.78
03/09/2023,$8.03,"1,254,827",$8.28,$8.44,$8.015
03/08/2023,$8.27,"1,366,099",$8.23,$8.285,$8.09
03/07/2023,$8.30,"1,750,932",$8.40,$8.52,$8.275
03/06/2023,$8.40,"2,762,783",$9.21,$9.2162,$8.40
03/03/2023,$9.23,"11,741,290",$9.35,$9.52,$9.21
03/02/2023,$9.20,"1,711,375",$9.00,$9.22,$8.98
03/01/2023,$9.10,"978,684",$9.09,$9.11,$8.92
02/28/2023,$9.08,"1,185,816",$8.93,$9.135,$8.90
02/27/2023,$8.97,"1,064,308",$9.20,$9.28,$8.92
02/24/2023,$9.18,"1,089,711",$9.07,$9.25,$8.90
02/23/2023,$9.22,"1,657,867",$9.19,$9.31,$8.88
02/22/2023,$9.12,"1,698,255",$9.35,$9.53,$9.0501
02/21/2023,$9.46,"2,598,187",$8.92,$9.53,$8.855
02/17/2023,$8.75,"1,393,373",$8.59,$8.76,$8.525
02/16/2023,$8.61,"1,348,317",$8.45,$8.785,$8.39
02/15/2023,$8.61,"1,854,312",$8.385,$8.62,$8.23
02/14/2023,$8.45,"4,300,944",$7.37,$8.55,$7.31
02/13/2023,$7.45,"1,285,773",$7.39,$7.49,$7.34
02/10/2023,$7.34,"1,114,153",$7.47,$7.48,$7.245
02/09/2023,$7.50,"1,024,272",$7.97,$8.02,$7.49
02/08/2023,$7.91,"1,483,687",$8.06,$8.11,$7.82
02/07/2023,$8.11,"1,404,389",$8.12,$8.19,$7.95
02/06/2023,$8.11,"987,295",$8.09,$8.23,$8.02
02/03/2023,$8.18,"1,165,483",$8.14,$8.23,$8.10
02/02/2023,$8.21,"2,237,772",$8.18,$8.27,$8.07
02/01/2023,$8.06,"1,603,903",$7.98,$8.115,$7.86
01/31/2023,$7.95,"2,116,912",$7.88,$7.99,$7.87
01/30/2023,$7.84,"1,439,599",$7.72,$7.915,$7.68
01/27/2023,$7.84,"1,174,746",$7.80,$7.92,$7.78
01/26/2023,$7.88,"1,095,506",$7.83,$7.93,$7.71
01/25/2023,$7.73,"805,229",$7.58,$7.765,$7.545
01/24/2023,$7.70,"696,025",$7.67,$7.71,$7.54
01/23/2023,$7.67,"1,106,407",$7.58,$7.70,$7.55
01/20/2023,$7.59,"1,392,797",$7.59,$7.68,$7.50
01/19/2023,$7.51,"1,357,882",$7.50,$7.63,$7.44
01/18/2023,$7.55,"2,149,846",$7.60,$7.64,$7.49
01/17/2023,$7.58,"2,277,100",$7.44,$7.615,$7.37
01/13/2023,$7.42,"1,540,135",$7.26,$7.44,$7.26
01/12/2023,$7.39,"1,252,150",$7.32,$7.435,$7.225
01/11/2023,$7.25,"3,307,567",$7.17,$7.285,$7.12
01/10/2023,$7.12,"1,624,587",$6.77,$7.185,$6.77
01/09/2023,$6.84,"2,843,534",$6.93,$7.015,$6.77
01/06/2023,$6.88,"1,472,408",$6.93,$6.98,$6.80
01/05/2023,$6.83,"1,392,371",$6.84,$6.94,$6.69
01/04/2023,$6.84,"1,947,110",$6.72,$6.93,$6.62
01/03/2023,$6.66,"785,292",$6.77,$6.91,$6.63
12/30/2022,$6.61,"1,296,739",$6.66,$6.685,$6.47
12/29/2022,$6.74,"1,518,358",$6.51,$6.92,$6.49
12/28/2022,$6.46,"1,519,510",$6.66,$6.79,$6.42
12/27/2022,$6.70,"1,379,514",$6.50,$6.735,$6.4305
12/23/2022,$6.49,"1,945,075",$6.43,$6.56,$6.35
12/22/2022,$6.45,"2,863,709",$6.30,$6.54,$6.27
12/21/2022,$6.36,"1,820,972",$6.00,$6.38,$5.98
12/20/2022,$5.94,"1,492,203",$5.69,$6.01,$5.59
12/19/2022,$5.70,"2,137,515",$5.80,$5.80,$5.595
12/16/2022,$5.80,"2,577,921",$6.18,$6.18,$5.65
12/15/2022,$5.86,"1,998,288",$5.93,$6.02,$5.78
12/14/2022,$6.07,"1,855,036",$6.01,$6.205,$5.945
12/13/2022,$5.98,"2,574,532",$6.21,$6.23,$5.695
12/12/2022,$6.00,"1,357,134",$5.84,$6.01,$5.76
12/09/2022,$5.88,"1,368,529",$5.96,$6.095,$5.84
12/08/2022,$6.01,"1,251,515",$6.12,$6.21,$5.965
12/07/2022,$6.08,"845,731",$6.04,$6.16,$5.945
12/06/2022,$6.07,"968,437",$6.20,$6.20,$6.01
12/05/2022,$6.18,"658,897",$6.29,$6.29,$6.12
12/02/2022,$6.33,"1,049,866",$6.22,$6.39,$6.215
12/01/2022,$6.38,"1,095,561",$6.43,$6.52,$6.27
11/30/2022,$6.38,"3,962,726",$5.99,$6.40,$5.92
11/29/2022,$6.02,"983,473",$6.05,$6.085,$5.96
11/28/2022,$6.05,"1,353,246",$6.22,$6.265,$6.05
11/25/2022,$6.28,"569,687",$6.24,$6.44,$6.20
11/23/2022,$6.24,"573,732",$6.03,$6.255,$6.03
11/22/2022,$6.03,"996,539",$5.98,$6.13,$5.90
11/21/2022,$5.97,"669,867",$5.93,$6.04,$5.895
11/18/2022,$5.99,"1,185,225",$6.27,$6.28,$5.96
11/17/2022,$6.08,"764,863",$6.13,$6.175,$5.93
11/16/2022,$6.24,"737,622",$6.38,$6.38,$6.155
11/15/2022,$6.39,"1,156,887",$6.61,$6.625,$6.36
11/14/2022,$6.38,"843,558",$6.53,$6.545,$6.33
11/11/2022,$6.58,"1,066,514",$6.27,$6.64,$6.21
11/10/2022,$6.28,"1,709,358",$6.11,$6.28,$5.96
11/09/2022,$5.79,"2,612,533",$6.15,$6.16,$5.70
11/08/2022,$6.25,"1,915,847",$6.74,$6.83,$6.18
11/07/2022,$6.38,"1,711,585",$6.05,$6.38,$6.01
11/04/2022,$6.03,"2,597,946",$5.97,$6.165,$5.68
11/03/2022,$5.91,"2,896,354",$6.37,$6.37,$5.88
11/02/2022,$6.45,"4,666,834",$7.50,$7.50,$6.43
11/01/2022,$7.67,"1,146,964",$8.21,$8.25,$7.595
10/31/2022,$8.08,"1,579,368",$8.06,$8.14,$7.90
10/28/2022,$8.04,"1,038,064",$7.97,$8.105,$7.78
10/27/2022,$7.93,"722,637",$7.98,$8.06,$7.79
10/26/2022,$7.94,"1,258,893",$7.88,$8.00,$7.845
10/25/2022,$7.88,"870,968",$7.78,$7.93,$7.76
10/24/2022,$7.81,"983,242",$7.79,$8.05,$7.64
10/21/2022,$7.77,"804,072",$7.43,$7.79,$7.27
10/20/2022,$7.38,"909,484",$7.45,$7.755,$7.38
10/19/2022,$7.42,"1,431,089",$7.64,$7.68,$7.305
10/18/2022,$7.75,"615,356",$7.71,$7.885,$7.525
10/17/2022,$7.53,"1,012,445",$7.45,$7.57,$7.36
10/14/2022,$7.27,"908,867",$7.52,$7.52,$7.225
10/13/2022,$7.40,"1,674,934",$7.28,$7.43,$7.075
10/12/2022,$7.48,"842,299",$7.43,$7.55,$7.215
10/11/2022,$7.43,"975,985",$7.90,$7.93,$7.38
10/10/2022,$7.92,"466,478",$8.05,$8.09,$7.74
10/07/2022,$7.90,"3,106,649",$7.72,$7.96,$7.61
10/06/2022,$7.86,"624,665",$7.96,$8.14,$7.84
10/05/2022,$8.00,"643,844",$8.05,$8.195,$7.955
10/04/2022,$8.20,"1,220,675",$7.81,$8.25,$7.81
10/03/2022,$7.65,"1,364,374",$7.59,$7.82,$7.38
09/30/2022,$7.47,"887,553",$7.23,$7.52,$7.18
09/29/2022,$7.24,"871,542",$7.15,$7.25,$6.915
09/28/2022,$7.29,"932,611",$7.10,$7.32,$7.025
09/27/2022,$7.13,"673,268",$7.24,$7.35,$7.085
09/26/2022,$7.11,"907,711",$6.95,$7.23,$6.95
09/23/2022,$6.95,"1,122,719",$6.70,$6.985,$6.64
09/22/2022,$6.81,"692,471",$7.08,$7.13,$6.71
09/21/2022,$7.15,"905,760",$7.41,$7.46,$7.13
09/20/2022,$7.32,"879,383",$7.37,$7.50,$7.31
