Date,Close,Volume,Open,High,Low
03/01/2024,$4.65,"73,643",$4.61,$4.66,$4.61
02/29/2024,$4.61,"81,863",$4.61,$4.63,$4.60
02/28/2024,$4.59,"102,309",$4.57,$4.61,$4.57
02/27/2024,$4.579,"114,473",$4.58,$4.61,$4.57
02/26/2024,$4.59,"74,032",$4.58,$4.5994,$4.57
02/23/2024,$4.58,"179,100",$4.58,$4.60,$4.57
02/22/2024,$4.58,"183,696",$4.62,$4.63,$4.58
02/21/2024,$4.60,"76,515",$4.59,$4.62,$4.58
02/20/2024,$4.59,"99,233",$4.58,$4.60,$4.57
02/16/2024,$4.59,"89,962",$4.57,$4.60,$4.57
02/15/2024,$4.60,"56,009",$4.59,$4.62,$4.59
02/14/2024,$4.59,"48,165",$4.59,$4.62,$4.58
02/13/2024,$4.60,"62,778",$4.61,$4.6115,$4.58
02/12/2024,$4.65,"50,734",$4.65,$4.67,$4.64
02/09/2024,$4.65,"47,496",$4.65,$4.67,$4.6401
02/08/2024,$4.66,"96,133",$4.68,$4.70,$4.65
02/07/2024,$4.65,"39,238",$4.64,$4.67,$4.64
02/06/2024,$4.64,"55,215",$4.61,$4.67,$4.61
02/05/2024,$4.63,"62,934",$4.60,$4.64,$4.60
02/02/2024,$4.64,"113,863",$4.64,$4.68,$4.64
02/01/2024,$4.66,"115,488",$4.64,$4.69,$4.64
01/31/2024,$4.64,"96,849",$4.64,$4.65,$4.61
01/30/2024,$4.61,"71,347",$4.61,$4.66,$4.60
01/29/2024,$4.60,"73,176",$4.61,$4.64,$4.59
01/26/2024,$4.62,"101,786",$4.57,$4.62,$4.57
01/25/2024,$4.57,"115,790",$4.58,$4.60,$4.56
01/24/2024,$4.58,"83,837",$4.59,$4.63,$4.5799
01/23/2024,$4.57,"56,462",$4.59,$4.60,$4.57
01/22/2024,$4.58,"102,428",$4.56,$4.61,$4.5504
01/19/2024,$4.54,"68,437",$4.58,$4.58,$4.54
01/18/2024,$4.57,"186,802",$4.54,$4.58,$4.54
01/17/2024,$4.53,"60,636",$4.56,$4.56,$4.52
01/16/2024,$4.58,"72,569",$4.61,$4.61,$4.56
01/12/2024,$4.63,"62,404",$4.64,$4.66,$4.62
01/11/2024,$4.625,"45,681",$4.64,$4.64,$4.60
01/10/2024,$4.63,"28,700",$4.64,$4.6491,$4.63
01/09/2024,$4.63,"47,226",$4.59,$4.63,$4.59
01/08/2024,$4.59,"111,678",$4.58,$4.65,$4.58
01/05/2024,$4.58,"60,655",$4.59,$4.6199,$4.58
01/04/2024,$4.59,"84,884",$4.60,$4.60,$4.57
01/03/2024,$4.59,"81,325",$4.57,$4.59,$4.5488
