Date,Close,Volume,Open,High,Low
03/01/2024,$228.92,"1,000,754",$226.49,$229.52,$218.865
02/29/2024,$223.01,"1,104,028",$219.00,$223.955,$218.00
02/28/2024,$217.42,"749,594",$218.63,$220.74,$213.745
02/27/2024,$217.44,"538,745",$218.80,$218.80,$215.21
02/26/2024,$216.00,"1,857,337",$213.90,$218.7899,$207.675
02/23/2024,$207.90,"841,311",$209.20,$210.48,$205.44
02/22/2024,$207.61,"1,147,536",$213.99,$217.56,$207.16
02/21/2024,$207.98,"1,232,231",$211.00,$213.28,$206.72
02/20/2024,$217.32,"1,227,289",$224.45,$224.70,$214.50
02/16/2024,$225.30,"1,243,920",$222.00,$228.51,$220.0001
02/15/2024,$222.16,"1,115,857",$220.33,$222.28,$216.05
02/14/2024,$219.95,"1,444,377",$217.07,$220.62,$215.18
02/13/2024,$215.11,"2,170,058",$205.63,$222.01,$205.50
02/12/2024,$212.01,"5,162,531",$199.00,$217.84,$197.00
02/09/2024,$235.92,"2,290,838",$231.58,$239.22,$229.3575
02/08/2024,$227.07,"1,126,326",$219.03,$228.18,$219.00
02/07/2024,$217.96,"712,609",$218.82,$220.74,$216.4001
02/06/2024,$215.36,"539,800",$214.71,$217.2499,$208.6637
02/05/2024,$211.94,"415,677",$214.05,$217.22,$207.35
02/02/2024,$214.06,"441,065",$211.50,$216.94,$209.00
02/01/2024,$211.12,"490,435",$211.92,$212.245,$201.65
01/31/2024,$210.04,"594,952",$215.66,$216.89,$208.53
01/30/2024,$218.08,"468,201",$219.30,$219.30,$216.685
01/29/2024,$218.80,"729,722",$211.82,$219.33,$211.82
01/26/2024,$208.63,"575,805",$205.31,$210.1356,$205.001
01/25/2024,$208.00,"496,877",$211.01,$214.35,$205.85
01/24/2024,$209.71,"709,637",$218.33,$218.97,$209.185
01/23/2024,$215.99,"1,123,858",$205.69,$216.92,$205.22
01/22/2024,$202.94,"1,001,694",$200.00,$209.7699,$199.0006
01/19/2024,$195.63,"353,126",$194.89,$195.8992,$190.9018
01/18/2024,$193.04,"497,663",$194.38,$196.40,$188.26
01/17/2024,$191.11,"473,604",$193.00,$193.763,$186.10
01/16/2024,$195.19,"509,656",$189.44,$195.4538,$187.12
01/12/2024,$190.71,"423,667",$193.73,$195.37,$189.75
01/11/2024,$193.19,"481,597",$194.48,$197.39,$188.50
01/10/2024,$192.16,"671,639",$192.78,$196.99,$191.54
01/09/2024,$192.05,"1,152,420",$183.39,$193.14,$182.43
01/08/2024,$185.47,"766,130",$178.73,$189.335,$178.14
