Date,Close,Volume,Open,High,Low
03/01/2024,$58.79,"6,401,956",$58.80,$59.13,$58.36
02/29/2024,$59.10,"11,115,750",$59.20,$60.07,$58.39
02/28/2024,$55.85,"6,789,483",$56.21,$56.25,$55.05
02/27/2024,$56.11,"4,200,879",$55.42,$56.14,$55.28
02/26/2024,$55.72,"4,876,722",$55.29,$55.925,$55.05
02/23/2024,$55.29,"3,307,984",$55.11,$55.69,$54.97
02/22/2024,$55.11,"6,579,869",$55.14,$55.45,$54.795
02/21/2024,$55.14,"5,714,577",$55.44,$55.66,$54.905
02/20/2024,$55.40,"5,620,358",$55.30,$55.68,$54.86
02/16/2024,$55.02,"6,077,720",$55.88,$55.97,$54.96
02/15/2024,$56.17,"5,553,181",$56.14,$56.42,$55.79
02/14/2024,$55.87,"3,981,935",$56.16,$56.64,$55.455
02/13/2024,$56.16,"5,970,913",$55.96,$56.455,$55.4225
02/12/2024,$55.93,"3,497,830",$55.57,$55.99,$55.265
02/09/2024,$55.66,"3,893,969",$56.52,$56.57,$55.345
02/08/2024,$56.49,"4,253,902",$56.49,$56.53,$56.005
02/07/2024,$56.46,"4,315,138",$56.71,$56.91,$56.22
02/06/2024,$56.34,"7,406,959",$55.26,$56.38,$55.04
02/05/2024,$55.12,"4,768,898",$55.13,$55.365,$54.755
02/02/2024,$55.35,"5,481,813",$55.80,$55.93,$54.995
02/01/2024,$55.94,"5,619,549",$55.15,$56.0401,$54.815
01/31/2024,$55.02,"5,908,152",$55.37,$55.59,$54.84
01/30/2024,$55.31,"4,704,197",$55.53,$55.58,$55.00
01/29/2024,$55.59,"5,736,036",$55.47,$55.845,$55.23
01/26/2024,$55.44,"5,273,127",$55.16,$55.58,$55.00
01/25/2024,$55.14,"5,711,641",$55.40,$55.47,$54.89
01/24/2024,$55.07,"9,574,705",$55.47,$55.685,$54.98
01/23/2024,$55.57,"7,050,033",$56.30,$56.30,$54.89
01/22/2024,$56.32,"4,294,443",$57.29,$57.325,$56.245
01/19/2024,$57.18,"5,450,409",$57.45,$57.45,$56.55
01/18/2024,$57.25,"4,800,425",$56.76,$57.44,$56.61
01/17/2024,$57.11,"8,595,546",$57.49,$57.535,$56.34
01/16/2024,$58.17,"5,783,083",$59.40,$59.40,$57.95
01/12/2024,$59.05,"4,024,985",$59.13,$59.3075,$58.80
01/11/2024,$58.63,"4,159,343",$58.90,$58.93,$58.21
01/10/2024,$58.91,"4,436,276",$58.75,$59.13,$58.33
01/09/2024,$58.74,"5,042,871",$57.62,$58.76,$57.40
01/08/2024,$57.96,"5,764,345",$57.62,$58.17,$57.39
01/05/2024,$57.54,"3,741,772",$57.57,$58.135,$57.305
01/04/2024,$57.71,"4,984,379",$57.59,$58.585,$57.53
01/03/2024,$57.48,"6,954,559",$59.07,$59.08,$57.27
01/02/2024,$58.59,"8,150,088",$57.52,$58.81,$57.37
