Date,Close,Volume,Open,High,Low
03/01/2024,$2.33,"69,301",$2.23,$2.375,$2.18
02/29/2024,$2.25,"96,526",$2.25,$2.30,$2.23
02/28/2024,$2.21,"102,377",$2.16,$2.279,$2.13
02/27/2024,$2.22,"170,017",$2.20,$2.29,$2.15
02/26/2024,$2.25,"202,651",$2.29,$2.36,$2.165
02/23/2024,$2.29,"128,713",$2.25,$2.31,$2.10
02/22/2024,$2.23,"86,235",$2.13,$2.26,$2.13
02/21/2024,$2.21,"66,800",$2.19,$2.28,$2.17
02/20/2024,$2.19,"88,201",$2.27,$2.33,$2.19
02/16/2024,$2.35,"155,265",$2.37,$2.44,$2.31
02/15/2024,$2.38,"137,192",$2.30,$2.445,$2.1691
02/14/2024,$2.24,"97,310",$2.26,$2.275,$2.10
02/13/2024,$2.21,"143,035",$2.25,$2.40,$2.165
02/12/2024,$2.43,"193,949",$2.31,$2.52,$2.31
02/09/2024,$2.28,"218,593",$2.25,$2.3492,$2.161
02/08/2024,$2.21,"164,641",$2.07,$2.24,$2.07
02/07/2024,$2.10,"110,576",$2.11,$2.249,$2.04
02/06/2024,$2.07,"116,164",$2.00,$2.11,$2.00
02/05/2024,$2.00,"408,121",$2.16,$2.16,$1.94
02/02/2024,$2.22,"292,500",$2.25,$2.25,$2.19
02/01/2024,$2.30,"66,245",$2.32,$2.387,$2.30
01/31/2024,$2.335,"258,486",$2.60,$2.63,$2.30
01/30/2024,$2.57,"278,936",$2.47,$2.71,$2.44
01/29/2024,$2.50,"65,052",$2.46,$2.51,$2.45
01/26/2024,$2.47,"53,024",$2.58,$2.58,$2.44
01/25/2024,$2.52,"109,808",$2.58,$2.60,$2.465
01/24/2024,$2.47,"101,033",$2.66,$2.66,$2.445
01/23/2024,$2.59,"120,376",$2.74,$2.74,$2.57
01/22/2024,$2.65,"159,887",$2.28,$2.68,$2.28
01/19/2024,$2.29,"159,026",$2.17,$2.30,$2.06
01/18/2024,$2.15,"262,702",$2.08,$2.17,$2.05
01/17/2024,$2.11,"399,332",$2.08,$2.19,$2.03
01/16/2024,$2.14,"312,782",$2.12,$2.22,$2.06
