Date,Close,Volume,Open,High,Low
03/01/2024,$20.42,"19,455",$20.89,$20.89,$20.35
02/29/2024,$21.03,"19,998",$20.80,$21.225,$20.80
02/28/2024,$20.35,"12,305",$20.40,$20.59,$20.35
02/27/2024,$20.40,"11,579",$20.77,$20.92,$20.40
02/26/2024,$20.51,"23,816",$20.58,$20.9491,$20.26
02/23/2024,$20.95,"9,402",$20.61,$21.00,$20.61
02/22/2024,$20.75,"26,386",$21.00,$21.23,$20.54
02/21/2024,$21.03,"13,727",$21.0461,$21.59,$21.0109
02/20/2024,$21.05,"20,071",$21.00,$21.68,$21.00
02/16/2024,$21.02,"25,667",$21.96,$21.97,$21.02
02/15/2024,$22.15,"33,465",$21.15,$22.55,$21.15
02/14/2024,$20.86,"30,083",$20.54,$20.89,$20.2445
02/13/2024,$20.26,"29,887",$20.73,$21.565,$20.11
02/12/2024,$21.48,"23,373",$20.83,$22.14,$20.83
02/09/2024,$20.82,"18,157",$20.72,$21.19,$20.65
02/08/2024,$20.45,"12,739",$20.28,$20.73,$20.21
02/07/2024,$20.34,"32,554",$20.91,$20.91,$20.03
02/06/2024,$20.91,"17,202",$20.97,$21.335,$20.60
02/05/2024,$20.99,"26,303",$21.32,$21.4064,$20.90
02/02/2024,$21.57,"20,651",$21.08,$22.80,$21.08
02/01/2024,$21.60,"45,255",$21.71,$21.73,$20.73
01/31/2024,$21.38,"18,637",$22.24,$22.33,$21.01
01/30/2024,$22.46,"16,043",$22.95,$23.00,$22.43
01/29/2024,$23.00,"25,797",$22.74,$23.01,$22.73
01/26/2024,$23.07,"29,204",$24.10,$24.10,$23.015
01/25/2024,$23.86,"19,779",$23.70,$23.96,$23.00
01/24/2024,$23.34,"13,592",$23.86,$23.89,$23.31
01/23/2024,$23.54,"14,512",$24.00,$24.00,$23.47
01/22/2024,$23.89,"17,468",$23.12,$23.89,$23.12
01/19/2024,$22.90,"20,901",$23.10,$23.12,$22.71
01/18/2024,$22.89,"11,794",$22.97,$23.00,$22.63
01/17/2024,$22.82,"14,001",$22.58,$23.18,$22.58
01/16/2024,$23.00,"29,075",$22.80,$23.01,$22.63
01/12/2024,$23.01,"17,209",$23.60,$23.60,$22.95
01/11/2024,$23.30,"28,527",$23.84,$23.86,$23.085
01/10/2024,$23.94,"32,097",$23.46,$23.95,$23.46
01/09/2024,$23.595,"30,351",$23.66,$23.83,$23.14
01/08/2024,$23.97,"21,864",$23.85,$24.04,$23.58
01/05/2024,$23.97,"72,263",$23.71,$24.32,$23.70
01/04/2024,$23.82,"20,588",$24.09,$24.09,$23.82
01/03/2024,$23.97,"43,971",$24.18,$24.34,$23.76
01/02/2024,$24.26,"36,221",$24.58,$24.58,$24.02
12/29/2023,$24.28,"15,399",$24.392,$24.51,$24.26
12/28/2023,$24.48,"29,207",$24.47,$24.785,$24.31
12/27/2023,$24.59,"25,564",$24.48,$24.76,$24.42
12/26/2023,$24.50,"52,637",$23.92,$24.765,$23.92
12/22/2023,$24.25,"30,135",$24.60,$24.97,$23.92
12/21/2023,$24.35,"26,039",$24.0101,$24.485,$24.0101
12/20/2023,$23.96,"46,431",$24.51,$24.76,$23.87
12/19/2023,$24.41,"51,658",$24.20,$24.51,$24.09
12/18/2023,$24.14,"27,415",$24.50,$24.50,$24.14
12/15/2023,$24.50,"117,516",$24.27,$25.639,$24.19
12/14/2023,$24.05,"84,436",$24.26,$24.74,$23.42
12/13/2023,$23.72,"127,272",$22.93,$24.82,$22.40
12/12/2023,$22.98,"15,152",$23.21,$23.39,$22.92
12/11/2023,$23.09,"23,747",$22.87,$23.15,$22.78
12/08/2023,$22.85,"17,902",$22.72,$23.08,$22.46
12/07/2023,$22.76,"12,568",$22.69,$23.00,$22.52
12/06/2023,$22.69,"35,469",$22.25,$22.98,$22.25
12/05/2023,$22.14,"25,649",$22.20,$22.25,$21.65
12/04/2023,$22.09,"26,984",$21.60,$22.23,$21.60
12/01/2023,$21.71,"42,506",$20.19,$21.71,$20.19
11/30/2023,$20.12,"91,805",$21.68,$21.68,$20.08
11/29/2023,$21.46,"40,380",$20.96,$21.90,$20.96
11/28/2023,$20.84,"25,638",$21.10,$21.59,$20.81
11/27/2023,$21.26,"33,364",$21.25,$21.75,$21.01
11/24/2023,$21.50,"10,585",$21.30,$21.75,$21.30
11/22/2023,$21.29,"11,004",$21.12,$21.64,$21.12
11/21/2023,$20.84,"18,583",$21.45,$21.55,$20.6101
11/20/2023,$21.45,"11,784",$21.74,$21.74,$21.00
11/17/2023,$21.68,"24,972",$21.28,$21.75,$21.28
11/16/2023,$21.01,"8,197",$21.21,$21.37,$21.01
11/15/2023,$21.24,"23,127",$21.93,$22.14,$21.23
11/14/2023,$22.15,"37,801",$20.07,$22.37,$19.89
11/13/2023,$19.70,"9,675",$19.46,$19.78,$19.46
11/10/2023,$19.65,"19,817",$19.76,$19.76,$19.40
11/09/2023,$19.56,"27,388",$20.04,$20.15,$19.53
11/08/2023,$20.36,"15,256",$20.26,$20.5899,$20.00
11/07/2023,$20.38,"13,915",$20.36,$20.56,$20.32
11/06/2023,$20.30,"24,045",$20.11,$20.47,$20.11
11/03/2023,$20.29,"41,339",$19.98,$20.29,$19.6275
11/02/2023,$19.49,"61,846",$19.00,$19.755,$18.75
11/01/2023,$19.01,"26,689",$18.86,$19.04,$18.76
10/31/2023,$19.06,"24,016",$19.27,$19.32,$18.77
10/30/2023,$19.34,"16,804",$18.92,$19.37,$18.67
10/27/2023,$18.77,"15,961",$19.48,$19.48,$18.65
10/26/2023,$19.53,"17,196",$19.16,$19.64,$19.16
10/25/2023,$19.01,"15,408",$18.69,$19.11,$18.625
10/24/2023,$19.00,"21,964",$19.41,$19.41,$18.80
10/23/2023,$19.21,"18,186",$19.27,$19.4701,$19.15
10/20/2023,$19.28,"26,694",$19.64,$19.67,$19.205
10/19/2023,$19.60,"12,719",$19.77,$19.81,$19.60
10/18/2023,$19.67,"21,936",$20.115,$20.115,$19.62
10/17/2023,$20.12,"11,814",$19.915,$20.23,$19.915
10/16/2023,$19.77,"21,337",$20.12,$20.12,$19.6945
10/13/2023,$19.89,"13,351",$20.17,$20.20,$19.73
10/12/2023,$20.06,"25,102",$20.55,$20.55,$19.76
10/11/2023,$20.56,"11,053",$20.63,$20.715,$20.305
10/10/2023,$20.52,"17,070",$20.60,$20.84,$20.42
10/09/2023,$20.46,"16,359",$20.70,$20.79,$20.4579
10/06/2023,$20.75,"21,529",$20.50,$20.84,$20.44
10/05/2023,$20.36,"32,724",$20.02,$20.45,$19.915
10/04/2023,$20.13,"17,429",$20.10,$20.22,$19.76
10/03/2023,$20.10,"22,179",$20.14,$20.34,$19.80
10/02/2023,$20.15,"25,981",$20.17,$20.25,$19.96
09/29/2023,$20.13,"15,549",$20.31,$20.31,$20.10
09/28/2023,$20.10,"19,398",$20.13,$20.35,$20.10
09/27/2023,$20.10,"22,438",$20.20,$20.25,$19.96
09/26/2023,$20.07,"21,717",$20.24,$20.35,$20.07
09/25/2023,$20.40,"14,256",$20.23,$20.42,$20.09
09/22/2023,$20.27,"20,675",$20.37,$20.37,$20.09
09/21/2023,$20.33,"21,798",$20.43,$20.53,$20.30
09/20/2023,$20.48,"16,264",$20.63,$20.73,$20.44
09/19/2023,$20.525,"17,165",$20.55,$20.6484,$20.45
09/18/2023,$20.57,"16,716",$20.87,$20.87,$20.57
09/15/2023,$20.97,"91,348",$21.14,$21.14,$20.75
09/14/2023,$21.20,"31,195",$20.72,$21.20,$20.72
09/13/2023,$20.60,"87,492",$20.90,$20.96,$20.54
09/12/2023,$20.76,"80,316",$20.71,$20.98,$20.665
09/11/2023,$20.67,"36,339",$20.92,$21.13,$20.65
09/08/2023,$20.92,"21,958",$20.98,$21.05,$20.835
09/07/2023,$20.96,"65,309",$21.12,$21.18,$20.89
09/06/2023,$21.16,"23,008",$22.06,$22.09,$21.10
09/05/2023,$22.04,"34,750",$22.63,$22.63,$21.985
09/01/2023,$22.71,"37,261",$22.05,$22.80,$22.05
08/31/2023,$21.89,"36,011",$21.68,$22.08,$21.57
08/30/2023,$21.69,"38,540",$22.24,$22.24,$21.61
08/29/2023,$22.28,"18,895",$22.315,$22.41,$22.00
08/28/2023,$22.25,"45,886",$21.75,$22.42,$21.58
08/25/2023,$21.55,"15,861",$21.3308,$21.64,$21.3308
08/24/2023,$21.45,"17,650",$21.21,$21.555,$21.19
08/23/2023,$21.26,"26,026",$21.34,$21.38,$21.03
08/22/2023,$21.33,"20,573",$21.64,$21.64,$21.30
08/21/2023,$21.64,"23,343",$21.63,$21.76,$21.445
08/18/2023,$21.62,"23,523",$21.28,$21.80,$21.28
08/17/2023,$21.54,"34,833",$21.28,$21.56,$21.07
08/16/2023,$21.27,"23,095",$21.23,$21.38,$21.01
08/15/2023,$21.28,"23,608",$21.82,$21.94,$21.24
08/14/2023,$22.04,"35,622",$22.35,$22.35,$21.87
08/11/2023,$22.52,"16,780",$22.66,$22.66,$22.40
08/10/2023,$22.74,"17,630",$23.36,$23.36,$22.68
08/09/2023,$23.32,"33,787",$23.39,$23.67,$23.26
08/08/2023,$23.56,"40,451",$23.54,$23.66,$23.35
08/07/2023,$23.92,"30,884",$23.85,$24.38,$23.75
08/04/2023,$23.75,"34,156",$23.85,$24.299,$23.70
08/03/2023,$23.79,"53,134",$23.59,$24.18,$23.55
08/02/2023,$23.60,"46,769",$23.39,$24.04,$23.39
08/01/2023,$23.59,"47,473",$23.65,$23.88,$23.35
07/31/2023,$23.50,"47,082",$24.15,$24.71,$23.40
07/28/2023,$24.00,"45,772",$24.37,$24.959,$23.895
07/27/2023,$24.49,"29,596",$24.96,$25.29,$24.1608
07/26/2023,$24.75,"89,288",$23.90,$24.96,$23.90
07/25/2023,$24.11,"38,692",$24.12,$24.29,$23.79
07/24/2023,$24.28,"51,082",$24.07,$24.33,$23.96
07/21/2023,$23.95,"39,864",$24.33,$24.53,$23.795
07/20/2023,$24.10,"73,346",$23.99,$24.34,$23.99
07/19/2023,$23.90,"114,715",$23.67,$24.38,$23.67
07/18/2023,$23.50,"66,211",$22.885,$23.78,$22.885
07/17/2023,$22.85,"62,824",$22.83,$23.18,$22.74
07/14/2023,$22.59,"48,240",$22.84,$22.98,$22.33
07/13/2023,$22.74,"69,167",$22.78,$23.27,$22.50
07/12/2023,$22.60,"69,561",$22.90,$23.09,$22.50
07/11/2023,$22.47,"21,275",$22.80,$22.80,$22.095
07/10/2023,$22.59,"16,434",$22.48,$22.795,$22.45
07/07/2023,$22.50,"58,468",$22.11,$22.71,$22.11
07/06/2023,$22.12,"21,316",$22.48,$22.48,$21.71
07/05/2023,$22.63,"36,663",$22.52,$22.87,$22.38
07/03/2023,$22.71,"20,148",$22.02,$22.7674,$21.946
06/30/2023,$22.08,"43,765",$23.13,$23.61,$21.785
06/29/2023,$22.97,"24,867",$23.22,$23.70,$22.765
06/28/2023,$22.99,"19,204",$23.15,$23.15,$22.90
06/27/2023,$23.23,"23,897",$23.27,$23.69,$23.07
06/26/2023,$23.09,"21,170",$23.06,$23.32,$22.995
06/23/2023,$23.06,"118,226",$22.80,$23.3666,$22.66
06/22/2023,$23.14,"18,447",$23.54,$23.54,$23.11
06/21/2023,$23.83,"26,286",$24.32,$24.38,$23.76
06/20/2023,$24.25,"40,825",$24.13,$24.52,$23.79
06/16/2023,$24.13,"57,025",$24.99,$25.01,$23.8893
06/15/2023,$24.77,"30,085",$24.70,$24.99,$24.55
06/14/2023,$24.79,"54,092",$25.605,$25.835,$24.67
06/13/2023,$25.70,"42,193",$24.84,$25.80,$24.45
06/12/2023,$24.64,"27,858",$24.31,$25.094,$24.31
06/09/2023,$24.63,"41,995",$24.88,$24.88,$24.505
06/08/2023,$24.83,"60,470",$25.66,$25.66,$23.91
06/07/2023,$25.70,"47,787",$25.14,$25.92,$25.14
06/06/2023,$24.98,"51,633",$23.35,$25.21,$23.35
06/05/2023,$23.41,"55,142",$23.76,$23.76,$23.05
06/02/2023,$23.93,"101,663",$23.11,$24.02,$22.77
06/01/2023,$22.73,"53,610",$22.33,$23.0324,$22.13
05/31/2023,$22.18,"50,688",$22.89,$22.89,$22.06
05/30/2023,$22.77,"47,718",$23.00,$23.06,$22.53
05/26/2023,$23.02,"59,297",$22.19,$23.11,$22.19
05/25/2023,$22.26,"32,599",$22.49,$22.62,$21.89
05/24/2023,$22.49,"54,547",$22.93,$22.95,$22.47
05/23/2023,$23.08,"50,791",$22.06,$23.42,$22.0263
05/22/2023,$22.12,"58,084",$21.57,$22.40,$21.12
05/19/2023,$21.30,"43,957",$21.86,$21.88,$21.06
05/18/2023,$21.58,"46,626",$21.49,$21.61,$21.02
05/17/2023,$21.44,"57,603",$20.18,$21.46,$19.8601
05/16/2023,$19.78,"36,381",$20.30,$20.30,$19.78
05/15/2023,$20.22,"61,322",$19.79,$20.5683,$19.70
05/12/2023,$19.735,"37,926",$19.40,$19.78,$18.91
05/11/2023,$19.47,"70,383",$19.00,$19.70,$18.87
05/10/2023,$18.80,"59,383",$18.78,$18.96,$18.32
05/09/2023,$18.55,"47,193",$19.18,$20.3274,$18.45
05/08/2023,$19.48,"49,644",$20.32,$20.32,$19.35
05/05/2023,$20.13,"61,595",$19.50,$20.28,$19.50
05/04/2023,$19.08,"91,554",$19.25,$19.805,$18.25
05/03/2023,$19.36,"63,881",$19.90,$20.20,$19.30
05/02/2023,$19.93,"38,085",$21.79,$21.79,$19.75
05/01/2023,$21.88,"43,963",$22.73,$23.00,$21.79
04/28/2023,$22.62,"38,808",$22.14,$22.95,$22.11
04/27/2023,$22.40,"21,860",$22.05,$22.47,$21.507
04/26/2023,$21.98,"42,853",$22.85,$22.85,$21.45
04/25/2023,$22.91,"20,061",$23.34,$23.50,$22.82
04/24/2023,$23.55,"20,600",$23.27,$23.74,$23.27
04/21/2023,$23.39,"77,961",$23.43,$23.54,$23.13
04/20/2023,$23.48,"19,617",$23.66,$23.955,$23.33
04/19/2023,$23.78,"26,136",$23.52,$23.96,$23.44
04/18/2023,$23.59,"18,922",$24.44,$24.44,$23.515
04/17/2023,$24.33,"34,949",$23.90,$24.33,$23.46
04/14/2023,$23.99,"37,659",$24.62,$24.62,$23.92
04/13/2023,$24.58,"31,920",$24.511,$24.75,$24.44
04/12/2023,$24.56,"23,554",$24.91,$24.91,$24.40
04/11/2023,$24.86,"25,227",$24.72,$25.21,$24.72
04/10/2023,$24.79,"57,398",$24.51,$25.0399,$24.51
04/06/2023,$24.70,"20,672",$24.74,$24.93,$24.60
04/05/2023,$24.69,"17,480",$24.61,$24.855,$24.52
04/04/2023,$24.68,"31,860",$25.74,$25.74,$24.61
04/03/2023,$25.53,"40,882",$25.41,$25.91,$25.39
03/31/2023,$25.61,"120,128",$25.70,$26.10,$25.30
03/30/2023,$25.59,"17,211",$25.90,$26.14,$25.36
03/29/2023,$25.80,"26,792",$25.9751,$25.9751,$25.41
03/28/2023,$25.80,"20,045",$25.69,$25.835,$25.50
03/27/2023,$25.74,"44,638",$26.61,$26.72,$25.53
03/24/2023,$26.30,"34,244",$26.00,$26.37,$25.52
03/23/2023,$26.11,"41,727",$26.45,$26.82,$25.6704
03/22/2023,$26.17,"33,153",$27.62,$27.62,$26.04
03/21/2023,$27.58,"27,502",$27.06,$27.69,$27.06
03/20/2023,$26.75,"55,522",$26.86,$27.21,$26.72
03/17/2023,$26.63,"92,027",$27.13,$27.13,$26.35
03/16/2023,$27.27,"39,449",$26.16,$27.60,$26.1201
03/15/2023,$26.65,"54,931",$25.90,$26.76,$25.5889
03/14/2023,$26.30,"48,347",$27.12,$27.50,$25.90
03/13/2023,$26.15,"71,616",$27.18,$27.445,$25.62
03/10/2023,$27.69,"56,620",$28.31,$28.51,$27.23
03/09/2023,$28.50,"46,593",$29.082,$29.10,$28.28
03/08/2023,$29.56,"22,689",$29.57,$29.70,$29.25
03/07/2023,$29.57,"14,286",$29.81,$29.845,$29.45
03/06/2023,$29.99,"47,970",$30.09,$30.11,$29.52
03/03/2023,$29.99,"24,304",$30.04,$30.07,$29.72
03/02/2023,$30.05,"13,888",$30.36,$30.375,$30.00
03/01/2023,$30.36,"14,094",$30.41,$30.41,$30.03
02/28/2023,$30.60,"34,016",$30.86,$31.00,$30.49
02/27/2023,$30.72,"15,092",$30.6385,$30.89,$30.4201
02/24/2023,$30.50,"28,726",$30.82,$30.82,$30.255
02/23/2023,$30.93,"18,171",$30.85,$31.02,$30.71
02/22/2023,$30.72,"23,898",$30.89,$31.07,$30.65
02/21/2023,$30.88,"28,980",$31.38,$31.5672,$30.86
02/17/2023,$31.34,"20,125",$31.31,$31.45,$31.14
02/16/2023,$31.17,"20,011",$31.21,$31.42,$31.01
02/15/2023,$31.34,"17,230",$30.99,$31.60,$30.99
02/14/2023,$31.15,"19,448",$31.51,$31.51,$30.88
02/13/2023,$31.57,"13,790",$31.28,$31.71,$31.28
02/10/2023,$31.46,"23,194",$31.37,$31.54,$31.15
02/09/2023,$31.28,"21,084",$31.76,$31.80,$31.24
02/08/2023,$31.76,"14,473",$31.98,$32.04,$31.67
02/07/2023,$32.01,"26,764",$32.02,$32.02,$31.36
02/06/2023,$31.93,"17,355",$32.15,$32.2174,$31.83
02/03/2023,$32.35,"35,188",$31.86,$32.61,$31.86
02/02/2023,$31.96,"30,532",$31.68,$32.00,$30.96
02/01/2023,$31.48,"35,079",$31.30,$31.70,$31.29
01/31/2023,$31.47,"44,449",$30.75,$31.52,$30.75
01/30/2023,$30.64,"24,658",$30.42,$30.77,$30.40
01/27/2023,$30.55,"16,976",$30.35,$30.59,$30.23
01/26/2023,$30.36,"23,112",$30.31,$30.46,$30.00
01/25/2023,$30.28,"18,808",$30.08,$30.33,$29.86
01/24/2023,$30.28,"18,664",$30.28,$30.385,$30.17
01/23/2023,$30.43,"25,517",$30.61,$30.64,$30.27
01/20/2023,$30.53,"83,241",$30.66,$30.83,$30.18
01/19/2023,$30.38,"38,725",$30.15,$30.61,$30.15
01/18/2023,$30.09,"35,693",$30.74,$30.76,$30.06
