Date,Close,Volume,Open,High,Low
03/01/2024,$6.755,"8,263",$6.95,$6.95,$6.38
02/29/2024,$6.75,"4,778",$7.00,$7.00,$6.54
02/28/2024,$6.92,508,$6.85,$6.92,$6.85
02/27/2024,$6.7772,"3,543",$6.9064,$6.9064,$6.75
02/26/2024,$6.88,877,$6.84,$7.1122,$6.84
02/23/2024,$6.75,707,$6.75,$6.76,$6.75
02/22/2024,$6.75,"3,191",$6.69,$6.7501,$6.69
02/21/2024,$6.7501,N/A,$6.7501,$6.7501,$6.7501
02/20/2024,$6.7501,"6,036",$7.00,$7.00,$6.7501
02/16/2024,$6.9872,"3,122",$6.87,$6.9872,$6.87
02/15/2024,$6.87,"1,457",$6.85,$7.01,$6.445
02/14/2024,$7.10,"5,996",$6.50,$7.10,$6.50
02/13/2024,$6.45,"3,420",$6.54,$6.54,$6.3501
02/12/2024,$6.755,N/A,$6.755,$6.755,$6.755
02/09/2024,$6.755,"3,011",$6.683,$6.945,$6.51
02/08/2024,$7.00,"1,737",$6.91,$7.00,$6.91
02/07/2024,$7.00,"1,791",$7.00,$7.00,$6.95
02/06/2024,$7.10,107,$7.10,$7.10,$7.10
02/05/2024,$7.09,"5,838",$7.10,$7.10,$6.80
02/02/2024,$7.10,357,$7.01,$7.10,$7.01
02/01/2024,$6.912,275,$6.912,$6.912,$6.912
01/31/2024,$6.69,612,$7.24,$7.24,$6.69
01/30/2024,$7.095,"1,526",$7.00,$7.10,$7.00
01/29/2024,$6.89,"2,076",$6.84,$6.90,$6.84
01/26/2024,$6.508,"2,170",$6.23,$6.60,$6.23
01/25/2024,$6.46,"1,962",$6.00,$6.46,$6.00
01/24/2024,$6.00,"2,196",$6.43,$6.50,$6.00
01/23/2024,$6.25,"2,775",$5.79,$6.25,$5.79
01/22/2024,$6.06,"5,547",$6.30,$6.76,$6.06
01/19/2024,$6.40,"25,831",$6.84,$6.84,$6.0151
01/18/2024,$6.92,"5,951",$7.18,$7.18,$6.72
01/17/2024,$7.2142,394,$7.25,$7.25,$7.2142
01/16/2024,$7.15,764,$7.49,$7.49,$7.15
01/12/2024,$7.58,"17,535",$7.69,$7.7399,$7.31
01/11/2024,$7.10,"4,530",$6.70,$7.10,$6.70
01/10/2024,$6.7503,"9,454",$6.85,$6.85,$6.59
01/09/2024,$6.8999,"5,857",$6.7214,$7.00,$6.7214
01/08/2024,$6.75,"16,110",$6.73,$6.90,$6.71
01/05/2024,$6.8254,"6,653",$6.36,$6.90,$6.36
01/04/2024,$7.00,232,$7.00,$7.00,$7.00
01/03/2024,$7.00,"6,017",$6.64,$7.0304,$6.64
01/02/2024,$6.83,"6,883",$6.54,$7.00,$6.54
12/29/2023,$6.48,"9,021",$6.35,$6.6141,$6.35
12/28/2023,$6.46,"27,910",$6.52,$6.52,$6.43
12/27/2023,$6.47,"11,243",$6.56,$6.56,$6.39
12/26/2023,$6.46,"9,984",$6.35,$6.505,$6.35
12/22/2023,$6.35,"6,527",$6.43,$6.70,$6.35
12/21/2023,$6.51,"6,430",$6.62,$6.65,$6.505
12/20/2023,$6.41,"8,892",$6.59,$6.60,$6.41
12/19/2023,$6.50,"7,595",$6.68,$6.68,$6.50
12/18/2023,$6.52,"14,160",$6.63,$6.7794,$6.46
12/15/2023,$6.68,"21,339",$5.39,$6.98,$5.39
12/14/2023,$5.39,"22,085",$5.20,$5.50,$5.20
12/13/2023,$5.19,"29,524",$5.04,$5.25,$5.04
12/12/2023,$5.12,"31,425",$5.01,$5.20,$5.01
12/11/2023,$5.11,"19,796",$5.20,$5.34,$4.90
12/08/2023,$5.04,"33,709",$5.00,$5.15,$5.00
12/07/2023,$5.065,"17,291",$5.12,$5.14,$4.85
12/06/2023,$5.12,"17,061",$5.20,$5.20,$5.00
12/05/2023,$5.12,"21,297",$5.36,$5.36,$5.00
12/04/2023,$5.20,401,$5.41,$5.41,$5.20
12/01/2023,$5.20,"1,062",$5.45,$5.45,$5.20
11/30/2023,$5.3367,894,$5.20,$5.3367,$5.20
11/29/2023,$5.30,"3,124",$5.47,$5.47,$5.21
11/28/2023,$5.21,786,$5.30,$5.3665,$5.21
11/27/2023,$5.08,"1,303",$4.7472,$5.08,$4.7472
11/24/2023,$5.25,"2,949",$5.25,$5.64,$5.25
11/22/2023,$4.91,"4,332",$4.90,$4.96,$4.73
11/21/2023,$4.52,"9,467",$4.50,$4.90,$4.32
11/20/2023,$4.87,"2,339",$4.80,$4.89,$4.50
11/17/2023,$4.90,"8,141",$4.56,$5.00,$4.4601
11/16/2023,$4.79,"13,908",$5.46,$5.48,$4.79
11/15/2023,$5.46,"2,244",$5.24,$5.655,$5.125
11/14/2023,$5.27,262,$5.27,$5.27,$5.27
11/13/2023,$5.25,"6,556",$5.07,$5.25,$4.81
11/10/2023,$5.25,"11,001",$5.00,$5.38,$4.97
11/09/2023,$5.03,"1,139",$5.7153,$5.7153,$5.03
11/08/2023,$5.24,"8,008",$4.60,$5.3699,$4.60
11/07/2023,$4.67,"10,432",$4.745,$4.87,$4.65
11/06/2023,$4.60,"13,269",$4.54,$4.7632,$4.43
11/03/2023,$4.37,"4,704",$4.52,$4.52,$4.33
