Date,Close,Volume,Open,High,Low
03/01/2024,$2.22,"6,863",$2.34,$2.37,$2.22
02/29/2024,$2.22,"17,356",$2.3399,$2.3399,$2.22
02/28/2024,$2.38,"5,970",$2.2774,$2.40,$2.2774
02/27/2024,$2.3297,"33,070",$2.35,$2.527,$2.2301
02/26/2024,$2.43,"5,566",$2.39,$2.4402,$2.39
02/23/2024,$2.41,"19,582",$2.73,$2.74,$2.36
02/22/2024,$2.5901,"14,988",$2.67,$2.71,$2.52
02/21/2024,$2.77,"10,449",$2.62,$2.87,$2.61
02/20/2024,$2.60,"65,185",$2.59,$3.00,$2.56
02/16/2024,$2.54,"8,410",$2.63,$2.8457,$2.52
02/15/2024,$2.57,"116,714",$2.40,$3.05,$2.295
02/14/2024,$2.29,"15,962",$2.25,$2.31,$2.23
02/13/2024,$2.27,"8,350",$2.40,$2.40,$2.25
02/12/2024,$2.31,"24,761",$2.48,$2.48,$2.25
02/09/2024,$2.33,"19,458",$2.31,$2.33,$2.275
02/08/2024,$2.33,"29,955",$2.45,$2.60,$2.30
02/07/2024,$2.55,"27,446",$2.83,$2.83,$2.32
02/06/2024,$2.46,"2,650",$2.84,$2.84,$2.43
02/05/2024,$2.58,"2,197",$2.56,$2.58,$2.4268
02/02/2024,$2.50,"2,512",$2.66,$2.68,$2.48
02/01/2024,$2.55,"2,999",$2.50,$2.55,$2.50
01/31/2024,$2.451,"6,719",$2.7177,$2.7469,$2.42
01/30/2024,$2.44,"11,094",$2.48,$2.82,$2.42
01/29/2024,$2.5801,"1,800",$2.50,$2.60,$2.50
01/26/2024,$2.565,"3,889",$2.67,$2.8556,$2.5073
01/25/2024,$2.69,"15,725",$2.50,$2.705,$2.40
01/24/2024,$2.7313,"10,107",$2.60,$2.8823,$2.50
01/23/2024,$2.7591,"3,398",$2.74,$2.87,$2.54
01/22/2024,$2.645,"3,854",$2.74,$2.74,$2.62
01/19/2024,$2.50,"6,887",$2.62,$2.74,$2.50
01/18/2024,$2.50,"13,859",$2.50,$2.59,$2.41
01/17/2024,$2.50,"8,205",$2.564,$2.625,$2.50
01/16/2024,$2.77,"3,685",$2.60,$3.05,$2.59
01/12/2024,$2.78,"8,172",$2.582,$2.78,$2.56
01/11/2024,$2.75,"15,464",$2.84,$2.84,$2.64
01/10/2024,$2.83,"10,233",$3.11,$3.11,$2.73
01/09/2024,$3.0352,"3,015",$2.80,$3.0352,$2.70
01/08/2024,$2.865,"6,490",$2.77,$2.9599,$2.6352
01/05/2024,$2.71,"2,842",$2.7582,$2.84,$2.6335
01/04/2024,$2.765,"8,781",$2.81,$2.81,$2.70
01/03/2024,$2.76,"2,404",$2.63,$2.76,$2.63
01/02/2024,$2.915,"35,766",$3.01,$3.08,$2.575
12/29/2023,$3.09,"34,179",$3.23,$3.29,$2.8895
12/28/2023,$3.27,"89,773",$3.22,$3.6899,$3.12
12/27/2023,$3.12,"106,809",$2.65,$3.3554,$2.59
12/26/2023,$2.57,"39,311",$2.61,$2.62,$2.50
12/22/2023,$2.66,"78,651",$2.90,$3.0257,$2.59
12/21/2023,$2.90,"125,085",$2.41,$3.1488,$2.2327
12/20/2023,$2.303,"15,824",$2.49,$2.49,$2.302
12/19/2023,$2.49,"9,319",$2.456,$2.49,$2.3501
12/18/2023,$2.3733,"23,030",$2.38,$2.50,$2.22
12/15/2023,$2.37,"33,735",$2.18,$2.40,$2.14
12/14/2023,$2.18,"16,027",$2.17,$2.30,$2.17
12/13/2023,$2.197,"9,753",$2.30,$2.30,$2.18
12/12/2023,$2.255,"37,269",$2.42,$2.475,$2.1001
12/11/2023,$2.475,"3,631",$2.40,$2.55,$2.40
12/08/2023,$2.42,"6,196",$2.45,$2.5925,$2.42
12/07/2023,$2.50,"7,088",$2.53,$2.5377,$2.41
12/06/2023,$2.51,"4,750",$2.69,$2.69,$2.44
12/05/2023,$2.58,"8,530",$2.64,$2.68,$2.55
12/04/2023,$2.6997,"8,477",$2.56,$2.74,$2.4778
12/01/2023,$2.65,"9,498",$2.64,$2.7399,$2.6048
11/30/2023,$2.75,"18,325",$3.03,$3.03,$2.5917
11/29/2023,$2.51,"28,441",$2.45,$2.71,$2.40
11/28/2023,$2.39,"5,808",$2.35,$2.43,$2.35
11/27/2023,$2.37,"10,413",$2.42,$2.50,$2.35
11/24/2023,$2.48,"3,040",$2.40,$2.50,$2.3681
11/22/2023,$2.40,"2,804",$2.40,$2.50,$2.39
11/21/2023,$2.40,"18,856",$2.48,$2.54,$2.36
11/20/2023,$2.425,"23,585",$2.45,$2.72,$2.39
11/17/2023,$2.39,"8,236",$2.50,$2.50,$2.32
11/16/2023,$2.41,"6,535",$2.63,$2.69,$2.40
11/15/2023,$2.595,"5,973",$2.69,$2.69,$2.50
11/14/2023,$2.60,"3,829",$2.56,$2.65,$2.52
11/13/2023,$2.47,"7,769",$2.45,$2.48,$2.40
11/10/2023,$2.415,"8,598",$2.45,$2.5066,$2.35
11/09/2023,$2.40,"12,847",$2.82,$2.82,$2.40
11/08/2023,$2.54,"22,801",$2.78,$2.97,$2.39
11/07/2023,$2.70,"18,142",$2.81,$2.9948,$2.70
11/06/2023,$3.02,"6,168",$3.042,$3.20,$2.97
11/03/2023,$3.00,"23,942",$2.84,$3.11,$2.8001
11/02/2023,$2.85,"9,561",$2.90,$2.99,$2.85
11/01/2023,$2.94,"16,687",$3.12,$3.1297,$2.75
10/31/2023,$2.74,"4,702",$2.73,$2.8797,$2.69
10/30/2023,$2.71,"8,256",$2.80,$2.93,$2.71
10/27/2023,$2.72,"16,180",$3.07,$3.19,$2.72
10/26/2023,$3.05,"13,958",$3.05,$3.2137,$3.00
10/25/2023,$3.01,"17,153",$3.00,$3.20,$3.00
10/24/2023,$3.05,"8,990",$3.05,$3.36,$3.02
10/23/2023,$3.10,"7,807",$3.10,$3.29,$3.10
10/20/2023,$3.18,"18,157",$3.33,$3.54,$3.15
10/19/2023,$3.33,"18,678",$3.51,$3.51,$3.27
10/18/2023,$3.51,"2,717",$3.47,$3.701,$3.47
10/17/2023,$3.56,"6,891",$3.45,$3.86,$3.45
10/16/2023,$3.58,"7,640",$3.57,$3.8599,$3.54
10/13/2023,$3.56,"6,420",$3.53,$3.63,$3.4483
10/12/2023,$3.58,"13,966",$3.66,$3.69,$3.4715
10/11/2023,$3.60,"41,205",$3.93,$3.93,$3.55
10/10/2023,$3.94,"15,495",$3.94,$4.06,$3.85
10/09/2023,$3.97,"22,497",$3.90,$4.09,$3.90
10/06/2023,$4.02,"59,548",$3.84,$4.10,$3.71
10/05/2023,$4.27,"624,253",$3.61,$4.73,$3.60
10/04/2023,$3.54,"7,213",$3.525,$3.543,$3.44
10/03/2023,$3.26,"8,624",$3.54,$3.54,$3.26
10/02/2023,$3.56,"4,950",$3.65,$3.66,$3.5232
09/29/2023,$3.62,"2,157",$3.67,$3.75,$3.62
09/28/2023,$3.72,"20,032",$3.86,$3.86,$3.54
09/27/2023,$3.81,"15,989",$3.8126,$3.84,$3.5701
09/26/2023,$3.61,"2,709",$3.61,$3.6451,$3.61
09/25/2023,$3.61,"3,306",$3.75,$3.75,$3.61
09/22/2023,$3.75,"5,304",$3.825,$3.86,$3.7001
09/21/2023,$3.93,"12,568",$3.73,$3.98,$3.72
09/20/2023,$3.81,"4,473",$3.84,$3.92,$3.8004
09/19/2023,$3.89,"7,659",$3.88,$4.05,$3.84
09/18/2023,$3.88,"3,780",$3.89,$4.0601,$3.78
09/15/2023,$3.96,"52,101",$3.90,$4.02,$3.75
09/14/2023,$3.89,"13,699",$3.91,$3.99,$3.86
09/13/2023,$3.95,"15,134",$3.81,$4.0302,$3.80
09/12/2023,$3.95,"5,439",$3.912,$4.10,$3.912
09/11/2023,$4.09,"10,841",$3.94,$4.10,$3.87
09/08/2023,$3.99,"32,550",$3.81,$4.09,$3.75
09/07/2023,$3.83,"21,720",$3.81,$3.98,$3.6729
09/06/2023,$3.95,"88,907",$4.09,$4.34,$3.90
09/05/2023,$4.11,"62,488",$4.33,$4.48,$3.972
09/01/2023,$4.35,"25,654",$4.16,$4.45,$4.126
08/31/2023,$4.24,"52,699",$4.26,$4.455,$4.09
08/30/2023,$4.26,"42,873",$4.35,$4.55,$4.23
08/29/2023,$4.43,"79,700",$4.36,$4.46,$4.2101
08/28/2023,$4.35,"82,753",$4.27,$4.37,$4.0336
08/25/2023,$4.36,"44,791",$4.18,$4.40,$4.02
08/24/2023,$4.25,"114,202",$4.04,$4.26,$3.94
08/23/2023,$4.05,"215,781",$3.80,$4.22,$3.7101
08/22/2023,$3.96,"208,311",$4.06,$4.19,$3.61
08/21/2023,$4.64,"144,195",$4.35,$4.6501,$4.33
08/18/2023,$4.46,"51,999",$4.80,$4.9395,$4.3569
08/17/2023,$4.85,"28,343",$4.87,$5.1142,$4.68
08/16/2023,$4.91,"62,756",$4.69,$4.96,$4.66
08/15/2023,$4.71,"112,901",$5.21,$5.25,$4.6606
08/14/2023,$5.41,"181,765",$5.35,$5.78,$5.2701
08/11/2023,$5.52,"463,419",$6.06,$6.5999,$5.42
08/10/2023,$6.21,"294,808",$5.83,$6.40,$5.60
08/09/2023,$5.77,"165,579",$5.63,$6.27,$5.41
08/08/2023,$6.04,"1,284,310",$5.50,$7.08,$5.263
08/07/2023,$5.54,"240,319",$5.44,$5.69,$5.1301
08/04/2023,$5.73,"1,077,806",$5.60,$6.50,$5.5162
08/03/2023,$5.67,"10,255,600",$4.77,$7.20,$4.77
08/02/2023,$4.40,"1,133,131",$6.00,$6.25,$4.21
08/01/2023,$6.60,"16,409,380",$3.75,$8.71,$3.70
07/31/2023,$3.4318,"139,183",$3.43,$3.6099,$3.37
07/28/2023,$3.305,"4,539",$3.26,$3.38,$3.2501
07/27/2023,$3.30,"11,629",$3.59,$3.62,$3.30
07/26/2023,$3.38,"30,414",$3.33,$3.45,$3.1703
07/25/2023,$3.33,"35,127",$3.61,$3.71,$3.20
07/24/2023,$3.61,"18,362",$3.75,$3.9158,$3.56
07/21/2023,$3.77,"6,359",$3.97,$4.0286,$3.77
07/20/2023,$3.885,"10,358",$3.85,$3.997,$3.81
07/19/2023,$3.85,"9,968",$3.975,$4.03,$3.85
07/18/2023,$3.90,"6,930",$4.0695,$4.0695,$3.88
07/17/2023,$3.80,"6,975",$3.91,$4.10,$3.80
07/14/2023,$3.90,"10,882",$4.01,$4.02,$3.89
07/13/2023,$4.045,"28,192",$4.24,$4.24,$3.97
07/12/2023,$4.12,"16,665",$4.29,$4.3482,$4.07
07/11/2023,$4.30,"55,952",$4.00,$4.56,$4.00
07/10/2023,$4.14,"9,905",$4.17,$4.17,$3.9565
07/07/2023,$4.06,"9,430",$3.99,$4.1999,$3.90
07/06/2023,$4.04,"26,437",$4.08,$4.15,$3.762
07/05/2023,$4.09,"7,051",$4.0782,$4.1532,$4.05
07/03/2023,$4.19,"24,174",$4.12,$4.2234,$4.05
06/30/2023,$4.30,"355,726",$4.30,$4.3331,$4.1082
06/29/2023,$4.28,"18,066",$4.18,$4.30,$4.05
06/28/2023,$4.235,"11,444",$4.19,$4.27,$4.04
06/27/2023,$4.16,"11,864",$4.03,$4.26,$4.03
06/26/2023,$4.02,"34,771",$4.23,$4.40,$4.02
06/23/2023,$4.21,"15,380",$4.6199,$4.6199,$4.20
06/22/2023,$4.52,"49,567",$4.15,$4.65,$4.0599
06/21/2023,$4.66,"75,315",$4.32,$4.75,$4.134
06/20/2023,$4.09,"18,777",$4.33,$4.33,$4.0301
06/16/2023,$4.26,"20,490",$4.1885,$4.29,$4.0338
06/15/2023,$4.10,"24,962",$4.33,$4.33,$4.0501
06/14/2023,$4.265,"12,983",$4.28,$4.30,$4.15
06/13/2023,$4.16,"11,239",$4.1901,$4.3785,$4.16
06/12/2023,$4.25,"10,176",$4.43,$4.43,$4.15
06/09/2023,$4.35,"10,789",$4.32,$4.50,$4.32
06/08/2023,$4.32,"18,168",$4.4063,$4.5578,$4.30
06/07/2023,$4.40,"12,208",$4.7499,$4.7499,$4.33
06/06/2023,$4.59,"10,501",$4.41,$4.60,$4.3603
06/05/2023,$4.50,"87,475",$4.73,$5.24,$4.32
06/02/2023,$4.41,"9,099",$4.49,$4.49,$4.33
06/01/2023,$4.40,"9,974",$4.41,$4.41,$4.2518
05/31/2023,$4.2528,"10,191",$4.16,$4.54,$4.16
05/30/2023,$4.25,"27,684",$4.16,$4.3199,$4.135
05/26/2023,$4.14,"25,426",$4.42,$4.42,$4.04
05/25/2023,$4.31,"48,848",$4.50,$4.55,$4.29
05/24/2023,$4.53,"18,741",$4.64,$4.64,$4.40
05/23/2023,$4.64,"28,094",$4.69,$4.8394,$4.48
05/22/2023,$4.73,"15,895",$4.97,$4.98,$4.70
05/19/2023,$4.87,"22,918",$4.89,$4.979,$4.74
05/18/2023,$4.91,"10,198",$4.85,$4.98,$4.71
05/17/2023,$4.75,"21,577",$4.88,$5.0863,$4.75
05/16/2023,$4.95,"20,178",$4.86,$5.099,$4.80
05/15/2023,$4.96,"15,333",$5.18,$5.18,$4.82
05/12/2023,$4.97,"73,180",$5.10,$5.15,$4.67
05/11/2023,$5.255,"265,096",$5.1624,$6.10,$5.0034
05/10/2023,$5.05,"50,170",$5.02,$5.05,$4.75
05/09/2023,$4.72,"24,719",$4.98,$5.0257,$4.60
05/08/2023,$4.85,"39,415",$4.88,$5.01,$4.80
05/05/2023,$4.98,"33,812",$4.88,$5.08,$4.85
05/04/2023,$4.97,"57,017",$4.89,$5.1499,$4.8301
05/03/2023,$4.88,"141,771",$4.90,$5.36,$4.72
05/02/2023,$5.37,"705,125",$5.38,$6.15,$5.1103
05/01/2023,$4.66,"98,979",$4.77,$4.85,$4.20
04/28/2023,$4.87,"64,271",$5.05,$5.24,$4.76
04/27/2023,$5.175,"39,261",$5.55,$5.6294,$5.13
04/26/2023,$5.51,"74,953",$5.55,$5.65,$5.51
04/25/2023,$5.61,"25,713",$5.64,$5.713,$5.5274
04/24/2023,$5.76,"17,893",$5.83,$5.97,$5.735
04/21/2023,$5.86,"17,553",$5.81,$5.9278,$5.7001
04/20/2023,$5.85,"43,447",$5.90,$6.032,$5.7001
04/19/2023,$6.04,"98,802",$6.13,$6.4204,$5.9186
04/18/2023,$6.50,"964,634",$6.00,$7.69,$5.801
04/17/2023,$6.14,"77,929",$5.96,$6.2499,$5.76
04/14/2023,$5.73,"264,864",$5.59,$6.82,$5.59
04/13/2023,$5.66,"203,932",$5.56,$6.20,$5.52
04/12/2023,$5.56,"122,277",$5.82,$5.97,$5.535
04/11/2023,$5.89,"143,973",$6.24,$6.24,$5.65
04/10/2023,$6.30,"445,554",$7.14,$7.4199,$6.16
04/06/2023,$7.74,"4,727,694",$5.48,$8.88,$5.41
04/05/2023,$5.53,"23,210",$5.70,$5.8043,$5.45
04/04/2023,$5.87,"47,076",$5.77,$5.9371,$5.56
04/03/2023,$5.70,"23,942",$5.57,$5.70,$5.50
03/31/2023,$5.70,"74,641",$5.71,$5.90,$5.51
03/30/2023,$5.94,"39,685",$5.82,$5.9644,$5.70
03/29/2023,$5.82,"75,062",$5.53,$5.82,$5.4754
03/28/2023,$5.54,"53,982",$5.60,$5.64,$5.45
03/27/2023,$5.45,"265,842",$5.95,$6.3365,$5.32
03/24/2023,$6.69,"231,801",$6.99,$7.24,$6.66
03/23/2023,$7.17,"156,849",$7.84,$7.90,$6.88
03/22/2023,$7.84,"49,803",$7.94,$7.9449,$7.6301
03/21/2023,$8.02,"58,137",$8.19,$8.19,$7.7521
03/20/2023,$8.19,"77,095",$7.81,$8.19,$7.473
03/17/2023,$8.19,"91,743",$8.45,$8.53,$7.72
03/16/2023,$8.58,"80,883",$8.03,$8.90,$8.0101
03/15/2023,$8.22,"175,335",$8.53,$8.62,$8.0532
03/14/2023,$8.96,"240,454",$9.13,$9.4871,$8.68
03/13/2023,$9.13,"115,025",$9.57,$10.10,$8.50
03/10/2023,$10.24,"213,224",$11.86,$11.99,$9.62
03/09/2023,$12.07,"569,900",$11.31,$12.99,$11.31
03/08/2023,$11.37,"292,718",$10.89,$12.10,$10.6527
03/07/2023,$11.13,"143,657",$11.15,$11.18,$10.01
03/06/2023,$11.23,"1,107,125",$10.00,$12.10,$9.85
03/03/2023,$9.58,"69,857",$9.20,$9.7169,$8.83
03/02/2023,$9.33,"243,789",$8.78,$10.24,$8.55
03/01/2023,$8.80,"61,917",$8.91,$9.10,$8.50
02/28/2023,$9.10,"106,681",$9.39,$9.7799,$8.8761
02/27/2023,$9.78,"280,122",$7.93,$9.78,$7.93
02/24/2023,$8.40,"424,267",$8.05,$9.96,$8.00
02/23/2023,$8.39,"180,321",$9.34,$9.548,$7.98
02/22/2023,$9.38,"200,458",$9.70,$9.70,$9.05
02/21/2023,$9.93,"114,009",$10.68,$10.7752,$9.80
02/17/2023,$10.90,"144,986",$10.90,$11.4995,$10.61
02/16/2023,$10.90,"213,335",$11.56,$11.90,$10.83
02/15/2023,$12.03,"177,942",$12.35,$12.59,$11.6001
02/14/2023,$12.60,"292,658",$12.33,$13.7699,$12.10
02/13/2023,$13.07,"478,055",$12.01,$14.435,$12.00
02/10/2023,$12.03,"327,741",$12.76,$13.255,$11.40
02/09/2023,$13.14,"768,074",$15.19,$16.1999,$12.75
02/08/2023,$16.07,"5,931,318",$13.56,$18.87,$13.25
02/07/2023,$13.18,"514,508",$15.26,$15.41,$12.5301
02/06/2023,$15.66,"929,108",$15.81,$17.47,$15.30
02/03/2023,$16.42,"3,071,582",$20.50,$27.90,$16.0304
02/02/2023,$22.96,"3,066,428",$29.92,$32.00,$22.22
02/01/2023,$37.00,"14,509,990",$24.97,$49.50,$23.10
01/31/2023,$21.40,"50,154,390",$7.42,$27.60,$6.85
01/30/2023,$2.63,"175,755",$2.90,$3.05,$2.54
01/27/2023,$2.88,"37,665",$3.12,$3.26,$2.76
01/26/2023,$3.13,"13,381",$3.22,$3.67,$3.10
01/25/2023,$3.22,"40,104",$3.33,$3.5399,$3.00
01/24/2023,$3.29,"30,480",$3.60,$3.7794,$3.29
01/23/2023,$3.60,"31,456",$3.99,$3.99,$3.53
01/20/2023,$3.82,"27,049",$4.02,$4.0713,$3.55
01/19/2023,$3.88,"17,528",$3.87,$4.1893,$3.87
01/18/2023,$3.87,"29,516",$4.16,$4.16,$3.74
01/17/2023,$3.88,"44,035",$3.96,$3.97,$3.51
01/13/2023,$3.93,"62,741",$4.23,$4.44,$3.92
01/12/2023,$4.00,"49,939",$3.90,$4.1399,$3.56
01/11/2023,$3.745,"39,639",$3.68,$3.91,$3.39
01/10/2023,$3.77,"98,237",$3.66,$4.254,$3.66
01/09/2023,$3.69,"447,623",$4.28,$6.70,$3.50
01/06/2023,$4.09,"137,301",$5.56,$6.5882,$3.97
01/05/2023,$6.26,"115,005",$6.48,$6.90,$5.38
01/04/2023,$6.69,"463,097",$6.43,$8.69,$5.93
01/03/2023,$6.95,"2,455,195",$4.40,$14.43,$4.26
12/30/2022,$4.15,"124,970",$3.07,$4.45,$2.85
12/29/2022,$3.07,"73,512",$2.60,$3.7299,$2.60
12/28/2022,$2.58,"20,655",$2.18,$2.605,$2.01
12/27/2022,$2.33,"6,682",$2.69,$2.69,$2.24
12/23/2022,$2.67,"8,666",$2.69,$2.86,$2.50
12/22/2022,$2.805,"4,625",$2.94,$2.9733,$2.6001
12/21/2022,$3.08,"8,861",$3.15,$3.18,$2.881
12/20/2022,$3.15,"14,048",$2.50,$3.27,$2.50
12/19/2022,$2.65,"31,769",$2.87,$3.3967,$2.45
12/16/2022,$2.70,"17,854",$3.69,$3.69,$2.70
12/15/2022,$3.69,"17,858",$4.32,$4.64,$3.69
12/14/2022,$4.36,"37,404",$5.16,$5.68,$4.23
12/13/2022,$4.73,"9,634",$4.96,$5.24,$4.69
12/12/2022,$4.87,"5,384",$5.06,$5.07,$4.87
12/09/2022,$5.05,"4,459",$5.28,$5.28,$4.81
12/08/2022,$5.28,"3,501",$5.0901,$5.32,$5.0901
12/07/2022,$5.08,"6,495",$5.165,$5.23,$4.918
12/06/2022,$5.33,"24,546",$5.169,$5.5783,$5.02
12/05/2022,$5.15,"21,877",$5.52,$5.52,$5.10
12/02/2022,$5.25,"62,786",$5.03,$5.77,$4.84
12/01/2022,$4.71,"12,059",$5.18,$5.18,$4.60
11/30/2022,$4.95,"16,169",$4.92,$5.40,$4.79
11/29/2022,$5.07,"80,664",$5.00,$5.8307,$4.78
11/28/2022,$5.23,"66,464",$5.76,$6.115,$5.2101
11/25/2022,$5.5114,"19,804",$6.07,$6.07,$5.4601
11/23/2022,$6.10,"260,926",$5.77,$6.382,$5.52
11/22/2022,$6.80,"1,189,993",$4.58,$8.67,$4.29
11/21/2022,$4.50,"11,334",$5.30,$5.30,$4.50
11/18/2022,$5.515,"16,286",$5.51,$5.8895,$5.1264
11/17/2022,$5.71,"20,449",$6.59,$6.59,$5.51
11/16/2022,$6.79,"78,158",$8.50,$8.50,$6.62
11/15/2022,$6.97,"32,208",$7.17,$7.9079,$6.79
11/14/2022,$7.91,"56,881",$8.33,$8.47,$7.67
11/11/2022,$8.30,"94,983",$8.92,$8.92,$7.11
11/10/2022,$8.99,"1,646,330",$8.21,$10.34,$7.18
11/09/2022,$6.211,"11,230",$6.33,$6.661,$6.01
11/08/2022,$6.663,"1,386",$6.781,$6.781,$6.00
11/07/2022,$6.751,599,$6.578,$7.00,$6.50
11/04/2022,$6.734,"1,663",$7.023,$7.1175,$6.401
11/03/2022,$7.00,"1,150",$6.798,$7.199,$6.701
11/02/2022,$6.7574,572,$6.40,$6.7574,$6.40
11/01/2022,$6.38,"1,322",$6.624,$7.074,$6.38
10/31/2022,$6.725,736,$6.891,$6.891,$6.612
10/28/2022,$6.602,556,$6.40,$6.893,$6.40
10/27/2022,$6.701,"3,064",$7.2895,$7.298,$6.60
10/26/2022,$7.221,"2,159",$7.548,$7.548,$6.891
10/25/2022,$7.595,"1,582",$7.08,$7.596,$7.00
10/24/2022,$7.307,"1,431",$7.523,$7.665,$7.08
10/21/2022,$7.754,"1,018",$7.612,$7.9372,$7.555
10/20/2022,$7.8475,"9,050",$7.667,$8.00,$7.153
10/19/2022,$7.70,"1,607",$8.025,$8.027,$7.601
10/18/2022,$7.75,"2,644",$8.007,$8.007,$7.487
10/17/2022,$7.292,"4,394",$7.301,$8.096,$7.286
10/14/2022,$7.301,"6,253",$8.299,$8.299,$7.301
10/13/2022,$8.148,"3,549",$7.885,$8.169,$7.68
10/12/2022,$8.065,"3,499",$7.957,$8.60,$7.197
10/11/2022,$8.271,"9,838",$7.8526,$8.499,$7.51
10/10/2022,$7.90,"2,628",$7.90,$8.058,$7.471
10/07/2022,$7.746,"3,551",$8.40,$8.40,$7.746
10/06/2022,$8.49,"2,729",$8.00,$8.50,$7.563
10/05/2022,$7.902,"5,100",$7.00,$8.00,$6.5707
10/04/2022,$6.925,"9,039",$6.692,$7.448,$6.40
10/03/2022,$6.434,"8,540",$6.064,$6.767,$6.01
09/30/2022,$5.70,"4,438",$6.102,$6.347,$5.601
09/29/2022,$6.10,"6,038",$6.40,$6.518,$5.802
09/28/2022,$6.046,"4,272",$6.099,$6.498,$6.00
09/27/2022,$6.025,"4,858",$6.20,$6.68,$6.001
09/26/2022,$6.681,"6,348",$6.998,$7.1345,$6.322
09/23/2022,$7.036,"59,197",$6.00,$8.40,$6.00
09/22/2022,$6.13,"10,421",$8.00,$8.00,$6.13
09/21/2022,$8.267,"13,679",$9.77,$9.77,$7.299
09/20/2022,$9.46,"47,367",$8.829,$10.50,$8.36
09/19/2022,$8.605,"3,109",$9.081,$9.386,$8.46
09/16/2022,$9.067,"4,508",$8.818,$9.80,$8.60
09/15/2022,$8.564,"8,972",$8.015,$9.80,$7.801
09/14/2022,$7.849,"14,135",$9.455,$9.455,$7.50
09/13/2022,$9.70,"97,690",$7.101,$10.80,$7.10
09/12/2022,$7.316,"7,391",$8.35,$8.35,$7.051
09/09/2022,$8.10,"26,742",$7.40,$8.779,$7.029
09/08/2022,$7.002,"2,920",$7.395,$7.399,$6.989
09/07/2022,$7.198,"6,002",$6.881,$7.441,$6.611
09/06/2022,$6.916,"4,613",$7.273,$7.273,$6.60
09/02/2022,$7.31,"5,683",$7.40,$7.40,$7.012
09/01/2022,$7.376,"24,351",$6.40,$7.428,$5.952
08/31/2022,$6.386,"4,002",$6.03,$6.599,$6.03
08/30/2022,$6.15,"18,669",$5.893,$6.689,$5.70
08/29/2022,$5.995,"3,668",$5.901,$6.00,$5.753
08/26/2022,$6.162,"4,706",$6.098,$6.443,$5.65
