Date,Close,Volume,Open,High,Low
03/01/2024,$135.58,"72,270",$134.99,$136.2168,$133.91
02/29/2024,$134.32,"102,648",$132.75,$135.32,$132.75
02/28/2024,$130.87,"65,184",$129.93,$132.72,$129.93
02/27/2024,$131.85,"125,020",$131.76,$133.10,$130.46
02/26/2024,$130.12,"74,272",$130.28,$132.225,$128.93
02/23/2024,$131.31,"81,915",$131.86,$133.32,$130.95
02/22/2024,$132.25,"123,476",$130.00,$134.105,$130.00
02/21/2024,$130.50,"94,021",$130.74,$131.34,$128.84
02/20/2024,$131.48,"130,584",$135.02,$135.92,$131.27
02/16/2024,$137.67,"209,130",$137.96,$145.08,$136.25
02/15/2024,$137.46,"218,639",$127.39,$137.48,$125.44
02/14/2024,$124.41,"135,094",$121.11,$124.41,$121.11
02/13/2024,$119.70,"126,744",$122.35,$124.32,$118.96
02/12/2024,$126.53,"84,280",$125.36,$128.00,$125.36
02/09/2024,$124.80,"83,311",$122.32,$125.20,$122.285
02/08/2024,$121.56,"53,962",$119.34,$121.57,$119.34
02/07/2024,$119.94,"50,385",$120.11,$120.3866,$119.025
02/06/2024,$120.05,"65,518",$118.18,$120.36,$118.18
02/05/2024,$117.72,"69,741",$118.75,$118.83,$116.64
02/02/2024,$120.53,"52,375",$118.42,$120.675,$118.42
02/01/2024,$120.31,"88,021",$117.26,$120.67,$117.26
01/31/2024,$116.97,"185,907",$119.75,$120.70,$116.85
01/30/2024,$119.75,"79,108",$117.97,$119.77,$117.97
01/29/2024,$119.17,"72,058",$116.35,$119.26,$115.775
01/26/2024,$115.98,"47,804",$116.00,$117.16,$115.73
01/25/2024,$116.07,"68,498",$118.63,$118.63,$115.25
01/24/2024,$116.45,"126,692",$121.59,$121.67,$115.94
01/23/2024,$119.20,"78,962",$120.41,$120.74,$118.17
01/22/2024,$118.84,"96,867",$120.27,$121.15,$118.01
01/19/2024,$119.87,"87,540",$120.56,$120.57,$117.83
01/18/2024,$119.89,"60,429",$119.11,$120.22,$117.815
01/17/2024,$117.75,"53,036",$115.36,$118.05,$115.36
01/16/2024,$117.98,"82,196",$120.01,$120.3023,$117.02
01/12/2024,$121.87,"58,007",$122.22,$123.315,$120.93
01/11/2024,$120.15,"85,757",$120.63,$120.63,$119.11
01/10/2024,$121.62,"77,807",$121.32,$122.45,$120.4359
01/09/2024,$121.00,"83,727",$121.52,$121.92,$120.28
01/08/2024,$123.74,"72,146",$122.13,$123.925,$121.61
01/05/2024,$122.86,"78,946",$123.30,$125.54,$122.70
01/04/2024,$124.72,"72,388",$125.13,$125.77,$124.22
01/03/2024,$124.61,"87,776",$127.19,$127.59,$123.86
01/02/2024,$128.44,"81,578",$129.02,$130.48,$127.34
12/29/2023,$130.13,"107,145",$130.49,$131.765,$130.13
12/28/2023,$131.14,"52,482",$130.76,$132.50,$130.4535
12/27/2023,$131.43,"50,835",$130.42,$131.62,$129.815
12/26/2023,$130.30,"46,536",$128.94,$130.60,$128.40
12/22/2023,$128.53,"56,786",$127.29,$129.35,$127.29
12/21/2023,$126.93,"79,184",$125.87,$127.50,$124.45
12/20/2023,$123.77,"92,224",$126.12,$128.26,$123.64
12/19/2023,$127.38,"89,382",$124.05,$127.72,$124.05
12/18/2023,$123.43,"98,588",$124.17,$124.27,$122.27
12/15/2023,$123.19,"420,841",$123.60,$124.03,$121.11
12/14/2023,$123.94,"98,783",$122.41,$124.94,$121.79
12/13/2023,$119.59,"112,328",$115.57,$120.31,$114.77
