Date,Close,Volume,Open,High,Low
03/01/2024,$166.28,"170,903",$164.48,$167.70,$163.76
02/29/2024,$162.46,"471,378",$158.70,$163.455,$149.0101
02/28/2024,$172.35,"443,909",$167.26,$172.585,$167.26
02/27/2024,$167.26,"144,420",$165.48,$168.16,$164.5725
02/26/2024,$163.87,"156,993",$160.47,$164.54,$160.47
02/23/2024,$163.66,"116,330",$161.04,$163.75,$159.79
02/22/2024,$160.75,"184,559",$156.20,$160.98,$156.20
02/21/2024,$156.12,"129,417",$154.55,$156.23,$153.08
02/20/2024,$154.55,"109,630",$152.05,$154.73,$150.0803
02/16/2024,$154.12,"61,593",$156.77,$158.17,$151.24
02/15/2024,$158.25,"153,806",$156.29,$158.96,$153.46
02/14/2024,$154.68,"137,495",$152.20,$155.30,$150.86
02/13/2024,$149.95,"136,087",$153.95,$156.85,$149.18
02/12/2024,$158.48,"78,844",$158.20,$159.79,$156.48
02/09/2024,$157.50,"96,415",$154.23,$157.60,$153.5901
02/08/2024,$154.03,"86,923",$151.18,$154.19,$151.18
02/07/2024,$151.13,"48,790",$150.19,$152.98,$150.185
02/06/2024,$149.12,"52,282",$148.03,$149.72,$147.61
02/05/2024,$147.69,"98,645",$149.50,$149.77,$147.195
02/02/2024,$151.34,"68,170",$147.66,$152.11,$147.27
02/01/2024,$148.52,"114,277",$144.00,$148.59,$144.00
01/31/2024,$143.85,"138,795",$149.12,$149.12,$143.16
01/30/2024,$148.66,"143,217",$147.87,$150.54,$147.24
01/29/2024,$148.38,"93,843",$146.35,$148.75,$145.36
01/26/2024,$146.25,"116,988",$143.02,$146.38,$142.65
01/25/2024,$142.12,"178,310",$142.34,$145.895,$141.37
01/24/2024,$140.39,"218,097",$139.36,$141.01,$137.15
01/23/2024,$137.80,"183,348",$144.08,$144.62,$134.94
01/22/2024,$142.54,"95,021",$141.66,$143.10,$141.135
01/19/2024,$141.04,"105,464",$141.08,$141.28,$136.3937
01/18/2024,$140.19,"149,035",$143.18,$143.85,$138.515
01/17/2024,$142.10,"178,664",$140.94,$142.30,$140.47
01/16/2024,$143.00,"231,546",$138.18,$143.05,$138.18
01/12/2024,$139.00,"105,111",$137.28,$139.04,$135.63
01/11/2024,$136.22,"143,067",$136.55,$138.82,$134.96
01/10/2024,$136.96,"137,078",$135.40,$137.049,$134.53
01/09/2024,$136.84,"102,689",$138.86,$138.86,$136.04
01/08/2024,$140.82,"97,882",$139.39,$140.88,$137.39
01/05/2024,$139.23,"138,236",$139.89,$141.50,$139.08
01/04/2024,$141.35,"86,901",$141.61,$141.98,$140.90
01/03/2024,$141.00,"101,636",$141.89,$141.89,$139.80
01/02/2024,$142.70,"86,100",$143.24,$144.10,$142.385
12/29/2023,$144.63,"82,627",$143.86,$145.57,$143.33
