Date,Close,Volume,Open,High,Low
03/01/2024,$31.21,"7,616",$30.95,$31.3141,$30.93
02/29/2024,$30.81,"14,793",$30.51,$30.83,$30.485
02/28/2024,$30.195,"8,706",$30.23,$30.52,$30.1898
02/27/2024,$30.14,"4,230",$30.12,$30.24,$30.0721
02/26/2024,$30.13,"16,931",$30.01,$30.26,$29.93
02/23/2024,$30.1526,"3,702",$30.11,$30.36,$29.845
02/22/2024,$30.20,"7,055",$30.00,$30.3563,$29.9874
02/21/2024,$30.1362,"2,756",$30.00,$30.20,$29.80
02/20/2024,$29.95,"8,638",$30.00,$30.00,$29.83
02/16/2024,$29.98,"6,527",$29.78,$29.98,$29.67
02/15/2024,$29.62,"6,710",$29.1601,$29.7235,$29.15
02/14/2024,$28.80,"1,982",$29.23,$29.23,$28.79
02/13/2024,$29.03,"2,693",$29.33,$29.4674,$28.6246
02/12/2024,$29.29,"5,132",$29.00,$29.30,$29.00
02/09/2024,$28.565,"4,579",$28.9639,$28.9639,$28.5614
02/08/2024,$28.76,"8,940",$29.00,$29.00,$28.70
02/07/2024,$28.63,"5,368",$28.70,$28.77,$28.46
02/06/2024,$28.59,"5,342",$28.41,$28.68,$28.3089
02/05/2024,$28.405,"3,795",$28.69,$28.69,$28.27
02/02/2024,$28.63,"3,917",$28.74,$28.78,$28.54
02/01/2024,$28.69,"5,587",$29.00,$29.1499,$28.572
01/31/2024,$28.8665,"10,546",$29.35,$29.35,$28.8665
01/30/2024,$29.40,"5,627",$28.79,$29.40,$28.79
01/29/2024,$28.8901,"1,749",$29.00,$29.05,$28.85
01/26/2024,$29.00,"4,418",$28.74,$29.00,$28.65
01/25/2024,$28.74,"6,155",$28.35,$28.76,$28.35
01/24/2024,$28.29,"1,405",$28.33,$28.35,$28.29
01/23/2024,$28.06,"4,088",$27.91,$28.20,$27.91
01/22/2024,$27.921,"5,003",$27.64,$28.0299,$27.64
01/19/2024,$27.70,"13,428",$27.96,$27.96,$27.61
01/18/2024,$27.98,"7,235",$28.0982,$28.10,$27.9602
01/17/2024,$28.15,"5,682",$28.33,$28.3416,$28.15
01/16/2024,$28.38,"8,460",$28.91,$29.02,$28.38
01/12/2024,$29.05,"5,024",$29.10,$29.15,$28.97
01/11/2024,$28.83,"5,415",$29.09,$29.10,$28.80
01/10/2024,$28.97,"15,506",$29.19,$29.26,$28.92
01/09/2024,$29.2625,"9,620",$29.2888,$29.3799,$29.01
01/08/2024,$29.49,"4,460",$29.55,$29.55,$29.0714
01/05/2024,$29.7411,"21,090",$29.51,$29.87,$29.49
01/04/2024,$29.43,"17,591",$29.27,$29.66,$29.27
01/03/2024,$29.43,"3,859",$28.95,$29.43,$28.95
01/02/2024,$28.93,"9,000",$29.00,$29.11,$28.93
12/29/2023,$28.66,"4,841",$28.78,$28.795,$28.65
12/28/2023,$28.79,"7,502",$29.035,$29.035,$28.79
12/27/2023,$29.17,"8,572",$29.19,$29.57,$29.17
12/26/2023,$29.34,"6,595",$29.22,$29.54,$29.14
12/22/2023,$29.02,"12,774",$28.93,$29.50,$28.93
12/21/2023,$29.00,"7,082",$28.64,$29.1247,$28.64
12/20/2023,$28.93,"17,717",$29.1085,$29.46,$28.90
12/19/2023,$29.2114,"5,263",$28.95,$29.259,$28.8943
12/18/2023,$28.9868,"19,554",$28.5706,$29.28,$28.20
12/15/2023,$28.525,"6,193",$28.59,$28.59,$28.17
12/14/2023,$28.68,"22,322",$28.06,$28.7784,$28.06
12/13/2023,$27.87,"10,602",$27.77,$27.9496,$27.51
12/12/2023,$27.53,"9,200",$27.91,$27.91,$27.38
12/11/2023,$28.02,"2,528",$28.06,$28.1885,$28.01
12/08/2023,$28.14,"3,358",$27.90,$28.19,$27.90
12/07/2023,$27.84,"10,746",$28.10,$28.10,$27.807
12/06/2023,$28.07,"20,708",$28.40,$28.47,$28.05
12/05/2023,$28.56,"10,511",$28.71,$28.71,$28.54
12/04/2023,$28.83,"30,422",$29.09,$29.09,$28.7823
12/01/2023,$29.21,"13,507",$29.02,$29.4899,$28.945
11/30/2023,$28.95,"17,465",$29.21,$29.31,$28.7158
11/29/2023,$29.06,"14,153",$29.10,$29.2222,$29.00
11/28/2023,$29.085,"17,274",$29.13,$29.36,$29.0001
