Date,Close,Volume,Open,High,Low
03/01/2024,$10.51,108,$10.51,$10.51,$10.51
02/29/2024,$10.30,102,$10.30,$10.30,$10.30
02/28/2024,$10.51,103,$10.51,$10.51,$10.51
02/27/2024,$10.51,100,$10.51,$10.51,$10.51
02/26/2024,$10.51,100,$10.51,$10.51,$10.51
02/23/2024,$10.51,N/A,$10.51,$10.51,$10.51
02/22/2024,$10.51,N/A,$10.51,$10.51,$10.51
02/21/2024,$10.51,N/A,$10.51,$10.51,$10.51
02/20/2024,$10.51,N/A,$10.51,$10.51,$10.51
02/16/2024,$10.51,N/A,$10.51,$10.51,$10.51
02/15/2024,$10.51,274,$10.513,$10.513,$10.51
02/14/2024,$10.51,N/A,$10.51,$10.51,$10.51
02/13/2024,$10.51,N/A,$10.51,$10.51,$10.51
02/12/2024,$10.51,N/A,$10.51,$10.51,$10.51
02/09/2024,$10.51,N/A,$10.51,$10.51,$10.51
02/08/2024,$10.51,N/A,$10.51,$10.51,$10.51
02/07/2024,$10.51,383,$10.51,$10.51,$10.51
02/06/2024,$10.51,"1,959",$10.56,$10.57,$10.51
02/05/2024,$10.55,"3,007",$10.57,$10.58,$10.55
02/02/2024,$10.50,598,$10.50,$10.50,$10.50
02/01/2024,$10.52,N/A,$10.52,$10.52,$10.52
01/31/2024,$10.52,641,$10.52,$10.52,$10.52
01/30/2024,$10.49,N/A,$10.49,$10.49,$10.49
01/29/2024,$10.49,N/A,$10.49,$10.49,$10.49
01/26/2024,$10.49,526,$10.49,$10.49,$10.49
01/25/2024,$10.49,930,$10.49,$10.49,$10.49
01/24/2024,$10.50,N/A,$10.50,$10.50,$10.50
01/23/2024,$10.50,"5,747",$10.50,$10.50,$10.50
01/22/2024,$10.50,"7,484",$10.48,$10.50,$10.48
01/19/2024,$10.45,N/A,$10.45,$10.45,$10.45
01/18/2024,$10.45,N/A,$10.45,$10.45,$10.45
01/17/2024,$10.45,N/A,$10.45,$10.45,$10.45
01/16/2024,$10.45,N/A,$10.45,$10.45,$10.45
01/12/2024,$10.45,101,$10.45,$10.45,$10.45
01/11/2024,$10.45,N/A,$10.45,$10.45,$10.45
01/10/2024,$10.45,N/A,$10.45,$10.45,$10.45
01/09/2024,$10.45,"81,030",$10.45,$10.45,$10.45
01/08/2024,$10.45,"4,444",$10.46,$10.46,$10.45
01/05/2024,$10.45,160,$10.45,$10.45,$10.45
01/04/2024,$10.45,N/A,$10.45,$10.45,$10.45
01/03/2024,$10.45,"2,579",$10.45,$10.45,$10.45
01/02/2024,$10.48,N/A,$10.48,$10.48,$10.48
12/29/2023,$10.48,N/A,$10.48,$10.48,$10.48
