Date,Close,Volume,Open,High,Low
03/01/2024,$6.98,"40,926",$6.84,$6.98,$6.80
02/29/2024,$6.80,"43,185",$6.80,$6.8153,$6.725
02/28/2024,$6.74,"61,651",$6.66,$6.815,$6.66
02/27/2024,$6.75,"36,999",$6.77,$6.80,$6.69
02/26/2024,$6.77,"55,338",$6.79,$6.84,$6.77
02/23/2024,$6.86,"51,081",$6.84,$6.9357,$6.83
02/22/2024,$6.88,"39,159",$6.95,$6.95,$6.85
02/21/2024,$6.82,"30,465",$6.78,$6.89,$6.78
02/20/2024,$6.79,"49,690",$6.80,$6.845,$6.78
02/16/2024,$6.77,"33,364",$6.70,$6.85,$6.70
02/15/2024,$6.79,"30,488",$6.73,$6.91,$6.73
02/14/2024,$6.74,"49,665",$6.74,$6.81,$6.71
02/13/2024,$6.75,"48,407",$6.79,$6.845,$6.72
02/12/2024,$6.88,"28,336",$6.83,$6.959,$6.83
02/09/2024,$6.87,"45,916",$6.94,$6.9799,$6.85
02/08/2024,$7.00,"41,279",$7.05,$7.05,$6.93
02/07/2024,$7.07,"31,868",$7.11,$7.11,$7.00
02/06/2024,$7.05,"44,530",$7.07,$7.12,$6.93
02/05/2024,$6.99,"120,550",$7.10,$7.10,$6.90
02/02/2024,$7.18,"46,659",$7.13,$7.19,$7.10
02/01/2024,$7.17,"65,538",$7.35,$7.40,$7.13
01/31/2024,$7.31,"116,617",$6.99,$7.35,$6.92
01/30/2024,$6.99,"56,915",$6.94,$6.99,$6.90
01/29/2024,$6.99,"103,257",$6.87,$7.04,$6.76
01/26/2024,$7.00,"44,603",$7.00,$7.00,$6.95
01/25/2024,$6.98,"33,730",$6.95,$6.99,$6.94
01/24/2024,$6.88,"57,238",$6.98,$6.98,$6.81
01/23/2024,$6.85,"13,832",$6.74,$6.88,$6.74
01/22/2024,$6.69,"31,577",$6.52,$6.73,$6.50
01/19/2024,$6.58,"19,094",$6.74,$6.87,$6.58
01/18/2024,$6.79,"17,889",$6.95,$6.95,$6.69
01/17/2024,$6.88,"19,685",$6.85,$6.91,$6.79
01/16/2024,$6.96,"35,109",$7.02,$7.0838,$6.90
01/12/2024,$6.98,"36,351",$7.05,$7.09,$6.83
01/11/2024,$6.97,"22,228",$6.81,$7.00,$6.6437
01/10/2024,$6.92,"13,725",$6.87,$6.92,$6.86
