Date,Close,Volume,Open,High,Low
03/01/2024,$31.01,"7,237",$30.90,$31.01,$30.50
02/29/2024,$31.27,"5,692",$31.27,$31.27,$30.73
02/28/2024,$30.55,"4,429",$30.50,$31.5015,$30.50
02/27/2024,$30.78,"6,215",$31.25,$31.30,$30.75
02/26/2024,$31.21,"4,964",$31.11,$31.79,$31.04
02/23/2024,$31.57,"4,668",$32.11,$32.11,$31.22
02/22/2024,$31.38,"6,811",$30.55,$31.43,$30.55
02/21/2024,$30.82,"5,113",$30.64,$31.37,$30.64
02/20/2024,$30.97,"30,429",$32.40,$32.40,$30.13
02/16/2024,$32.70,"10,384",$32.96,$33.30,$31.67
02/15/2024,$33.73,"7,009",$32.16,$34.00,$30.7477
02/14/2024,$31.13,"6,046",$29.56,$31.13,$29.56
02/13/2024,$29.39,"13,711",$31.62,$31.62,$29.38
02/12/2024,$32.51,"32,096",$29.76,$33.19,$29.76
02/09/2024,$30.00,"4,614",$30.0205,$30.0205,$29.4752
02/08/2024,$29.27,"6,274",$29.00,$29.27,$28.8911
02/07/2024,$29.17,"9,747",$29.45,$30.42,$28.50
02/06/2024,$29.44,"11,163",$28.66,$29.94,$28.50
02/05/2024,$29.00,"28,866",$31.03,$33.12,$28.12
02/02/2024,$31.01,"8,492",$30.60,$31.76,$30.60
02/01/2024,$30.68,"13,533",$31.038,$31.31,$30.10
01/31/2024,$32.26,"7,948",$33.44,$33.84,$32.26
01/30/2024,$33.66,"5,182",$33.77,$33.81,$33.36
01/29/2024,$33.75,"32,006",$31.54,$34.51,$31.53
01/26/2024,$31.75,"14,533",$32.17,$32.17,$31.28
01/25/2024,$31.88,"6,275",$32.23,$32.49,$31.69
01/24/2024,$31.83,"6,103",$32.2255,$32.2255,$31.59
01/23/2024,$32.22,"10,303",$32.61,$32.61,$31.90
01/22/2024,$32.31,"27,088",$32.18,$32.59,$32.18
01/19/2024,$32.38,"61,160",$32.70,$33.35,$31.92
01/18/2024,$32.71,"12,519",$32.72,$33.36,$32.40
01/17/2024,$32.72,"23,806",$31.75,$32.72,$31.6527
01/16/2024,$31.75,"13,958",$31.58,$31.90,$31.30
01/12/2024,$31.62,"17,654",$31.85,$32.2499,$31.5575
01/11/2024,$31.785,"11,175",$31.80,$32.0189,$31.40
01/10/2024,$31.45,"8,886",$31.88,$32.2903,$31.33
01/09/2024,$32.17,"16,723",$32.70,$32.99,$32.00
01/08/2024,$32.82,"16,664",$33.28,$33.44,$32.63
01/05/2024,$33.01,"36,461",$32.51,$33.2977,$32.51
01/04/2024,$32.70,"17,615",$32.65,$32.973,$32.35
01/03/2024,$32.65,"15,389",$33.16,$33.4994,$32.415
01/02/2024,$33.15,"18,378",$31.92,$33.6334,$31.92
12/29/2023,$32.35,"5,829",$33.50,$33.50,$32.35
12/28/2023,$33.27,"6,032",$33.67,$33.67,$33.27
12/27/2023,$33.57,"21,743",$33.70,$33.7777,$32.8601
12/26/2023,$33.60,"41,067",$33.30,$33.945,$33.30
12/22/2023,$33.70,"19,779",$34.6929,$34.6929,$33.48
12/21/2023,$33.64,"14,333",$33.2484,$34.62,$33.2484
12/20/2023,$34.00,"23,866",$34.52,$35.54,$33.81
12/19/2023,$34.81,"17,429",$35.05,$35.93,$34.57
12/18/2023,$35.08,"40,375",$36.48,$36.49,$34.60
12/15/2023,$36.52,"113,019",$32.50,$37.00,$32.10
12/14/2023,$32.14,"30,689",$31.43,$32.46,$30.285
12/13/2023,$30.76,"42,154",$29.36,$31.25,$29.35
12/12/2023,$29.36,"15,608",$29.47,$29.67,$29.06
12/11/2023,$29.21,"20,233",$28.78,$29.8791,$28.73
12/08/2023,$28.90,"11,684",$28.015,$29.47,$28.015
12/07/2023,$28.48,"14,279",$26.98,$28.48,$26.98
12/06/2023,$27.35,"52,095",$27.25,$27.74,$27.09
12/05/2023,$27.25,"9,448",$27.30,$27.68,$26.36
12/04/2023,$27.72,"11,537",$27.63,$28.28,$27.1637
12/01/2023,$27.63,"17,961",$27.10,$28.75,$26.625
11/30/2023,$27.04,"8,729",$25.91,$27.07,$25.91
11/29/2023,$26.21,"5,937",$26.43,$26.51,$26.03
11/28/2023,$26.01,"21,595",$26.45,$26.72,$25.1769
11/27/2023,$26.60,"9,818",$26.1501,$26.8848,$26.1501
11/24/2023,$26.79,"4,993",$27.00,$27.30,$26.50
11/22/2023,$26.83,"6,190",$26.60,$26.83,$26.60
11/21/2023,$26.63,"13,746",$26.4559,$27.595,$26.4559
11/20/2023,$27.09,"10,377",$27.08,$27.29,$26.745
11/17/2023,$27.43,"15,405",$27.39,$27.55,$26.06
11/16/2023,$27.43,"8,330",$27.29,$27.45,$26.80
11/15/2023,$27.45,"18,397",$27.98,$27.98,$27.29
11/14/2023,$27.90,"17,642",$26.19,$27.90,$25.80
11/13/2023,$25.57,"7,139",$25.45,$26.1685,$25.45
11/10/2023,$25.48,"7,213",$24.78,$25.50,$24.78
11/09/2023,$25.09,"8,703",$26.075,$26.075,$24.78
11/08/2023,$25.05,"7,856",$25.257,$25.38,$24.4618
11/07/2023,$24.93,"6,687",$24.55,$24.93,$24.495
11/06/2023,$24.73,"12,864",$24.53,$25.10,$24.0755
11/03/2023,$24.85,"18,555",$24.40,$24.89,$24.08
11/02/2023,$24.08,"8,796",$23.13,$24.33,$23.13
