Date,Close,Volume,Open,High,Low
03/01/2024,$14.19,"3,829",$14.00,$14.205,$14.00
02/29/2024,$14.00,"7,245",$14.04,$14.11,$13.90
02/28/2024,$13.90,"4,897",$13.90,$13.99,$13.85
02/27/2024,$13.99,"4,282",$13.765,$14.11,$13.765
02/26/2024,$13.73,"5,624",$13.4756,$13.73,$13.4756
02/23/2024,$13.50,"6,583",$13.50,$13.50,$13.48
02/22/2024,$13.50,"10,391",$13.43,$13.50,$13.41
02/21/2024,$13.48,"9,768",$13.50,$13.501,$13.42
02/20/2024,$13.50,"12,860",$13.51,$13.73,$13.42
02/16/2024,$13.63,"6,373",$13.66,$13.82,$13.58
02/15/2024,$13.69,"15,564",$13.50,$13.75,$13.405
02/14/2024,$13.49,"9,808",$13.49,$13.50,$13.405
02/13/2024,$13.26,"17,464",$13.58,$13.69,$13.16
02/12/2024,$13.76,"18,820",$13.67,$13.77,$13.65
02/09/2024,$13.70,"12,176",$13.65,$13.7744,$13.64
02/08/2024,$13.59,"9,905",$13.5783,$13.60,$13.5602
02/07/2024,$13.51,"6,248",$13.55,$13.60,$13.51
02/06/2024,$13.59,"12,589",$13.44,$13.59,$13.44
02/05/2024,$13.43,"11,310",$13.33,$13.44,$13.29
02/02/2024,$13.44,"11,962",$13.42,$13.50,$13.40
02/01/2024,$13.42,"11,799",$13.49,$13.50,$13.42
01/31/2024,$13.36,"23,240",$13.55,$13.55,$13.35
01/30/2024,$13.54,"7,325",$13.51,$13.60,$13.51
01/29/2024,$13.59,"31,758",$13.50,$13.60,$13.21
01/26/2024,$13.37,"3,957",$13.50,$13.50,$13.35
01/25/2024,$13.47,"9,581",$13.30,$13.47,$13.235
01/24/2024,$13.25,"19,627",$13.25,$13.55,$13.21
01/23/2024,$13.10,"13,220",$13.14,$13.14,$13.10
01/22/2024,$13.01,"14,763",$12.845,$13.235,$12.845
01/19/2024,$12.825,"17,547",$12.76,$12.865,$12.76
01/18/2024,$12.71,"5,761",$12.71,$12.78,$12.71
01/17/2024,$12.71,"9,247",$12.71,$12.7601,$12.71
01/16/2024,$12.76,"5,683",$12.81,$12.81,$12.76
01/12/2024,$12.81,"3,864",$12.92,$12.94,$12.81
01/11/2024,$12.81,"9,294",$12.821,$12.86,$12.80
01/10/2024,$12.81,"8,577",$12.825,$12.835,$12.81
01/09/2024,$12.84,"15,037",$12.80,$12.95,$12.80
01/08/2024,$12.90,"14,581",$12.79,$13.00,$12.79
01/05/2024,$12.85,"67,994",$12.90,$12.985,$12.85
01/04/2024,$12.94,"12,300",$12.99,$12.99,$12.91
01/03/2024,$12.95,"10,389",$12.99,$12.99,$12.8199
01/02/2024,$12.95,"24,176",$13.10,$13.10,$12.90
12/29/2023,$12.99,"11,727",$13.15,$13.15,$12.91
12/28/2023,$13.00,"9,952",$13.18,$13.23,$13.00
12/27/2023,$13.00,"10,280",$13.00,$13.08,$12.93
12/26/2023,$12.96,"6,353",$13.11,$13.22,$12.96
12/22/2023,$12.93,"7,264",$12.89,$13.15,$12.88
12/21/2023,$12.92,"7,189",$13.08,$13.08,$12.87
12/20/2023,$12.87,"18,618",$12.8346,$13.0741,$12.77
12/19/2023,$12.80,"22,653",$12.84,$13.075,$12.75
12/18/2023,$12.97,"10,614",$13.18,$13.18,$12.875
12/15/2023,$13.00,"33,913",$13.30,$13.54,$13.00
12/14/2023,$13.46,"12,591",$13.47,$13.54,$13.1176
12/13/2023,$13.33,"10,594",$13.116,$13.42,$13.00
12/12/2023,$12.96,"8,632",$12.90,$13.3357,$12.90
12/11/2023,$13.03,"8,654",$13.10,$13.13,$13.03
12/08/2023,$13.01,"4,981",$12.99,$13.1049,$12.95
12/07/2023,$13.07,"8,185",$13.28,$13.47,$12.91
12/06/2023,$13.13,"6,095",$12.9398,$13.38,$12.9398
12/05/2023,$13.06,"7,611",$13.28,$13.28,$12.97
12/04/2023,$13.15,"7,377",$13.00,$13.16,$12.95
12/01/2023,$13.01,"16,750",$13.125,$13.49,$13.00
11/30/2023,$13.32,"8,771",$13.02,$13.32,$13.00
11/29/2023,$13.18,"13,331",$13.00,$13.18,$12.6501
11/28/2023,$12.92,"4,855",$13.3055,$13.3055,$12.86
11/27/2023,$12.81,"12,809",$12.69,$12.81,$12.69
11/24/2023,$12.70,"5,286",$12.60,$12.70,$12.50
11/22/2023,$12.65,"10,157",$12.78,$12.82,$12.55
11/21/2023,$12.65,"4,420",$12.80,$12.8095,$12.65
11/20/2023,$13.00,"8,975",$13.04,$13.04,$12.84
11/17/2023,$12.98,"11,490",$13.15,$13.15,$12.8496
11/16/2023,$13.04,"5,424",$13.27,$13.29,$13.00
11/15/2023,$13.12,"6,875",$13.069,$13.14,$13.00
11/14/2023,$13.04,"18,804",$13.01,$13.145,$12.85
11/13/2023,$12.75,"4,847",$12.49,$12.935,$12.49
11/10/2023,$12.69,"9,948",$12.48,$12.80,$12.40
11/09/2023,$12.36,"4,494",$12.02,$12.45,$12.02
11/08/2023,$12.45,"15,374",$12.32,$12.50,$12.26
11/07/2023,$12.60,"11,976",$12.50,$12.60,$12.2908
11/06/2023,$12.46,"4,730",$12.62,$12.825,$12.46
11/03/2023,$12.93,"9,037",$12.81,$12.93,$12.62
11/02/2023,$12.65,"7,599",$12.43,$12.855,$12.43
11/01/2023,$12.41,"14,746",$12.575,$12.653,$12.36
10/31/2023,$12.69,"11,846",$12.19,$12.70,$12.19
10/30/2023,$12.30,"5,388",$12.23,$12.35,$12.23
10/27/2023,$12.29,"5,763",$12.13,$12.37,$12.13
10/26/2023,$12.38,"5,341",$12.40,$12.40,$12.26
10/25/2023,$12.20,"3,173",$12.30,$12.30,$12.18
10/24/2023,$12.17,"2,472",$12.08,$12.17,$12.08
10/23/2023,$12.08,"16,509",$12.12,$12.12,$12.01
10/20/2023,$12.27,"20,737",$12.34,$12.48,$12.06
10/19/2023,$12.30,"30,877",$12.37,$12.435,$12.16
10/18/2023,$12.37,"4,040",$12.49,$12.49,$12.23
10/17/2023,$12.49,"12,092",$12.80,$12.85,$12.49
10/16/2023,$12.71,"24,765",$12.23,$12.82,$12.2277
10/13/2023,$12.26,"21,518",$12.545,$12.595,$12.26
10/12/2023,$12.53,"4,316",$12.595,$12.75,$12.46
10/11/2023,$12.685,"5,056",$12.82,$12.82,$12.65
10/10/2023,$12.80,"7,017",$12.93,$12.98,$12.80
10/09/2023,$12.70,"5,858",$12.71,$12.83,$12.70
10/06/2023,$12.80,"9,361",$12.80,$12.85,$12.655
10/05/2023,$12.80,"20,728",$12.76,$12.86,$12.38
10/04/2023,$12.66,"10,338",$12.77,$12.97,$12.625
10/03/2023,$12.70,"21,818",$12.90,$12.98,$12.52
10/02/2023,$12.80,"3,938",$12.82,$12.86,$12.80
09/29/2023,$12.87,"18,281",$12.80,$13.001,$12.80
09/28/2023,$12.96,"15,273",$12.80,$13.14,$12.671
09/27/2023,$12.74,"18,851",$12.81,$13.10,$12.63
09/26/2023,$12.91,"14,787",$13.10,$13.10,$12.81
