Date,Close,Volume,Open,High,Low
03/01/2024,$32.66,"1,954,154",$32.42,$34.01,$32.3053
02/29/2024,$32.12,"4,110,862",$33.80,$34.87,$31.70
02/28/2024,$32.80,"3,195,771",$30.43,$33.245,$30.281
02/27/2024,$31.02,"3,291,168",$28.45,$31.13,$28.00
02/26/2024,$27.66,"1,817,254",$25.75,$27.69,$25.69
02/23/2024,$26.10,"2,105,687",$26.72,$27.03,$25.49
02/22/2024,$27.18,"1,980,930",$26.50,$27.88,$25.33
02/21/2024,$26.88,"1,688,014",$27.00,$27.30,$26.26
02/20/2024,$27.15,"1,401,581",$27.41,$27.6973,$26.80
02/16/2024,$27.74,"1,634,593",$27.59,$28.11,$27.04
02/15/2024,$28.47,"2,674,927",$27.95,$29.39,$27.005
02/14/2024,$28.28,"1,550,907",$27.11,$28.33,$26.425
02/13/2024,$26.45,"2,409,139",$27.89,$28.02,$26.07
02/12/2024,$29.61,"1,429,582",$28.30,$29.64,$28.20
02/09/2024,$28.23,"1,114,659",$27.89,$28.89,$27.47
02/08/2024,$27.47,"1,219,490",$26.34,$27.90,$26.01
02/07/2024,$26.07,"1,067,891",$26.56,$26.577,$25.71
02/06/2024,$26.57,"1,323,031",$24.86,$26.625,$24.53
02/05/2024,$24.84,"1,378,620",$24.81,$25.055,$24.23
02/02/2024,$25.29,"1,876,277",$24.44,$25.42,$23.97
02/01/2024,$25.26,"2,588,258",$24.03,$25.98,$23.63
01/31/2024,$23.82,"1,570,883",$24.52,$25.25,$23.76
01/30/2024,$24.59,"3,408,970",$25.81,$25.91,$24.58
01/29/2024,$26.18,"1,353,876",$24.76,$26.46,$23.93
01/26/2024,$24.68,"1,014,524",$25.48,$26.09,$24.615
01/25/2024,$25.09,"1,336,225",$25.35,$25.87,$25.01
01/24/2024,$25.06,"1,414,376",$26.12,$26.38,$24.92
01/23/2024,$25.79,"1,001,445",$26.75,$26.98,$25.22
01/22/2024,$26.13,"1,186,597",$25.78,$26.98,$25.70
01/19/2024,$25.55,"1,302,539",$25.21,$25.60,$24.75
01/18/2024,$25.24,"1,217,974",$25.94,$25.9994,$24.8211
01/17/2024,$25.74,"1,236,026",$26.06,$26.8157,$25.55
01/16/2024,$26.76,"1,340,924",$27.35,$27.39,$26.44
01/12/2024,$27.67,"1,189,984",$28.67,$29.52,$27.485
01/11/2024,$28.15,"1,436,342",$28.15,$28.6026,$27.60
01/10/2024,$28.88,"1,136,857",$29.83,$29.89,$28.282
01/09/2024,$29.29,"1,099,167",$29.12,$29.95,$28.81
01/08/2024,$30.07,"1,405,961",$28.18,$30.08,$27.8612
01/05/2024,$28.63,"1,384,275",$28.83,$28.96,$27.36
01/04/2024,$29.52,"1,745,465",$29.35,$29.70,$28.84
01/03/2024,$29.49,"1,441,122",$30.29,$30.735,$29.10
01/02/2024,$30.82,"1,487,217",$30.05,$32.335,$29.33
12/29/2023,$30.49,"1,253,772",$31.78,$31.91,$30.45
12/28/2023,$31.77,"1,309,999",$31.80,$32.349,$31.29
12/27/2023,$31.74,"1,307,314",$32.83,$33.31,$31.08
12/26/2023,$32.34,"1,152,748",$31.67,$32.64,$31.64
12/22/2023,$31.36,"1,463,176",$30.86,$32.70,$30.50
12/21/2023,$30.20,"1,279,338",$30.49,$31.12,$29.72
12/20/2023,$29.62,"1,559,103",$32.03,$32.189,$29.56
12/19/2023,$32.02,"1,920,586",$30.69,$32.42,$30.69
12/18/2023,$30.35,"1,246,847",$30.64,$31.47,$29.85
12/15/2023,$30.78,"3,254,782",$32.19,$32.66,$30.20
12/14/2023,$31.86,"3,196,114",$31.84,$33.60,$31.12
12/13/2023,$30.39,"2,046,077",$27.91,$30.45,$26.945
12/12/2023,$28.15,"1,049,552",$28.25,$28.66,$27.40
12/11/2023,$28.35,"1,541,540",$28.81,$28.845,$27.11
12/08/2023,$29.02,"1,252,674",$29.53,$30.56,$28.85
12/07/2023,$29.78,"1,183,902",$29.74,$29.985,$29.05
12/06/2023,$29.86,"1,521,019",$30.37,$30.8689,$29.70
12/05/2023,$29.90,"1,104,783",$30.45,$30.45,$29.2001
12/04/2023,$30.89,"1,306,937",$30.84,$31.85,$30.04
12/01/2023,$30.84,"1,541,130",$29.57,$30.85,$28.46
11/30/2023,$29.63,"1,499,399",$31.36,$31.86,$29.43
11/29/2023,$30.93,"1,258,417",$31.32,$32.39,$30.66
11/28/2023,$30.75,"1,106,543",$30.49,$31.28,$29.82
11/27/2023,$30.65,"1,108,669",$30.88,$31.16,$29.51
11/24/2023,$31.03,"1,223,861",$30.13,$31.90,$30.13
11/22/2023,$30.26,"1,419,019",$29.01,$30.4224,$28.94
11/21/2023,$28.46,"1,166,033",$29.84,$29.84,$28.43
11/20/2023,$30.28,"2,847,247",$28.57,$31.59,$28.32
11/17/2023,$28.12,"1,895,669",$26.36,$28.17,$26.18
11/16/2023,$26.02,"1,136,362",$26.60,$27.09,$25.20
11/15/2023,$26.58,"1,682,667",$26.65,$27.72,$26.52
11/14/2023,$26.45,"2,322,829",$25.35,$26.69,$25.29
11/13/2023,$23.81,"1,446,758",$23.90,$24.295,$22.665
11/10/2023,$24.13,"2,302,440",$25.06,$25.14,$22.76
11/09/2023,$24.96,"2,940,122",$28.50,$28.69,$24.72
11/08/2023,$28.45,"1,331,809",$29.49,$29.75,$28.12
11/07/2023,$29.49,"1,487,432",$27.82,$29.60,$27.415
11/06/2023,$27.66,"1,479,835",$28.60,$28.84,$27.0823
11/03/2023,$28.76,"2,369,532",$27.11,$29.02,$27.06
11/02/2023,$26.48,"1,624,277",$26.10,$26.525,$25.57
11/01/2023,$25.50,"1,667,478",$25.25,$25.56,$24.38
10/31/2023,$25.05,"1,164,746",$23.90,$25.16,$23.67
10/30/2023,$23.83,"1,774,498",$23.42,$24.45,$22.8101
10/27/2023,$23.16,"1,921,580",$25.45,$25.45,$23.01
10/26/2023,$25.00,"2,143,310",$24.70,$25.83,$24.46
10/25/2023,$24.38,"1,514,501",$26.12,$26.30,$24.24
10/24/2023,$26.64,"1,193,313",$26.64,$27.62,$26.48
10/23/2023,$26.32,"1,072,384",$26.32,$26.93,$25.835
10/20/2023,$26.64,"1,183,032",$27.06,$27.50,$26.52
10/19/2023,$27.10,"1,730,410",$28.00,$28.15,$26.65
10/18/2023,$27.96,"1,969,015",$29.51,$29.64,$27.27
10/17/2023,$29.05,"927,818",$29.33,$29.85,$28.99
10/16/2023,$29.63,"695,477",$29.82,$30.28,$29.2436
10/13/2023,$29.83,"679,613",$29.01,$30.00,$28.80
10/12/2023,$28.91,"979,568",$30.29,$30.39,$28.73
10/11/2023,$30.25,"703,578",$30.14,$30.74,$29.78
10/10/2023,$30.13,"756,112",$30.02,$30.86,$29.91
10/09/2023,$30.03,"793,986",$29.46,$30.14,$28.95
10/06/2023,$30.04,"1,198,421",$30.11,$30.65,$29.81
10/05/2023,$30.51,"982,040",$28.73,$30.73,$28.57
10/04/2023,$28.94,"1,023,413",$29.81,$29.845,$28.2908
10/03/2023,$29.68,"1,198,190",$29.38,$29.96,$28.78
10/02/2023,$29.41,"1,182,927",$31.50,$31.58,$29.24
09/29/2023,$31.62,"754,964",$32.22,$32.47,$31.39
09/28/2023,$31.76,"773,180",$32.00,$32.34,$31.13
09/27/2023,$32.09,"913,138",$32.49,$32.91,$31.50
09/26/2023,$32.35,"710,161",$32.19,$33.37,$32.165
09/25/2023,$32.21,"778,087",$32.13,$32.77,$31.66
09/22/2023,$32.39,"823,739",$33.80,$34.04,$32.37
09/21/2023,$33.53,"985,459",$33.34,$33.80,$32.64
09/20/2023,$33.99,"801,899",$34.68,$34.94,$33.875
09/19/2023,$34.37,"893,627",$34.87,$34.9025,$33.82
09/18/2023,$35.02,"844,018",$35.65,$35.88,$34.96
09/15/2023,$35.82,"1,690,609",$36.06,$36.17,$35.54
09/14/2023,$36.01,"763,608",$35.80,$36.25,$35.58
09/13/2023,$35.50,"1,337,779",$37.06,$37.155,$35.36
09/12/2023,$37.15,"681,659",$38.25,$38.71,$37.11
09/11/2023,$38.25,"629,739",$38.03,$38.35,$37.5301
09/08/2023,$37.87,"480,530",$37.87,$37.975,$37.02
09/07/2023,$37.69,"547,215",$37.47,$38.10,$36.67
09/06/2023,$38.19,"469,167",$37.99,$38.69,$37.65
09/05/2023,$37.97,"887,447",$37.30,$38.30,$36.90
09/01/2023,$37.69,"632,526",$37.99,$38.4863,$37.56
08/31/2023,$37.48,"655,660",$38.07,$38.238,$37.32
08/30/2023,$37.96,"570,890",$38.08,$38.1447,$37.3263
08/29/2023,$38.19,"847,812",$38.00,$38.72,$37.52
