Date,Close,Volume,Open,High,Low
03/01/2024,$6.30,"2,810",$6.25,$6.30,$6.25
02/29/2024,$6.25,987,$6.30,$6.30,$6.195
02/28/2024,$6.25,198,$6.25,$6.25,$6.25
02/27/2024,$6.25,470,$6.25,$6.25,$6.25
02/26/2024,$6.29,N/A,$6.29,$6.29,$6.29
02/23/2024,$6.29,"1,177",$6.30,$6.30,$6.25
02/22/2024,$6.40,"1,298",$6.15,$6.4001,$6.15
02/21/2024,$6.18,N/A,$6.18,$6.18,$6.18
02/20/2024,$6.18,"6,268",$6.25,$6.25,$6.10
02/16/2024,$6.25,"1,311",$6.25,$6.25,$6.25
02/15/2024,$6.25,"8,541",$6.40,$6.40,$6.25
02/14/2024,$6.25,141,$6.25,$6.25,$6.25
02/13/2024,$6.25,577,$6.25,$6.25,$6.25
02/12/2024,$6.2501,"5,957",$6.26,$6.30,$6.25
02/09/2024,$6.2999,"4,318",$6.25,$6.2999,$6.20
02/08/2024,$6.39,N/A,$6.39,$6.39,$6.39
02/07/2024,$6.39,"3,468",$6.25,$6.39,$6.25
02/06/2024,$6.4999,"3,702",$6.25,$6.50,$6.25
02/05/2024,$6.3999,"3,324",$6.26,$6.3999,$6.10
02/02/2024,$6.50,789,$6.2653,$6.50,$6.2653
02/01/2024,$6.50,908,$6.21,$6.50,$6.21
01/31/2024,$6.20,"11,383",$6.25,$6.31,$6.20
01/30/2024,$6.50,N/A,$6.50,$6.50,$6.50
01/29/2024,$6.50,334,$6.50,$6.50,$6.50
01/26/2024,$6.49,367,$6.45,$6.49,$6.45
01/25/2024,$6.25,N/A,$6.25,$6.25,$6.25
01/24/2024,$6.25,N/A,$6.25,$6.25,$6.25
01/23/2024,$6.25,457,$6.25,$6.25,$6.25
01/22/2024,$6.27,"4,769",$6.25,$6.4899,$6.25
01/19/2024,$6.46,"4,516",$6.25,$6.46,$6.25
01/18/2024,$6.4831,735,$6.27,$6.4831,$6.27
01/17/2024,$6.33,806,$6.33,$6.33,$6.33
01/16/2024,$6.26,860,$6.26,$6.26,$6.25
01/12/2024,$6.49,N/A,$6.49,$6.49,$6.49
01/11/2024,$6.49,"4,483",$6.4999,$6.4999,$6.359
01/10/2024,$6.45,"4,113",$6.26,$6.50,$6.26
01/09/2024,$6.25,"3,510",$6.34,$6.51,$6.25
01/08/2024,$6.35,"3,829",$6.40,$6.40,$6.25
01/05/2024,$6.51,"6,348",$6.50,$6.77,$6.50
01/04/2024,$6.48,"4,402",$6.50,$6.50,$6.30
01/03/2024,$6.60,788,$6.60,$6.62,$6.60
01/02/2024,$6.67,274,$6.67,$6.67,$6.67
12/29/2023,$6.77,"12,593",$6.70,$7.1212,$6.67
12/28/2023,$6.93,"2,786",$6.711,$6.93,$6.7101
12/27/2023,$6.6674,N/A,$6.6674,$6.6674,$6.6674
12/26/2023,$6.6674,"1,505",$6.5201,$6.6674,$6.5201
12/22/2023,$6.66,358,$6.54,$6.66,$6.54
12/21/2023,$6.69,"1,446",$6.66,$6.69,$6.66
12/20/2023,$6.55,"10,652",$6.25,$7.20,$6.25
12/19/2023,$6.20,"8,657",$6.10,$6.20,$6.05
12/18/2023,$6.08,"26,360",$6.15,$6.15,$6.05
12/15/2023,$6.15,"12,956",$6.10,$6.15,$6.07
12/14/2023,$6.10,"3,416",$6.15,$6.21,$6.10
12/13/2023,$6.19,"10,900",$6.10,$6.19,$6.10
12/12/2023,$6.10,"8,794",$6.10,$6.15,$6.10
12/11/2023,$6.10,"9,509",$6.25,$6.25,$6.10
12/08/2023,$6.41,"7,854",$6.495,$6.495,$6.25
12/07/2023,$6.37,N/A,$6.37,$6.37,$6.37
12/06/2023,$6.37,"5,286",$6.25,$6.37,$6.25
12/05/2023,$6.29,"1,078",$6.25,$6.34,$6.25
12/04/2023,$6.29,336,$6.35,$6.35,$6.29
12/01/2023,$6.40,"4,202",$6.515,$6.63,$6.35
11/30/2023,$6.48,"4,270",$6.50,$6.50,$6.40
11/29/2023,$6.20,"9,820",$6.26,$6.26,$6.20
11/28/2023,$6.25,"1,037",$6.37,$6.37,$6.238
11/27/2023,$6.41,"10,809",$6.41,$6.741,$6.41
11/24/2023,$6.4279,"3,521",$6.38,$6.4279,$6.30
11/22/2023,$6.25,745,$6.25,$6.2501,$6.25
11/21/2023,$6.2623,499,$6.2623,$6.2623,$6.2623
11/20/2023,$6.28,N/A,$6.28,$6.28,$6.28
11/17/2023,$6.28,305,$6.28,$6.28,$6.28
11/16/2023,$6.35,"6,536",$6.35,$6.35,$6.35
11/15/2023,$6.5999,"22,247",$6.60,$6.60,$6.475
11/14/2023,$6.60,"8,706",$6.60,$6.60,$6.60
11/13/2023,$6.50,N/A,$6.50,$6.50,$6.50
11/10/2023,$6.50,144,$6.50,$6.50,$6.50
11/09/2023,$6.44,"10,121",$6.50,$6.532,$6.34
11/08/2023,$6.50,N/A,$6.50,$6.50,$6.50
11/07/2023,$6.50,"4,733",$6.50,$6.51,$6.50
11/06/2023,$6.50,"1,237",$6.50,$6.50,$6.50
11/03/2023,$6.50,"5,660",$6.51,$6.55,$6.50
11/02/2023,$6.50,"1,339",$6.50,$6.50,$6.50
11/01/2023,$6.65,"1,317",$6.51,$6.65,$6.45
10/31/2023,$6.53,313,$6.53,$6.53,$6.53
10/30/2023,$6.71,784,$6.1723,$6.71,$6.1723
10/27/2023,$6.51,381,$6.51,$6.51,$6.51
10/26/2023,$6.50,"5,235",$6.51,$6.51,$6.50
10/25/2023,$6.678,472,$6.678,$6.678,$6.678
10/24/2023,$6.51,578,$6.50,$6.51,$6.50
10/23/2023,$6.77,"2,561",$6.80,$6.98,$6.65
10/20/2023,$6.55,695,$6.55,$6.55,$6.55
