Date,Close,Volume,Open,High,Low
03/01/2024,$183.66,"425,684",$176.78,$184.75,$176.78
02/29/2024,$173.45,"277,648",$168.24,$173.49,$168.19
02/28/2024,$167.40,"133,954",$164.47,$168.23,$163.88
02/27/2024,$165.28,"248,817",$167.65,$167.88,$164.645
02/26/2024,$167.10,"117,521",$163.52,$168.235,$163.36
02/23/2024,$161.82,"78,249",$165.05,$166.79,$161.29
02/22/2024,$164.65,"101,970",$163.84,$166.46,$161.9026
02/21/2024,$158.28,"195,607",$159.36,$159.65,$154.54
02/20/2024,$161.64,"243,313",$166.48,$167.42,$158.125
02/16/2024,$168.95,"142,922",$169.08,$170.99,$166.02
02/15/2024,$166.95,"250,408",$163.18,$172.046,$162.78
02/14/2024,$157.43,"154,962",$154.64,$158.32,$154.64
02/13/2024,$153.23,"101,988",$152.50,$155.76,$151.34
02/12/2024,$157.24,"159,294",$159.72,$161.07,$156.91
02/09/2024,$160.66,"190,412",$150.50,$161.06,$150.50
02/08/2024,$149.99,"94,255",$148.62,$152.55,$147.79
02/07/2024,$148.00,"44,087",$146.45,$149.165,$145.62
02/06/2024,$146.00,"68,935",$149.49,$149.80,$144.64
02/05/2024,$148.83,"55,997",$147.51,$150.00,$146.1896
02/02/2024,$146.75,"54,010",$144.25,$146.86,$143.84
02/01/2024,$144.99,"84,278",$145.44,$145.97,$142.53
01/31/2024,$144.81,"123,320",$145.00,$148.18,$143.01
01/30/2024,$146.25,"46,875",$146.19,$148.00,$145.875
01/29/2024,$146.57,"71,998",$146.22,$146.95,$143.805
01/26/2024,$145.71,"144,761",$146.75,$148.55,$144.665
01/25/2024,$147.98,"227,320",$150.23,$152.90,$147.77
01/24/2024,$149.04,"392,526",$148.71,$153.67,$147.27
01/23/2024,$145.82,"226,238",$142.45,$145.98,$141.61
01/22/2024,$142.73,"168,944",$145.24,$146.32,$141.22
01/19/2024,$144.43,"180,846",$138.60,$144.595,$138.24
01/18/2024,$137.71,"639,059",$135.27,$142.77,$135.27
01/17/2024,$132.36,"81,210",$132.27,$133.33,$129.39
01/16/2024,$133.60,"63,142",$132.54,$134.565,$132.34
01/12/2024,$133.80,"34,346",$133.64,$134.04,$132.95
01/11/2024,$133.44,"77,652",$131.88,$133.52,$131.00
01/10/2024,$131.00,"51,570",$130.72,$131.99,$129.96
01/09/2024,$130.95,"82,538",$129.54,$131.52,$129.115
01/08/2024,$131.46,"48,562",$129.11,$132.34,$129.11
01/05/2024,$129.32,"70,347",$131.30,$131.92,$128.74
01/04/2024,$131.96,"64,474",$131.43,$133.57,$131.12
01/03/2024,$132.10,"234,210",$134.75,$134.75,$131.9935
01/02/2024,$135.65,"157,617",$136.82,$136.84,$134.515
12/29/2023,$137.39,"54,117",$136.79,$137.69,$134.77
12/28/2023,$137.385,"123,912",$137.74,$138.50,$136.00
12/27/2023,$135.18,"70,952",$135.62,$135.99,$134.01
12/26/2023,$135.97,"64,186",$135.07,$136.654,$135.07
12/22/2023,$135.26,"74,352",$135.08,$136.5025,$134.62
12/21/2023,$135.39,"107,545",$133.02,$135.685,$131.75
12/20/2023,$130.84,"142,792",$134.40,$135.08,$130.02
12/19/2023,$134.70,"158,389",$134.21,$135.33,$133.395
12/18/2023,$133.15,"121,462",$133.01,$134.08,$132.40
12/15/2023,$132.40,"124,535",$134.11,$135.00,$132.08
12/14/2023,$133.66,"104,026",$130.20,$134.46,$130.20
12/13/2023,$130.68,"116,168",$130.25,$131.89,$128.60
12/12/2023,$129.88,"198,395",$130.66,$131.41,$128.82
12/11/2023,$130.14,"85,973",$127.47,$131.505,$127.47
12/08/2023,$127.00,"84,520",$126.54,$128.11,$124.415
12/07/2023,$126.35,"171,032",$125.48,$126.97,$124.44
12/06/2023,$125.00,"88,912",$127.40,$127.47,$124.775
12/05/2023,$126.22,"69,734",$127.26,$127.44,$125.93
12/04/2023,$127.46,"117,443",$127.85,$128.585,$125.25
12/01/2023,$128.08,"133,762",$128.38,$129.54,$126.95
11/30/2023,$128.61,"141,705",$126.40,$128.81,$125.23
11/29/2023,$126.89,"90,407",$125.44,$127.64,$125.33
11/28/2023,$124.63,"94,918",$125.65,$125.80,$123.445
11/27/2023,$125.00,"50,924",$125.52,$125.74,$124.00
11/24/2023,$124.91,"29,314",$125.03,$126.00,$124.5801
11/22/2023,$124.56,"106,052",$124.88,$126.56,$124.05
11/21/2023,$122.87,"98,630",$121.03,$124.20,$121.00
11/20/2023,$121.69,"97,158",$121.38,$122.16,$120.67
11/17/2023,$121.89,"138,867",$119.56,$122.15,$119.29
11/16/2023,$120.28,"189,612",$121.32,$123.89,$119.00
11/15/2023,$119.85,"157,261",$118.41,$121.00,$117.645
11/14/2023,$117.19,"165,034",$115.68,$117.37,$115.19
11/13/2023,$112.92,"132,975",$111.97,$113.69,$110.94
11/10/2023,$111.75,"159,686",$107.00,$113.23,$107.00
11/09/2023,$106.60,"276,338",$104.88,$108.38,$102.23
11/08/2023,$101.59,"157,619",$100.48,$101.85,$100.17
11/07/2023,$99.91,"89,124",$100.03,$100.715,$98.86
11/06/2023,$99.59,"88,053",$100.53,$100.77,$98.55
11/03/2023,$100.41,"209,233",$99.06,$103.10,$99.06
11/02/2023,$99.02,"158,626",$99.61,$100.955,$98.19
11/01/2023,$97.36,"219,567",$96.13,$97.94,$95.41
10/31/2023,$94.97,"151,888",$93.62,$95.63,$92.68
10/30/2023,$93.00,"199,043",$92.35,$93.505,$91.39
10/27/2023,$90.85,"106,066",$92.27,$92.27,$90.59
10/26/2023,$91.25,"96,610",$92.70,$94.14,$90.94
10/25/2023,$92.30,"124,946",$93.68,$94.245,$91.49
10/24/2023,$95.30,"158,511",$96.25,$96.34,$94.35
10/23/2023,$95.98,"155,160",$96.16,$97.51,$94.70
10/20/2023,$96.43,"248,720",$97.77,$98.64,$95.75
10/19/2023,$98.18,"180,182",$105.78,$105.81,$98.07
10/18/2023,$104.10,"124,707",$102.16,$104.47,$100.22
