Date,Close,Volume,Open,High,Low
03/01/2024,$7.72,"14,412,560",$7.06,$7.92,$7.00
02/29/2024,$7.05,"9,352,212",$7.05,$7.23,$6.90
02/28/2024,$6.96,"6,876,712",$7.20,$7.24,$6.9415
02/27/2024,$7.24,"5,808,534",$7.00,$7.315,$6.96
02/26/2024,$6.98,"4,441,558",$6.77,$7.0784,$6.70
02/23/2024,$6.83,"5,555,242",$6.92,$7.00,$6.76
02/22/2024,$6.94,"5,990,397",$7.14,$7.14,$6.855
02/21/2024,$7.05,"4,697,801",$6.90,$7.1275,$6.78
02/20/2024,$6.99,"6,942,160",$7.40,$7.455,$6.94
02/16/2024,$7.43,"4,238,018",$7.50,$7.62,$7.43
02/15/2024,$7.48,"3,962,838",$7.42,$7.55,$7.42
02/14/2024,$7.45,"4,841,647",$7.47,$7.595,$7.381
02/13/2024,$7.45,"7,874,331",$7.55,$7.66,$7.37
02/12/2024,$7.64,"5,583,489",$7.61,$7.715,$7.52
02/09/2024,$7.60,"8,162,224",$7.70,$7.915,$7.505
02/08/2024,$7.70,"10,859,220",$7.96,$8.02,$7.60
02/07/2024,$7.93,"7,430,243",$7.84,$8.0699,$7.72
02/06/2024,$7.84,"4,162,545",$7.95,$8.01,$7.79
02/05/2024,$7.90,"5,224,816",$8.11,$8.12,$7.7712
02/02/2024,$8.12,"5,009,793",$8.16,$8.31,$8.055
02/01/2024,$8.25,"13,260,650",$8.04,$8.28,$7.91
01/31/2024,$7.64,"8,002,691",$7.75,$7.80,$7.56
01/30/2024,$7.74,"10,293,210",$7.35,$7.85,$7.35
01/29/2024,$7.41,"4,945,036",$7.36,$7.49,$7.19
01/26/2024,$7.36,"4,432,312",$7.29,$7.395,$7.125
01/25/2024,$7.31,"6,257,534",$7.43,$7.44,$7.24
01/24/2024,$7.41,"4,774,092",$7.64,$7.68,$7.41
01/23/2024,$7.55,"5,775,723",$7.33,$7.62,$7.31
01/22/2024,$7.34,"5,386,389",$7.59,$7.645,$7.3125
01/19/2024,$7.60,"5,724,760",$7.73,$7.76,$7.41
01/18/2024,$7.71,"6,727,480",$7.76,$7.825,$7.54
01/17/2024,$7.67,"6,951,478",$7.60,$7.79,$7.5201
01/16/2024,$7.80,"14,004,640",$7.90,$8.08,$7.70
01/12/2024,$7.84,"17,354,270",$7.44,$7.84,$7.37
01/11/2024,$7.05,"6,457,346",$7.08,$7.13,$6.825
01/10/2024,$7.05,"7,063,950",$7.12,$7.245,$7.02
01/09/2024,$7.05,"8,139,384",$6.55,$7.185,$6.53
01/08/2024,$6.63,"6,160,784",$6.70,$6.75,$6.5101
01/05/2024,$6.73,"4,074,572",$6.77,$6.89,$6.705
01/04/2024,$6.76,"3,219,295",$6.69,$6.83,$6.645
01/03/2024,$6.65,"3,849,865",$6.73,$6.7699,$6.58
01/02/2024,$6.78,"5,341,646",$7.08,$7.09,$6.75
12/29/2023,$7.00,"4,135,381",$6.87,$7.07,$6.85
12/28/2023,$6.83,"3,352,918",$6.87,$6.948,$6.72
12/27/2023,$6.93,"3,137,480",$6.99,$7.07,$6.92
12/26/2023,$6.99,"1,148,571",$6.97,$7.03,$6.865
12/22/2023,$6.92,"8,345,494",$6.91,$7.18,$6.825
12/21/2023,$6.89,"8,174,407",$6.71,$6.9275,$6.68
12/20/2023,$6.64,"6,595,386",$6.63,$6.83,$6.58
12/19/2023,$6.65,"10,006,090",$6.92,$6.92,$6.60
12/18/2023,$6.92,"3,955,376",$6.88,$7.12,$6.87
12/15/2023,$6.80,"5,417,032",$6.98,$7.04,$6.74
12/14/2023,$6.95,"7,597,749",$6.69,$6.97,$6.57
12/13/2023,$6.68,"7,520,090",$6.86,$6.86,$6.44
12/12/2023,$6.81,"7,038,617",$6.89,$6.90,$6.62
12/11/2023,$6.91,"6,366,485",$6.85,$6.92,$6.73
12/08/2023,$6.87,"5,204,978",$6.63,$6.90,$6.581
