Date,Close,Volume,Open,High,Low
03/01/2024,$0.33,"8,276",$0.3285,$0.348,$0.302
02/29/2024,$0.3102,"5,448",$0.3245,$0.3245,$0.3101
02/28/2024,$0.3125,"14,017",$0.31,$0.32,$0.31
02/27/2024,$0.3055,"9,530",$0.312,$0.3414,$0.3055
02/26/2024,$0.3167,"13,327",$0.3131,$0.3499,$0.31
02/23/2024,$0.312,"21,318",$0.3589,$0.3689,$0.312
02/22/2024,$0.31,"19,176",$0.32,$0.355,$0.31
02/21/2024,$0.345,"12,196",$0.32,$0.369,$0.32
02/20/2024,$0.33,"21,487",$0.3675,$0.3693,$0.33
02/16/2024,$0.3401,"26,083",$0.301,$0.37,$0.301
02/15/2024,$0.3182,"46,840",$0.3023,$0.33,$0.2852
02/14/2024,$0.3151,"5,276",$0.305,$0.3151,$0.30
02/13/2024,$0.3101,"61,302",$0.265,$0.3213,$0.2528
02/12/2024,$0.2975,"12,606",$0.2876,$0.3167,$0.2876
02/09/2024,$0.3051,"4,928",$0.3183,$0.3184,$0.3051
02/08/2024,$0.3031,"24,287",$0.3326,$0.3326,$0.303
02/07/2024,$0.319,593,$0.303,$0.319,$0.303
02/06/2024,$0.3316,"3,392",$0.3314,$0.3479,$0.3314
02/05/2024,$0.3717,"28,620",$0.3627,$0.3717,$0.302
02/02/2024,$0.3829,"27,318",$0.3301,$0.3879,$0.3301
02/01/2024,$0.3879,"19,269",$0.3344,$0.3879,$0.3234
01/31/2024,$0.3499,"7,260",$0.377,$0.387,$0.3357
01/30/2024,$0.3915,"36,540",$0.30,$0.3915,$0.30
01/29/2024,$0.35,"2,827",$0.357,$0.357,$0.3011
01/26/2024,$0.3506,"12,630",$0.311,$0.3506,$0.2876
01/25/2024,$0.327,"13,679",$0.37,$0.37,$0.2876
01/24/2024,$0.3675,"1,454",$0.379,$0.379,$0.3675
01/23/2024,$0.371,"18,271",$0.37,$0.39,$0.3675
01/22/2024,$0.386,"2,253",$0.401,$0.401,$0.385
01/19/2024,$0.4479,"50,175",$0.4151,$0.4479,$0.3521
01/18/2024,$0.45,"1,735",$0.39,$0.4695,$0.39
01/17/2024,$0.4286,"2,289",$0.3802,$0.4286,$0.3802
01/16/2024,$0.4038,"40,274",$0.425,$0.425,$0.38
01/12/2024,$0.4399,"14,120",$0.42,$0.4575,$0.395
01/11/2024,$0.464,"62,482",$0.4006,$0.464,$0.3901
01/10/2024,$0.4231,"23,914",$0.411,$0.4231,$0.40
01/09/2024,$0.45,"57,347",$0.3613,$0.45,$0.3612
01/08/2024,$0.3613,"3,904",$0.3657,$0.3755,$0.3613
01/05/2024,$0.3899,"2,174",$0.371,$0.3899,$0.37
01/04/2024,$0.39,"2,725",$0.3999,$0.3999,$0.3804
01/03/2024,$0.3901,"18,319",$0.3982,$0.4217,$0.3791
01/02/2024,$0.3983,"39,264",$0.419,$0.4217,$0.398
12/29/2023,$0.4048,"111,399",$0.40,$0.419,$0.37
12/28/2023,$0.402,"55,609",$0.3705,$0.4195,$0.3511
12/27/2023,$0.39,"42,337",$0.382,$0.3944,$0.3535
12/26/2023,$0.39,"53,580",$0.3776,$0.39,$0.34
12/22/2023,$0.3597,"112,786",$0.299,$0.3835,$0.2876
12/21/2023,$0.299,"38,682",$0.286,$0.33,$0.2805
12/20/2023,$0.29,"57,640",$0.3076,$0.35,$0.2805
12/19/2023,$0.33,"37,275",$0.3844,$0.3844,$0.322
