Date,Close,Volume,Open,High,Low
03/01/2024,$17.66,"3,757",$17.83,$17.8737,$17.66
02/29/2024,$17.81,"3,926",$17.76,$17.84,$17.75
02/28/2024,$17.78,"4,522",$17.70,$17.85,$17.70
02/27/2024,$17.63,"4,338",$17.65,$17.7499,$17.63
02/26/2024,$17.65,"4,191",$17.6102,$17.7421,$17.60
02/23/2024,$17.70,"3,715",$17.65,$17.70,$17.6103
02/22/2024,$17.61,"4,199",$17.61,$17.74,$17.60
02/21/2024,$17.65,"4,715",$17.64,$17.72,$17.61
02/20/2024,$17.65,"4,397",$17.79,$17.79,$17.65
02/16/2024,$17.64,"2,159",$17.84,$17.85,$17.64
02/15/2024,$17.60,"13,632",$17.72,$17.85,$17.51
02/14/2024,$17.69,562,$17.60,$17.69,$17.60
02/13/2024,$17.48,"13,442",$17.65,$17.65,$17.48
02/12/2024,$17.75,"6,407",$17.66,$17.79,$17.66
02/09/2024,$17.7716,"2,592",$17.78,$17.7946,$17.5874
02/08/2024,$17.80,"6,419",$17.85,$17.9467,$17.70
02/07/2024,$17.62,"5,409",$17.51,$17.8273,$17.51
02/06/2024,$17.70,"2,285",$17.5353,$17.71,$17.5353
02/05/2024,$17.62,"22,653",$18.00,$18.00,$17.50
02/02/2024,$17.60,"3,012",$17.89,$17.89,$17.60
02/01/2024,$17.68,"3,526",$17.95,$17.95,$17.68
01/31/2024,$17.82,"11,988",$17.96,$18.00,$17.81
01/30/2024,$17.91,"11,509",$18.05,$18.1053,$17.91
01/29/2024,$18.0807,"2,742",$18.02,$18.0807,$18.00
01/26/2024,$18.00,"3,436",$17.98,$18.098,$17.97
01/25/2024,$17.98,"4,660",$17.97,$17.98,$17.9102
01/24/2024,$17.97,"1,544",$17.78,$17.9799,$17.78
01/23/2024,$17.79,"6,436",$17.90,$17.94,$17.79
01/22/2024,$17.88,"4,241",$17.78,$17.98,$17.76
01/19/2024,$17.79,"4,853",$17.772,$17.98,$17.77
01/18/2024,$17.84,"5,420",$17.97,$17.97,$17.7951
01/17/2024,$17.80,"4,280",$17.9556,$17.9556,$17.60
01/16/2024,$17.80,"7,526",$17.76,$17.80,$17.717
01/12/2024,$17.76,"5,319",$17.552,$17.83,$17.552
01/11/2024,$17.68,"4,254",$17.78,$17.78,$17.55
01/10/2024,$17.6111,"3,266",$17.7799,$17.7799,$17.5957
01/09/2024,$17.7799,"8,642",$17.73,$17.78,$17.57
01/08/2024,$17.73,"2,652",$17.5557,$17.73,$17.5557
01/05/2024,$17.5699,"7,897",$17.75,$17.75,$17.502
01/04/2024,$17.66,"11,379",$17.82,$17.82,$17.50
01/03/2024,$17.7661,"9,639",$18.05,$18.05,$17.56
01/02/2024,$18.15,"9,414",$17.5069,$18.15,$17.5069
12/29/2023,$17.528,"7,427",$17.50,$17.63,$17.50
12/28/2023,$17.50,"11,000",$17.75,$17.7781,$17.31
12/27/2023,$17.79,"11,267",$17.92,$17.9353,$17.50
12/26/2023,$17.82,"8,162",$17.87,$17.9623,$17.5638
12/22/2023,$17.80,"5,547",$17.48,$17.8799,$17.48
12/21/2023,$17.3794,"7,279",$17.53,$17.7074,$17.305
12/20/2023,$17.6499,"5,070",$17.70,$17.79,$17.511
12/19/2023,$17.45,"27,134",$17.25,$17.65,$17.0209
12/18/2023,$17.40,"15,763",$17.54,$17.65,$17.39
12/15/2023,$17.54,"7,378",$17.84,$17.84,$17.51
12/14/2023,$17.4799,"16,261",$17.20,$17.48,$17.20
12/13/2023,$17.03,"42,225",$17.28,$17.37,$16.60
12/12/2023,$17.22,"4,248",$17.29,$17.30,$17.22
12/11/2023,$17.36,"6,674",$17.24,$17.36,$17.22
12/08/2023,$17.24,"3,689",$17.175,$17.25,$17.10
12/07/2023,$17.03,"9,153",$17.13,$17.25,$17.01
12/06/2023,$17.05,"10,377",$16.9489,$17.13,$16.91
12/05/2023,$16.9299,"5,329",$16.76,$16.93,$16.76
12/04/2023,$16.58,"5,729",$16.62,$16.81,$16.55
12/01/2023,$16.55,"15,300",$16.35,$16.57,$16.3241
11/30/2023,$16.31,"19,096",$16.53,$16.60,$16.31
11/29/2023,$16.49,"12,136",$16.37,$16.55,$16.23
11/28/2023,$16.23,"18,908",$16.00,$16.4266,$16.00
11/27/2023,$16.145,"9,056",$16.20,$16.21,$16.00
11/24/2023,$16.23,237,$16.23,$16.23,$16.23
11/22/2023,$16.20,"11,335",$16.19,$16.36,$16.15
11/21/2023,$16.15,"1,316",$16.16,$16.16,$16.01
11/20/2023,$16.01,"3,949",$16.30,$16.30,$16.01
11/17/2023,$16.40,"2,473",$16.45,$16.50,$16.33
11/16/2023,$16.49,"2,822",$16.36,$16.50,$16.35
11/15/2023,$16.33,N/A,$16.33,$16.33,$16.33
11/14/2023,$16.33,"8,223",$16.40,$16.48,$16.33
11/13/2023,$16.22,N/A,$16.22,$16.22,$16.22
11/10/2023,$16.22,589,$16.22,$16.22,$16.22
11/09/2023,$16.30,"1,567",$16.30,$16.3179,$16.1001
11/08/2023,$16.10,"2,284",$16.085,$16.4264,$16.085
11/07/2023,$16.37,"4,414",$16.288,$16.371,$16.12
11/06/2023,$16.30,"2,946",$16.22,$16.40,$16.12
11/03/2023,$16.15,"9,341",$16.20,$16.28,$16.15
11/02/2023,$16.11,"7,465",$16.19,$16.35,$16.09
11/01/2023,$16.1178,"8,030",$16.25,$16.25,$16.09
10/31/2023,$15.864,"3,647",$15.99,$16.27,$15.864
10/30/2023,$15.5101,"1,846",$15.70,$15.7625,$15.5101
10/27/2023,$15.51,753,$16.3299,$16.3299,$15.46
10/26/2023,$15.46,"8,344",$15.65,$15.65,$15.33
10/25/2023,$15.65,"6,420",$16.30,$16.30,$15.31
10/24/2023,$16.25,"1,623",$16.30,$16.30,$16.25
10/23/2023,$15.87,"4,234",$16.45,$16.45,$15.87
10/20/2023,$16.63,"2,791",$16.78,$16.78,$16.5601
10/19/2023,$16.60,"7,707",$16.69,$16.805,$16.60
10/18/2023,$16.75,986,$16.7548,$16.83,$16.75
10/17/2023,$16.8158,795,$16.95,$16.95,$16.8158
10/16/2023,$17.10,"4,916",$17.34,$17.35,$17.10
10/13/2023,$17.19,"2,477",$16.9885,$17.19,$16.9885
10/12/2023,$17.00,"18,310",$17.04,$17.12,$16.925
10/11/2023,$17.0523,"1,478",$16.90,$17.0799,$16.90
10/10/2023,$16.8163,"4,334",$16.80,$16.821,$16.7501
