Date,Close,Volume,Open,High,Low
03/01/2024,$0.1676,"162,462",$0.175,$0.175,$0.1621
02/29/2024,$0.1631,"269,297",$0.1651,$0.1691,$0.1611
02/28/2024,$0.1651,"212,399",$0.17,$0.17,$0.1616
02/27/2024,$0.164,"531,580",$0.16,$0.1735,$0.156
02/26/2024,$0.1558,"229,294",$0.1545,$0.1636,$0.1532
02/23/2024,$0.1532,"635,461",$0.1627,$0.1699,$0.1523
02/22/2024,$0.1659,"568,614",$0.1862,$0.1871,$0.1618
02/21/2024,$0.1782,"166,575",$0.1901,$0.1901,$0.1758
02/20/2024,$0.1834,"588,874",$0.1876,$0.1974,$0.175
02/16/2024,$0.1876,"1,548,932",$0.1821,$0.2047,$0.173
02/15/2024,$0.1815,"619,628",$0.1792,$0.183,$0.1637
02/14/2024,$0.174,"665,085",$0.1676,$0.1786,$0.1603
02/13/2024,$0.1711,"322,727",$0.17,$0.175,$0.1676
02/12/2024,$0.1725,"270,215",$0.1635,$0.176,$0.1635
02/09/2024,$0.17,"229,709",$0.184,$0.184,$0.165
02/08/2024,$0.1725,"278,071",$0.168,$0.1799,$0.1623
02/07/2024,$0.168,"194,776",$0.17,$0.1751,$0.1646
02/06/2024,$0.1725,"371,848",$0.1686,$0.1765,$0.165
02/05/2024,$0.1738,"413,052",$0.175,$0.1799,$0.166
02/02/2024,$0.177,"916,411",$0.1705,$0.18,$0.163
02/01/2024,$0.1721,"1,143,075",$0.1952,$0.1999,$0.1699
01/31/2024,$0.2013,"2,775,835",$0.191,$0.2095,$0.185
01/30/2024,$0.2178,"5,145,453",$0.1814,$0.2222,$0.1689
01/29/2024,$0.179,"411,820",$0.1798,$0.182,$0.1693
01/26/2024,$0.1788,"812,937",$0.167,$0.19,$0.167
01/25/2024,$0.168,"668,569",$0.1767,$0.18,$0.1627
01/24/2024,$0.1768,"1,189,077",$0.1578,$0.1847,$0.1563
01/23/2024,$0.163,"228,819",$0.1526,$0.1639,$0.1526
01/22/2024,$0.1578,"194,649",$0.155,$0.16,$0.154
01/19/2024,$0.155,"321,275",$0.1648,$0.1649,$0.1494
01/18/2024,$0.159,"577,834",$0.157,$0.165,$0.154
01/17/2024,$0.1562,"375,235",$0.1552,$0.1629,$0.155
01/16/2024,$0.1614,"1,848,865",$0.1619,$0.1745,$0.1547
01/12/2024,$0.1601,"958,260",$0.1478,$0.1672,$0.1466
01/11/2024,$0.1529,"889,904",$0.1525,$0.1595,$0.1373
