Date,Close,Volume,Open,High,Low
03/01/2024,$11.43,"31,408",$11.50,$11.63,$11.40
02/29/2024,$11.50,"20,151",$11.54,$11.65,$11.48
02/28/2024,$11.51,"14,989",$11.61,$11.67,$11.48
02/27/2024,$11.59,"22,593",$11.42,$11.63,$11.42
02/26/2024,$11.44,"29,737",$11.65,$11.67,$11.43
02/23/2024,$11.54,"21,592",$11.55,$11.68,$11.45
02/22/2024,$11.57,"26,380",$11.40,$11.57,$11.38
02/21/2024,$11.38,"16,850",$11.41,$11.48,$11.21
02/20/2024,$11.27,"34,330",$11.12,$11.42,$11.05
02/16/2024,$11.22,"35,136",$11.25,$11.4011,$11.20
02/15/2024,$11.33,"18,454",$11.32,$11.44,$11.32
02/14/2024,$11.305,"20,059",$11.41,$11.465,$11.23
02/13/2024,$11.35,"12,857",$11.40,$11.50,$11.2801
02/12/2024,$11.43,"49,228",$11.53,$11.57,$11.356
02/09/2024,$11.50,"17,627",$11.53,$11.7117,$11.42
02/08/2024,$11.49,"15,850",$11.43,$11.62,$11.40
02/07/2024,$11.66,"121,952",$11.62,$11.69,$11.3985
02/06/2024,$11.37,"37,315",$11.20,$11.37,$11.20
02/05/2024,$11.32,"31,378",$11.44,$11.44,$11.32
02/02/2024,$11.35,"14,547",$11.29,$11.4486,$11.29
02/01/2024,$11.31,"21,047",$11.49,$11.63,$11.25
01/31/2024,$11.54,"17,695",$11.45,$11.72,$11.35
01/30/2024,$11.55,"37,549",$11.44,$11.749,$11.44
01/29/2024,$11.45,"61,139",$11.70,$11.70,$11.281
01/26/2024,$11.77,"29,328",$11.85,$11.98,$11.7001
01/25/2024,$11.77,"20,111",$11.99,$11.99,$11.75
01/24/2024,$11.871,"24,782",$12.03,$12.065,$11.81
01/23/2024,$12.03,"25,333",$11.96,$12.05,$11.77
01/22/2024,$11.87,"44,723",$11.93,$12.05,$11.87
01/19/2024,$11.84,"29,334",$11.85,$11.93,$11.80
