Date,Close,Volume,Open,High,Low
03/01/2024,$17.21,"1,089,086",$16.96,$17.305,$16.86
02/29/2024,$16.92,"1,750,354",$16.72,$17.13,$16.67
02/28/2024,$16.52,"1,007,063",$16.87,$17.11,$16.52
02/27/2024,$17.08,"2,181,609",$17.47,$17.52,$16.88
02/26/2024,$17.26,"1,191,601",$17.15,$17.37,$17.03
02/23/2024,$17.25,"1,222,060",$17.16,$17.3302,$16.99
02/22/2024,$17.11,"1,339,122",$16.92,$17.275,$16.88
02/21/2024,$17.03,"1,300,130",$16.46,$17.05,$16.41
02/20/2024,$16.46,"1,792,365",$15.88,$16.545,$15.80
02/16/2024,$16.10,"1,362,979",$16.73,$16.73,$16.045
02/15/2024,$16.86,"1,669,860",$16.37,$16.88,$16.2914
02/14/2024,$16.32,"1,638,060",$16.36,$16.405,$15.935
02/13/2024,$16.25,"3,130,287",$16.29,$16.56,$16.10
02/12/2024,$16.80,"3,061,707",$15.53,$16.82,$15.53
02/09/2024,$15.52,"2,263,966",$15.93,$15.935,$15.4825
02/08/2024,$16.11,"6,272,080",$16.20,$16.365,$15.49
02/07/2024,$16.39,"4,444,144",$15.78,$16.41,$15.185
02/06/2024,$14.37,"2,825,826",$14.23,$14.60,$14.02
02/05/2024,$14.51,"1,848,583",$14.72,$14.7929,$14.30
02/02/2024,$15.00,"1,706,469",$14.71,$15.155,$14.60
02/01/2024,$14.93,"3,830,639",$14.75,$14.955,$14.505
01/31/2024,$14.56,"3,866,177",$15.13,$15.14,$14.49
01/30/2024,$15.09,"1,380,503",$15.04,$15.34,$14.99
01/29/2024,$15.19,"1,482,333",$15.24,$15.26,$14.93
01/26/2024,$15.32,"1,098,154",$15.15,$15.50,$15.125
01/25/2024,$15.04,"968,010",$15.05,$15.105,$14.83
01/24/2024,$14.81,"1,072,551",$15.17,$15.17,$14.72
01/23/2024,$14.97,"1,575,920",$15.17,$15.26,$14.845
01/22/2024,$14.92,"1,514,259",$15.06,$15.305,$14.92
01/19/2024,$15.00,"1,143,964",$14.76,$15.08,$14.50
01/18/2024,$14.68,"1,125,847",$14.71,$14.73,$14.455
01/17/2024,$14.67,"1,304,650",$15.06,$15.18,$14.66
01/16/2024,$15.35,"1,059,946",$15.57,$15.57,$15.275
01/12/2024,$15.39,"719,255",$15.89,$15.95,$15.38
01/11/2024,$15.66,"1,566,596",$15.67,$15.74,$15.41
01/10/2024,$15.65,"1,331,901",$15.42,$15.705,$15.42
01/09/2024,$15.53,"1,526,801",$15.60,$15.62,$15.39
01/08/2024,$15.88,"1,294,265",$15.41,$15.88,$15.41
01/05/2024,$15.51,"1,436,393",$15.21,$15.725,$15.19
01/04/2024,$15.28,"1,834,710",$15.27,$15.53,$15.08
01/03/2024,$15.20,"2,672,798",$15.91,$16.0294,$15.20
01/02/2024,$16.22,"1,111,548",$16.17,$16.585,$16.10
12/29/2023,$16.38,"977,330",$16.58,$16.62,$16.285
12/28/2023,$16.65,"910,473",$16.90,$16.9752,$16.56
12/27/2023,$16.97,"1,306,811",$17.31,$17.35,$16.95
12/26/2023,$17.26,"3,297,746",$16.66,$17.325,$16.66
12/22/2023,$16.76,"936,433",$16.59,$16.77,$16.495
12/21/2023,$16.49,"1,713,173",$16.03,$16.53,$15.89
12/20/2023,$15.88,"2,124,895",$16.07,$16.33,$15.85
12/19/2023,$16.14,"1,729,525",$15.96,$16.20,$15.96
12/18/2023,$15.86,"1,714,664",$15.90,$16.015,$15.81
12/15/2023,$15.83,"4,847,494",$16.19,$16.22,$15.82
12/14/2023,$16.12,"1,812,896",$16.20,$16.63,$15.985
12/13/2023,$15.93,"2,095,280",$15.42,$15.995,$15.27
12/12/2023,$15.44,"957,898",$15.44,$15.53,$15.32
12/11/2023,$15.55,"1,136,551",$15.43,$15.59,$15.34
12/08/2023,$15.36,"1,269,121",$15.39,$15.69,$15.29
12/07/2023,$15.45,"1,351,272",$15.35,$15.53,$15.22
12/06/2023,$15.32,"1,113,251",$15.44,$15.66,$15.30
12/05/2023,$15.35,"1,826,105",$15.55,$15.68,$15.31
12/04/2023,$15.68,"1,497,849",$15.44,$15.85,$15.43
12/01/2023,$15.49,"1,778,085",$14.74,$15.52,$14.60
11/30/2023,$14.76,"1,511,584",$14.80,$14.98,$14.63
11/29/2023,$14.75,"1,034,376",$14.84,$15.02,$14.70
11/28/2023,$14.68,"1,500,926",$14.81,$14.81,$14.5169
11/27/2023,$14.79,"941,307",$14.76,$14.84,$14.55
11/24/2023,$14.88,"1,063,712",$14.82,$14.95,$14.79
11/22/2023,$14.81,"774,055",$14.95,$15.01,$14.77
11/21/2023,$14.77,"1,122,764",$14.81,$14.91,$14.725
11/20/2023,$14.92,"1,002,470",$14.95,$15.02,$14.77
11/17/2023,$15.01,"2,202,087",$14.80,$15.06,$14.76
11/16/2023,$14.65,"1,554,220",$14.84,$14.92,$14.46
11/15/2023,$14.90,"2,435,857",$14.92,$15.08,$14.77
11/14/2023,$14.82,"1,912,133",$14.35,$14.85,$14.325
11/13/2023,$13.90,"2,200,175",$14.51,$14.59,$13.82
11/10/2023,$14.60,"2,009,823",$14.64,$14.67,$14.33
11/09/2023,$14.65,"2,122,244",$14.90,$14.92,$14.50
11/08/2023,$14.72,"2,136,858",$14.82,$14.97,$14.69
11/07/2023,$14.75,"1,910,138",$14.39,$14.815,$14.35
11/06/2023,$14.52,"2,424,823",$15.00,$15.015,$14.49
11/03/2023,$14.95,"2,299,135",$14.79,$15.221,$14.745
11/02/2023,$14.51,"2,571,553",$14.84,$14.84,$14.34
11/01/2023,$14.63,"4,787,337",$14.00,$15.00,$13.56
10/31/2023,$15.45,"1,582,297",$15.57,$15.70,$15.395
10/30/2023,$15.50,"2,175,039",$15.42,$15.60,$15.17
10/27/2023,$15.24,"1,330,663",$15.13,$15.285,$14.89
10/26/2023,$15.07,"2,049,307",$14.91,$15.245,$14.87
10/25/2023,$14.86,"1,597,987",$14.97,$15.10,$14.80
10/24/2023,$15.12,"1,188,127",$15.08,$15.215,$14.99
10/23/2023,$14.92,"1,821,776",$15.13,$15.26,$14.90
10/20/2023,$15.19,"2,125,614",$15.40,$15.47,$15.16
10/19/2023,$15.39,"1,966,155",$15.25,$15.77,$15.25
10/18/2023,$15.41,"1,447,852",$15.37,$15.59,$15.30
10/17/2023,$15.65,"1,787,954",$15.22,$15.76,$15.21
10/16/2023,$15.40,"1,154,711",$15.69,$15.69,$15.33
10/13/2023,$15.47,"1,635,950",$15.70,$15.73,$15.28
10/12/2023,$15.56,"1,650,933",$16.20,$16.20,$15.45
10/11/2023,$16.31,"1,688,644",$16.09,$16.4614,$16.09
10/10/2023,$15.73,"1,447,642",$15.71,$16.00,$15.635
10/09/2023,$15.71,"1,124,479",$15.47,$15.8762,$15.32
10/06/2023,$15.57,"1,645,929",$15.81,$15.89,$15.38
10/05/2023,$15.87,"2,476,708",$16.25,$16.34,$15.64
10/04/2023,$16.28,"1,821,235",$16.19,$16.4199,$15.865
10/03/2023,$16.04,"2,661,679",$16.29,$16.43,$15.97
10/02/2023,$16.59,"1,459,281",$16.62,$16.75,$16.43
09/29/2023,$16.73,"1,539,708",$17.26,$17.35,$16.69
09/28/2023,$17.05,"1,745,254",$16.90,$17.20,$16.88
09/27/2023,$16.95,"942,046",$17.12,$17.19,$16.92
09/26/2023,$16.95,"938,811",$17.19,$17.33,$16.94
09/25/2023,$17.29,"1,205,175",$17.09,$17.50,$17.07
09/22/2023,$17.19,"1,085,226",$17.78,$17.875,$17.19
09/21/2023,$17.78,"1,028,734",$18.03,$18.08,$17.70
09/20/2023,$18.15,"916,717",$18.27,$18.50,$18.13
09/19/2023,$18.22,"2,014,427",$18.05,$18.24,$17.93
09/18/2023,$17.95,"1,135,616",$18.32,$18.325,$17.93
09/15/2023,$18.31,"3,270,402",$18.24,$18.345,$17.98
09/14/2023,$18.37,"1,941,934",$18.30,$18.699,$18.30
09/13/2023,$18.02,"1,837,176",$18.29,$18.445,$17.895
09/12/2023,$18.55,"1,011,020",$18.45,$18.66,$18.30
09/11/2023,$18.48,"745,437",$18.91,$19.04,$18.425
09/08/2023,$18.63,"993,165",$18.83,$18.84,$18.58
09/07/2023,$18.89,"1,170,340",$19.24,$19.33,$18.82
09/06/2023,$19.29,"752,146",$19.56,$19.89,$19.27
09/05/2023,$19.47,"821,365",$19.91,$19.935,$19.23
09/01/2023,$20.28,"783,988",$20.09,$20.29,$20.01
08/31/2023,$19.86,"616,254",$19.88,$19.985,$19.71
08/30/2023,$19.89,"737,359",$19.68,$19.90,$19.68
08/29/2023,$19.80,"500,719",$19.56,$19.84,$19.545
08/28/2023,$19.49,"458,670",$19.54,$19.80,$19.44
08/25/2023,$19.46,"443,625",$19.38,$19.57,$19.08
08/24/2023,$19.33,"610,956",$19.35,$19.72,$19.30
08/23/2023,$19.53,"542,530",$19.30,$19.65,$19.1525
08/22/2023,$19.29,"769,168",$19.19,$19.425,$18.97
08/21/2023,$19.04,"1,283,630",$19.31,$19.31,$18.88
08/18/2023,$19.21,"811,539",$19.01,$19.315,$18.92
08/17/2023,$19.20,"1,055,919",$19.34,$19.64,$18.94
08/16/2023,$19.30,"699,702",$19.28,$19.59,$19.23
08/15/2023,$19.28,"936,474",$19.70,$19.70,$19.14
08/14/2023,$19.83,"878,646",$19.94,$19.94,$19.51
08/11/2023,$19.95,"567,693",$20.15,$20.16,$19.69
08/10/2023,$20.23,"583,715",$19.96,$20.26,$19.87
08/09/2023,$19.95,"807,142",$20.20,$20.31,$19.82
08/08/2023,$20.15,"680,694",$19.62,$20.25,$19.3871
08/07/2023,$19.98,"1,367,173",$19.55,$20.10,$19.48
08/04/2023,$19.56,"1,897,027",$20.58,$20.73,$19.52
08/03/2023,$20.73,"1,461,748",$20.03,$20.86,$19.85
08/02/2023,$20.00,"3,463,863",$21.97,$21.97,$19.485
08/01/2023,$22.43,"1,283,531",$22.61,$22.75,$22.31
07/31/2023,$22.96,"815,207",$23.25,$23.40,$22.88
07/28/2023,$23.23,"683,497",$23.23,$23.44,$23.0825
07/27/2023,$23.08,"727,034",$23.19,$23.49,$22.94
07/26/2023,$22.95,"881,268",$23.26,$23.42,$22.81
07/25/2023,$23.36,"652,213",$22.89,$23.57,$22.81
07/24/2023,$22.94,"513,033",$22.98,$23.105,$22.73
07/21/2023,$22.99,"753,701",$23.16,$23.23,$22.87
07/20/2023,$23.06,"591,564",$23.40,$23.40,$22.75
07/19/2023,$23.35,"773,554",$23.225,$23.3789,$22.96
07/18/2023,$23.19,"789,255",$22.75,$23.395,$22.7053
07/17/2023,$22.74,"660,733",$22.53,$22.80,$22.4781
07/14/2023,$22.68,"742,838",$22.44,$22.71,$22.275
07/13/2023,$22.59,"1,023,634",$22.18,$22.66,$22.11
07/12/2023,$22.18,"724,920",$22.23,$22.285,$21.94
07/11/2023,$21.77,"932,640",$21.40,$21.8163,$21.26
07/10/2023,$21.21,"692,978",$20.99,$21.55,$20.99
07/07/2023,$21.42,"694,251",$20.92,$21.66,$20.865
07/06/2023,$20.96,"588,471",$21.04,$21.04,$20.565
07/05/2023,$21.17,"778,157",$21.67,$21.67,$21.125
07/03/2023,$21.91,"487,380",$21.29,$21.98,$21.29
06/30/2023,$21.33,"1,143,154",$21.17,$21.45,$21.005
06/29/2023,$21.01,"654,007",$20.57,$21.08,$20.51
06/28/2023,$20.64,"673,316",$20.56,$20.715,$20.41
06/27/2023,$20.69,"1,018,272",$20.34,$21.00,$20.26
06/26/2023,$20.40,"1,073,810",$20.28,$20.66,$20.28
06/23/2023,$20.16,"2,228,911",$20.62,$21.01,$20.15
06/22/2023,$21.02,"1,075,260",$20.86,$21.105,$20.46
06/21/2023,$20.85,"719,090",$20.72,$21.005,$20.52
06/20/2023,$20.81,"787,062",$20.72,$20.99,$20.53
06/16/2023,$20.94,"2,920,758",$21.53,$21.72,$20.64
06/15/2023,$21.11,"898,803",$20.75,$21.135,$20.595
06/14/2023,$20.86,"1,468,221",$21.49,$21.57,$20.10
06/13/2023,$21.44,"1,022,307",$21.11,$21.73,$21.0759
06/12/2023,$21.15,"1,128,830",$20.81,$21.20,$20.61
06/09/2023,$20.88,"1,002,377",$21.24,$21.47,$20.855
06/08/2023,$21.42,"1,713,189",$22.32,$22.32,$21.35
06/07/2023,$22.37,"1,347,986",$22.15,$22.735,$22.01
06/06/2023,$21.97,"811,825",$21.52,$22.12,$21.52
06/05/2023,$21.63,"950,555",$21.66,$21.87,$20.99
06/02/2023,$21.99,"927,472",$21.32,$22.01,$21.30
06/01/2023,$20.84,"614,534",$20.66,$21.10,$20.54
05/31/2023,$20.72,"959,757",$21.36,$21.495,$20.40
05/30/2023,$21.44,"667,601",$21.78,$21.88,$21.325
05/26/2023,$21.90,"696,423",$21.84,$22.10,$21.67
05/25/2023,$21.75,"640,893",$21.51,$21.75,$21.30
05/24/2023,$21.61,"678,117",$21.84,$21.945,$21.47
05/23/2023,$22.08,"861,302",$21.94,$22.47,$21.77
05/22/2023,$22.14,"724,009",$21.87,$22.24,$21.8195
05/19/2023,$21.88,"799,660",$22.13,$22.22,$21.59
05/18/2023,$21.55,"1,008,974",$21.40,$21.625,$20.98
05/17/2023,$21.48,"1,027,035",$21.12,$21.66,$21.02
05/16/2023,$20.92,"741,122",$21.11,$21.15,$20.78
05/15/2023,$21.13,"625,397",$21.07,$21.19,$20.92
05/12/2023,$20.96,"580,898",$20.95,$21.145,$20.685
05/11/2023,$20.89,"661,897",$20.83,$20.95,$20.66
05/10/2023,$20.95,"898,030",$21.50,$21.6018,$20.79
05/09/2023,$21.33,"703,453",$21.47,$21.5325,$21.2359
05/08/2023,$21.51,"617,063",$21.83,$21.83,$21.27
05/05/2023,$21.75,"901,273",$21.48,$21.92,$21.25
05/04/2023,$21.32,"638,822",$21.42,$21.63,$21.17
05/03/2023,$21.52,"872,428",$22.12,$22.25,$21.46
05/02/2023,$22.11,"747,825",$22.34,$22.34,$21.49
05/01/2023,$22.47,"956,286",$22.75,$22.99,$22.44
04/28/2023,$22.47,"969,712",$22.51,$22.70,$22.29
04/27/2023,$22.65,"1,386,633",$21.97,$22.79,$21.75
04/26/2023,$21.14,"2,702,727",$23.09,$23.09,$21.06
04/25/2023,$21.05,"1,260,913",$20.86,$21.215,$20.68
04/24/2023,$21.42,"1,048,560",$21.61,$21.86,$21.34
04/21/2023,$21.56,"895,257",$21.80,$21.80,$21.29
04/20/2023,$21.88,"971,730",$22.57,$22.64,$21.81
04/19/2023,$22.32,"1,433,544",$22.03,$22.42,$21.79
04/18/2023,$22.04,"1,165,469",$22.56,$22.57,$21.74
04/17/2023,$22.55,"458,012",$22.66,$22.76,$22.14
04/14/2023,$22.48,"1,139,005",$22.62,$22.965,$22.36
04/13/2023,$22.65,"810,000",$22.66,$22.86,$22.31
04/12/2023,$22.60,"738,267",$22.65,$22.80,$22.28
04/11/2023,$22.59,"826,258",$22.18,$22.72,$22.18
04/10/2023,$22.02,"1,206,222",$22.08,$22.53,$21.94
04/06/2023,$22.08,"857,146",$22.60,$22.60,$21.975
04/05/2023,$22.52,"818,833",$22.56,$22.785,$22.095
04/04/2023,$22.46,"1,153,639",$22.83,$22.94,$22.025
04/03/2023,$22.94,"929,260",$22.69,$23.05,$22.42
03/31/2023,$22.71,"1,079,922",$22.75,$22.889,$22.465
03/30/2023,$22.55,"937,272",$22.13,$22.55,$21.94
03/29/2023,$21.83,"907,250",$22.26,$22.35,$21.79
03/28/2023,$21.90,"615,148",$21.65,$22.08,$21.53
03/27/2023,$21.72,"740,668",$21.38,$21.82,$21.20
03/24/2023,$21.20,"851,144",$20.85,$21.235,$20.74
03/23/2023,$21.30,"677,546",$21.71,$21.97,$21.13
