Date,Close,Volume,Open,High,Low
03/01/2024,$0.4484,"21,184",$0.4821,$0.4828,$0.41
02/29/2024,$0.462,"9,092",$0.4828,$0.4828,$0.4505
02/28/2024,$0.4828,"14,408",$0.4599,$0.4847,$0.4381
02/27/2024,$0.4379,"25,532",$0.43,$0.48,$0.4278
02/26/2024,$0.43,"41,490",$0.4299,$0.43,$0.3903
02/23/2024,$0.42,"21,082",$0.40,$0.429,$0.39
02/22/2024,$0.421,"82,564",$0.47,$0.50,$0.40
02/21/2024,$0.476,"38,226",$0.4899,$0.49,$0.4401
02/20/2024,$0.4504,"22,354",$0.45,$0.4991,$0.4401
02/16/2024,$0.425,"91,320",$0.542,$0.542,$0.3622
02/15/2024,$0.5099,"12,020",$0.484,$0.519,$0.461
02/14/2024,$0.4945,"19,529",$0.515,$0.518,$0.471
02/13/2024,$0.471,"9,725",$0.48,$0.5216,$0.47
02/12/2024,$0.4702,"27,883",$0.4999,$0.4999,$0.47
02/09/2024,$0.4899,"72,546",$0.5227,$0.5449,$0.48
02/08/2024,$0.5201,"14,258",$0.53,$0.545,$0.5125
02/07/2024,$0.5449,"13,017",$0.52,$0.545,$0.52
02/06/2024,$0.52,"19,769",$0.5101,$0.57,$0.5101
02/05/2024,$0.5655,"24,262",$0.5659,$0.5659,$0.4901
02/02/2024,$0.5301,"36,519",$0.5401,$0.5401,$0.4999
02/01/2024,$0.5356,"23,152",$0.5599,$0.5799,$0.5012
01/31/2024,$0.549,"8,295",$0.57,$0.5895,$0.549
01/30/2024,$0.5776,"2,653",$0.5892,$0.5898,$0.55
01/29/2024,$0.549,"7,613",$0.5699,$0.5895,$0.549
01/26/2024,$0.552,"12,808",$0.564,$0.6298,$0.5501
01/25/2024,$0.52,"11,199",$0.577,$0.592,$0.52
01/24/2024,$0.5774,"75,783",$0.6399,$0.6399,$0.5774
01/23/2024,$0.6099,"2,212",$0.5948,$0.6099,$0.5948
01/22/2024,$0.5807,"3,783",$0.5995,$0.6095,$0.5807
01/19/2024,$0.60,"4,270",$0.60,$0.60,$0.5669
01/18/2024,$0.6095,"7,646",$0.60,$0.642,$0.575
01/17/2024,$0.60,"3,728",$0.5302,$0.60,$0.5302
01/16/2024,$0.61,"9,330",$0.5925,$0.61,$0.5522
01/12/2024,$0.6348,"3,773",$0.5754,$0.65,$0.5754
01/11/2024,$0.5993,"5,046",$0.5806,$0.6001,$0.5751
01/10/2024,$0.615,"4,704",$0.64,$0.64,$0.5917
01/09/2024,$0.607,"12,548",$0.581,$0.609,$0.54
