Date,Close,Volume,Open,High,Low
03/01/2024,$17.3164,310,$17.3164,$17.3164,$17.3164
02/29/2024,$17.27,314,$17.27,$17.27,$17.27
02/28/2024,$16.75,"2,356",$16.73,$17.349,$16.73
02/27/2024,$17.00,"1,378",$16.84,$17.00,$16.84
02/26/2024,$16.84,"1,091",$16.58,$16.84,$16.58
02/23/2024,$16.675,"4,018",$16.76,$16.8499,$16.66
02/22/2024,$16.85,"3,262",$16.99,$16.99,$16.81
02/21/2024,$16.88,"1,312",$16.89,$16.89,$16.88
02/20/2024,$17.10,"1,721",$17.01,$17.34,$17.01
02/16/2024,$16.95,"1,103",$16.95,$16.95,$16.95
02/15/2024,$17.34,593,$17.50,$17.50,$17.06
02/14/2024,$17.70,"3,766",$16.98,$17.70,$16.74
02/13/2024,$16.99,"4,613",$16.95,$17.90,$16.95
02/12/2024,$17.22,"1,137",$17.42,$17.42,$17.22
02/09/2024,$17.4249,360,$17.4249,$17.4249,$17.4249
02/08/2024,$17.01,"2,310",$16.70,$17.50,$16.70
02/07/2024,$17.10,"6,661",$17.54,$17.76,$16.85
02/06/2024,$17.50,885,$17.74,$17.74,$17.50
02/05/2024,$17.75,"2,030",$17.85,$17.85,$17.16
02/02/2024,$17.98,237,$17.98,$17.98,$17.98
02/01/2024,$18.08,"2,883",$18.1359,$18.1359,$18.00
01/31/2024,$18.02,"2,164",$18.0901,$18.11,$17.954
01/30/2024,$18.2975,373,$18.4658,$18.4658,$18.2975
01/29/2024,$18.16,"1,195",$18.345,$18.41,$18.16
01/26/2024,$18.36,"3,547",$18.25,$18.56,$18.25
01/25/2024,$18.1188,N/A,$18.1188,$18.1188,$18.1188
01/24/2024,$18.1188,349,$18.1188,$18.1188,$18.1188
01/23/2024,$18.05,315,$18.05,$18.05,$18.05
01/22/2024,$18.02,374,$18.02,$18.02,$18.02
01/19/2024,$17.95,"2,412",$18.00,$18.30,$17.95
01/18/2024,$17.85,815,$17.85,$17.85,$17.85
01/17/2024,$17.81,"2,730",$17.85,$17.85,$17.80
01/16/2024,$17.65,"1,330",$17.65,$17.65,$17.60
01/12/2024,$17.5301,"8,042",$18.475,$18.475,$17.5301
01/11/2024,$17.90,564,$17.90,$17.90,$17.90
01/10/2024,$18.10,"2,712",$17.5615,$18.25,$17.5615
01/09/2024,$18.48,N/A,$18.48,$18.48,$18.48
01/08/2024,$18.48,N/A,$18.48,$18.48,$18.48
01/05/2024,$18.48,N/A,$18.48,$18.48,$18.48
01/04/2024,$18.48,147,$18.48,$18.48,$18.48
