Date,Close,Volume,Open,High,Low
03/01/2024,$14.78,"2,883,774",$14.44,$15.03,$14.24
02/29/2024,$14.37,"3,366,384",$14.18,$14.68,$14.155
02/28/2024,$14.32,"2,890,315",$14.49,$14.645,$14.225
02/27/2024,$14.69,"1,928,956",$14.96,$14.98,$14.56
02/26/2024,$14.76,"2,753,569",$14.42,$14.91,$14.41
02/23/2024,$14.54,"3,416,280",$14.93,$14.98,$14.24
02/22/2024,$14.73,"9,195,658",$13.64,$14.86,$13.64
02/21/2024,$12.43,"3,373,345",$12.31,$12.55,$12.30
02/20/2024,$12.43,"6,947,203",$12.58,$12.68,$12.27
02/16/2024,$12.81,"2,386,308",$12.85,$13.06,$12.68
02/15/2024,$13.12,"1,602,634",$12.95,$13.26,$12.90
02/14/2024,$12.75,"1,441,318",$12.92,$12.99,$12.62
02/13/2024,$12.75,"1,973,553",$12.72,$12.93,$12.51
02/12/2024,$13.30,"1,165,208",$12.91,$13.47,$12.91
02/09/2024,$12.84,"1,008,339",$12.85,$12.88,$12.575
02/08/2024,$12.85,"1,675,955",$12.75,$12.97,$12.71
02/07/2024,$12.72,"1,301,997",$12.74,$12.855,$12.52
02/06/2024,$12.70,"1,338,972",$12.73,$13.045,$12.68
02/05/2024,$12.73,"987,225",$12.78,$12.845,$12.525
02/02/2024,$13.04,"1,413,980",$13.04,$13.22,$12.835
02/01/2024,$13.30,"1,346,988",$13.10,$13.35,$12.885
01/31/2024,$13.02,"1,709,883",$13.50,$13.735,$13.00
01/30/2024,$13.52,"1,344,937",$13.80,$13.845,$13.52
01/29/2024,$13.93,"1,470,045",$13.69,$14.005,$13.535
01/26/2024,$13.72,"979,350",$13.82,$13.94,$13.65
01/25/2024,$13.64,"5,195,231",$13.92,$14.035,$13.545
01/24/2024,$13.55,"1,890,170",$13.79,$13.79,$13.335
01/23/2024,$13.42,"1,112,294",$13.67,$13.71,$13.29
01/22/2024,$13.41,"1,708,337",$13.58,$13.755,$13.40
01/19/2024,$13.42,"1,962,695",$13.17,$13.50,$12.91
01/18/2024,$13.09,"1,900,664",$13.30,$13.35,$12.935
01/17/2024,$13.11,"1,923,901",$13.28,$13.49,$12.86
01/16/2024,$13.63,"2,318,437",$14.02,$14.09,$13.615
01/12/2024,$14.20,"2,281,761",$14.43,$14.56,$14.09
01/11/2024,$14.21,"1,847,657",$14.01,$14.22,$13.80
01/10/2024,$14.14,"1,567,841",$13.81,$14.14,$13.78
01/09/2024,$13.87,"1,454,004",$13.87,$14.00,$13.81
01/08/2024,$14.16,"1,952,846",$13.67,$14.28,$13.67
01/05/2024,$13.75,"1,020,517",$13.32,$13.96,$13.27
01/04/2024,$13.49,"1,747,595",$13.57,$13.63,$13.40
01/03/2024,$13.51,"2,399,717",$13.84,$13.87,$13.48
01/02/2024,$14.13,"2,627,786",$13.83,$14.355,$13.78
12/29/2023,$13.96,"1,730,925",$14.28,$14.28,$13.92
12/28/2023,$14.33,"1,160,623",$14.14,$14.39,$14.14
12/27/2023,$14.28,"1,540,521",$14.31,$14.48,$14.23
12/26/2023,$14.31,"2,492,302",$13.99,$14.425,$13.92
12/22/2023,$13.97,"1,710,707",$14.08,$14.23,$13.835
12/21/2023,$13.97,"3,172,073",$14.06,$14.16,$13.76
12/20/2023,$13.76,"3,722,590",$14.08,$14.395,$13.75
12/19/2023,$14.08,"4,121,187",$13.90,$14.365,$13.82
12/18/2023,$13.70,"3,212,565",$13.99,$13.99,$13.65
12/15/2023,$13.96,"8,375,636",$14.03,$14.10,$13.625
12/14/2023,$14.03,"5,128,209",$13.45,$14.17,$13.45
12/13/2023,$13.07,"4,671,016",$12.41,$13.27,$12.13
12/12/2023,$12.37,"5,619,505",$12.51,$12.51,$12.255
12/11/2023,$12.53,"4,911,190",$12.61,$12.775,$12.495
12/08/2023,$12.71,"3,555,158",$12.40,$12.86,$12.35
12/07/2023,$12.44,"3,333,095",$12.77,$12.80,$12.42
12/06/2023,$12.72,"1,907,335",$13.02,$13.13,$12.69
12/05/2023,$12.80,"1,776,965",$12.81,$12.88,$12.635
12/04/2023,$12.94,"1,568,113",$12.92,$13.0902,$12.795
12/01/2023,$12.98,"2,191,559",$12.14,$12.98,$11.9819
11/30/2023,$12.23,"3,843,454",$12.35,$12.4186,$12.165
11/29/2023,$12.59,"4,561,544",$12.73,$12.875,$12.535
11/28/2023,$12.56,"3,365,975",$12.36,$12.62,$12.135
11/27/2023,$12.35,"2,306,695",$12.30,$12.395,$12.06
11/24/2023,$12.31,"509,439",$12.33,$12.39,$12.14
11/22/2023,$12.30,"2,822,877",$12.68,$12.75,$12.27
11/21/2023,$12.45,"4,397,749",$12.57,$12.57,$12.33
11/20/2023,$12.73,"1,983,141",$12.56,$12.775,$12.315
11/17/2023,$12.56,"3,286,722",$12.39,$12.635,$12.37
11/16/2023,$12.29,"3,590,416",$12.39,$12.44,$12.215
11/15/2023,$12.44,"3,699,963",$12.23,$12.585,$12.23
11/14/2023,$12.18,"3,609,620",$11.60,$12.28,$11.59
11/13/2023,$11.21,"1,505,250",$11.24,$11.38,$11.06
11/10/2023,$11.42,"2,035,633",$11.50,$11.575,$11.30
11/09/2023,$11.44,"2,190,470",$11.93,$11.93,$11.31
11/08/2023,$11.86,"1,751,282",$11.89,$11.95,$11.735
11/07/2023,$11.90,"1,964,581",$11.83,$11.95,$11.67
11/06/2023,$11.88,"5,547,126",$12.12,$12.26,$11.79
11/03/2023,$12.00,"6,773,190",$11.00,$12.04,$11.00
11/02/2023,$10.77,"4,861,955",$10.22,$10.85,$10.134
11/01/2023,$9.80,"2,662,098",$9.79,$9.88,$9.57
10/31/2023,$9.76,"6,326,837",$9.84,$9.93,$9.50
10/30/2023,$9.74,"4,455,840",$9.75,$9.97,$9.39
10/27/2023,$9.62,"2,449,765",$10.04,$10.04,$9.57
10/26/2023,$9.88,"3,377,043",$9.72,$9.91,$9.60
10/25/2023,$9.66,"2,443,327",$9.75,$9.83,$9.47
10/24/2023,$9.87,"5,037,039",$9.49,$10.025,$9.49
10/23/2023,$9.42,"3,128,381",$9.00,$9.625,$9.00
10/20/2023,$9.08,"1,845,626",$9.22,$9.35,$9.06
10/19/2023,$9.24,"2,046,479",$9.20,$9.48,$9.165
10/18/2023,$9.30,"2,142,015",$9.58,$9.62,$9.25
10/17/2023,$9.69,"3,256,362",$9.12,$9.79,$9.12
10/16/2023,$9.23,"2,361,921",$8.85,$9.36,$8.74
10/13/2023,$8.62,"2,430,223",$8.97,$8.98,$8.57
10/12/2023,$8.85,"2,529,494",$8.80,$8.86,$8.525
10/11/2023,$8.81,"3,272,806",$8.98,$9.06,$8.765
10/10/2023,$8.88,"2,415,020",$8.70,$8.96,$8.585
10/09/2023,$8.61,"4,735,192",$8.20,$8.62,$8.20
10/06/2023,$8.36,"4,786,688",$8.45,$8.57,$8.18
10/05/2023,$8.56,"6,301,605",$9.07,$9.105,$8.55
10/04/2023,$9.22,"2,327,815",$9.24,$9.32,$9.015
10/03/2023,$9.16,"6,541,570",$9.53,$9.60,$9.07
10/02/2023,$9.61,"6,637,705",$10.00,$10.08,$9.585
09/29/2023,$10.10,"3,389,091",$10.19,$10.30,$10.06
09/28/2023,$9.99,"6,538,437",$9.84,$10.04,$9.755
09/27/2023,$9.83,"3,585,879",$10.10,$10.21,$9.82
09/26/2023,$10.05,"3,503,769",$10.16,$10.26,$9.97
09/25/2023,$10.31,"3,879,467",$10.16,$10.38,$10.055
09/22/2023,$10.19,"3,286,630",$10.26,$10.36,$10.15
09/21/2023,$10.20,"8,422,569",$10.44,$10.545,$10.15
09/20/2023,$10.59,"2,897,100",$10.69,$10.76,$10.57
09/19/2023,$10.61,"2,937,382",$10.41,$10.65,$10.34
09/18/2023,$10.45,"2,653,214",$10.79,$10.79,$10.40
09/15/2023,$10.81,"5,227,077",$10.81,$10.855,$10.55
09/14/2023,$10.88,"3,283,519",$10.59,$10.88,$10.58
09/13/2023,$10.43,"2,573,036",$10.62,$10.755,$10.39
09/12/2023,$10.68,"2,409,802",$10.82,$10.96,$10.67
09/11/2023,$10.88,"3,010,027",$11.11,$11.15,$10.77
09/08/2023,$10.96,"4,495,284",$10.65,$11.105,$10.60
09/07/2023,$10.74,"4,986,627",$10.86,$10.91,$10.40
09/06/2023,$10.99,"3,045,784",$11.06,$11.12,$10.94
09/05/2023,$11.07,"4,190,509",$11.29,$11.39,$10.855
09/01/2023,$11.40,"2,055,695",$11.47,$11.595,$11.305
08/31/2023,$11.35,"2,744,107",$11.62,$11.70,$11.34
08/30/2023,$11.93,"2,087,549",$11.93,$12.01,$11.86
08/29/2023,$11.94,"1,492,280",$11.78,$11.98,$11.655
08/28/2023,$11.80,"1,770,466",$11.75,$11.89,$11.72
08/25/2023,$11.62,"2,177,657",$11.65,$11.8375,$11.61
08/24/2023,$11.58,"4,771,331",$11.56,$11.735,$11.51
08/23/2023,$11.54,"4,052,686",$11.27,$11.56,$11.225
08/22/2023,$11.14,"2,192,723",$11.23,$11.3612,$11.02
08/21/2023,$10.98,"2,104,032",$11.10,$11.21,$10.915
08/18/2023,$11.07,"3,536,709",$10.90,$11.205,$10.86
08/17/2023,$10.99,"2,716,439",$11.23,$11.33,$10.99
08/16/2023,$11.23,"3,502,907",$11.00,$11.45,$10.87
08/15/2023,$11.05,"2,799,892",$11.04,$11.26,$11.02
08/14/2023,$11.24,"2,775,334",$11.46,$11.545,$11.11
08/11/2023,$11.63,"2,777,818",$11.75,$11.975,$11.525
08/10/2023,$11.89,"2,834,070",$12.09,$12.13,$11.83
08/09/2023,$12.00,"4,565,899",$11.58,$12.12,$11.36
08/08/2023,$11.60,"3,670,327",$11.90,$11.91,$11.515
08/07/2023,$12.13,"4,354,149",$12.25,$12.295,$11.575
08/04/2023,$12.14,"9,146,512",$11.782,$12.53,$11.54
08/03/2023,$14.51,"2,504,156",$14.45,$14.55,$13.93
08/02/2023,$14.75,"2,244,154",$15.19,$15.24,$14.685
08/01/2023,$15.44,"1,247,312",$15.48,$15.51,$15.12
