Date,Close,Volume,Open,High,Low
03/01/2024,$14.47,"55,329",$14.45,$14.49,$14.15
02/29/2024,$14.50,"520,745",$14.75,$15.40,$14.343
02/28/2024,$14.60,"72,218",$14.80,$14.8899,$14.2962
02/27/2024,$14.54,"67,351",$14.86,$14.86,$14.25
02/26/2024,$14.3501,"81,615",$14.55,$14.83,$14.34
02/23/2024,$14.54,"105,526",$15.02,$15.08,$14.30
02/22/2024,$15.11,"29,297",$15.26,$15.364,$15.08
02/21/2024,$15.24,"23,683",$15.58,$15.58,$15.2001
02/20/2024,$15.40,"31,234",$15.55,$15.86,$15.3201
02/16/2024,$15.55,"59,948",$16.00,$16.01,$15.50
02/15/2024,$16.16,"54,805",$16.37,$16.7483,$15.92
02/14/2024,$16.85,"20,224",$16.66,$16.895,$16.5901
02/13/2024,$16.60,"30,986",$16.65,$16.93,$16.4101
02/12/2024,$17.12,"28,620",$16.70,$17.37,$16.60
02/09/2024,$16.57,"41,099",$16.83,$16.85,$16.51
02/08/2024,$16.71,"26,279",$16.58,$16.88,$16.3599
02/07/2024,$16.5244,"53,756",$17.85,$17.85,$16.44
02/06/2024,$17.86,"18,076",$17.79,$17.99,$17.78
02/05/2024,$17.76,"34,902",$18.32,$18.32,$17.76
02/02/2024,$18.37,"39,352",$18.34,$18.47,$18.155
02/01/2024,$18.52,"53,079",$18.65,$18.9832,$18.34
01/31/2024,$18.45,"604,893",$19.89,$19.89,$18.43
01/30/2024,$17.48,"29,270",$17.42,$17.6772,$17.25
01/29/2024,$17.47,"20,638",$17.45,$17.65,$17.14
01/26/2024,$17.605,"34,849",$17.85,$17.88,$17.466
01/25/2024,$17.77,"37,773",$17.65,$18.37,$17.30
01/24/2024,$17.38,"19,421",$17.48,$17.48,$16.76
01/23/2024,$17.40,"23,212",$17.58,$17.729,$17.40
01/22/2024,$17.45,"36,982",$17.19,$17.76,$17.19
01/19/2024,$17.12,"44,671",$16.69,$17.1399,$16.43
01/18/2024,$16.67,"29,442",$16.69,$16.72,$16.46
01/17/2024,$16.54,"28,900",$16.79,$16.80,$16.41
01/16/2024,$16.81,"35,276",$17.00,$17.15,$16.73
01/12/2024,$16.98,"36,888",$17.00,$17.325,$16.90
01/11/2024,$16.91,"67,032",$17.66,$17.729,$16.84
01/10/2024,$17.86,"42,868",$18.07,$18.3365,$17.68
01/09/2024,$18.07,"64,984",$18.54,$18.54,$17.98
01/08/2024,$18.56,"24,094",$18.50,$18.885,$18.345
01/05/2024,$18.49,"33,561",$18.25,$18.94,$18.25
01/04/2024,$18.37,"25,816",$18.00,$18.37,$17.83
01/03/2024,$18.04,"115,255",$17.94,$18.52,$17.55
01/02/2024,$18.75,"112,364",$18.65,$18.92,$18.19
12/29/2023,$18.70,"78,956",$18.69,$19.00,$18.60
12/28/2023,$19.03,"70,774",$18.89,$19.30,$18.88
12/27/2023,$18.89,"48,342",$18.68,$18.90,$18.5717
12/26/2023,$18.81,"90,612",$18.95,$19.02,$18.81
12/22/2023,$18.87,"88,221",$18.95,$19.20,$18.83
12/21/2023,$18.94,"70,640",$19.44,$19.50,$18.691
12/20/2023,$19.53,"169,700",$19.91,$20.3101,$19.12
12/19/2023,$19.80,"82,322",$19.44,$19.99,$19.35
12/18/2023,$19.43,"79,538",$20.30,$20.3829,$19.40
12/15/2023,$20.28,"115,978",$20.52,$20.73,$20.03
12/14/2023,$20.83,"204,508",$20.35,$21.0247,$20.35
12/13/2023,$21.23,"174,650",$20.56,$21.77,$20.13
12/12/2023,$20.84,"101,083",$21.99,$21.99,$20.62
12/11/2023,$21.98,"122,500",$23.35,$23.50,$21.78
12/08/2023,$22.64,"112,777",$21.16,$22.88,$20.92
12/07/2023,$20.79,"34,747",$20.92,$21.06,$20.50
12/06/2023,$20.77,"841,090",$21.21,$21.68,$20.77
12/05/2023,$21.18,"64,049",$21.55,$21.55,$20.88
12/04/2023,$21.67,"96,464",$21.29,$21.77,$20.8301
12/01/2023,$21.34,"137,774",$20.08,$21.34,$19.72
11/30/2023,$19.78,"146,585",$19.86,$19.90,$19.33
11/29/2023,$19.62,"33,189",$19.34,$19.62,$19.04
11/28/2023,$19.14,"52,956",$19.50,$19.51,$18.90
11/27/2023,$19.40,"32,720",$19.50,$19.67,$19.05
11/24/2023,$19.42,"44,220",$19.46,$19.50,$19.35
11/22/2023,$19.41,"54,871",$19.10,$19.41,$19.10
11/21/2023,$19.0751,"26,677",$18.98,$19.11,$18.63
11/20/2023,$18.99,"82,362",$18.29,$19.355,$18.23
11/17/2023,$18.18,"42,889",$17.67,$18.2499,$17.62
11/16/2023,$17.6136,"20,488",$17.88,$18.12,$17.301
11/15/2023,$18.00,"29,117",$17.38,$18.0999,$17.38
11/14/2023,$17.29,"36,334",$17.01,$18.079,$17.01
11/13/2023,$16.81,"34,568",$16.89,$16.89,$16.65
11/10/2023,$16.8753,"32,670",$16.84,$16.95,$16.66
11/09/2023,$16.71,"85,257",$16.84,$17.1699,$16.27
11/08/2023,$16.50,"36,362",$17.02,$17.02,$16.35
11/07/2023,$17.62,"11,736",$17.75,$17.80,$17.47
11/06/2023,$17.75,"58,330",$18.68,$18.70,$17.2301
11/03/2023,$18.92,"157,307",$17.10,$18.95,$17.10
11/02/2023,$16.45,"52,836",$15.41,$16.78,$15.41
11/01/2023,$15.39,"43,542",$15.41,$15.44,$15.125
10/31/2023,$15.55,"124,089",$15.72,$15.72,$15.37
10/30/2023,$15.55,"22,363",$15.17,$15.65,$15.17
10/27/2023,$15.16,"16,251",$15.41,$15.50,$15.16
10/26/2023,$15.3938,"38,825",$15.35,$15.64,$15.16
10/25/2023,$15.53,"27,004",$15.65,$15.7937,$15.25
10/24/2023,$15.675,"37,353",$15.82,$16.00,$15.65
10/23/2023,$15.80,"76,641",$16.10,$16.18,$15.66
10/20/2023,$16.25,"26,267",$16.39,$16.49,$16.05
10/19/2023,$16.50,"27,406",$16.79,$16.90,$16.39
10/18/2023,$16.87,"173,657",$17.15,$17.17,$16.76
10/17/2023,$17.14,"32,812",$16.80,$17.3497,$16.80
10/16/2023,$16.89,"26,397",$16.63,$17.01,$16.5768
10/13/2023,$16.67,"21,350",$16.28,$16.67,$16.28
10/12/2023,$16.27,"17,847",$16.69,$16.83,$16.18
10/11/2023,$16.83,"19,996",$17.17,$17.2283,$16.81
10/10/2023,$17.17,"40,366",$16.74,$17.28,$16.70
10/09/2023,$16.53,"41,300",$16.30,$16.67,$16.04
10/06/2023,$16.55,"64,593",$16.25,$16.6785,$16.08
10/05/2023,$16.27,"44,153",$16.42,$16.54,$16.05
10/04/2023,$16.42,"58,848",$16.90,$16.90,$16.36
10/03/2023,$16.85,"50,458",$17.26,$17.43,$16.70
10/02/2023,$17.27,"110,795",$17.87,$17.88,$17.2101
09/29/2023,$17.75,"69,642",$17.80,$18.03,$17.64
09/28/2023,$17.67,"268,312",$17.54,$17.71,$17.39
09/27/2023,$17.48,"116,320",$17.21,$17.8299,$17.04
09/26/2023,$17.10,"73,749",$17.30,$17.51,$17.10
09/25/2023,$17.34,"111,251",$18.19,$18.20,$17.07
09/22/2023,$17.43,"76,840",$18.23,$18.23,$17.23
09/21/2023,$18.18,"44,469",$18.01,$18.46,$18.01
09/20/2023,$18.04,"44,826",$18.53,$18.86,$18.02
09/19/2023,$18.53,"59,250",$18.37,$18.60,$18.29
09/18/2023,$18.41,"72,965",$19.07,$19.07,$18.35
09/15/2023,$19.02,"330,971",$18.60,$19.73,$18.51
09/14/2023,$18.95,"151,316",$19.20,$19.43,$18.8101
09/13/2023,$20.16,"161,675",$20.78,$20.88,$19.77
09/12/2023,$20.51,"98,498",$20.32,$20.79,$20.135
09/11/2023,$20.44,"61,592",$20.50,$21.25,$20.29
09/08/2023,$20.33,"62,835",$19.75,$20.4005,$19.60
09/07/2023,$19.75,"58,379",$20.02,$20.02,$19.50
09/06/2023,$20.03,"127,552",$20.60,$20.60,$19.56
09/05/2023,$20.52,"117,617",$20.91,$20.9799,$20.45
09/01/2023,$20.81,"124,928",$21.98,$21.98,$20.45
08/31/2023,$22.14,"105,580",$21.98,$22.23,$21.54
08/30/2023,$21.77,"27,777",$21.85,$21.96,$21.4501
08/29/2023,$21.68,"15,400",$21.49,$21.7499,$21.417
08/28/2023,$21.50,"22,290",$21.31,$21.51,$21.2501
08/25/2023,$21.14,"56,420",$21.36,$21.5899,$21.00
08/24/2023,$21.45,"35,974",$21.55,$21.73,$21.249
08/23/2023,$21.48,"24,278",$21.08,$21.6498,$21.05
08/22/2023,$21.23,"39,194",$21.25,$21.40,$21.04
08/21/2023,$21.15,"29,707",$21.41,$21.47,$21.01
08/18/2023,$21.23,"118,902",$21.05,$21.42,$21.022
08/17/2023,$21.05,"111,942",$21.72,$21.82,$21.00
08/16/2023,$21.51,"76,615",$21.81,$22.15,$21.46
08/15/2023,$22.05,"24,633",$21.41,$22.24,$21.31
08/14/2023,$21.42,"45,542",$21.84,$21.90,$21.29
08/11/2023,$21.90,"32,046",$22.15,$22.18,$21.79
08/10/2023,$22.27,"16,113",$22.53,$22.59,$22.11
08/09/2023,$22.42,"36,616",$23.12,$23.12,$22.40
08/08/2023,$23.09,"29,089",$22.91,$23.28,$22.25
08/07/2023,$22.72,"38,289",$22.40,$23.00,$22.40
08/04/2023,$22.38,"32,833",$21.88,$22.49,$21.87
08/03/2023,$21.69,"41,014",$22.45,$22.45,$21.66
08/02/2023,$22.31,"17,915",$22.70,$22.88,$22.13
08/01/2023,$22.82,"17,612",$22.73,$22.92,$22.5025
07/31/2023,$22.85,"38,239",$21.92,$22.98,$21.92
07/28/2023,$21.93,"26,803",$21.66,$22.2274,$21.6401
07/27/2023,$21.57,"196,899",$22.13,$22.24,$21.50
07/26/2023,$21.94,"76,745",$21.70,$22.01,$21.67
07/25/2023,$21.71,"51,621",$22.35,$22.4999,$21.69
07/24/2023,$22.27,"41,754",$22.08,$22.68,$22.08
07/21/2023,$22.17,"31,295",$22.80,$22.80,$22.17
07/20/2023,$22.80,"24,929",$22.84,$22.94,$22.48
07/19/2023,$22.86,"33,047",$22.15,$23.06,$22.15
07/18/2023,$22.11,"46,736",$22.01,$22.60,$21.80
07/17/2023,$22.01,"185,720",$22.50,$22.50,$21.72
07/14/2023,$22.79,"47,788",$23.75,$23.75,$22.6401
