Date,Close,Volume,Open,High,Low
03/01/2024,$78.89,"2,178,903",$78.26,$80.00,$77.50
02/29/2024,$78.03,"1,638,082",$77.30,$78.28,$76.29
02/28/2024,$77.07,"1,020,008",$76.64,$77.60,$76.1525
02/27/2024,$76.93,"1,884,189",$74.30,$77.78,$74.19
02/26/2024,$74.38,"1,690,305",$73.92,$75.14,$73.80
02/23/2024,$73.80,"1,284,737",$73.87,$74.6699,$72.25
02/22/2024,$73.81,"2,233,328",$74.44,$74.44,$72.57
02/21/2024,$73.43,"2,071,348",$72.37,$74.99,$72.13
02/20/2024,$76.21,"1,882,818",$74.66,$76.30,$74.03
02/16/2024,$75.92,"4,641,467",$74.00,$78.72,$69.34
02/15/2024,$74.59,"2,058,115",$74.40,$75.68,$74.07
02/14/2024,$73.52,"1,627,496",$72.63,$74.60,$72.0501
02/13/2024,$71.48,"1,535,082",$71.15,$73.23,$70.03
02/12/2024,$73.28,"1,226,251",$74.42,$75.00,$72.9302
02/09/2024,$74.63,"1,742,064",$74.97,$75.59,$74.4801
02/08/2024,$73.97,"655,657",$72.48,$74.72,$72.45
02/07/2024,$72.57,"541,388",$72.51,$73.37,$71.36
02/06/2024,$71.85,"481,650",$71.90,$72.45,$71.13
02/05/2024,$71.75,"990,393",$73.19,$73.19,$70.725
02/02/2024,$73.19,"874,999",$71.91,$73.715,$71.30
02/01/2024,$72.09,"711,922",$71.39,$72.37,$69.99
01/31/2024,$71.39,"1,019,939",$72.81,$73.30,$70.92
01/30/2024,$73.10,"1,474,197",$72.67,$73.44,$72.23
01/29/2024,$72.73,"775,085",$70.78,$72.809,$70.51
01/26/2024,$70.93,"1,093,324",$70.00,$71.32,$70.00
01/25/2024,$69.97,"938,640",$71.92,$72.48,$69.36
01/24/2024,$70.98,"648,244",$73.00,$73.00,$70.90
01/23/2024,$72.00,"676,746",$72.21,$72.43,$70.38
01/22/2024,$71.21,"905,010",$69.67,$71.55,$69.67
01/19/2024,$69.17,"555,366",$68.30,$69.18,$67.10
01/18/2024,$68.04,"684,143",$68.12,$68.35,$66.68
01/17/2024,$67.21,"849,383",$67.51,$67.70,$65.27
01/16/2024,$68.32,"929,307",$68.26,$68.585,$66.80
01/12/2024,$69.19,"724,346",$69.58,$69.81,$68.87
01/11/2024,$68.85,"1,413,286",$69.66,$70.61,$68.53
01/10/2024,$69.70,"777,915",$70.05,$70.24,$68.755
01/09/2024,$69.92,"952,811",$66.76,$70.00,$66.76
01/08/2024,$67.70,"559,204",$65.90,$67.77,$65.80
01/05/2024,$65.44,"666,136",$64.60,$66.44,$64.57
01/04/2024,$64.63,"1,061,026",$64.81,$65.33,$64.09
01/03/2024,$64.47,"1,622,324",$66.26,$66.91,$64.04
01/02/2024,$67.73,"1,226,006",$68.75,$69.22,$67.07
12/29/2023,$69.22,"801,257",$69.71,$70.45,$69.16
12/28/2023,$70.05,"879,374",$69.70,$70.42,$69.52
12/27/2023,$70.09,"524,522",$69.82,$70.18,$69.375
12/26/2023,$69.69,"762,694",$69.45,$70.32,$68.97
12/22/2023,$69.37,"1,042,806",$68.35,$69.59,$68.16
12/21/2023,$68.16,"880,572",$67.79,$68.335,$66.44
