Date,Close,Volume,Open,High,Low
03/01/2024,$3.06,"32,133",$3.10,$3.1301,$3.055
02/29/2024,$3.07,"14,902",$3.10,$3.10,$3.06
02/28/2024,$3.04,"14,573",$3.03,$3.07,$3.02
02/27/2024,$3.07,"18,690",$3.06,$3.11,$3.05
02/26/2024,$3.07,"20,325",$3.03,$3.10,$3.02
02/23/2024,$3.06,"46,246",$3.07,$3.1114,$3.0399
02/22/2024,$3.08,"49,339",$3.06,$3.12,$3.03
02/21/2024,$3.06,"84,762",$2.96,$3.10,$2.96
02/20/2024,$2.95,"40,605",$2.96,$3.015,$2.95
02/16/2024,$2.98,"59,010",$3.11,$3.11,$2.97
02/15/2024,$3.08,"26,565",$3.03,$3.0909,$3.03
02/14/2024,$3.04,"54,509",$2.97,$3.04,$2.97
02/13/2024,$2.97,"37,408",$3.00,$3.02,$2.97
02/12/2024,$3.00,"67,617",$2.98,$3.05,$2.95
02/09/2024,$2.99,"67,898",$3.03,$3.07,$2.98
02/08/2024,$3.04,"62,547",$3.00,$3.08,$2.97
02/07/2024,$3.02,"36,964",$3.03,$3.0699,$3.00
02/06/2024,$3.04,"31,096",$3.06,$3.095,$3.04
02/05/2024,$3.04,"41,885",$3.04,$3.05,$3.00
02/02/2024,$3.08,"109,533",$3.09,$3.09,$3.00
02/01/2024,$3.11,"184,331",$3.10,$3.18,$3.02
01/31/2024,$3.19,"80,058",$3.20,$3.23,$3.1728
01/30/2024,$3.21,"117,376",$3.21,$3.22,$3.1716
01/29/2024,$3.19,"52,646",$3.23,$3.23,$3.17
01/26/2024,$3.25,"274,710",$3.25,$3.25,$3.1701
01/25/2024,$3.27,"35,828",$3.25,$3.27,$3.23
01/24/2024,$3.23,"43,758",$3.20,$3.245,$3.12
01/23/2024,$3.20,"51,892",$3.23,$3.24,$3.20
01/22/2024,$3.25,"115,425",$3.24,$3.25,$3.20
01/19/2024,$3.26,"62,696",$3.17,$3.26,$3.141
01/18/2024,$3.19,"38,004",$3.10,$3.19,$3.0801
01/17/2024,$3.11,"67,033",$3.23,$3.23,$3.10
01/16/2024,$3.23,"112,052",$3.32,$3.35,$3.19
01/12/2024,$3.39,"89,671",$3.31,$3.42,$3.295
01/11/2024,$3.27,"48,343",$3.24,$3.28,$3.17
01/10/2024,$3.20,"32,473",$3.23,$3.23,$3.18
01/09/2024,$3.25,"59,352",$3.23,$3.30,$3.2107
01/08/2024,$3.26,"140,712",$3.22,$3.26,$3.14
01/05/2024,$3.20,"117,553",$3.18,$3.25,$3.18
01/04/2024,$3.19,"55,962",$3.22,$3.22,$3.14
01/03/2024,$3.16,"111,253",$3.25,$3.27,$3.0611
01/02/2024,$3.28,"35,031",$3.26,$3.34,$3.24
12/29/2023,$3.22,"60,250",$3.33,$3.3639,$3.22
12/28/2023,$3.33,"40,532",$3.31,$3.36,$3.29
12/27/2023,$3.29,"84,222",$3.31,$3.3799,$3.26
12/26/2023,$3.35,"38,982",$3.39,$3.4861,$3.28
12/22/2023,$3.35,"125,157",$3.46,$3.53,$3.32
12/21/2023,$3.37,"1,680,971",$3.35,$3.37,$3.11
