Date,Close,Volume,Open,High,Low
03/01/2024,$2.08,"5,703",$2.08,$2.125,$2.0707
02/29/2024,$2.10,"22,842",$2.101,$2.15,$2.10
02/28/2024,$2.10,"13,664",$2.048,$2.15,$2.02
02/27/2024,$2.02,"22,016",$2.10,$2.10,$2.0009
02/26/2024,$2.08,"21,330",$2.10,$2.18,$2.07
02/23/2024,$2.06,"11,961",$2.06,$2.10,$2.06
02/22/2024,$2.06,"5,996",$2.10,$2.10,$2.06
02/21/2024,$2.06,"14,503",$2.03,$2.115,$2.03
02/20/2024,$2.06,"11,088",$2.06,$2.10,$2.05
02/16/2024,$2.07,"4,689",$2.11,$2.13,$2.07
02/15/2024,$2.09,"9,473",$2.08,$2.1069,$2.0601
02/14/2024,$2.11,"7,331",$2.0301,$2.11,$2.0301
02/13/2024,$2.05,"29,456",$2.17,$2.17,$2.05
02/12/2024,$2.17,"6,882",$2.24,$2.24,$2.17
02/09/2024,$2.24,"7,337",$2.16,$2.24,$2.16
02/08/2024,$2.17,"7,673",$2.18,$2.22,$2.16
02/07/2024,$2.215,"2,597",$2.17,$2.215,$2.17
02/06/2024,$2.17,"9,331",$2.17,$2.22,$2.17
02/05/2024,$2.17,"19,397",$2.1601,$2.23,$2.1601
02/02/2024,$2.23,"5,751",$2.19,$2.23,$2.16
02/01/2024,$2.215,"9,599",$2.17,$2.2436,$2.17
01/31/2024,$2.19,"3,054",$2.195,$2.25,$2.19
01/30/2024,$2.25,"7,784",$2.20,$2.25,$2.20
01/29/2024,$2.24,"8,946",$2.1372,$2.27,$2.1372
01/26/2024,$2.19,"9,010",$2.16,$2.2597,$2.15
01/25/2024,$2.26,"4,915",$2.23,$2.26,$2.19
01/24/2024,$2.1901,"28,613",$2.2292,$2.26,$2.19
01/23/2024,$2.21,"1,717",$2.1806,$2.26,$2.1801
01/22/2024,$2.18,"19,782",$2.29,$2.315,$2.15
01/19/2024,$2.32,"19,579",$2.28,$2.33,$2.28
01/18/2024,$2.29,"60,813",$2.225,$2.35,$2.20
01/17/2024,$2.1999,"26,075",$2.16,$2.30,$2.16
01/16/2024,$2.1613,"47,654",$2.20,$2.29,$2.14
01/12/2024,$2.25,"11,489",$2.165,$2.255,$2.14
01/11/2024,$2.14,"12,503",$2.18,$2.20,$2.13
01/10/2024,$2.15,"13,125",$2.15,$2.23,$2.13
01/09/2024,$2.13,"4,667",$2.11,$2.15,$2.11
01/08/2024,$2.15,"6,157",$2.15,$2.20,$2.15
01/05/2024,$2.15,"12,687",$2.18,$2.24,$2.11
01/04/2024,$2.16,"48,873",$2.18,$2.20,$2.111
01/03/2024,$2.21,"10,641",$2.228,$2.24,$2.1501
01/02/2024,$2.185,"7,578",$2.20,$2.21,$2.17
12/29/2023,$2.16,"53,669",$2.22,$2.29,$2.16
12/28/2023,$2.26,"28,570",$2.21,$2.34,$2.21
12/27/2023,$2.22,"31,877",$2.25,$2.32,$2.22
12/26/2023,$2.31,"20,295",$2.26,$2.31,$2.21
12/22/2023,$2.24,"14,841",$2.16,$2.25,$2.16
12/21/2023,$2.20,"15,732",$2.20,$2.23,$2.1601
12/20/2023,$2.24,"14,396",$2.2062,$2.34,$2.2062
12/19/2023,$2.28,"27,358",$2.15,$2.2896,$2.15
