Date,Close,Volume,Open,High,Low
03/01/2024,$78.33,"1,320,131",$77.955,$78.51,$77.415
02/29/2024,$77.79,"2,445,319",$76.59,$78.02,$76.395
02/28/2024,$76.67,"1,666,716",$76.47,$77.31,$76.17
02/27/2024,$76.51,"1,809,016",$76.20,$76.63,$75.82
02/26/2024,$75.95,"1,355,688",$76.64,$77.02,$75.921
02/23/2024,$76.76,"1,341,448",$75.68,$76.89,$75.54
02/22/2024,$75.29,"1,391,840",$75.08,$75.59,$74.52
02/21/2024,$74.63,"1,733,888",$74.61,$74.65,$73.96
02/20/2024,$74.61,"1,815,963",$74.23,$74.93,$73.98
02/16/2024,$74.92,"1,537,419",$75.40,$75.94,$74.71
02/15/2024,$75.43,"1,095,541",$75.31,$75.615,$74.55
02/14/2024,$74.98,"601,385",$74.84,$75.42,$73.96
02/13/2024,$73.88,"1,557,371",$73.72,$74.54,$72.44
02/12/2024,$75.30,"1,145,590",$74.42,$75.74,$74.35
02/09/2024,$74.48,"1,394,223",$74.44,$74.765,$73.88
02/08/2024,$74.44,"1,610,129",$74.33,$74.575,$73.58
02/07/2024,$74.10,"1,610,530",$73.95,$74.66,$73.38
02/06/2024,$73.58,"1,265,115",$72.52,$73.755,$72.30
02/05/2024,$72.39,"1,554,452",$73.26,$73.265,$72.03
02/02/2024,$73.83,"1,530,546",$74.14,$74.30,$73.185
02/01/2024,$74.81,"1,701,413",$73.78,$74.87,$72.55
01/31/2024,$73.17,"4,531,560",$72.76,$74.61,$72.54
01/30/2024,$72.90,"2,447,286",$71.40,$75.41,$71.40
01/29/2024,$73.26,"2,358,431",$72.25,$73.26,$71.81
01/26/2024,$72.44,"2,783,415",$72.35,$72.79,$71.99
01/25/2024,$72.16,"1,299,377",$71.28,$72.21,$70.98
01/24/2024,$70.69,"2,381,554",$72.36,$72.36,$70.59
01/23/2024,$71.83,"1,499,321",$73.00,$73.00,$71.34
01/22/2024,$72.76,"899,567",$71.96,$72.885,$71.81
01/19/2024,$71.36,"1,490,021",$70.79,$71.49,$70.06
01/18/2024,$70.68,"748,069",$70.04,$70.77,$69.555
01/17/2024,$69.87,"1,198,776",$70.06,$70.53,$69.42
01/16/2024,$70.70,"1,758,002",$70.19,$70.75,$69.71
01/12/2024,$70.77,"1,162,593",$72.09,$72.255,$70.50
01/11/2024,$71.51,"2,530,495",$71.38,$71.795,$70.44
01/10/2024,$70.74,"1,335,415",$69.72,$70.76,$69.50
01/09/2024,$69.40,"1,543,070",$69.16,$69.42,$68.69
01/08/2024,$69.83,"1,008,108",$68.92,$69.84,$68.63
01/05/2024,$68.69,"1,643,496",$68.44,$69.37,$68.33
01/04/2024,$68.93,"1,534,225",$68.19,$69.21,$68.08
01/03/2024,$68.28,"1,592,351",$70.14,$70.26,$68.235
01/02/2024,$70.92,"1,313,754",$71.86,$72.12,$70.5479
12/29/2023,$72.71,"577,230",$72.81,$73.265,$72.47
12/28/2023,$73.00,"618,917",$72.89,$73.13,$72.525
12/27/2023,$72.99,"544,471",$72.75,$73.10,$72.52
12/26/2023,$72.62,"1,967,203",$71.84,$72.80,$71.69
12/22/2023,$71.89,"1,730,173",$71.45,$72.02,$71.00
12/21/2023,$71.29,"1,039,055",$71.43,$71.43,$70.65
12/20/2023,$70.58,"787,954",$71.43,$71.82,$70.49
12/19/2023,$71.28,"1,203,381",$71.02,$71.42,$70.35
12/18/2023,$70.16,"1,273,686",$70.78,$70.78,$69.68
12/15/2023,$70.93,"3,164,214",$72.01,$72.02,$70.63
12/14/2023,$72.32,"2,195,530",$69.39,$72.52,$69.39
12/13/2023,$68.66,"1,327,308",$67.85,$68.77,$66.77
12/12/2023,$67.35,"1,018,379",$67.41,$68.10,$66.91
12/11/2023,$67.34,"1,158,911",$67.50,$67.79,$67.19
12/08/2023,$67.41,"3,268,835",$66.83,$67.59,$66.70
12/07/2023,$66.74,"752,009",$66.53,$66.88,$66.18
12/06/2023,$66.44,"952,596",$65.84,$67.30,$65.755
12/05/2023,$65.38,"1,048,458",$66.20,$66.49,$65.305
12/04/2023,$66.52,"1,597,714",$65.74,$66.77,$65.55
12/01/2023,$66.28,"1,105,391",$64.40,$66.31,$64.40
11/30/2023,$64.54,"2,237,420",$63.93,$64.75,$63.38
11/29/2023,$63.72,"1,480,272",$64.23,$64.45,$63.09
11/28/2023,$63.59,"1,265,169",$63.95,$64.2382,$63.29
11/27/2023,$64.05,"1,687,696",$63.08,$64.40,$62.81
11/24/2023,$63.22,"335,401",$62.63,$63.22,$62.63
11/22/2023,$62.72,"722,236",$62.69,$63.17,$62.33
11/21/2023,$62.39,"908,879",$62.65,$62.79,$62.23
11/20/2023,$62.84,"1,192,628",$62.75,$63.04,$62.045
11/17/2023,$62.94,"1,496,355",$63.43,$63.49,$62.30
11/16/2023,$62.89,"1,600,733",$63.93,$64.47,$62.635
11/15/2023,$63.99,"1,407,872",$63.09,$64.50,$62.78
11/14/2023,$63.25,"1,399,339",$62.07,$63.83,$62.07
11/13/2023,$60.49,"1,170,599",$61.14,$61.265,$60.38
11/10/2023,$61.40,"1,328,864",$61.08,$61.4425,$60.15
11/09/2023,$60.70,"1,323,754",$61.95,$61.95,$60.465
11/08/2023,$61.39,"1,341,374",$61.40,$61.74,$61.06
11/07/2023,$61.35,"1,074,701",$60.65,$61.50,$60.31
11/06/2023,$60.99,"1,099,939",$61.56,$61.99,$60.59
11/03/2023,$61.64,"1,329,170",$61.31,$62.63,$61.07
11/02/2023,$60.24,"1,761,216",$60.12,$60.88,$59.61
11/01/2023,$58.92,"1,244,976",$58.33,$58.93,$57.88
10/31/2023,$58.12,"2,159,651",$58.29,$58.50,$57.4475
10/30/2023,$58.71,"988,033",$58.22,$59.0467,$57.81
10/27/2023,$57.68,"1,004,355",$58.37,$58.75,$57.40
10/26/2023,$58.36,"1,702,771",$57.95,$59.02,$57.67
10/25/2023,$57.38,"2,830,947",$58.51,$58.98,$57.18
10/24/2023,$59.47,"3,596,984",$61.50,$61.99,$59.13
10/23/2023,$62.31,"2,435,997",$62.06,$63.16,$62.025
10/20/2023,$62.21,"1,697,710",$63.08,$63.24,$61.9113
10/19/2023,$63.04,"2,277,840",$62.36,$64.745,$62.26
10/18/2023,$62.52,"1,207,551",$64.18,$64.34,$62.47
10/17/2023,$64.72,"1,140,344",$63.27,$65.30,$63.02
10/16/2023,$63.83,"1,212,571",$63.25,$63.9765,$62.71
10/13/2023,$62.41,"1,404,472",$64.46,$64.52,$61.951
10/12/2023,$64.49,"750,620",$65.73,$65.745,$63.96
10/11/2023,$65.60,"1,014,174",$64.46,$65.76,$64.46
10/10/2023,$64.48,"904,047",$64.16,$65.43,$63.77
10/09/2023,$63.69,"1,019,497",$62.60,$63.90,$62.08
10/06/2023,$63.30,"1,347,657",$62.58,$63.73,$61.97
10/05/2023,$62.81,"1,241,561",$64.04,$64.16,$62.74
10/04/2023,$64.06,"1,208,450",$63.44,$64.1723,$63.16
10/03/2023,$63.21,"1,453,715",$63.34,$64.025,$62.765
10/02/2023,$63.56,"1,043,068",$64.50,$65.23,$63.29
09/29/2023,$64.75,"1,015,250",$65.59,$65.99,$64.195
09/28/2023,$65.22,"961,288",$64.50,$65.95,$64.12
09/27/2023,$64.72,"894,346",$64.55,$65.00,$64.06
09/26/2023,$63.99,"975,521",$64.99,$65.3899,$63.84
09/25/2023,$65.61,"669,198",$64.89,$66.20,$64.66
09/22/2023,$64.98,"851,378",$65.10,$65.39,$64.64
09/21/2023,$65.06,"873,190",$65.69,$65.69,$64.95
