Date,Close,Volume,Open,High,Low
03/01/2024,$4.86,"106,403",$4.88,$5.07,$4.83
02/29/2024,$4.94,"98,586",$4.86,$5.03,$4.81
02/28/2024,$4.86,"58,655",$4.85,$5.06,$4.85
02/27/2024,$4.85,"99,599",$4.93,$5.08,$4.81
02/26/2024,$4.93,"97,988",$4.99,$5.13,$4.81
02/23/2024,$4.95,"55,380",$5.02,$5.02,$4.84
02/22/2024,$4.95,"128,100",$5.10,$5.212,$4.95
02/21/2024,$5.04,"69,659",$4.99,$5.32,$4.99
02/20/2024,$5.135,"77,260",$5.34,$5.34,$5.00
02/16/2024,$5.19,"60,770",$5.25,$5.3985,$4.81
02/15/2024,$5.1126,"56,087",$5.14,$5.275,$4.90
02/14/2024,$5.10,"52,573",$4.80,$5.10,$4.662
02/13/2024,$4.805,"49,167",$4.85,$4.95,$4.60
02/12/2024,$4.70,"29,881",$4.96,$4.985,$4.60
02/09/2024,$4.81,"27,359",$4.90,$5.125,$4.70
02/08/2024,$4.70,"4,591",$4.63,$4.99,$4.63
02/07/2024,$4.65,"2,283",$4.39,$4.77,$4.3301
02/06/2024,$4.405,"29,706",$4.55,$4.68,$4.16
02/05/2024,$4.67,"9,678",$4.89,$4.89,$4.55
02/02/2024,$4.99,"2,680",$4.74,$5.00,$4.67
02/01/2024,$5.09,"7,463",$5.14,$5.32,$5.02
01/31/2024,$5.17,"1,732",$5.02,$5.17,$5.02
01/30/2024,$5.17,"2,651",$4.85,$5.20,$4.85
01/29/2024,$4.70,"2,013",$4.56,$4.97,$4.56
01/26/2024,$4.63,"2,515",$4.865,$5.1394,$4.63
01/25/2024,$4.63,N/A,$4.63,$4.63,$4.63
01/24/2024,$4.63,628,$4.66,$4.66,$4.63
01/23/2024,$4.64,574,$4.64,$4.64,$4.64
01/22/2024,$4.67,954,$4.70,$4.70,$4.67
01/19/2024,$4.47,"2,030",$4.63,$4.943,$4.46
01/18/2024,$4.66,"4,697",$4.51,$4.685,$4.50
01/17/2024,$4.45,"3,581",$4.36,$4.6699,$4.36
01/16/2024,$4.36,"32,338",$4.45,$4.83,$4.32
01/12/2024,$4.45,"4,338",$4.45,$4.46,$4.30
01/11/2024,$4.52,"4,557",$4.65,$4.66,$4.29
01/10/2024,$5.10,"6,788",$5.20,$5.2695,$5.08
01/09/2024,$5.18,"10,317",$5.27,$5.27,$5.10
01/08/2024,$5.22,"130,798",$5.2117,$5.4507,$5.2117
01/05/2024,$5.31,"2,970",$5.393,$5.59,$5.31
01/04/2024,$5.57,"6,958",$5.71,$5.8199,$5.54
01/03/2024,$5.725,"1,369",$5.68,$5.7699,$5.68
01/02/2024,$5.6201,"3,761",$5.67,$5.80,$5.22
12/29/2023,$5.91,"7,480",$5.595,$5.9275,$5.5101
12/28/2023,$5.94,"12,739",$5.75,$6.03,$5.7297
12/27/2023,$5.70,"34,391",$5.58,$5.775,$5.54
12/26/2023,$5.47,"5,136",$5.40,$5.5795,$5.40
12/22/2023,$5.58,"78,414",$5.10,$5.58,$5.08
12/21/2023,$5.37,"105,326",$4.60,$5.37,$4.56
