Date,Close,Volume,Open,High,Low
03/01/2024,$53.45,"1,112,804",$51.37,$53.82,$50.48
02/29/2024,$51.35,"1,095,346",$53.99,$53.99,$50.95
02/28/2024,$52.97,"1,753,954",$50.00,$54.80,$48.09
02/27/2024,$48.81,"807,580",$47.93,$48.91,$47.705
02/26/2024,$47.55,"471,423",$46.74,$47.72,$46.64
02/23/2024,$47.01,"598,465",$46.46,$47.82,$46.29
02/22/2024,$47.01,"501,667",$46.57,$47.73,$46.06
02/21/2024,$46.13,"446,914",$46.23,$46.34,$45.60
02/20/2024,$46.23,"639,801",$46.35,$46.85,$45.85
02/16/2024,$47.09,"416,200",$46.89,$47.685,$46.60
02/15/2024,$47.61,"671,703",$48.25,$48.635,$47.38
02/14/2024,$47.78,"528,122",$48.77,$49.22,$47.665
02/13/2024,$48.49,"468,220",$48.79,$50.58,$47.61
02/12/2024,$50.30,"504,322",$48.94,$50.41,$48.87
02/09/2024,$49.08,"451,797",$48.52,$49.39,$48.06
02/08/2024,$48.36,"513,529",$48.21,$48.56,$47.66
02/07/2024,$47.93,"621,034",$48.62,$48.735,$47.49
02/06/2024,$48.70,"576,185",$47.26,$48.87,$47.115
02/05/2024,$47.26,"731,376",$47.66,$47.99,$46.91
02/02/2024,$48.26,"648,041",$48.16,$48.79,$47.73
02/01/2024,$49.04,"583,598",$49.62,$49.985,$48.44
01/31/2024,$49.40,"887,013",$50.52,$50.52,$49.29
01/30/2024,$50.36,"880,282",$49.55,$50.705,$49.325
01/29/2024,$49.85,"699,586",$50.63,$50.93,$49.59
01/26/2024,$50.90,"601,092",$50.94,$51.14,$50.70
01/25/2024,$50.71,"827,914",$51.00,$51.11,$50.10
01/24/2024,$50.12,"1,112,656",$51.28,$51.585,$49.83
01/23/2024,$50.69,"853,456",$50.57,$51.22,$50.015
01/22/2024,$49.79,"827,004",$51.56,$51.81,$49.49
01/19/2024,$51.22,"855,459",$50.25,$51.41,$49.45
01/18/2024,$50.05,"1,300,123",$49.99,$50.95,$49.76
01/17/2024,$49.65,"1,275,127",$49.86,$50.575,$49.44
01/16/2024,$50.87,"878,926",$50.07,$50.97,$49.92
01/12/2024,$50.55,"538,425",$51.92,$52.20,$50.27
01/11/2024,$51.33,"434,770",$51.43,$51.43,$50.32
01/10/2024,$51.51,"497,815",$50.93,$51.75,$50.69
01/09/2024,$51.12,"536,202",$52.41,$52.54,$50.85
01/08/2024,$52.99,"570,624",$51.70,$53.35,$51.70
01/05/2024,$51.87,"705,916",$50.46,$52.29,$50.29
01/04/2024,$50.96,"677,457",$50.89,$51.22,$50.17
01/03/2024,$50.80,"709,592",$52.02,$52.32,$50.71
01/02/2024,$52.92,"797,798",$52.43,$53.51,$52.23
12/29/2023,$52.83,"954,950",$53.20,$53.81,$52.65
12/28/2023,$53.30,"545,230",$53.00,$53.61,$52.79
12/27/2023,$53.15,"608,841",$52.69,$53.18,$52.29
12/26/2023,$52.75,"851,236",$50.77,$53.29,$50.69
12/22/2023,$50.76,"354,118",$50.74,$51.38,$50.64
12/21/2023,$50.74,"373,588",$51.20,$51.46,$50.34
12/20/2023,$50.29,"553,207",$51.06,$52.42,$50.23
12/19/2023,$51.46,"561,863",$51.67,$52.22,$51.24
12/18/2023,$51.02,"845,422",$52.47,$53.01,$50.98
12/15/2023,$52.38,"971,601",$54.04,$54.57,$52.37
12/14/2023,$54.02,"1,404,004",$53.62,$55.48,$53.62
12/13/2023,$53.50,"815,793",$51.59,$53.67,$51.04
12/12/2023,$51.70,"424,710",$51.81,$52.36,$51.32
12/11/2023,$51.80,"517,214",$51.74,$52.49,$51.48
12/08/2023,$51.84,"1,038,199",$50.42,$52.06,$50.42
12/07/2023,$50.29,"607,632",$49.67,$50.54,$49.64
12/06/2023,$49.67,"652,017",$49.52,$50.315,$49.31
12/05/2023,$48.85,"776,059",$49.97,$50.23,$48.63
12/04/2023,$50.54,"770,409",$50.61,$51.30,$50.34
12/01/2023,$50.76,"889,435",$48.58,$51.17,$48.33
11/30/2023,$48.90,"690,117",$49.15,$49.32,$48.70
11/29/2023,$48.96,"547,472",$49.62,$49.88,$48.93
11/28/2023,$49.26,"842,052",$49.41,$49.41,$48.38
11/27/2023,$49.33,"1,362,388",$49.21,$49.725,$49.18
11/24/2023,$49.92,"322,052",$49.33,$49.93,$49.01
11/22/2023,$49.42,"700,523",$49.23,$49.83,$48.675
11/21/2023,$48.74,"750,085",$49.44,$49.565,$48.58
11/20/2023,$50.10,"884,782",$48.94,$50.16,$48.24
11/17/2023,$48.80,"605,678",$48.71,$49.12,$48.18
11/16/2023,$48.09,"555,987",$48.84,$49.19,$47.76
11/15/2023,$49.34,"755,393",$49.78,$50.53,$49.115
11/14/2023,$49.63,"1,251,315",$48.68,$50.08,$48.655
11/13/2023,$46.96,"701,663",$46.55,$47.53,$46.20
11/10/2023,$46.84,"697,089",$45.95,$46.93,$45.31
11/09/2023,$45.72,"857,110",$46.71,$47.68,$45.56
11/08/2023,$46.43,"1,468,093",$48.00,$50.08,$45.85
11/07/2023,$47.19,"965,216",$46.81,$47.36,$46.60
11/06/2023,$47.20,"849,201",$47.05,$47.315,$46.27
11/03/2023,$47.27,"1,162,896",$45.91,$47.76,$45.79
11/02/2023,$44.69,"987,540",$43.49,$44.70,$42.77
11/01/2023,$42.26,"1,079,204",$42.97,$43.17,$41.52
10/31/2023,$43.08,"578,397",$42.64,$43.15,$42.25
10/30/2023,$42.46,"674,869",$41.89,$42.64,$41.35
10/27/2023,$41.14,"761,064",$42.45,$42.58,$40.865
10/26/2023,$42.15,"774,155",$42.32,$42.68,$41.43
10/25/2023,$42.40,"903,168",$42.14,$42.64,$41.25
10/24/2023,$42.69,"842,343",$41.56,$42.83,$41.16
10/23/2023,$41.21,"894,087",$42.09,$42.63,$41.18
10/20/2023,$42.49,"1,133,885",$43.67,$43.92,$42.39
10/19/2023,$43.55,"655,346",$44.83,$45.10,$43.42
10/18/2023,$44.73,"908,260",$44.53,$44.84,$44.02
10/17/2023,$45.12,"948,634",$43.83,$45.555,$43.39
10/16/2023,$43.93,"1,537,350",$43.02,$44.59,$43.02
10/13/2023,$42.49,"1,063,975",$43.71,$43.99,$42.24
10/12/2023,$44.09,"905,682",$45.67,$45.67,$43.42
10/11/2023,$45.80,"571,827",$46.35,$46.50,$45.265
10/10/2023,$46.13,"1,220,169",$45.43,$46.15,$45.02
10/09/2023,$45.01,"651,743",$43.71,$45.12,$43.06
10/06/2023,$44.42,"911,396",$43.99,$44.55,$43.13
10/05/2023,$44.16,"874,319",$44.67,$44.735,$43.81
10/04/2023,$44.72,"670,835",$44.74,$45.08,$44.041
10/03/2023,$44.56,"1,071,888",$45.65,$45.695,$43.78
10/02/2023,$45.86,"533,945",$46.11,$46.31,$45.56
09/29/2023,$46.25,"949,645",$46.15,$46.49,$45.56
09/28/2023,$45.81,"682,698",$44.54,$45.90,$44.06
09/27/2023,$44.44,"919,654",$44.08,$45.14,$43.69
09/26/2023,$44.26,"692,118",$45.64,$45.96,$44.25
09/25/2023,$45.87,"731,011",$46.49,$46.76,$45.39
09/22/2023,$47.01,"530,808",$47.44,$47.78,$46.84
09/21/2023,$47.01,"546,733",$47.37,$48.11,$47.00
09/20/2023,$47.80,"540,294",$47.97,$48.51,$47.735
09/19/2023,$47.72,"627,085",$47.75,$48.42,$47.52
09/18/2023,$48.07,"494,046",$48.80,$48.80,$47.46
09/15/2023,$48.78,"1,582,191",$49.54,$49.57,$48.29
09/14/2023,$49.86,"779,760",$48.19,$49.99,$48.01
09/13/2023,$47.50,"740,474",$47.87,$48.165,$47.31
09/12/2023,$47.82,"505,697",$47.68,$47.92,$47.30
09/11/2023,$47.93,"961,064",$49.12,$49.12,$47.31
09/08/2023,$48.66,"401,916",$48.66,$49.22,$48.09
09/07/2023,$48.29,"589,622",$48.30,$48.57,$47.9842
09/06/2023,$48.64,"477,918",$48.25,$48.78,$47.96
09/05/2023,$48.36,"703,523",$48.75,$49.81,$48.35
09/01/2023,$49.43,"404,899",$48.89,$49.525,$48.77
08/31/2023,$48.70,"515,162",$49.26,$49.65,$48.64
08/30/2023,$49.11,"651,810",$48.93,$49.36,$48.60
08/29/2023,$49.21,"556,631",$49.32,$49.87,$49.19
08/28/2023,$49.31,"922,370",$49.75,$50.11,$48.66
08/25/2023,$49.87,"613,101",$48.96,$50.02,$48.46
08/24/2023,$48.49,"664,377",$49.18,$49.80,$48.38
08/23/2023,$49.87,"786,167",$48.53,$49.88,$48.25
08/22/2023,$48.40,"773,057",$49.70,$49.95,$48.39
08/21/2023,$49.48,"853,511",$48.43,$49.49,$48.23
08/18/2023,$48.36,"844,502",$47.87,$48.575,$47.5987
08/17/2023,$48.34,"806,539",$48.91,$49.31,$48.30
08/16/2023,$48.79,"686,800",$49.25,$49.93,$48.415
08/15/2023,$49.59,"1,146,427",$50.92,$51.22,$49.32
08/14/2023,$51.18,"709,445",$51.30,$51.42,$50.32
08/11/2023,$51.43,"638,905",$51.24,$51.61,$50.43
08/10/2023,$51.16,"870,380",$51.09,$52.15,$50.98
08/09/2023,$51.15,"1,021,432",$52.28,$52.96,$51.11
08/08/2023,$52.75,"1,672,744",$53.44,$54.15,$51.82
08/07/2023,$54.33,"1,016,279",$54.79,$55.44,$53.97
08/04/2023,$54.34,"775,200",$55.47,$55.59,$54.12
08/03/2023,$55.10,"1,440,949",$53.84,$55.76,$53.50
08/02/2023,$54.11,"887,960",$54.01,$54.68,$53.67
08/01/2023,$54.97,"1,682,565",$53.29,$55.325,$52.74
07/31/2023,$55.37,"1,063,894",$52.89,$55.68,$52.89
07/28/2023,$52.50,"635,846",$53.65,$53.835,$52.335
07/27/2023,$53.33,"1,156,018",$54.00,$54.63,$53.04
