Date,Close,Volume,Open,High,Low
03/01/2024,$0.2361,"332,555",$0.30,$0.3044,$0.21
02/29/2024,$0.27,"244,671",$0.24,$0.2717,$0.24
02/28/2024,$0.2284,"217,191",$0.19,$0.23,$0.19
02/27/2024,$0.1816,"19,264",$0.175,$0.20,$0.175
02/26/2024,$0.1893,"164,853",$0.19,$0.20,$0.17
02/23/2024,$0.1802,"74,921",$0.19,$0.2056,$0.18
02/22/2024,$0.20,"212,804",$0.21,$0.22,$0.181
02/21/2024,$0.2064,"34,864",$0.21,$0.21,$0.1802
02/20/2024,$0.20,"49,302",$0.21,$0.21,$0.18
02/16/2024,$0.20,"101,249",$0.2099,$0.218,$0.1665
02/15/2024,$0.205,"304,536",$0.155,$0.21,$0.14
02/14/2024,$0.15,"213,122",$0.161,$0.21,$0.147
02/13/2024,$0.142,"135,857",$0.22,$0.22,$0.142
02/12/2024,$0.2195,"106,427",$0.24,$0.2415,$0.20
02/09/2024,$0.2307,"121,481",$0.18,$0.2307,$0.177
02/08/2024,$0.17,"75,701",$0.165,$0.1776,$0.165
02/07/2024,$0.155,"65,939",$0.1433,$0.1799,$0.1433
02/06/2024,$0.14,"36,899",$0.1306,$0.1485,$0.1305
02/05/2024,$0.1305,"81,656",$0.1448,$0.16,$0.13
02/02/2024,$0.1405,"80,259",$0.13,$0.16,$0.13
02/01/2024,$0.1402,"197,709",$0.165,$0.1695,$0.126
01/31/2024,$0.175,"25,719",$0.18,$0.19,$0.175
01/30/2024,$0.179,"68,992",$0.1896,$0.1901,$0.179
01/29/2024,$0.1875,"45,669",$0.19,$0.19,$0.1796
01/26/2024,$0.19,"51,542",$0.19,$0.1945,$0.18
01/25/2024,$0.1825,"34,562",$0.1875,$0.1974,$0.18
01/24/2024,$0.1969,"39,707",$0.2016,$0.2016,$0.19
01/23/2024,$0.1925,"19,268",$0.19,$0.21,$0.19
01/22/2024,$0.186,"39,771",$0.18,$0.20,$0.18
01/19/2024,$0.186,"227,717",$0.22,$0.22,$0.1607
01/18/2024,$0.2074,"156,225",$0.212,$0.23,$0.1928
01/17/2024,$0.2113,"144,651",$0.229,$0.239,$0.2018
01/16/2024,$0.232,"60,268",$0.23,$0.2366,$0.21
01/12/2024,$0.225,"250,842",$0.2328,$0.2425,$0.20
01/11/2024,$0.2299,"37,600",$0.232,$0.24,$0.2218
01/10/2024,$0.232,"50,240",$0.24,$0.2401,$0.22
01/09/2024,$0.2371,"42,849",$0.24,$0.245,$0.23
01/08/2024,$0.2299,"45,895",$0.23,$0.2376,$0.2299
01/05/2024,$0.2376,"46,337",$0.235,$0.24,$0.225
01/04/2024,$0.23,"35,331",$0.24,$0.24,$0.22
01/03/2024,$0.2376,"36,747",$0.235,$0.24,$0.23
01/02/2024,$0.235,"57,477",$0.25,$0.25,$0.234
12/29/2023,$0.24,"89,567",$0.234,$0.25,$0.234
12/28/2023,$0.2425,"91,522",$0.24,$0.25,$0.24
12/27/2023,$0.2495,"146,428",$0.2355,$0.2699,$0.2338
12/26/2023,$0.2483,"226,378",$0.26,$0.27,$0.2313
12/22/2023,$0.25,"63,529",$0.25,$0.2798,$0.25
12/21/2023,$0.25,"65,914",$0.26,$0.2799,$0.2421
12/20/2023,$0.26,"65,717",$0.24,$0.26,$0.24
12/19/2023,$0.26,"97,881",$0.2474,$0.26,$0.24
12/18/2023,$0.2599,"76,134",$0.28,$0.28,$0.245
12/15/2023,$0.27,"153,400",$0.27,$0.2779,$0.25
12/14/2023,$0.27,"147,949",$0.289,$0.289,$0.2458
12/13/2023,$0.24,"37,991",$0.24,$0.24,$0.2102
12/12/2023,$0.2309,"52,907",$0.25,$0.269,$0.2222
12/11/2023,$0.2459,"426,312",$0.24,$0.28,$0.2184
12/08/2023,$0.2351,"43,283",$0.239,$0.2414,$0.225
12/07/2023,$0.234,"43,868",$0.23,$0.235,$0.22
12/06/2023,$0.2234,"60,687",$0.22,$0.2378,$0.22
12/05/2023,$0.2295,"36,794",$0.2365,$0.2389,$0.229
12/04/2023,$0.2296,"119,067",$0.2269,$0.23,$0.2201
12/01/2023,$0.2171,"223,010",$0.22,$0.2398,$0.211
11/30/2023,$0.23,"435,965",$0.27,$0.2999,$0.22
11/29/2023,$0.27,"329,872",$0.30,$0.33,$0.2525
11/28/2023,$0.30,"96,890",$0.326,$0.335,$0.30
11/27/2023,$0.32,"23,538",$0.348,$0.348,$0.32
11/24/2023,$0.325,"13,849",$0.34,$0.34,$0.31
11/22/2023,$0.3101,"31,260",$0.32,$0.33,$0.3101
11/21/2023,$0.333,"46,404",$0.346,$0.35,$0.3329
11/20/2023,$0.333,"41,770",$0.37,$0.37,$0.32
11/17/2023,$0.3297,"23,550",$0.32,$0.34,$0.31
11/16/2023,$0.305,"18,704",$0.36,$0.36,$0.3001
11/15/2023,$0.33,"119,202",$0.3575,$0.38,$0.2875
11/14/2023,$0.33,"71,628",$0.33,$0.355,$0.33
11/13/2023,$0.3176,"63,332",$0.318,$0.318,$0.2833
11/10/2023,$0.279,"69,985",$0.282,$0.285,$0.26
11/09/2023,$0.2652,"55,376",$0.3088,$0.3088,$0.26
11/08/2023,$0.3001,"201,593",$0.36,$0.3638,$0.275
11/07/2023,$0.36,"157,045",$0.30,$0.45,$0.2877
11/06/2023,$0.30,"69,474",$0.31,$0.32,$0.29
11/03/2023,$0.31,"39,224",$0.29,$0.3211,$0.28
11/02/2023,$0.2975,"55,038",$0.30,$0.32,$0.28
11/01/2023,$0.29,"24,006",$0.26,$0.30,$0.26
10/31/2023,$0.2989,"44,084",$0.30,$0.30,$0.275
10/30/2023,$0.2872,"89,324",$0.31,$0.31,$0.2554
10/27/2023,$0.30,"66,662",$0.3049,$0.31,$0.28
10/26/2023,$0.2872,"41,677",$0.2899,$0.2899,$0.26
10/25/2023,$0.285,"169,892",$0.3053,$0.32,$0.23
10/24/2023,$0.33,"17,701",$0.33,$0.3456,$0.33
10/23/2023,$0.33,"76,424",$0.34,$0.34,$0.31
10/20/2023,$0.35,"88,548",$0.351,$0.37,$0.337
10/19/2023,$0.3727,"17,324",$0.3873,$0.3897,$0.3701
10/18/2023,$0.3845,"80,266",$0.4079,$0.4079,$0.35
10/17/2023,$0.398,"45,311",$0.39,$0.4094,$0.39
10/16/2023,$0.381,"45,713",$0.38,$0.4146,$0.38
10/13/2023,$0.4024,"32,711",$0.4232,$0.4232,$0.381
10/12/2023,$0.403,"72,222",$0.42,$0.42,$0.38
10/11/2023,$0.396,"54,724",$0.40,$0.4108,$0.38
10/10/2023,$0.4195,"61,313",$0.4099,$0.42,$0.3975
10/09/2023,$0.4018,"34,109",$0.4178,$0.4189,$0.3604
10/06/2023,$0.41,"45,374",$0.4188,$0.4188,$0.3651
10/05/2023,$0.3818,"62,689",$0.41,$0.4395,$0.3801
10/04/2023,$0.42,"89,071",$0.4284,$0.4284,$0.3901
10/03/2023,$0.412,"73,602",$0.3999,$0.43,$0.382
10/02/2023,$0.381,"81,390",$0.43,$0.43,$0.38
09/29/2023,$0.38,"74,969",$0.42,$0.43,$0.365
09/28/2023,$0.3889,"71,661",$0.408,$0.42,$0.365
09/27/2023,$0.395,"68,460",$0.40,$0.40,$0.3699
09/26/2023,$0.3683,"75,063",$0.37,$0.40,$0.3403
09/25/2023,$0.37,"176,608",$0.425,$0.425,$0.3239
09/22/2023,$0.4299,"70,533",$0.4546,$0.4667,$0.352
09/21/2023,$0.4687,"9,986",$0.4551,$0.48,$0.4501
09/20/2023,$0.46,"38,293",$0.46,$0.4963,$0.4502
09/19/2023,$0.485,"85,839",$0.52,$0.52,$0.475
09/18/2023,$0.5199,"41,391",$0.5613,$0.5613,$0.475
09/15/2023,$0.52,"36,063",$0.5223,$0.5599,$0.51
09/14/2023,$0.522,"71,978",$0.53,$0.542,$0.522
09/13/2023,$0.53,"50,268",$0.57,$0.57,$0.50
09/12/2023,$0.5413,"131,947",$0.59,$0.60,$0.501
09/11/2023,$0.53,"107,512",$0.56,$0.598,$0.53
09/08/2023,$0.53,"55,783",$0.5767,$0.5767,$0.51
09/07/2023,$0.55,"54,047",$0.605,$0.605,$0.55
09/06/2023,$0.605,"42,822",$0.63,$0.635,$0.57
09/05/2023,$0.59,"64,091",$0.64,$0.64,$0.58
09/01/2023,$0.60,"46,846",$0.645,$0.645,$0.5901
08/31/2023,$0.59,"166,535",$0.64,$0.64,$0.58
08/30/2023,$0.64,"8,566",$0.66,$0.66,$0.64
08/29/2023,$0.6448,"78,244",$0.6269,$0.65,$0.61
08/28/2023,$0.6133,"51,365",$0.594,$0.6148,$0.594
08/25/2023,$0.5825,"29,857",$0.57,$0.5825,$0.5501
08/24/2023,$0.59,"32,160",$0.54,$0.5999,$0.54
08/23/2023,$0.5999,"32,048",$0.569,$0.5999,$0.54
08/22/2023,$0.57,"57,451",$0.56,$0.60,$0.53
08/21/2023,$0.56,"20,764",$0.60,$0.60,$0.56
08/18/2023,$0.5849,"44,209",$0.59,$0.60,$0.57
08/17/2023,$0.5975,"25,188",$0.6089,$0.6089,$0.5808
08/16/2023,$0.60,"61,598",$0.61,$0.61,$0.58
08/15/2023,$0.603,"46,817",$0.60,$0.615,$0.60
08/14/2023,$0.615,"45,397",$0.60,$0.6289,$0.60
08/11/2023,$0.618,"20,929",$0.6498,$0.6498,$0.618
08/10/2023,$0.6342,"45,594",$0.68,$0.68,$0.60
08/09/2023,$0.625,"70,314",$0.64,$0.64,$0.6073
08/08/2023,$0.6351,"57,434",$0.675,$0.675,$0.6301
08/07/2023,$0.6749,"74,947",$0.65,$0.68,$0.64
08/04/2023,$0.6523,"63,366",$0.68,$0.68,$0.637
08/03/2023,$0.651,"126,314",$0.6689,$0.67,$0.63
08/02/2023,$0.6538,"30,105",$0.68,$0.68,$0.621
08/01/2023,$0.67,"94,502",$0.65,$0.69,$0.65
07/31/2023,$0.65,"190,795",$0.6797,$0.6797,$0.624
07/28/2023,$0.6301,"101,525",$0.65,$0.6682,$0.6301
07/27/2023,$0.625,"78,022",$0.6401,$0.67,$0.625
07/26/2023,$0.6401,"93,959",$0.642,$0.689,$0.63
07/25/2023,$0.643,"39,602",$0.68,$0.68,$0.643
07/24/2023,$0.66,"53,446",$0.658,$0.6905,$0.65
07/21/2023,$0.6501,"42,354",$0.68,$0.6901,$0.65
07/20/2023,$0.67,"160,583",$0.69,$0.7198,$0.67
07/19/2023,$0.71,"29,368",$0.71,$0.74,$0.7001
07/18/2023,$0.71,"31,004",$0.672,$0.7209,$0.672
07/17/2023,$0.70,"42,869",$0.73,$0.73,$0.67
07/14/2023,$0.70,"120,715",$0.7265,$0.7265,$0.6703
07/13/2023,$0.71,"150,152",$0.7495,$0.7495,$0.635
07/12/2023,$0.7374,"128,742",$0.7489,$0.77,$0.621
07/11/2023,$0.7698,"256,498",$0.77,$0.79,$0.74
07/10/2023,$0.76,"228,244",$0.77,$0.80,$0.7471
07/07/2023,$0.7401,"111,567",$0.75,$0.79,$0.74
07/06/2023,$0.7449,"65,018",$0.7151,$0.7449,$0.70
07/05/2023,$0.7022,"60,478",$0.73,$0.73,$0.70
07/03/2023,$0.71,"131,326",$0.70,$0.75,$0.6997
06/30/2023,$0.6888,"28,318",$0.6904,$0.699,$0.66
06/29/2023,$0.685,"50,006",$0.6704,$0.699,$0.6704
06/28/2023,$0.6704,"70,155",$0.65,$0.69,$0.6451
06/27/2023,$0.697,"50,256",$0.66,$0.697,$0.6501
06/26/2023,$0.671,"60,657",$0.699,$0.699,$0.6401
06/23/2023,$0.66,"42,693",$0.67,$0.70,$0.6452
06/22/2023,$0.69,"25,791",$0.71,$0.71,$0.67
06/21/2023,$0.7199,"68,020",$0.77,$0.77,$0.65
06/20/2023,$0.73,"93,477",$0.77,$0.77,$0.70
06/16/2023,$0.725,"140,428",$0.75,$0.75,$0.72
06/15/2023,$0.70,"114,589",$0.6689,$0.7299,$0.64
06/14/2023,$0.64,"113,270",$0.71,$0.71,$0.6126
06/13/2023,$0.68,"130,982",$0.6326,$0.71,$0.6098
06/12/2023,$0.60,"121,309",$0.6348,$0.6398,$0.60
06/09/2023,$0.6189,"50,341",$0.6138,$0.6349,$0.60
06/08/2023,$0.61,"95,096",$0.6432,$0.6432,$0.5977
06/07/2023,$0.6148,"96,853",$0.6432,$0.6432,$0.61
06/06/2023,$0.628,"76,580",$0.60,$0.6285,$0.59
06/05/2023,$0.5979,"79,753",$0.60,$0.63,$0.59
06/02/2023,$0.5913,"88,737",$0.6135,$0.64,$0.5913
06/01/2023,$0.6128,"73,418",$0.65,$0.66,$0.6128
05/31/2023,$0.64,"54,921",$0.6558,$0.6615,$0.6201
05/30/2023,$0.6616,"53,044",$0.6193,$0.6988,$0.6193
