Date,Close,Volume,Open,High,Low
03/01/2024,$12.77,"884,634",$12.60,$12.83,$12.565
02/29/2024,$12.18,"459,390",$12.07,$12.18,$12.04
02/28/2024,$11.97,"326,390",$11.95,$11.9875,$11.91
02/27/2024,$12.14,"299,527",$12.06,$12.145,$12.045
02/26/2024,$12.18,"299,389",$12.20,$12.22,$12.1345
02/23/2024,$12.11,"480,086",$12.02,$12.12,$12.02
02/22/2024,$12.08,"341,209",$11.98,$12.10,$11.98
02/21/2024,$11.92,"365,032",$11.98,$12.00,$11.89
02/20/2024,$12.06,"383,226",$12.09,$12.13,$12.05
02/16/2024,$12.18,"172,344",$12.17,$12.21,$12.12
02/15/2024,$12.20,"664,360",$12.21,$12.23,$12.085
02/14/2024,$11.87,"487,603",$11.87,$11.92,$11.805
02/13/2024,$11.77,"402,099",$11.77,$11.83,$11.745
02/12/2024,$12.00,"201,348",$11.94,$12.0199,$11.92
02/09/2024,$12.01,"344,217",$11.85,$12.01,$11.85
02/08/2024,$11.83,"276,564",$11.79,$11.84,$11.7725
02/07/2024,$11.76,"318,678",$11.74,$11.78,$11.685
02/06/2024,$11.81,"467,317",$11.79,$11.84,$11.735
02/05/2024,$12.12,"340,786",$12.13,$12.135,$12.05
02/02/2024,$12.12,"275,817",$12.15,$12.18,$12.06
02/01/2024,$12.38,"411,354",$12.18,$12.38,$12.17
01/31/2024,$12.22,"500,641",$12.39,$12.41,$12.205
01/30/2024,$12.19,"659,250",$12.12,$12.20,$12.09
01/29/2024,$12.21,"753,712",$12.28,$12.295,$12.155
01/26/2024,$12.25,"535,607",$12.29,$12.33,$12.22
01/25/2024,$12.19,"866,316",$12.24,$12.24,$12.12
01/24/2024,$12.12,"322,263",$12.18,$12.20,$12.115
01/23/2024,$12.20,"238,738",$12.14,$12.21,$12.12
01/22/2024,$12.27,"199,750",$12.29,$12.355,$12.26
01/19/2024,$12.11,"283,762",$12.03,$12.11,$12.005
01/18/2024,$12.22,"387,696",$12.06,$12.23,$12.05
01/17/2024,$12.22,"477,700",$12.22,$12.22,$12.085
01/16/2024,$12.39,"222,529",$12.44,$12.455,$12.35
01/12/2024,$12.39,"226,728",$12.47,$12.48,$12.37
01/11/2024,$12.37,"276,905",$12.32,$12.37,$12.23
01/10/2024,$12.46,"187,081",$12.42,$12.495,$12.42
01/09/2024,$12.37,"148,082",$12.43,$12.465,$12.37
01/08/2024,$12.51,"174,534",$12.39,$12.51,$12.38
01/05/2024,$12.38,"197,339",$12.35,$12.46,$12.35
01/04/2024,$12.41,"259,565",$12.40,$12.505,$12.40
01/03/2024,$12.27,"323,429",$12.17,$12.295,$12.17
01/02/2024,$12.19,"265,071",$12.27,$12.28,$12.19
12/29/2023,$12.29,"180,090",$12.29,$12.33,$12.22
12/28/2023,$12.30,"282,346",$12.31,$12.36,$12.30
12/27/2023,$12.31,"436,522",$12.28,$12.325,$12.275
12/26/2023,$12.35,"140,570",$12.24,$12.37,$12.24
12/22/2023,$12.31,"360,509",$12.27,$12.41,$12.27
12/21/2023,$12.22,"673,260",$12.12,$12.23,$12.12
12/20/2023,$12.03,"574,624",$11.99,$12.10,$11.97
12/19/2023,$12.07,"225,730",$11.97,$12.11,$11.97
12/18/2023,$11.91,"195,021",$11.89,$11.92,$11.875
12/15/2023,$11.89,"273,847",$11.91,$11.925,$11.87
12/14/2023,$12.03,"237,463",$12.02,$12.0875,$11.99
12/13/2023,$12.09,"408,558",$12.07,$12.105,$11.915
12/12/2023,$12.06,"260,239",$12.01,$12.08,$11.985
12/11/2023,$12.11,"208,984",$12.10,$12.17,$12.08
12/08/2023,$12.08,"269,625",$11.95,$12.09,$11.95
12/07/2023,$11.88,"167,061",$11.85,$11.905,$11.795
12/06/2023,$11.76,"221,217",$11.84,$11.86,$11.755
12/05/2023,$11.85,"217,003",$11.74,$11.8879,$11.74
12/04/2023,$11.80,"179,169",$11.82,$11.8703,$11.77
12/01/2023,$11.71,"410,726",$11.64,$11.72,$11.64
