Date,Close,Volume,Open,High,Low
03/01/2024,$187.76,"1,197,255",$183.01,$188.75,$182.95
02/29/2024,$183.01,"1,959,707",$184.50,$184.60,$181.195
02/28/2024,$184.29,"1,195,411",$182.05,$185.47,$181.80
02/27/2024,$182.36,"532,820",$181.80,$182.45,$180.68
02/26/2024,$181.67,"597,986",$180.72,$182.57,$180.50
02/23/2024,$180.94,"811,724",$180.56,$181.74,$178.87
02/22/2024,$179.38,"932,214",$178.62,$180.80,$178.155
02/21/2024,$176.62,"795,754",$174.88,$176.62,$173.34
02/20/2024,$176.89,"1,143,813",$177.53,$178.20,$174.85
02/16/2024,$178.19,"1,554,107",$181.47,$181.80,$177.94
02/15/2024,$181.99,"962,990",$181.96,$182.53,$180.38
02/14/2024,$180.75,"868,051",$178.55,$180.845,$178.39
02/13/2024,$177.81,"1,114,654",$175.00,$177.88,$172.72
02/12/2024,$178.54,"1,036,543",$182.95,$183.31,$177.865
02/09/2024,$183.10,"537,773",$182.55,$183.69,$181.605
02/08/2024,$181.54,"584,437",$180.72,$181.60,$179.06
02/07/2024,$180.21,"1,210,933",$178.28,$181.365,$177.515
02/06/2024,$177.11,"805,443",$178.27,$178.875,$176.02
02/05/2024,$177.21,"869,350",$178.07,$178.59,$176.065
02/02/2024,$178.73,"1,001,731",$179.25,$180.27,$177.445
02/01/2024,$179.40,"2,204,675",$177.74,$182.79,$176.81
01/31/2024,$180.65,"1,713,046",$182.93,$183.83,$180.04
01/30/2024,$184.05,"723,955",$184.05,$185.075,$182.985
01/29/2024,$184.85,"1,094,576",$182.10,$184.97,$181.71
01/26/2024,$180.65,"773,970",$180.03,$181.32,$179.37
01/25/2024,$180.03,"611,305",$180.53,$181.15,$178.77
01/24/2024,$178.71,"1,026,061",$179.78,$182.67,$178.60
01/23/2024,$178.82,"605,851",$177.92,$179.17,$177.33
01/22/2024,$177.08,"712,567",$176.99,$178.80,$176.03
01/19/2024,$174.70,"691,499",$174.49,$175.42,$173.42
01/18/2024,$173.19,"638,202",$172.33,$173.33,$171.2225
01/17/2024,$171.74,"775,530",$170.79,$171.95,$169.89
01/16/2024,$171.59,"974,803",$171.56,$172.34,$170.60
01/12/2024,$172.17,"672,734",$172.84,$173.07,$171.39
01/11/2024,$172.07,"792,513",$169.69,$172.14,$169.675
01/10/2024,$169.10,"561,753",$167.93,$169.82,$167.72
01/09/2024,$167.62,"721,887",$168.60,$170.10,$167.29
01/08/2024,$169.65,"878,766",$167.01,$169.75,$166.18
01/05/2024,$165.85,"938,771",$166.76,$167.85,$165.74
01/04/2024,$167.72,"1,174,492",$169.84,$170.75,$167.59
01/03/2024,$166.46,"891,198",$168.75,$168.92,$166.094
01/02/2024,$168.63,"1,258,889",$173.99,$174.14,$166.945
12/29/2023,$174.96,"398,033",$175.92,$176.25,$174.37
12/28/2023,$175.92,"350,809",$173.38,$176.04,$173.25
12/27/2023,$175.72,"291,661",$174.86,$176.05,$174.86
12/26/2023,$175.31,"416,494",$174.62,$175.73,$174.09
12/22/2023,$173.97,"799,421",$172.10,$174.06,$171.895
12/21/2023,$171.19,"453,654",$170.84,$171.37,$169.77
12/20/2023,$169.17,"593,534",$171.94,$172.45,$169.15
12/19/2023,$171.98,"703,062",$172.57,$172.86,$171.48
12/18/2023,$171.84,"813,502",$171.42,$172.035,$170.57
12/15/2023,$171.07,"1,738,400",$170.40,$171.92,$170.205
12/14/2023,$171.24,"1,126,651",$171.20,$171.38,$167.66
12/13/2023,$169.82,"1,098,771",$169.96,$170.085,$168.135
12/12/2023,$169.37,"776,892",$168.58,$170.11,$167.78
12/11/2023,$168.58,"930,904",$166.78,$169.60,$166.6599
12/08/2023,$166.61,"920,429",$162.88,$166.812,$162.795
12/07/2023,$163.24,"1,061,539",$160.52,$163.36,$160.1201
12/06/2023,$159.85,"652,294",$161.31,$161.83,$159.665
12/05/2023,$160.74,"711,048",$158.95,$160.82,$158.48
12/04/2023,$159.90,"696,539",$158.32,$160.28,$157.72
12/01/2023,$159.41,"918,137",$157.03,$159.76,$156.11
11/30/2023,$157.36,"2,157,307",$156.02,$157.91,$154.73
11/29/2023,$155.49,"730,593",$155.97,$156.98,$154.40
11/28/2023,$154.45,"597,770",$153.81,$155.76,$153.44
11/27/2023,$154.75,"510,915",$154.59,$155.78,$154.54
11/24/2023,$154.92,"301,895",$154.20,$155.07,$153.11
11/22/2023,$154.35,"853,457",$155.56,$156.01,$152.68
11/21/2023,$156.04,"627,671",$156.24,$156.90,$154.83
11/20/2023,$155.54,"769,001",$154.05,$156.075,$153.20
11/17/2023,$153.94,"529,358",$153.48,$154.35,$152.5363
11/16/2023,$152.83,"657,800",$154.25,$155.00,$151.73
11/15/2023,$154.68,"502,708",$155.24,$155.84,$153.65
11/14/2023,$154.83,"969,311",$153.96,$155.665,$152.37
11/13/2023,$152.14,"825,791",$151.80,$153.19,$151.50
11/10/2023,$151.61,"503,141",$149.30,$151.66,$148.01
11/09/2023,$148.75,"542,411",$150.01,$151.4545,$148.69
11/08/2023,$149.63,"834,804",$150.06,$151.04,$148.70
11/07/2023,$149.25,"871,654",$149.00,$150.53,$147.95
11/06/2023,$148.66,"573,501",$147.60,$148.73,$146.63
11/03/2023,$147.51,"797,074",$146.06,$148.55,$144.16
11/02/2023,$146.32,"1,614,814",$137.22,$147.18,$135.16
11/01/2023,$138.89,"1,058,460",$141.25,$141.49,$137.23
10/31/2023,$140.42,"654,334",$139.34,$140.89,$138.35
10/30/2023,$139.40,"950,469",$138.80,$140.07,$136.72
10/27/2023,$136.06,"533,013",$136.20,$137.49,$135.0317
10/26/2023,$135.85,"715,465",$138.24,$139.13,$134.6122
10/25/2023,$137.97,"989,602",$139.64,$140.20,$137.28
10/24/2023,$139.66,"616,295",$136.80,$139.69,$136.80
10/23/2023,$136.10,"576,920",$137.22,$137.64,$135.54
10/20/2023,$137.75,"636,248",$141.92,$141.92,$136.94
10/19/2023,$141.32,"526,216",$145.19,$145.53,$141.25
10/18/2023,$145.14,"943,670",$145.11,$146.785,$143.80
10/17/2023,$146.17,"684,887",$143.83,$146.76,$143.16
10/16/2023,$144.42,"420,692",$143.80,$145.57,$143.35
10/13/2023,$142.86,"735,065",$144.01,$144.17,$142.44
10/12/2023,$144.14,"617,230",$143.73,$145.12,$142.75
10/11/2023,$143.52,"375,105",$142.63,$143.61,$141.36
10/10/2023,$142.34,"684,821",$140.23,$142.74,$139.885
10/09/2023,$139.94,"546,272",$139.15,$140.35,$139.05
10/06/2023,$140.34,"638,895",$138.66,$141.75,$138.51
10/05/2023,$139.82,"452,791",$139.36,$140.15,$137.69
10/04/2023,$139.63,"604,492",$138.70,$139.80,$137.75
10/03/2023,$137.84,"604,379",$140.25,$141.43,$137.24
10/02/2023,$140.84,"633,282",$141.38,$141.975,$140.10
