Date,Close,Volume,Open,High,Low
03/01/2024,$1.67,"688,890",$1.75,$1.75,$1.62
02/29/2024,$1.72,"855,490",$1.70,$1.75,$1.64
02/28/2024,$1.68,"1,697,008",$1.74,$1.756,$1.60
02/27/2024,$1.66,"1,136,445",$1.63,$1.70,$1.58
02/26/2024,$1.58,"985,721",$1.64,$1.67,$1.491
02/23/2024,$1.65,"694,469",$1.66,$1.69,$1.58
02/22/2024,$1.66,"972,770",$1.60,$1.695,$1.5679
02/21/2024,$1.59,"830,981",$1.53,$1.68,$1.52
02/20/2024,$1.56,"427,985",$1.55,$1.58,$1.52
02/16/2024,$1.50,"497,161",$1.56,$1.58,$1.43
02/15/2024,$1.54,"740,744",$1.46,$1.5899,$1.40
02/14/2024,$1.60,"4,761,575",$1.54,$2.27,$1.32
02/13/2024,$1.54,"3,087,132",$1.41,$1.61,$1.31
02/12/2024,$1.40,"1,654,160",$1.21,$1.43,$1.20
02/09/2024,$1.17,"157,143",$1.18,$1.1999,$1.1215
02/08/2024,$1.18,"230,575",$1.10,$1.20,$1.0901
02/07/2024,$1.13,"151,551",$1.12,$1.17,$1.11
02/06/2024,$1.14,"238,034",$1.16,$1.16,$1.09
02/05/2024,$1.12,"177,409",$1.10,$1.14,$1.051
02/02/2024,$1.12,"304,734",$1.16,$1.23,$1.11
02/01/2024,$1.21,"463,519",$1.21,$1.25,$1.11
01/31/2024,$1.21,"635,376",$1.23,$1.2999,$1.16
01/30/2024,$1.23,"9,303,305",$1.50,$1.69,$1.11
01/29/2024,$1.385,"2,698,294",$1.12,$1.50,$1.0445
01/26/2024,$1.10,"62,463",$1.14,$1.152,$1.08
01/25/2024,$1.14,"119,107",$1.18,$1.24,$1.0701
01/24/2024,$1.15,"121,236",$1.22,$1.28,$1.15
01/23/2024,$1.25,"122,841",$1.276,$1.29,$1.15
01/22/2024,$1.29,"313,154",$1.23,$1.33,$1.12
01/19/2024,$1.21,"311,692",$1.07,$1.27,$1.07
01/18/2024,$1.1199,"417,443",$1.15,$1.15,$1.04
01/17/2024,$1.19,"12,725,050",$1.48,$1.56,$1.08
01/16/2024,$1.22,"92,475",$1.32,$1.32,$1.22
01/12/2024,$1.315,"37,807",$1.36,$1.36,$1.2715
01/11/2024,$1.33,"59,518",$1.40,$1.40,$1.31
01/10/2024,$1.37,"74,612",$1.33,$1.41,$1.31
01/09/2024,$1.33,"55,724",$1.44,$1.44,$1.32
01/08/2024,$1.44,"191,370",$1.36,$1.47,$1.25
01/05/2024,$1.36,"80,292",$1.38,$1.43,$1.32
01/04/2024,$1.4207,"32,418",$1.50,$1.50,$1.3504
01/03/2024,$1.43,"41,251",$1.42,$1.4781,$1.3801
01/02/2024,$1.42,"121,164",$1.45,$1.50,$1.32
12/29/2023,$1.41,"252,440",$1.52,$1.54,$1.22
12/28/2023,$1.54,"324,792",$1.55,$1.6494,$1.49
12/27/2023,$1.61,"817,834",$1.46,$1.6377,$1.41
12/26/2023,$1.48,"104,835",$1.50,$1.5649,$1.4479
12/22/2023,$1.54,"353,083",$1.46,$1.60,$1.40
12/21/2023,$1.41,"211,688",$1.36,$1.4999,$1.36
12/20/2023,$1.36,"451,796",$1.29,$1.55,$1.26
12/19/2023,$1.28,"71,079",$1.26,$1.34,$1.25
12/18/2023,$1.29,"62,635",$1.34,$1.3601,$1.25
