Date,Close,Volume,Open,High,Low
03/01/2024,$1.72,"7,119,907",$1.85,$1.86,$1.54
02/29/2024,$1.85,"4,608,438",$2.02,$2.05,$1.83
02/28/2024,$1.99,"7,990,288",$1.80,$2.06,$1.79
02/27/2024,$1.88,"6,492,880",$1.94,$2.11,$1.71
02/26/2024,$1.90,"4,171,329",$1.79,$1.93,$1.70
02/23/2024,$1.79,"4,631,434",$1.92,$1.94,$1.67
02/22/2024,$1.89,"5,645,205",$1.99,$2.005,$1.85
02/21/2024,$1.82,"4,949,172",$1.93,$1.95,$1.77
02/20/2024,$2.05,"18,119,590",$2.15,$2.17,$1.76
02/16/2024,$1.74,"4,961,861",$1.82,$1.93,$1.66
02/15/2024,$1.98,"10,840,030",$2.02,$2.08,$1.60
02/14/2024,$1.85,"15,750,680",$1.58,$2.08,$1.51
02/13/2024,$1.44,"7,256,504",$1.40,$1.55,$1.23
02/12/2024,$1.35,"10,953,400",$1.20,$1.50,$1.19
02/09/2024,$1.09,"2,626,329",$0.95,$1.09,$0.94
02/08/2024,$0.93,"1,233,019",$0.92,$0.96,$0.90
02/07/2024,$0.96,"1,672,530",$0.957,$1.01,$0.9108
02/06/2024,$0.957,"1,202,790",$0.885,$0.966,$0.88
02/05/2024,$0.8829,"1,510,955",$0.9496,$0.9568,$0.87
02/02/2024,$0.969,"1,742,457",$0.92,$0.9697,$0.8811
02/01/2024,$0.92,"1,445,163",$0.89,$0.9215,$0.845
01/31/2024,$0.8453,"1,745,076",$0.88,$0.9316,$0.825
01/30/2024,$0.8818,"3,021,771",$0.85,$0.935,$0.82
01/29/2024,$0.82,"976,086",$0.80,$0.837,$0.78
01/26/2024,$0.82,"1,232,620",$0.7329,$0.8275,$0.7329
01/25/2024,$0.718,"1,158,648",$0.77,$0.775,$0.71
01/24/2024,$0.755,"1,370,069",$0.8674,$0.8674,$0.7502
01/23/2024,$0.8106,"768,460",$0.815,$0.843,$0.79
01/22/2024,$0.7831,"2,127,352",$0.7234,$0.80,$0.7234
01/19/2024,$0.685,"965,749",$0.7219,$0.7398,$0.6813
01/18/2024,$0.7063,"898,388",$0.7109,$0.738,$0.6914
01/17/2024,$0.7083,"1,256,085",$0.7003,$0.7349,$0.685
01/16/2024,$0.7224,"1,746,384",$0.76,$0.7714,$0.6815
01/12/2024,$0.76,"1,274,842",$0.7924,$0.8154,$0.74
01/11/2024,$0.7884,"1,416,195",$0.84,$0.845,$0.7808
01/10/2024,$0.8455,"795,795",$0.86,$0.86,$0.84
01/09/2024,$0.8481,"709,378",$0.88,$0.88,$0.84
01/08/2024,$0.88,"1,998,295",$0.83,$0.88,$0.7821
01/05/2024,$0.8213,"862,632",$0.876,$0.88,$0.815
01/04/2024,$0.8762,"974,532",$0.8462,$0.8762,$0.8151
01/03/2024,$0.8399,"1,234,948",$0.82,$0.8399,$0.7829
01/02/2024,$0.8221,"1,483,792",$0.88,$0.8824,$0.8201
12/29/2023,$0.8801,"2,193,781",$0.9213,$0.925,$0.8501
12/28/2023,$0.9325,"945,543",$0.95,$0.9655,$0.9194
12/27/2023,$0.97,"843,310",$0.95,$0.9799,$0.9309
12/26/2023,$0.9679,"1,215,305",$0.9469,$0.98,$0.9202
12/22/2023,$0.9232,"2,558,588",$0.98,$0.98,$0.8928
12/21/2023,$0.9545,"633,795",$0.9927,$0.9927,$0.9449
12/20/2023,$0.94,"1,642,320",$0.987,$1.04,$0.9171
12/19/2023,$1.02,"1,437,588",$1.00,$1.04,$0.9723
12/18/2023,$0.9723,"1,253,468",$1.00,$1.01,$0.9425
12/15/2023,$0.9814,"2,136,913",$1.03,$1.06,$0.9511
12/14/2023,$1.02,"2,734,391",$0.9709,$1.07,$0.9609
12/13/2023,$0.96,"2,269,080",$0.951,$0.96,$0.84
12/12/2023,$0.93,"2,255,424",$1.02,$1.02,$0.882
12/11/2023,$1.00,"1,432,799",$1.05,$1.05,$0.9803
12/08/2023,$1.05,"1,217,276",$0.99,$1.08,$0.99
12/07/2023,$0.995,"2,074,287",$1.08,$1.08,$0.9404
12/06/2023,$1.03,"2,184,638",$0.9895,$1.09,$0.984
12/05/2023,$0.9708,"1,664,207",$1.02,$1.0597,$0.925
12/04/2023,$1.01,"2,808,624",$0.96,$1.05,$0.8824
12/01/2023,$0.9443,"3,053,197",$0.87,$0.9578,$0.825
11/30/2023,$0.82,"644,642",$0.87,$0.87,$0.807
11/29/2023,$0.8368,"987,890",$0.84,$0.8936,$0.82
11/28/2023,$0.8276,"763,770",$0.8451,$0.8585,$0.801
11/27/2023,$0.8434,"701,037",$0.85,$0.8755,$0.83
11/24/2023,$0.86,"648,894",$0.78,$0.867,$0.78
11/22/2023,$0.7849,"1,074,074",$0.85,$0.8602,$0.7766
11/21/2023,$0.8361,"757,999",$0.8868,$0.8898,$0.82
11/20/2023,$0.876,"1,146,705",$0.89,$0.95,$0.864
11/17/2023,$0.859,"686,462",$0.8653,$0.8999,$0.84
11/16/2023,$0.9135,"892,850",$0.9034,$0.9212,$0.8531
11/15/2023,$0.8943,"1,895,131",$0.8541,$0.9359,$0.8289
11/14/2023,$0.82,"2,061,738",$0.7571,$0.82,$0.73
11/13/2023,$0.7264,"942,389",$0.78,$0.78,$0.69
11/10/2023,$0.7201,"1,435,415",$0.7303,$0.7303,$0.65
11/09/2023,$0.7119,"3,944,175",$0.91,$0.929,$0.57
11/08/2023,$0.8576,"2,754,092",$0.8048,$0.92,$0.7705
11/07/2023,$0.7872,"914,080",$0.83,$0.83,$0.76
11/06/2023,$0.7828,"1,554,039",$0.9041,$0.9298,$0.77
11/03/2023,$0.8776,"1,748,543",$0.9682,$0.98,$0.85
11/02/2023,$0.9701,"3,961,931",$0.849,$0.98,$0.64
11/01/2023,$0.8064,"2,098,934",$0.73,$0.8447,$0.7092
10/31/2023,$0.722,"1,217,958",$0.6355,$0.73,$0.5701
10/30/2023,$0.6421,"1,451,649",$0.6393,$0.6683,$0.57
10/27/2023,$0.6061,"1,085,839",$0.6804,$0.6873,$0.595
10/26/2023,$0.658,"1,301,842",$0.675,$0.699,$0.6401
10/25/2023,$0.6801,"1,702,258",$0.79,$0.7985,$0.68
10/24/2023,$0.7865,"969,104",$0.755,$0.82,$0.7522
10/23/2023,$0.775,"974,902",$0.7621,$0.79,$0.737
10/20/2023,$0.7939,"1,316,271",$0.87,$0.87,$0.765
10/19/2023,$0.8443,"1,130,872",$0.9126,$0.9166,$0.8315
10/18/2023,$0.8945,"985,889",$0.94,$0.9599,$0.8675
10/17/2023,$0.941,"747,683",$0.98,$1.01,$0.9405
10/16/2023,$0.99,"640,768",$0.95,$1.02,$0.95
10/13/2023,$0.9598,"613,966",$0.97,$0.9898,$0.9348
10/12/2023,$0.97,"971,095",$0.99,$1.03,$0.9351
10/11/2023,$0.9808,"2,370,946",$1.095,$1.1599,$0.9716
10/10/2023,$1.07,"2,221,395",$1.00,$1.13,$0.99
10/09/2023,$1.02,"904,247",$0.95,$1.03,$0.9431
10/06/2023,$0.9816,"881,271",$0.89,$0.9816,$0.8898
10/05/2023,$0.9072,"597,149",$0.8837,$0.9249,$0.8566
10/04/2023,$0.855,"1,644,244",$0.8917,$0.9176,$0.8429
10/03/2023,$0.8991,"1,529,557",$0.95,$0.9684,$0.8901
10/02/2023,$0.9734,"699,924",$0.964,$0.9894,$0.9399
09/29/2023,$0.9649,"748,363",$0.9809,$1.00,$0.9433
09/28/2023,$0.9702,"1,521,962",$0.9805,$1.04,$0.9604
09/27/2023,$0.99,"1,646,913",$0.93,$1.02,$0.93
09/26/2023,$0.9399,"593,802",$0.95,$0.9795,$0.93
09/25/2023,$0.9671,"1,424,839",$0.91,$0.9671,$0.8799
09/22/2023,$0.9096,"1,364,529",$0.97,$0.99,$0.905
09/21/2023,$0.9543,"2,662,566",$0.91,$0.97,$0.8723
09/20/2023,$0.9242,"1,444,678",$0.94,$0.9822,$0.91
09/19/2023,$0.9505,"1,338,308",$0.97,$1.02,$0.9301
09/18/2023,$0.9635,"2,500,992",$1.04,$1.05,$0.961
09/15/2023,$1.04,"2,709,056",$1.07,$1.08,$1.00
09/14/2023,$1.07,"2,271,985",$1.08,$1.12,$1.0485
09/13/2023,$1.06,"2,721,740",$1.03,$1.08,$1.01
09/12/2023,$0.9882,"3,665,700",$1.07,$1.125,$0.9701
09/11/2023,$1.07,"2,892,514",$0.9247,$1.09,$0.9118
09/08/2023,$0.9114,"4,883,728",$0.9942,$0.9998,$0.8611
09/07/2023,$1.00,"2,986,853",$1.04,$1.05,$1.00
09/06/2023,$1.06,"6,311,605",$1.15,$1.21,$1.04
09/05/2023,$1.16,"4,303,763",$1.12,$1.19,$1.11
09/01/2023,$1.12,"2,490,409",$1.13,$1.18,$1.10
08/31/2023,$1.16,"1,435,705",$1.20,$1.21,$1.14
08/30/2023,$1.19,"3,262,279",$1.21,$1.2499,$1.14
08/29/2023,$1.23,"5,533,290",$1.08,$1.2699,$1.08
08/28/2023,$1.10,"3,882,336",$1.14,$1.15,$1.07
08/25/2023,$1.15,"3,825,755",$1.15,$1.21,$1.13
08/24/2023,$1.17,"3,958,150",$1.32,$1.32,$1.155
08/23/2023,$1.27,"3,301,092",$1.26,$1.30,$1.20
08/22/2023,$1.25,"4,421,302",$1.40,$1.42,$1.22
08/21/2023,$1.38,"2,764,117",$1.37,$1.45,$1.345
08/18/2023,$1.37,"3,207,612",$1.24,$1.39,$1.23
08/17/2023,$1.31,"2,564,362",$1.39,$1.39,$1.26
08/16/2023,$1.38,"3,747,933",$1.49,$1.50,$1.33
08/15/2023,$1.50,"3,678,234",$1.54,$1.59,$1.47
08/14/2023,$1.59,"5,361,078",$1.51,$1.66,$1.47
08/11/2023,$1.45,"12,610,030",$1.44,$1.88,$1.40
08/10/2023,$1.48,"6,457,909",$1.65,$1.71,$1.47
08/09/2023,$1.69,"3,319,280",$1.72,$1.77,$1.66
08/08/2023,$1.76,"5,212,535",$1.71,$1.78,$1.55
08/07/2023,$1.85,"7,697,642",$1.93,$1.9498,$1.66
08/04/2023,$1.94,"6,384,654",$2.10,$2.14,$1.91
08/03/2023,$2.07,"9,688,947",$2.20,$2.33,$2.02
08/02/2023,$2.25,"13,907,670",$2.54,$2.54,$2.10
08/01/2023,$2.70,"42,848,470",$2.28,$2.7163,$2.05
07/31/2023,$2.10,"8,012,709",$2.09,$2.219,$2.0416
07/28/2023,$2.10,"9,157,342",$1.96,$2.17,$1.90
07/27/2023,$1.91,"8,001,325",$2.20,$2.35,$1.86
07/26/2023,$2.11,"4,925,359",$2.23,$2.29,$2.04
07/25/2023,$2.27,"8,896,725",$2.37,$2.4789,$2.11
07/24/2023,$2.38,"2,591,301",$2.48,$2.57,$2.30
07/21/2023,$2.41,"4,772,396",$2.80,$2.87,$2.36
07/20/2023,$2.75,"3,719,645",$2.85,$2.90,$2.66
07/19/2023,$2.91,"8,978,531",$2.99,$3.18,$2.62
07/18/2023,$2.89,"17,763,920",$2.64,$3.20,$2.49
07/17/2023,$2.57,"7,675,667",$2.23,$2.68,$2.18
07/14/2023,$2.20,"10,246,390",$2.43,$2.80,$2.10
07/13/2023,$2.63,"9,944,456",$2.01,$2.63,$1.96
