Date,Close,Volume,Open,High,Low
03/01/2024,$163.09,"10,405,720",$159.39,$164.00,$158.07
02/29/2024,$157.79,"8,321,448",$156.87,$158.20,$156.18
02/28/2024,$155.85,"5,210,958",$156.00,$156.5397,$154.96
02/27/2024,$158.30,"6,021,410",$157.75,$159.20,$157.49
02/26/2024,$157.03,"6,307,616",$156.00,$157.48,$155.79
02/23/2024,$154.91,"5,953,301",$155.695,$156.91,$154.3271
02/22/2024,$154.75,"11,407,450",$154.77,$155.51,$152.315
02/21/2024,$152.01,"9,769,463",$149.83,$152.05,$148.90
02/20/2024,$151.96,"8,745,482",$151.89,$152.90,$149.87
02/16/2024,$152.69,"8,429,094",$157.47,$157.76,$152.6001
02/15/2024,$155.98,"9,372,391",$155.00,$157.17,$154.485
02/14/2024,$153.94,"8,715,118",$151.31,$154.3925,$151.05
02/13/2024,$150.04,"8,976,265",$150.00,$151.25,$148.41
02/12/2024,$153.10,"11,806,350",$150.38,$154.76,$150.25
02/09/2024,$151.00,"11,981,500",$149.00,$153.40,$148.35
02/08/2024,$148.18,"9,448,662",$146.85,$148.61,$146.285
02/07/2024,$145.89,"7,361,904",$145.16,$145.95,$143.63
02/06/2024,$144.10,"7,286,261",$144.50,$144.81,$142.4299
02/05/2024,$144.03,"8,032,550",$141.86,$144.65,$141.21
02/02/2024,$141.69,"10,442,670",$140.65,$142.14,$139.26
02/01/2024,$141.11,"22,810,610",$140.87,$143.91,$140.09
01/31/2024,$148.51,"21,184,190",$145.34,$150.16,$144.335
01/30/2024,$145.98,"9,132,768",$148.00,$148.80,$145.57
01/29/2024,$149.64,"10,770,720",$150.40,$151.235,$148.42
01/26/2024,$150.72,"7,744,740",$152.21,$152.98,$150.38
01/25/2024,$154.47,"7,740,870",$157.60,$157.98,$153.67
01/24/2024,$154.37,"8,331,852",$154.79,$156.32,$153.90
01/23/2024,$153.50,"6,232,270",$152.87,$153.74,$151.41
01/22/2024,$152.87,"10,456,110",$152.75,$154.575,$151.87
01/19/2024,$151.96,"16,193,890",$147.265,$152.77,$146.74
01/18/2024,$145.29,"12,892,980",$143.148,$145.65,$142.33
01/17/2024,$139.32,"6,584,710",$139.62,$139.63,$137.35
01/16/2024,$141.12,"7,483,018",$140.00,$141.23,$137.98
01/12/2024,$140.20,"6,546,589",$142.12,$142.66,$139.16
01/11/2024,$139.03,"7,374,872",$139.00,$139.95,$136.03
01/10/2024,$139.31,"5,652,493",$139.89,$140.03,$137.79
01/09/2024,$139.89,"5,856,890",$137.54,$140.9476,$137.1373
01/08/2024,$139.03,"7,729,379",$136.99,$139.15,$136.64
01/05/2024,$136.73,"6,827,264",$136.16,$138.07,$135.85
01/04/2024,$136.17,"6,770,279",$135.44,$137.3301,$134.9409
01/03/2024,$137.60,"8,133,289",$138.89,$138.89,$136.99
01/02/2024,$140.23,"8,495,776",$142.19,$142.195,$138.781
12/29/2023,$144.63,"4,839,267",$145.41,$145.62,$143.79
12/28/2023,$145.86,"4,928,829",$146.18,$146.89,$145.73
