Date,Close,Volume,Open,High,Low
03/01/2024,$0.5049,"153,349",$0.467,$0.5049,$0.467
02/29/2024,$0.4828,"142,407",$0.4834,$0.52,$0.48
02/28/2024,$0.49,"452,576",$0.52,$0.54,$0.468
02/27/2024,$0.5001,"427,002",$0.51,$0.55,$0.49
02/26/2024,$0.509,"818,832",$0.44,$0.5499,$0.4331
02/23/2024,$0.4275,"208,709",$0.4374,$0.4576,$0.40
02/22/2024,$0.4233,"370,178",$0.42,$0.4722,$0.42
02/21/2024,$0.4207,"453,264",$0.4716,$0.4739,$0.4051
02/20/2024,$0.479,"1,138,102",$0.57,$0.5999,$0.4615
02/16/2024,$0.50,"979,412",$0.53,$0.60,$0.50
02/15/2024,$0.4901,"2,429,989",$0.72,$0.72,$0.4655
02/14/2024,$0.6821,"9,991,172",$0.4864,$0.8999,$0.47
02/13/2024,$0.4864,"282,614",$0.4933,$0.50,$0.4785
02/12/2024,$0.4785,"454,334",$0.461,$0.4888,$0.4301
02/09/2024,$0.445,"234,743",$0.40,$0.4552,$0.391
02/08/2024,$0.40,"82,181",$0.377,$0.4029,$0.3735
02/07/2024,$0.3732,"129,313",$0.41,$0.41,$0.352
02/06/2024,$0.3821,"51,058",$0.39,$0.39,$0.3538
02/05/2024,$0.3807,"92,970",$0.40,$0.409,$0.38
02/02/2024,$0.39,"138,563",$0.40,$0.4226,$0.39
02/01/2024,$0.395,"157,560",$0.3887,$0.40,$0.3681
01/31/2024,$0.3851,"150,875",$0.3765,$0.4095,$0.37
01/30/2024,$0.3823,"237,352",$0.4004,$0.4004,$0.3517
01/29/2024,$0.4128,"363,470",$0.3787,$0.43,$0.37
01/26/2024,$0.3571,"271,010",$0.35,$0.3736,$0.35
01/25/2024,$0.3513,"82,805",$0.33,$0.3554,$0.33
01/24/2024,$0.3555,"309,680",$0.3488,$0.3638,$0.3314
01/23/2024,$0.341,"193,728",$0.35,$0.353,$0.3201
01/22/2024,$0.3411,"411,537",$0.30,$0.3595,$0.296
01/19/2024,$0.30,"149,721",$0.2938,$0.30,$0.2774
01/18/2024,$0.29,"154,314",$0.2643,$0.29,$0.2634
01/17/2024,$0.2643,"271,191",$0.266,$0.281,$0.2631
01/16/2024,$0.28,"183,298",$0.3016,$0.3016,$0.28
01/12/2024,$0.2827,"81,603",$0.288,$0.2999,$0.282
01/11/2024,$0.28,"149,659",$0.292,$0.2999,$0.28
01/10/2024,$0.291,"202,503",$0.30,$0.3099,$0.2858
01/09/2024,$0.30,"126,547",$0.309,$0.3123,$0.30
01/08/2024,$0.3109,"112,475",$0.3137,$0.32,$0.305
01/05/2024,$0.319,"93,806",$0.3131,$0.3219,$0.3053
01/04/2024,$0.3131,"128,927",$0.32,$0.33,$0.31
01/03/2024,$0.32,"176,333",$0.3425,$0.3597,$0.3199
01/02/2024,$0.3387,"87,387",$0.35,$0.364,$0.3305
12/29/2023,$0.349,"233,215",$0.3288,$0.3499,$0.3251
12/28/2023,$0.33,"507,070",$0.33,$0.3596,$0.3269
12/27/2023,$0.34,"244,360",$0.361,$0.3613,$0.33
12/26/2023,$0.353,"135,298",$0.352,$0.37,$0.352
12/22/2023,$0.3564,"187,386",$0.39,$0.39,$0.352
12/21/2023,$0.368,"662,468",$0.35,$0.368,$0.3349
12/20/2023,$0.3211,"247,432",$0.32,$0.353,$0.3066
12/19/2023,$0.32,"741,481",$0.39,$0.391,$0.31
12/18/2023,$0.3727,"937,320",$0.3077,$0.39,$0.29
12/15/2023,$0.29,"735,429",$0.36,$0.3695,$0.2713
