Date,Close,Volume,Open,High,Low
03/01/2024,$52.02,"77,783",$50.92,$53.15,$49.57
02/29/2024,$50.92,"104,123",$50.50,$51.9999,$50.00
02/28/2024,$49.71,"156,266",$47.00,$51.00,$47.00
02/27/2024,$46.65,"102,951",$46.88,$47.59,$46.17
02/26/2024,$46.70,"77,492",$47.36,$47.585,$45.01
02/23/2024,$46.86,"68,272",$47.79,$48.20,$46.43
02/22/2024,$47.20,"71,032",$46.90,$47.99,$46.75
02/21/2024,$46.44,"79,081",$44.00,$47.18,$43.5699
02/20/2024,$43.85,"59,213",$42.92,$44.06,$42.50
02/16/2024,$42.50,"34,904",$41.67,$42.50,$41.48
02/15/2024,$41.75,"59,760",$41.58,$42.50,$40.9867
02/14/2024,$41.00,"39,779",$41.00,$42.00,$40.51
02/13/2024,$40.09,"46,214",$40.78,$41.49,$39.68
02/12/2024,$41.00,"73,907",$40.49,$41.9202,$40.22
02/09/2024,$40.60,"16,576",$40.15,$40.60,$39.85
02/08/2024,$40.00,"32,799",$40.40,$40.40,$39.87
02/07/2024,$40.07,"18,744",$40.40,$40.40,$39.8076
02/06/2024,$40.09,"28,879",$40.63,$40.63,$39.57
02/05/2024,$39.97,"21,123",$40.30,$40.4714,$39.75
02/02/2024,$40.15,"21,517",$40.13,$40.30,$39.87
02/01/2024,$39.96,"26,983",$40.37,$40.37,$39.65
01/31/2024,$39.56,"29,502",$40.00,$40.23,$39.56
01/30/2024,$40.01,"26,955",$40.55,$40.55,$39.8001
01/29/2024,$40.10,"40,496",$40.50,$40.905,$39.00
01/26/2024,$40.50,"26,460",$40.67,$41.40,$40.12
01/25/2024,$40.22,"34,471",$41.18,$41.25,$40.00
01/24/2024,$40.19,"55,677",$40.93,$41.4721,$40.19
01/23/2024,$40.52,"36,409",$39.08,$40.90,$39.08
01/22/2024,$39.89,"62,839",$40.00,$40.29,$39.52
01/19/2024,$39.84,"44,702",$38.57,$39.9999,$37.34
01/18/2024,$38.55,"46,953",$40.00,$40.26,$38.011
01/17/2024,$39.77,"17,261",$39.18,$40.40,$38.85
01/16/2024,$39.18,"49,171",$39.93,$40.90,$38.8101
01/12/2024,$40.10,"49,916",$41.19,$41.8499,$39.50
01/11/2024,$40.355,"28,405",$40.19,$41.4513,$39.01
01/10/2024,$39.51,"90,669",$41.25,$41.28,$38.75
01/09/2024,$41.25,"100,572",$39.25,$41.97,$39.20
01/08/2024,$39.25,"84,097",$36.38,$39.35,$35.02
01/05/2024,$36.08,"38,786",$36.75,$37.20,$36.02
01/04/2024,$36.76,"28,072",$36.28,$36.94,$35.875
01/03/2024,$36.37,"25,717",$36.95,$36.95,$36.1401
01/02/2024,$36.95,"22,231",$36.16,$37.29,$35.96
12/29/2023,$35.96,"90,573",$36.57,$37.1194,$35.51
12/28/2023,$36.57,"58,084",$38.11,$38.42,$36.50
12/27/2023,$38.43,"42,469",$38.13,$38.89,$37.75
12/26/2023,$38.42,"65,602",$38.38,$38.71,$37.15
12/22/2023,$38.00,"118,582",$36.50,$38.38,$36.2894
12/21/2023,$36.47,"68,766",$35.79,$36.6299,$35.49
12/20/2023,$35.79,"107,364",$36.00,$36.65,$35.28
12/19/2023,$35.95,"105,289",$35.09,$36.48,$34.302
12/18/2023,$35.09,"84,100",$35.05,$35.50,$34.26
12/15/2023,$34.88,"67,667",$35.73,$35.9899,$34.05
