Date,Close,Volume,Open,High,Low
03/01/2024,$425.35,"216,488",$425.00,$426.5563,$422.91
02/29/2024,$424.77,"483,882",$427.83,$427.89,$418.095
02/28/2024,$428.56,"341,837",$426.16,$430.08,$425.16
02/27/2024,$421.31,"405,390",$418.79,$424.1599,$417.36
02/26/2024,$419.33,"319,613",$419.22,$419.8799,$416.62
02/23/2024,$416.07,"282,507",$415.74,$417.7999,$414.07
02/22/2024,$411.85,"327,446",$407.66,$412.99,$407.66
02/21/2024,$402.27,"351,623",$394.24,$402.68,$393.92
02/20/2024,$390.45,"255,349",$390.48,$392.3568,$389.34
02/16/2024,$389.23,"231,624",$390.85,$391.57,$388.83
02/15/2024,$389.10,"184,971",$388.32,$389.79,$386.2687
02/14/2024,$382.45,"161,185",$380.00,$382.89,$378.80
02/13/2024,$376.84,"278,519",$378.78,$380.62,$375.31
02/12/2024,$387.25,"234,372",$390.00,$390.60,$386.335
02/09/2024,$392.56,"252,847",$389.92,$393.59,$389.29
02/08/2024,$385.15,"271,035",$381.04,$385.74,$380.00
02/07/2024,$381.04,"305,170",$384.06,$385.89,$380.70
02/06/2024,$378.53,"318,951",$373.79,$379.2698,$373.79
02/05/2024,$371.66,"447,674",$370.92,$374.64,$368.80
02/02/2024,$379.25,"694,687",$379.87,$380.40,$371.50
02/01/2024,$389.45,"1,609,881",$372.78,$391.42,$372.69
01/31/2024,$345.92,"386,621",$353.11,$354.685,$345.92
01/30/2024,$349.41,"382,315",$348.00,$350.30,$347.29
01/29/2024,$344.93,"300,558",$339.80,$344.99,$338.73
01/26/2024,$340.17,"504,256",$339.00,$341.00,$337.95
01/25/2024,$335.34,"376,775",$333.97,$335.34,$330.155
01/24/2024,$335.24,"338,822",$336.96,$337.395,$334.62
01/23/2024,$333.30,"366,750",$333.96,$334.16,$330.54
01/22/2024,$337.16,"488,827",$341.78,$342.66,$337.14
01/19/2024,$349.41,"193,974",$346.28,$350.20,$345.67
01/18/2024,$347.10,"229,056",$345.73,$347.605,$344.83
01/17/2024,$343.29,"290,586",$342.16,$343.70,$339.835
01/16/2024,$346.74,"366,047",$340.97,$347.87,$339.84
01/12/2024,$351.30,"249,295",$350.44,$351.45,$348.36
01/11/2024,$350.53,"252,295",$353.52,$354.2146,$347.74
01/10/2024,$351.42,"543,490",$346.42,$351.49,$345.46
01/09/2024,$343.09,"413,132",$342.88,$345.23,$341.07
