Date,Close,Volume,Open,High,Low
03/01/2024,$8.98,"1,496,182",$8.64,$9.29,$8.55
02/29/2024,$8.57,"1,915,336",$8.87,$9.2392,$8.355
02/28/2024,$8.66,"1,708,455",$8.95,$9.10,$8.64
02/27/2024,$8.99,"1,851,960",$9.59,$9.76,$8.9105
02/26/2024,$9.42,"1,799,158",$8.73,$9.62,$8.50
02/23/2024,$8.72,"1,390,215",$9.15,$9.50,$8.625
02/22/2024,$9.24,"2,715,737",$9.36,$10.09,$8.80
02/21/2024,$10.18,"16,228,970",$7.43,$10.3731,$7.30
02/20/2024,$6.87,"13,976,000",$8.46,$9.94,$6.86
02/16/2024,$25.97,"418,793",$25.56,$26.21,$25.21
02/15/2024,$25.54,"275,210",$26.23,$26.28,$25.10
02/14/2024,$25.55,"284,612",$25.52,$25.87,$25.09
02/13/2024,$24.99,"397,615",$25.08,$25.48,$24.12
02/12/2024,$26.45,"543,721",$26.32,$27.35,$25.96
02/09/2024,$26.18,"394,663",$25.52,$26.40,$25.0328
02/08/2024,$25.36,"377,910",$25.87,$27.3218,$25.25
02/07/2024,$25.79,"327,927",$25.71,$25.92,$25.18
02/06/2024,$25.79,"584,118",$25.09,$25.86,$25.09
02/05/2024,$25.10,"463,568",$24.49,$25.2975,$23.87
02/02/2024,$24.92,"277,363",$24.56,$25.40,$23.77
02/01/2024,$25.10,"300,658",$25.02,$25.595,$24.575
01/31/2024,$24.75,"472,306",$25.17,$25.93,$24.75
01/30/2024,$25.25,"295,522",$26.04,$26.13,$24.815
01/29/2024,$26.21,"352,105",$25.39,$26.30,$24.14
01/26/2024,$25.29,"532,500",$24.22,$25.89,$24.22
01/25/2024,$23.94,"615,717",$23.53,$24.265,$22.92
01/24/2024,$23.09,"517,745",$25.52,$25.9133,$23.07
01/23/2024,$25.16,"238,045",$24.97,$25.59,$24.67
01/22/2024,$24.57,"414,237",$24.18,$25.10,$23.98
01/19/2024,$23.88,"441,538",$23.58,$24.00,$23.185
01/18/2024,$23.51,"222,940",$24.66,$24.66,$23.2855
01/17/2024,$24.47,"641,252",$23.48,$24.60,$23.48
01/16/2024,$24.02,"449,608",$23.72,$24.74,$23.03
01/12/2024,$24.08,"290,044",$24.51,$25.2589,$24.01
01/11/2024,$24.08,"665,076",$23.87,$24.51,$23.58
01/10/2024,$24.34,"476,747",$24.80,$25.855,$23.89
01/09/2024,$24.82,"463,342",$23.82,$25.28,$23.79
01/08/2024,$24.32,"524,210",$23.12,$24.37,$22.615
01/05/2024,$23.45,"497,849",$23.09,$23.67,$22.08
01/04/2024,$23.47,"236,050",$23.34,$24.07,$23.00
01/03/2024,$23.32,"302,011",$24.18,$24.66,$23.13
01/02/2024,$24.29,"449,201",$24.35,$25.51,$23.64
12/29/2023,$24.85,"276,481",$25.38,$25.435,$24.56
12/28/2023,$25.46,"476,667",$24.84,$26.13,$24.84
12/27/2023,$24.88,"335,517",$24.90,$25.69,$24.4408
12/26/2023,$24.67,"372,361",$23.82,$24.935,$23.715
12/22/2023,$23.57,"756,187",$22.94,$24.24,$22.56
12/21/2023,$22.39,"770,826",$21.68,$22.52,$21.68
12/20/2023,$21.28,"640,293",$21.58,$22.53,$21.15
12/19/2023,$21.58,"339,148",$20.49,$21.71,$20.49
12/18/2023,$20.10,"369,923",$19.62,$20.50,$19.54
12/15/2023,$19.70,"968,717",$19.58,$19.91,$18.43
12/14/2023,$19.34,"387,016",$19.10,$19.66,$18.90
12/13/2023,$18.70,"509,563",$17.15,$18.92,$16.96
12/12/2023,$17.21,"426,087",$17.13,$17.70,$16.61
12/11/2023,$17.42,"420,617",$17.41,$17.60,$16.92
12/08/2023,$17.48,"292,764",$17.34,$18.105,$16.99
