Date,Close,Volume,Open,High,Low
03/01/2024,$2.95,"243,679",$2.99,$3.03,$2.94
02/29/2024,$2.99,"973,520",$3.00,$3.04,$2.93
02/28/2024,$2.92,"567,767",$3.08,$3.085,$2.90
02/27/2024,$3.11,"235,246",$3.13,$3.18,$3.10
02/26/2024,$3.13,"349,593",$3.07,$3.13,$3.04
02/23/2024,$3.11,"390,327",$3.13,$3.175,$3.06
02/22/2024,$3.15,"420,611",$3.14,$3.19,$3.09
02/21/2024,$3.14,"621,148",$3.29,$3.29,$3.10
02/20/2024,$3.35,"835,844",$3.38,$3.5199,$3.33
02/16/2024,$3.51,"679,468",$3.45,$3.56,$3.37
02/15/2024,$3.43,"1,347,249",$3.22,$3.65,$3.01
02/14/2024,$3.20,"677,720",$3.11,$3.21,$3.06
02/13/2024,$3.07,"703,364",$3.07,$3.10,$2.975
02/12/2024,$3.14,"439,389",$3.14,$3.20,$3.13
02/09/2024,$3.13,"295,303",$3.15,$3.18,$3.10
02/08/2024,$3.14,"320,974",$3.14,$3.16,$3.055
02/07/2024,$3.13,"352,891",$3.11,$3.16,$3.03
02/06/2024,$3.09,"543,235",$3.21,$3.23,$3.05
02/05/2024,$3.21,"425,895",$3.07,$3.22,$3.00
02/02/2024,$3.10,"399,221",$3.12,$3.15,$3.08
02/01/2024,$3.18,"493,103",$3.09,$3.19,$3.09
01/31/2024,$3.04,"710,715",$3.11,$3.17,$3.03
01/30/2024,$3.15,"243,014",$3.21,$3.21,$3.095
01/29/2024,$3.22,"341,477",$3.15,$3.22,$3.13
01/26/2024,$3.17,"332,151",$3.22,$3.24,$3.095
01/25/2024,$3.19,"375,337",$3.16,$3.22,$3.10
01/24/2024,$3.15,"369,491",$3.15,$3.1675,$3.095
01/23/2024,$3.09,"550,028",$3.10,$3.18,$3.06
01/22/2024,$3.06,"312,188",$3.00,$3.07,$2.975
01/19/2024,$2.98,"371,748",$2.94,$2.98,$2.875
01/18/2024,$2.90,"246,459",$2.84,$2.90,$2.80
01/17/2024,$2.84,"336,735",$2.75,$2.85,$2.745
01/16/2024,$2.81,"350,702",$2.89,$2.9023,$2.75
01/12/2024,$2.90,"305,524",$2.93,$2.96,$2.86
01/11/2024,$2.88,"314,452",$2.86,$2.94,$2.8225
01/10/2024,$2.87,"330,462",$2.86,$2.9686,$2.77
01/09/2024,$2.86,"329,079",$3.00,$3.01,$2.85
01/08/2024,$3.07,"547,905",$2.91,$3.10,$2.89
01/05/2024,$2.92,"343,967",$2.88,$2.995,$2.88
01/04/2024,$2.89,"253,510",$2.94,$3.00,$2.88
01/03/2024,$2.92,"342,114",$3.01,$3.04,$2.92
