Date,Close,Volume,Open,High,Low
03/01/2024,$0.7295,"469,773",$0.75,$0.75,$0.6936
02/29/2024,$0.71,"293,932",$0.65,$0.731,$0.65
02/28/2024,$0.691,"592,378",$0.7629,$0.7708,$0.6782
02/27/2024,$0.7541,"336,825",$0.8099,$0.8299,$0.75
02/26/2024,$0.772,"601,273",$0.87,$0.88,$0.75
02/23/2024,$0.8452,"250,976",$0.86,$0.86,$0.81
02/22/2024,$0.8618,"285,764",$0.9197,$0.9398,$0.82
02/21/2024,$0.9152,"183,551",$1.00,$1.00,$0.90
02/20/2024,$0.94,"564,985",$1.05,$1.06,$0.935
02/16/2024,$1.04,"207,010",$1.10,$1.10,$1.02
02/15/2024,$1.10,"164,256",$1.13,$1.13,$1.05
02/14/2024,$1.12,"268,539",$1.05,$1.14,$1.02
02/13/2024,$1.01,"213,667",$1.01,$1.068,$1.00
02/12/2024,$1.08,"294,298",$1.13,$1.18,$1.05
02/09/2024,$1.15,"160,262",$1.22,$1.23,$1.10
02/08/2024,$1.18,"233,143",$1.24,$1.25,$1.10
02/07/2024,$1.23,"224,975",$1.34,$1.3473,$1.20
02/06/2024,$1.35,"64,225",$1.36,$1.36,$1.29
02/05/2024,$1.34,"121,783",$1.32,$1.36,$1.28
02/02/2024,$1.37,"75,657",$1.32,$1.38,$1.31
02/01/2024,$1.38,"66,341",$1.27,$1.38,$1.27
01/31/2024,$1.28,"131,004",$1.36,$1.38,$1.25
01/30/2024,$1.39,"242,437",$1.41,$1.46,$1.32
01/29/2024,$1.40,"126,062",$1.35,$1.41,$1.28
01/26/2024,$1.31,"196,068",$1.20,$1.33,$1.17
01/25/2024,$1.18,"50,812",$1.14,$1.19,$1.11
01/24/2024,$1.16,"88,531",$1.14,$1.1796,$1.10
01/23/2024,$1.10,"318,642",$1.15,$1.16,$1.07
01/22/2024,$1.12,"275,572",$1.00,$1.15,$0.9899
01/19/2024,$1.00,"378,918",$1.00,$1.06,$0.962
01/18/2024,$1.07,"301,221",$1.25,$1.25,$1.00
01/17/2024,$1.16,"238,347",$1.16,$1.29,$1.14
01/16/2024,$1.25,"296,938",$1.28,$1.37,$1.13
01/12/2024,$1.28,"193,454",$1.28,$1.3209,$1.25
01/11/2024,$1.27,"192,175",$1.25,$1.2927,$1.24
01/10/2024,$1.30,"419,708",$1.39,$1.40,$1.23
01/09/2024,$1.37,"295,641",$1.45,$1.45,$1.32
01/08/2024,$1.43,"483,626",$1.54,$1.54,$1.25
01/05/2024,$1.47,"491,265",$1.53,$1.68,$1.46
01/04/2024,$1.57,"254,370",$1.70,$1.7397,$1.52
01/03/2024,$1.65,"318,720",$1.76,$1.78,$1.62
01/02/2024,$1.80,"304,726",$1.91,$1.95,$1.76
12/29/2023,$1.85,"284,834",$1.79,$1.85,$1.75
12/28/2023,$1.75,"562,213",$1.61,$1.86,$1.595
12/27/2023,$1.65,"244,189",$1.68,$1.69,$1.61
12/26/2023,$1.63,"233,554",$1.66,$1.70,$1.57
12/22/2023,$1.65,"664,246",$1.46,$1.65,$1.40
12/21/2023,$1.46,"537,102",$1.46,$1.50,$1.36
12/20/2023,$1.48,"532,854",$1.55,$1.61,$1.45
12/19/2023,$1.59,"237,015",$1.62,$1.68,$1.55
12/18/2023,$1.57,"199,742",$1.68,$1.74,$1.57
12/15/2023,$1.63,"377,157",$1.77,$1.775,$1.58
12/14/2023,$1.75,"306,240",$1.65,$1.88,$1.65
12/13/2023,$1.67,"321,459",$1.62,$1.73,$1.55
12/12/2023,$1.65,"236,532",$1.64,$1.70,$1.60
12/11/2023,$1.64,"264,501",$1.80,$1.8799,$1.61
12/08/2023,$1.77,"176,885",$1.87,$1.9595,$1.75
12/07/2023,$1.87,"107,357",$1.88,$1.88,$1.82
12/06/2023,$1.82,"274,988",$2.02,$2.02,$1.77
12/05/2023,$1.98,"239,802",$2.05,$2.085,$1.8891
12/04/2023,$2.11,"162,303",$2.30,$2.33,$2.06
12/01/2023,$2.30,"283,951",$2.46,$2.48,$2.22
