Date,Close,Volume,Open,High,Low
03/01/2024,$44.53,"310,950",$44.35,$44.83,$44.13
02/29/2024,$44.28,"516,869",$44.59,$44.74,$44.07
02/28/2024,$44.41,"302,039",$44.83,$44.83,$44.20
02/27/2024,$45.03,"296,680",$45.25,$45.25,$44.84
02/26/2024,$45.05,"323,813",$45.74,$45.74,$44.83
02/23/2024,$45.80,"192,369",$45.91,$45.93,$45.50
02/22/2024,$45.83,"321,044",$45.48,$45.90,$45.48
02/21/2024,$45.41,"248,848",$45.58,$45.68,$45.15
02/20/2024,$45.53,"319,698",$45.58,$45.84,$45.47
02/16/2024,$45.65,"365,150",$45.25,$45.8404,$45.11
02/15/2024,$45.51,"296,125",$45.28,$45.76,$45.20
02/14/2024,$45.05,"583,706",$44.34,$45.06,$44.34
02/13/2024,$44.28,"469,624",$44.93,$44.94,$43.89
02/12/2024,$45.45,"473,729",$45.45,$46.01,$45.32
02/09/2024,$45.62,"337,367",$46.00,$46.25,$45.4062
02/08/2024,$45.82,"433,199",$46.06,$46.39,$45.665
02/07/2024,$46.39,"307,750",$46.86,$46.86,$46.31
02/06/2024,$46.62,"245,695",$46.55,$46.84,$46.32
02/05/2024,$46.57,"457,745",$46.98,$46.98,$46.19
02/02/2024,$47.31,"603,578",$47.22,$47.49,$46.50
02/01/2024,$47.25,"647,616",$47.22,$48.085,$47.03
01/31/2024,$46.71,"469,327",$47.23,$47.49,$46.60
01/30/2024,$47.29,"293,019",$47.45,$47.80,$47.23
01/29/2024,$47.74,"304,462",$47.43,$47.85,$46.85
01/26/2024,$47.44,"278,889",$47.30,$47.6201,$47.30
01/25/2024,$47.25,"318,975",$47.60,$47.68,$47.04
01/24/2024,$47.33,"342,633",$47.87,$48.19,$47.30
01/23/2024,$47.69,"329,897",$47.44,$47.80,$47.20
01/22/2024,$47.33,"346,179",$47.63,$47.91,$47.26
01/19/2024,$47.63,"386,097",$47.12,$47.84,$46.8687
01/18/2024,$47.03,"584,741",$46.93,$47.21,$46.85
01/17/2024,$46.96,"550,319",$47.03,$47.18,$46.61
01/16/2024,$47.55,"407,888",$47.08,$47.79,$46.89
01/12/2024,$47.36,"222,389",$47.85,$48.08,$47.33
01/11/2024,$47.32,"359,018",$47.45,$47.49,$46.87
01/10/2024,$47.46,"318,433",$47.24,$47.5287,$47.03
01/09/2024,$47.15,"320,957",$47.00,$47.25,$46.68
01/08/2024,$47.22,"384,297",$46.69,$47.2857,$46.69
01/05/2024,$46.79,"299,744",$46.59,$47.33,$46.54
01/04/2024,$46.54,"319,587",$46.49,$46.6498,$45.85
01/03/2024,$46.67,"311,029",$46.56,$46.75,$46.14
01/02/2024,$46.52,"559,364",$46.36,$46.68,$46.12
12/29/2023,$46.81,"296,615",$46.75,$47.04,$46.49
12/28/2023,$46.73,"310,639",$46.64,$46.82,$46.38
12/27/2023,$46.73,"325,788",$46.57,$46.95,$46.33
12/26/2023,$46.63,"129,475",$46.08,$46.66,$46.0745
12/22/2023,$46.63,"433,408",$46.08,$46.66,$46.0745
12/21/2023,$46.49,"374,945",$46.25,$46.65,$46.25
12/20/2023,$46.02,"571,546",$45.85,$46.55,$45.80
12/19/2023,$45.80,"440,810",$45.33,$45.94,$45.33
12/18/2023,$45.16,"502,256",$45.10,$45.36,$44.85
12/15/2023,$44.88,"565,186",$45.80,$46.02,$44.65
12/14/2023,$45.95,"400,237",$46.44,$46.61,$45.77
