Date,Close,Volume,Open,High,Low
03/01/2024,$12.94,"790,326",$12.91,$12.995,$12.78
02/29/2024,$12.93,"1,509,889",$13.00,$13.035,$12.84
02/28/2024,$12.87,"1,507,457",$12.66,$12.89,$12.61
02/27/2024,$12.79,"1,845,005",$12.91,$12.98,$12.75
02/26/2024,$12.78,"1,037,793",$12.89,$12.955,$12.727
02/23/2024,$12.94,"832,549",$13.12,$13.12,$12.895
02/22/2024,$13.09,"1,594,029",$13.02,$13.12,$12.945
02/21/2024,$13.09,"1,846,712",$12.71,$13.105,$12.70
02/20/2024,$12.77,"2,115,323",$12.73,$12.95,$12.68
02/16/2024,$12.82,"1,634,320",$12.71,$12.895,$12.52
02/15/2024,$12.84,"2,887,086",$13.13,$13.79,$12.67
02/14/2024,$12.91,"1,688,807",$13.13,$13.24,$12.88
02/13/2024,$13.06,"1,854,562",$13.10,$13.185,$12.875
02/12/2024,$13.43,"1,724,081",$13.49,$13.60,$13.40
02/09/2024,$13.44,"2,669,880",$13.76,$13.76,$13.40
02/08/2024,$13.75,"1,829,717",$13.66,$13.81,$13.625
02/07/2024,$13.70,"1,049,265",$13.82,$13.86,$13.685
02/06/2024,$13.83,"741,942",$13.55,$13.925,$13.51
02/05/2024,$13.56,"1,153,189",$13.60,$13.69,$13.415
02/02/2024,$13.75,"1,131,460",$13.59,$13.79,$13.405
02/01/2024,$13.81,"706,458",$13.62,$13.81,$13.50
01/31/2024,$13.59,"1,070,864",$13.83,$14.01,$13.56
01/30/2024,$13.86,"1,108,588",$13.77,$13.88,$13.725
01/29/2024,$13.82,"1,529,004",$13.97,$13.97,$13.76
01/26/2024,$13.98,"596,000",$14.18,$14.195,$13.96
01/25/2024,$14.10,"1,062,477",$14.07,$14.125,$13.96
01/24/2024,$13.83,"834,743",$14.28,$14.28,$13.77
01/23/2024,$14.07,"679,219",$14.26,$14.26,$13.95
01/22/2024,$14.11,"741,011",$14.00,$14.275,$13.985
01/19/2024,$14.00,"1,077,822",$13.77,$14.105,$13.63
01/18/2024,$13.67,"1,214,476",$13.79,$13.84,$13.535
01/17/2024,$13.77,"1,642,782",$13.79,$13.995,$13.52
01/16/2024,$13.99,"1,469,951",$14.01,$14.13,$13.87
01/12/2024,$14.20,"1,150,559",$14.25,$14.25,$14.08
01/11/2024,$14.02,"1,318,234",$13.92,$14.05,$13.835
01/10/2024,$14.00,"965,588",$13.85,$14.02,$13.85
01/09/2024,$13.94,"1,315,282",$13.75,$13.94,$13.67
01/08/2024,$13.94,"987,060",$13.72,$13.955,$13.69
01/05/2024,$13.76,"1,095,216",$13.85,$13.91,$13.495
01/04/2024,$13.75,"945,224",$13.67,$13.78,$13.53
01/03/2024,$13.63,"1,425,060",$13.97,$13.97,$13.63
01/02/2024,$14.07,"751,174",$13.97,$14.17,$13.85
12/29/2023,$14.03,"810,586",$14.20,$14.20,$14.01
12/28/2023,$14.24,"565,692",$14.07,$14.24,$14.03
12/27/2023,$14.11,"720,244",$14.08,$14.135,$13.95
12/26/2023,$14.08,"549,758",$14.02,$14.13,$13.95
12/22/2023,$13.97,"1,869,106",$13.94,$14.04,$13.83
12/21/2023,$13.85,"1,065,153",$13.90,$13.90,$13.70
12/20/2023,$13.74,"1,717,552",$13.90,$14.06,$13.68
12/19/2023,$13.87,"1,920,067",$13.97,$14.01,$13.83
12/18/2023,$13.91,"1,120,601",$14.21,$14.21,$13.82
12/15/2023,$14.12,"5,712,447",$14.24,$14.34,$13.99
12/14/2023,$14.29,"2,227,266",$14.40,$14.63,$14.235
12/13/2023,$14.15,"1,123,084",$13.41,$14.195,$13.36
12/12/2023,$13.40,"606,799",$13.46,$13.52,$13.32
12/11/2023,$13.42,"688,617",$13.42,$13.49,$13.26
12/08/2023,$13.42,"658,095",$13.44,$13.55,$13.265
12/07/2023,$13.52,"1,297,960",$13.44,$13.62,$13.32
12/06/2023,$13.45,"1,033,115",$13.54,$13.75,$13.42
12/05/2023,$13.46,"1,317,496",$13.58,$13.66,$13.345
12/04/2023,$13.62,"1,069,597",$13.02,$13.635,$12.99
12/01/2023,$13.15,"1,085,317",$12.83,$13.235,$12.79
11/30/2023,$12.87,"1,317,149",$12.83,$12.935,$12.70
11/29/2023,$12.78,"2,255,888",$12.56,$12.87,$12.5401
11/28/2023,$12.47,"1,797,077",$12.26,$12.50,$12.15
11/27/2023,$12.25,"1,030,612",$12.24,$12.29,$12.095
11/24/2023,$12.29,"491,557",$12.19,$12.30,$12.08
11/22/2023,$12.24,"1,018,051",$12.29,$12.32,$12.145
11/21/2023,$12.11,"1,069,616",$12.12,$12.19,$11.915
11/20/2023,$12.23,"755,257",$12.20,$12.235,$12.01
11/17/2023,$12.21,"957,416",$12.32,$12.32,$12.115
11/16/2023,$12.09,"1,258,546",$12.43,$12.503,$12.075
11/15/2023,$12.46,"1,112,450",$12.60,$12.76,$12.425
11/14/2023,$12.66,"1,175,467",$12.33,$12.92,$12.29
11/13/2023,$11.81,"993,877",$11.93,$12.03,$11.80
11/10/2023,$12.02,"1,381,286",$12.02,$12.07,$11.88
11/09/2023,$11.90,"661,240",$12.37,$12.37,$11.90
11/08/2023,$12.27,"1,073,249",$12.31,$12.34,$12.165
11/07/2023,$12.29,"848,443",$12.51,$12.52,$12.235
11/06/2023,$12.57,"2,515,887",$12.63,$12.71,$12.465
11/03/2023,$12.81,"1,637,188",$12.63,$12.91,$12.63
11/02/2023,$12.36,"1,893,297",$12.13,$12.37,$11.98
11/01/2023,$11.87,"1,435,513",$11.71,$11.87,$11.63
10/31/2023,$11.74,"1,290,992",$11.33,$11.75,$11.239
10/30/2023,$11.28,"981,866",$11.20,$11.295,$11.055
10/27/2023,$11.08,"1,406,193",$11.50,$11.50,$10.985
10/26/2023,$11.40,"1,928,034",$11.25,$11.57,$11.25
10/25/2023,$11.23,"1,814,393",$11.50,$11.62,$11.22
10/24/2023,$11.73,"1,226,188",$11.80,$11.87,$11.595
10/23/2023,$11.70,"760,701",$11.69,$11.8591,$11.65
10/20/2023,$11.80,"833,709",$11.93,$12.04,$11.78
10/19/2023,$11.88,"1,598,210",$11.95,$12.265,$11.87
10/18/2023,$12.03,"896,974",$12.14,$12.15,$11.94
10/17/2023,$12.24,"1,038,867",$11.90,$12.29,$11.90
10/16/2023,$12.01,"1,353,231",$11.86,$12.13,$11.825
10/13/2023,$11.75,"1,048,505",$12.00,$12.09,$11.645
10/12/2023,$11.93,"1,148,003",$12.09,$12.12,$11.895
10/11/2023,$12.15,"748,114",$11.91,$12.15,$11.91
10/10/2023,$11.87,"701,480",$11.65,$11.975,$11.64
10/09/2023,$11.68,"1,168,857",$11.55,$11.85,$11.5499
10/06/2023,$11.57,"1,113,078",$11.56,$11.615,$11.335
10/05/2023,$11.64,"1,146,131",$11.69,$11.775,$11.585
10/04/2023,$11.70,"1,677,513",$11.67,$11.765,$11.53
10/03/2023,$11.64,"1,979,094",$11.91,$11.95,$11.51
10/02/2023,$12.00,"1,060,443",$12.31,$12.37,$11.9425
09/29/2023,$12.38,"1,394,080",$12.55,$12.64,$12.32
09/28/2023,$12.41,"972,501",$12.39,$12.54,$12.36
09/27/2023,$12.35,"1,072,080",$12.51,$12.685,$12.28
09/26/2023,$12.43,"1,184,772",$12.76,$12.81,$12.41
09/25/2023,$12.84,"1,196,476",$12.75,$12.91,$12.67
09/22/2023,$12.82,"942,403",$13.01,$13.125,$12.805
09/21/2023,$13.03,"631,278",$13.29,$13.3375,$13.03
09/20/2023,$13.35,"1,079,560",$13.56,$14.00,$13.35
09/19/2023,$13.58,"849,466",$13.52,$13.645,$13.485
09/18/2023,$13.52,"1,105,826",$13.89,$13.915,$13.515
09/15/2023,$13.90,"3,164,419",$14.27,$14.27,$13.88
09/14/2023,$14.23,"1,679,670",$13.86,$14.35,$13.79
09/13/2023,$13.85,"1,738,333",$13.83,$13.88,$13.69
09/12/2023,$13.80,"1,615,055",$13.36,$13.82,$13.30
09/11/2023,$13.36,"765,292",$13.53,$13.60,$13.32
09/08/2023,$13.46,"943,348",$13.60,$13.66,$13.45
09/07/2023,$13.54,"950,699",$13.50,$13.61,$13.39
09/06/2023,$13.51,"820,579",$13.37,$13.515,$13.26
09/05/2023,$13.35,"1,079,142",$13.54,$14.39,$13.15
09/01/2023,$13.39,"837,018",$13.51,$13.58,$13.36
08/31/2023,$13.46,"1,370,807",$13.46,$13.52,$13.32
08/30/2023,$13.47,"916,121",$13.30,$13.48,$13.22
08/29/2023,$13.30,"1,083,867",$13.22,$13.31,$13.07
08/28/2023,$13.17,"1,455,774",$13.11,$13.37,$13.10
08/25/2023,$13.07,"1,892,233",$13.28,$13.405,$13.03
08/24/2023,$13.26,"869,807",$13.17,$13.445,$13.16
08/23/2023,$13.19,"685,187",$13.04,$13.19,$12.985
08/22/2023,$13.01,"679,556",$13.13,$13.20,$12.99
08/21/2023,$13.11,"1,246,779",$13.36,$13.38,$13.065
08/18/2023,$13.42,"1,431,642",$13.38,$13.5075,$13.34
08/17/2023,$13.46,"1,191,324",$13.78,$13.83,$13.45
08/16/2023,$13.77,"951,875",$14.11,$14.175,$13.77
08/15/2023,$14.10,"820,841",$14.28,$14.28,$14.06
08/14/2023,$14.38,"698,896",$14.65,$14.65,$14.32
08/11/2023,$14.68,"655,437",$14.64,$14.73,$14.555
08/10/2023,$14.64,"667,824",$14.81,$14.90,$14.58
08/09/2023,$14.76,"703,103",$14.59,$14.85,$14.49
08/08/2023,$14.58,"930,728",$14.73,$14.81,$14.535
08/07/2023,$14.91,"629,765",$14.89,$15.005,$14.80
08/04/2023,$14.82,"1,100,986",$14.99,$15.165,$14.78
08/03/2023,$14.98,"1,028,651",$14.99,$15.045,$14.835
