Date,Close,Volume,Open,High,Low
03/01/2024,$6.14,"1,473,546",$6.15,$6.20,$6.08
02/29/2024,$6.13,"2,234,110",$6.09,$6.24,$6.065
02/28/2024,$6.05,"651,342",$6.05,$6.12,$6.00
02/27/2024,$6.09,"871,612",$6.06,$6.15,$6.045
02/26/2024,$6.04,"1,079,108",$6.12,$6.225,$6.03
02/23/2024,$6.16,"1,423,585",$6.14,$6.235,$6.07
02/22/2024,$6.14,"1,726,717",$6.12,$6.23,$6.11
02/21/2024,$6.14,"3,214,786",$6.03,$6.389,$5.75
02/20/2024,$6.51,"1,314,776",$6.60,$6.64,$6.485
02/16/2024,$6.69,"1,087,930",$6.65,$6.755,$6.595
02/15/2024,$6.75,"1,163,256",$6.58,$6.795,$6.56
02/14/2024,$6.52,"949,320",$6.51,$6.54,$6.43
02/13/2024,$6.45,"1,185,423",$6.45,$6.515,$6.40
02/12/2024,$6.71,"1,123,094",$6.60,$6.76,$6.59
02/09/2024,$6.60,"981,971",$6.48,$6.62,$6.475
02/08/2024,$6.49,"988,429",$6.44,$6.54,$6.371
02/07/2024,$6.42,"1,498,421",$6.61,$6.61,$6.3301
02/06/2024,$6.57,"955,189",$6.565,$6.665,$6.515
02/05/2024,$6.56,"1,156,952",$6.63,$6.63,$6.465
02/02/2024,$6.69,"1,523,409",$6.73,$6.75,$6.61
02/01/2024,$6.87,"1,532,514",$6.71,$6.88,$6.63
01/31/2024,$6.71,"1,683,590",$6.86,$6.87,$6.70
01/30/2024,$6.85,"1,007,354",$6.99,$7.03,$6.85
01/29/2024,$7.03,"1,604,092",$6.97,$7.03,$6.9306
01/26/2024,$6.96,"1,368,369",$6.95,$7.01,$6.93
01/25/2024,$6.94,"861,062",$7.04,$7.05,$6.885
01/24/2024,$6.92,"565,965",$7.09,$7.09,$6.915
01/23/2024,$7.03,"835,554",$7.04,$7.08,$6.985
01/22/2024,$7.02,"856,257",$6.96,$7.13,$6.96
01/19/2024,$6.94,"1,130,777",$6.88,$6.96,$6.76
01/18/2024,$6.84,"1,412,090",$6.82,$6.90,$6.73
