Date,Close,Volume,Open,High,Low
03/01/2024,$27.90,"4,367,277",$28.25,$28.265,$27.1858
02/29/2024,$28.17,"4,890,626",$28.66,$29.17,$27.88
02/28/2024,$28.22,"5,363,900",$28.36,$28.97,$28.03
02/27/2024,$28.50,"2,634,800",$28.25,$28.71,$28.11
02/26/2024,$28.02,"3,887,622",$27.25,$28.245,$27.01
02/23/2024,$27.22,"4,257,777",$26.67,$27.48,$26.56
02/22/2024,$26.35,"4,741,726",$26.64,$26.88,$25.97
02/21/2024,$25.60,"10,882,660",$26.00,$27.045,$25.34
02/20/2024,$29.15,"4,309,292",$29.22,$29.49,$28.5975
02/16/2024,$29.52,"4,225,711",$29.79,$30.0208,$29.06
02/15/2024,$30.00,"4,310,938",$30.30,$30.36,$29.725
02/14/2024,$30.00,"7,190,268",$30.06,$30.76,$29.65
02/13/2024,$28.99,"7,025,274",$28.00,$29.47,$26.78
02/12/2024,$29.70,"5,581,759",$29.53,$30.32,$29.31
02/09/2024,$29.70,"6,104,151",$30.00,$30.2159,$29.48
02/08/2024,$29.04,"4,833,967",$28.14,$29.30,$28.12
02/07/2024,$28.24,"6,416,061",$28.20,$28.80,$28.02
02/06/2024,$27.46,"4,123,417",$27.60,$27.80,$26.53
02/05/2024,$27.56,"3,573,018",$27.26,$27.77,$26.62
02/02/2024,$27.55,"6,206,582",$27.33,$28.295,$27.04
02/01/2024,$27.49,"4,334,774",$27.12,$27.58,$26.41
01/31/2024,$26.80,"4,667,876",$27.26,$27.69,$26.71
01/30/2024,$27.62,"6,223,163",$28.50,$28.628,$27.13
01/29/2024,$28.18,"7,978,689",$28.04,$28.305,$26.93
01/26/2024,$26.34,"3,207,216",$25.67,$26.52,$25.56
01/25/2024,$25.76,"2,881,010",$26.22,$26.40,$25.42
01/24/2024,$25.86,"4,515,577",$26.83,$27.05,$25.69
01/23/2024,$26.55,"4,849,474",$26.55,$27.21,$26.30
01/22/2024,$26.29,"8,687,946",$27.15,$27.64,$25.76
01/19/2024,$24.84,"4,860,076",$24.89,$25.07,$24.33
01/18/2024,$24.72,"4,298,981",$25.22,$25.39,$24.44
01/17/2024,$24.53,"3,974,261",$24.35,$24.56,$23.375
01/16/2024,$24.80,"4,963,048",$25.00,$25.31,$24.64
01/12/2024,$25.33,"8,262,867",$24.26,$25.555,$24.20
01/11/2024,$24.30,"5,617,868",$24.53,$24.85,$24.16
01/10/2024,$24.53,"8,708,124",$24.29,$24.79,$24.11
01/09/2024,$24.16,"10,417,450",$23.00,$24.18,$22.82
01/08/2024,$23.46,"5,390,402",$23.70,$24.10,$23.395
01/05/2024,$23.67,"5,891,050",$23.25,$23.82,$23.18
01/04/2024,$23.50,"7,272,899",$23.79,$24.135,$23.38
01/03/2024,$23.81,"9,488,298",$25.10,$25.32,$23.80
01/02/2024,$25.87,"7,183,717",$26.51,$26.545,$25.08
12/29/2023,$27.44,"3,292,675",$27.75,$27.8799,$27.285
12/28/2023,$27.88,"3,501,178",$27.80,$27.89,$27.355
12/27/2023,$27.73,"5,573,772",$27.89,$27.94,$27.30
12/26/2023,$27.86,"2,894,959",$27.64,$27.94,$27.501
12/22/2023,$27.64,"4,018,447",$27.50,$27.965,$27.32
12/21/2023,$27.56,"4,833,530",$27.06,$27.57,$26.79
12/20/2023,$26.50,"6,217,177",$27.36,$27.86,$26.37
12/19/2023,$27.48,"6,536,635",$26.82,$27.65,$26.75
12/18/2023,$26.73,"5,817,037",$26.12,$27.04,$26.10
12/15/2023,$26.36,"12,144,480",$26.24,$26.955,$25.87
12/14/2023,$25.83,"11,406,410",$26.55,$27.19,$25.305
12/13/2023,$25.91,"7,803,362",$25.43,$26.39,$24.76
12/12/2023,$25.40,"10,712,030",$24.46,$26.12,$24.08
12/11/2023,$24.51,"8,212,912",$24.00,$24.89,$23.8401
12/08/2023,$24.00,"11,583,590",$22.81,$24.55,$22.52
12/07/2023,$23.42,"13,908,580",$22.91,$23.50,$21.87
12/06/2023,$23.32,"25,909,040",$22.88,$24.39,$22.30
12/05/2023,$20.00,"12,737,650",$20.40,$20.43,$19.65
12/04/2023,$20.24,"10,546,530",$19.63,$20.245,$19.4087
12/01/2023,$19.83,"6,326,596",$18.97,$19.85,$18.97
11/30/2023,$19.09,"4,385,530",$19.18,$19.29,$18.55
11/29/2023,$19.09,"8,096,595",$17.89,$19.205,$17.89
11/28/2023,$17.74,"3,720,055",$17.63,$17.84,$17.07
11/27/2023,$17.77,"3,811,239",$17.74,$17.895,$17.64
11/24/2023,$17.92,"2,098,342",$17.48,$17.94,$17.41
11/22/2023,$17.49,"3,563,133",$17.51,$17.75,$17.22
11/21/2023,$17.33,"4,078,102",$17.18,$17.375,$16.79
11/20/2023,$17.41,"3,486,803",$17.16,$17.65,$17.16
11/17/2023,$17.18,"2,754,760",$16.90,$17.29,$16.76
11/16/2023,$16.83,"5,453,854",$16.99,$17.00,$16.41
11/15/2023,$17.34,"5,298,793",$17.28,$17.89,$17.035
11/14/2023,$17.13,"6,976,921",$16.72,$17.22,$16.64
11/13/2023,$16.05,"3,004,809",$15.68,$16.05,$15.50
11/10/2023,$15.68,"3,520,051",$15.19,$15.70,$15.12
11/09/2023,$15.29,"3,052,204",$15.77,$15.8042,$15.265
11/08/2023,$15.64,"3,644,581",$15.95,$16.13,$15.57
11/07/2023,$15.94,"5,348,689",$15.88,$16.58,$15.62
11/06/2023,$15.48,"4,620,855",$16.19,$16.40,$15.325
11/03/2023,$16.11,"5,789,225",$15.21,$16.495,$15.21
11/02/2023,$15.15,"7,619,154",$16.07,$16.16,$15.13
11/01/2023,$15.56,"3,962,181",$15.68,$15.83,$15.14
10/31/2023,$15.63,"3,188,514",$15.36,$15.86,$15.23
10/30/2023,$15.32,"3,065,197",$15.59,$15.61,$15.06
10/27/2023,$15.32,"2,521,204",$15.66,$15.7786,$15.28
10/26/2023,$15.33,"2,805,777",$15.39,$15.65,$15.165
10/25/2023,$15.41,"3,146,977",$16.12,$16.26,$15.315
10/24/2023,$16.30,"5,026,497",$16.25,$16.83,$16.02
10/23/2023,$16.05,"2,885,630",$15.66,$16.14,$15.39
10/20/2023,$15.98,"5,615,086",$16.58,$16.59,$15.65
10/19/2023,$16.65,"3,181,863",$17.02,$17.155,$16.63
10/18/2023,$16.88,"4,509,766",$17.43,$17.60,$16.805
10/17/2023,$17.55,"6,737,376",$17.10,$17.93,$17.02
10/16/2023,$17.34,"5,313,696",$16.60,$17.435,$16.54
10/13/2023,$16.50,"5,022,676",$16.76,$16.83,$16.235
10/12/2023,$16.86,"3,489,116",$17.34,$17.36,$16.47
10/11/2023,$17.28,"3,186,812",$17.20,$17.56,$17.1107
10/10/2023,$17.05,"4,557,443",$16.95,$17.395,$16.93
10/09/2023,$16.82,"4,538,920",$16.17,$16.95,$16.02
10/06/2023,$16.91,"3,661,767",$16.04,$16.97,$16.02
10/05/2023,$16.28,"2,535,906",$16.60,$16.72,$16.015
10/04/2023,$16.60,"4,280,944",$16.41,$16.72,$16.17
10/03/2023,$16.27,"7,797,538",$16.68,$16.77,$16.00
10/02/2023,$16.87,"5,563,859",$16.85,$17.20,$16.72
09/29/2023,$16.86,"4,810,770",$16.64,$17.025,$16.58
09/28/2023,$16.34,"6,113,415",$15.97,$16.41,$15.7894
09/27/2023,$16.15,"7,174,375",$16.01,$16.4186,$15.835
09/26/2023,$15.83,"5,468,311",$15.46,$15.895,$15.38
09/25/2023,$15.66,"3,602,435",$15.73,$15.83,$15.542
09/22/2023,$15.80,"4,272,771",$16.13,$16.16,$15.75
09/21/2023,$15.91,"7,816,950",$16.38,$16.45,$15.51
09/20/2023,$16.55,"4,532,165",$16.72,$17.069,$16.52
09/19/2023,$16.59,"4,687,300",$16.48,$16.70,$16.123
09/18/2023,$16.56,"5,667,967",$16.69,$16.93,$16.55
09/15/2023,$16.80,"13,121,440",$17.09,$17.21,$16.78
09/14/2023,$17.21,"4,905,519",$16.84,$17.32,$16.805
09/13/2023,$16.74,"4,756,321",$17.01,$17.10,$16.66
09/12/2023,$17.04,"5,599,928",$17.46,$17.80,$17.01
09/11/2023,$17.67,"5,509,817",$17.11,$17.90,$17.07
09/08/2023,$16.94,"4,602,638",$17.08,$17.24,$16.745
09/07/2023,$17.04,"4,768,071",$17.00,$17.28,$16.815
09/06/2023,$17.33,"6,372,101",$17.57,$17.98,$17.26
09/05/2023,$17.89,"9,314,387",$17.00,$17.92,$16.9003
09/01/2023,$17.21,"15,082,310",$17.26,$18.35,$17.165
08/31/2023,$16.63,"15,177,260",$16.24,$16.655,$15.92
08/30/2023,$16.28,"12,799,500",$16.28,$16.36,$15.551
08/29/2023,$16.63,"8,687,834",$16.36,$17.10,$16.36
08/28/2023,$16.55,"8,011,532",$16.61,$16.875,$16.09
08/25/2023,$16.57,"12,268,360",$16.14,$17.50,$15.83
08/24/2023,$16.04,"8,190,849",$16.80,$16.89,$16.02
08/23/2023,$16.67,"8,871,032",$16.34,$16.76,$15.97
08/22/2023,$16.24,"16,767,590",$16.225,$16.57,$15.98
08/21/2023,$16.82,"30,937,180",$14.65,$17.19,$14.56
08/18/2023,$14.48,"6,199,970",$14.00,$14.555,$13.87
08/17/2023,$14.24,"6,417,647",$14.75,$14.78,$14.0619
08/16/2023,$14.71,"6,994,635",$14.71,$14.93,$14.60
08/15/2023,$14.77,"5,649,481",$15.03,$15.19,$14.65
08/14/2023,$15.16,"4,382,288",$14.99,$15.32,$14.86
08/11/2023,$15.12,"4,026,699",$14.77,$15.315,$14.77
08/10/2023,$14.99,"4,636,855",$15.33,$15.635,$14.99
08/09/2023,$15.13,"5,934,197",$14.96,$15.36,$14.745
08/08/2023,$14.89,"8,776,327",$15.13,$15.17,$14.535
08/07/2023,$15.60,"5,805,879",$15.57,$15.67,$15.00
08/04/2023,$15.67,"6,514,915",$15.90,$15.92,$15.04
08/03/2023,$15.97,"5,165,974",$15.96,$16.1501,$15.745
08/02/2023,$16.01,"8,057,757",$16.66,$16.66,$15.53
08/01/2023,$16.95,"4,213,882",$16.50,$17.00,$16.23
07/31/2023,$16.67,"8,691,877",$15.75,$16.69,$15.72
07/28/2023,$15.48,"4,840,930",$15.13,$15.5999,$15.045
07/27/2023,$14.77,"6,913,474",$15.71,$15.74,$14.705
07/26/2023,$15.40,"6,848,832",$14.64,$15.475,$14.54
07/25/2023,$14.75,"5,096,416",$14.77,$15.08,$14.73
07/24/2023,$14.60,"6,496,123",$15.00,$15.08,$14.46
07/21/2023,$14.94,"7,718,312",$14.81,$15.075,$14.605
07/20/2023,$14.58,"6,851,102",$15.16,$15.20,$14.485
07/19/2023,$15.51,"7,272,837",$15.14,$15.6599,$15.00
07/18/2023,$14.95,"4,511,118",$14.56,$15.00,$14.5027
07/17/2023,$14.65,"5,506,135",$14.43,$14.885,$14.40
07/14/2023,$14.46,"6,746,869",$15.07,$15.27,$14.4114
07/13/2023,$15.11,"6,170,490",$14.83,$15.3784,$14.80
07/12/2023,$14.62,"7,439,248",$15.29,$15.39,$14.51
07/11/2023,$14.95,"6,828,983",$14.75,$15.13,$14.575
07/10/2023,$14.59,"5,557,735",$14.14,$14.70,$14.08
07/07/2023,$14.29,"5,851,431",$14.42,$14.66,$14.195
07/06/2023,$14.41,"6,150,736",$14.65,$14.805,$14.32
07/05/2023,$15.03,"6,951,017",$15.00,$15.23,$14.90
07/03/2023,$15.13,"3,963,188",$15.22,$15.24,$14.86
06/30/2023,$15.10,"9,353,750",$15.02,$15.60,$15.02
06/29/2023,$14.86,"7,047,702",$14.86,$15.1788,$14.68
06/28/2023,$14.88,"10,064,180",$15.40,$15.61,$14.815
06/27/2023,$15.57,"5,879,322",$15.15,$15.63,$15.0493
06/26/2023,$14.93,"6,113,292",$15.35,$15.54,$14.84
06/23/2023,$15.45,"8,801,386",$15.00,$15.52,$14.72
06/22/2023,$15.24,"5,060,430",$15.11,$15.63,$14.94
06/21/2023,$15.11,"7,612,864",$15.09,$15.335,$14.54
06/20/2023,$15.27,"6,877,528",$15.97,$16.25,$15.23
06/16/2023,$16.09,"16,471,520",$17.26,$17.275,$16.01
06/15/2023,$16.65,"8,252,342",$15.78,$16.76,$15.72
06/14/2023,$16.10,"8,569,726",$15.76,$16.18,$15.57
06/13/2023,$15.79,"7,803,202",$15.98,$16.18,$15.62
06/12/2023,$15.74,"11,456,170",$15.81,$16.09,$15.33
06/09/2023,$14.55,"9,755,082",$15.09,$15.25,$14.405
06/08/2023,$14.92,"16,465,380",$13.71,$15.08,$13.70
06/07/2023,$13.68,"15,822,720",$13.80,$14.48,$13.622
06/06/2023,$13.69,"20,407,900",$12.64,$13.905,$12.43
06/05/2023,$12.77,"16,832,760",$13.33,$13.37,$12.71
06/02/2023,$13.44,"61,486,680",$13.20,$14.25,$12.86
06/01/2023,$20.72,"17,541,220",$20.26,$20.91,$19.90
05/31/2023,$21.38,"9,420,759",$20.93,$21.45,$20.74
05/30/2023,$21.12,"7,665,883",$21.52,$21.955,$20.8125
05/26/2023,$20.65,"3,770,004",$20.24,$21.15,$20.18
05/25/2023,$20.13,"4,657,540",$20.73,$20.94,$19.779
05/24/2023,$19.88,"7,885,688",$18.80,$19.93,$18.74
05/23/2023,$19.02,"4,242,959",$19.00,$19.70,$18.90
05/22/2023,$19.12,"6,255,744",$18.86,$19.4799,$18.68
05/19/2023,$18.75,"4,898,326",$19.00,$19.20,$18.53
05/18/2023,$19.15,"6,875,264",$18.37,$19.389,$18.37
05/17/2023,$18.35,"3,927,104",$18.28,$18.72,$18.09
05/16/2023,$18.16,"3,745,591",$18.03,$18.295,$17.79
05/15/2023,$18.26,"7,047,698",$17.57,$18.645,$17.42
05/12/2023,$17.57,"4,846,963",$18.29,$18.50,$17.505
05/11/2023,$18.21,"5,772,699",$17.97,$18.225,$17.72
05/10/2023,$17.95,"5,815,197",$17.71,$18.20,$17.59
05/09/2023,$17.42,"7,398,654",$17.28,$17.8553,$17.24
05/08/2023,$17.48,"7,133,838",$17.25,$17.71,$17.18
05/05/2023,$16.89,"6,953,654",$15.97,$16.98,$15.93
05/04/2023,$15.84,"6,094,321",$15.72,$15.95,$15.48
05/03/2023,$15.52,"8,977,885",$15.76,$15.95,$15.29
05/02/2023,$15.73,"5,571,429",$16.21,$16.39,$15.405
05/01/2023,$16.41,"8,944,108",$15.91,$16.51,$15.802
04/28/2023,$16.07,"6,900,565",$16.55,$16.70,$15.665
04/27/2023,$17.04,"5,710,022",$17.15,$17.2798,$16.61
04/26/2023,$16.78,"3,965,474",$16.99,$17.37,$16.685
04/25/2023,$16.58,"7,029,175",$17.00,$17.17,$16.44
04/24/2023,$17.48,"7,333,710",$18.72,$18.72,$17.405
04/21/2023,$18.58,"8,897,204",$18.07,$18.995,$17.85
04/20/2023,$17.90,"6,600,096",$17.25,$18.015,$17.14
04/19/2023,$17.57,"4,318,397",$17.56,$17.75,$17.1904
04/18/2023,$17.87,"3,873,546",$17.96,$18.33,$17.71
04/17/2023,$17.67,"4,915,790",$17.91,$18.13,$17.485
04/14/2023,$17.87,"4,839,628",$17.49,$17.96,$17.2103
04/13/2023,$17.54,"11,241,100",$17.30,$17.92,$17.23
04/12/2023,$17.01,"5,077,335",$16.93,$17.32,$16.5927
04/11/2023,$16.51,"4,241,861",$16.42,$16.80,$16.085
04/10/2023,$16.42,"5,773,788",$16.34,$16.495,$15.73
04/06/2023,$16.65,"8,628,573",$16.02,$16.715,$15.81
04/05/2023,$16.27,"7,969,039",$16.74,$17.02,$15.78
04/04/2023,$16.87,"9,942,585",$16.62,$17.165,$16.46
04/03/2023,$16.47,"5,901,192",$16.11,$16.58,$16.05
03/31/2023,$16.36,"7,831,200",$15.34,$16.62,$15.235
03/30/2023,$15.26,"3,670,374",$15.15,$15.29,$14.9825
03/29/2023,$14.89,"4,669,244",$14.95,$15.15,$14.66
03/28/2023,$14.80,"4,883,089",$15.17,$15.455,$14.715
03/27/2023,$15.19,"5,743,909",$14.80,$15.305,$14.61
03/24/2023,$14.64,"3,938,586",$15.07,$15.325,$14.615
03/23/2023,$15.07,"5,281,066",$14.44,$15.11,$14.44
03/22/2023,$14.29,"6,489,830",$14.96,$15.03,$14.29
03/21/2023,$14.97,"5,858,599",$14.78,$15.065,$14.665
03/20/2023,$14.70,"5,879,095",$14.66,$14.84,$14.36
03/17/2023,$15.07,"9,041,606",$15.17,$15.56,$14.88
03/16/2023,$15.22,"8,489,146",$15.65,$15.77,$15.13
03/15/2023,$15.54,"15,607,020",$15.50,$16.24,$15.20
03/14/2023,$14.47,"12,823,400",$14.02,$14.49,$13.80
03/13/2023,$13.96,"9,927,142",$13.76,$14.2497,$13.245
03/10/2023,$13.91,"12,191,470",$14.48,$14.59,$13.71
03/09/2023,$14.59,"6,645,571",$15.37,$15.61,$14.46
03/08/2023,$15.52,"10,092,590",$15.91,$15.91,$15.09
03/07/2023,$15.61,"5,626,233",$16.14,$16.4766,$15.54
03/06/2023,$16.15,"5,190,536",$16.44,$16.62,$15.86
03/03/2023,$16.45,"4,992,423",$15.82,$16.49,$15.71
03/02/2023,$15.66,"4,668,700",$15.11,$15.78,$15.06
