Date,Close,Volume,Open,High,Low
03/01/2024,$1.3701,"4,544",$1.39,$1.4293,$1.36
02/29/2024,$1.42,"7,433",$1.41,$1.47,$1.36
02/28/2024,$1.365,"1,731",$1.3601,$1.37,$1.3601
02/27/2024,$1.39,"8,624",$1.3201,$1.42,$1.3201
02/26/2024,$1.3836,"13,457",$1.42,$1.42,$1.3545
02/23/2024,$1.3789,"4,116",$1.40,$1.40,$1.33
02/22/2024,$1.36,"7,478",$1.36,$1.42,$1.35
02/21/2024,$1.35,"13,214",$1.31,$1.3912,$1.3099
02/20/2024,$1.36,"13,184",$1.39,$1.4599,$1.30
02/16/2024,$1.40,"42,163",$1.46,$1.46,$1.33
02/15/2024,$1.405,"27,242",$1.32,$1.42,$1.30
02/14/2024,$1.33,"95,372",$1.43,$1.5236,$1.33
02/13/2024,$1.36,"428,199",$1.18,$1.58,$1.08
02/12/2024,$1.19,"14,549",$1.15,$1.20,$1.11
02/09/2024,$1.16,"8,009",$1.20,$1.20,$1.1001
02/08/2024,$1.10,"43,303",$1.255,$1.26,$1.10
02/07/2024,$1.22,"2,332",$1.2488,$1.2488,$1.19
02/06/2024,$1.23,"16,697",$1.25,$1.25,$1.1701
02/05/2024,$1.22,"4,873",$1.21,$1.26,$1.172
02/02/2024,$1.21,"19,489",$1.24,$1.24,$1.19
02/01/2024,$1.23,"10,292",$1.18,$1.2611,$1.16
01/31/2024,$1.23,"9,817",$1.28,$1.28,$1.16
01/30/2024,$1.24,"23,520",$1.20,$1.28,$1.14
01/29/2024,$1.25,"72,091",$1.1999,$1.30,$1.1701
01/26/2024,$1.20,"78,317",$1.18,$1.31,$1.08
01/25/2024,$1.23,"99,801",$1.30,$1.36,$1.18
01/24/2024,$1.44,"196,004",$1.53,$1.60,$1.3501
01/23/2024,$1.65,"2,128,222",$2.07,$2.07,$1.55
01/22/2024,$1.81,"4,910",$1.93,$1.93,$1.74
01/19/2024,$1.83,"42,703",$2.15,$2.18,$1.6462
01/18/2024,$1.6001,"5,734",$1.6001,$1.66,$1.60
01/17/2024,$1.54,700,$1.54,$1.54,$1.54
01/16/2024,$1.60,"3,240",$1.631,$1.644,$1.54
01/12/2024,$1.60,"3,227",$1.6561,$1.6599,$1.60
01/11/2024,$1.64,"6,535",$1.56,$1.6431,$1.51
01/10/2024,$1.6001,"12,402",$1.5312,$1.64,$1.5312
01/09/2024,$1.6096,"10,813",$1.34,$1.6096,$1.34
01/08/2024,$1.49,"5,815",$1.3845,$1.4945,$1.3845
01/05/2024,$1.3899,"3,647",$1.43,$1.43,$1.35
01/04/2024,$1.43,"5,715",$1.33,$1.5189,$1.33
01/03/2024,$1.32,"14,461",$1.50,$1.64,$1.32
01/02/2024,$1.60,"2,457",$1.4999,$1.60,$1.4034
12/29/2023,$1.50,"7,331",$1.5043,$1.5043,$1.4201
12/28/2023,$1.40,"4,471",$1.43,$1.4476,$1.3501
12/27/2023,$1.36,"14,829",$1.32,$1.60,$1.2384
12/26/2023,$1.3558,"5,477",$1.3989,$1.399,$1.2498
12/22/2023,$1.42,"4,670",$1.55,$1.56,$1.3503
12/21/2023,$1.538,"3,600",$1.40,$1.5899,$1.36
12/20/2023,$1.45,467,$1.45,$1.45,$1.45
12/19/2023,$1.42,"6,613",$1.43,$1.43,$1.365
12/18/2023,$1.365,"13,891",$1.36,$1.5019,$1.2764
12/15/2023,$1.2701,"43,638",$1.252,$1.35,$1.249
12/14/2023,$1.225,"7,748",$1.19,$1.28,$1.19
12/13/2023,$1.18,"2,171",$1.48,$1.48,$1.18
12/12/2023,$1.21,"4,280",$1.22,$1.24,$1.18
12/11/2023,$1.24,"6,228",$1.18,$1.2708,$1.18
12/08/2023,$1.21,"9,487",$1.38,$1.4089,$1.21
12/07/2023,$1.36,"9,372",$1.38,$1.38,$1.23
12/06/2023,$1.3737,"10,920",$1.296,$1.48,$1.296
12/05/2023,$1.41,"2,921",$1.52,$1.56,$1.38
12/04/2023,$1.50,"4,241",$1.4359,$1.6175,$1.352
12/01/2023,$1.44,"11,196",$1.41,$1.6237,$1.375
11/30/2023,$1.37,"1,503",$1.35,$1.37,$1.34
11/29/2023,$1.3623,"4,799",$1.421,$1.421,$1.27
11/28/2023,$1.42,"16,758",$1.50,$1.555,$1.42
11/27/2023,$1.50,"24,090",$1.60,$1.61,$1.4201
11/24/2023,$1.725,"6,560",$1.78,$1.78,$1.65
11/22/2023,$1.48,"8,873",$1.6788,$1.6788,$1.42
11/21/2023,$1.70,"1,053",$1.4675,$1.72,$1.4675
11/20/2023,$1.51,"1,802",$1.51,$1.52,$1.51
11/17/2023,$1.59,"9,546",$1.58,$1.60,$1.50
11/16/2023,$1.59,"1,024",$1.582,$1.59,$1.58
11/15/2023,$1.58,"7,314",$1.70,$1.70,$1.58
11/14/2023,$1.6845,"7,108",$1.71,$1.71,$1.61
11/13/2023,$1.70,"8,208",$1.72,$1.90,$1.70
11/10/2023,$1.8799,"6,065",$1.74,$1.8799,$1.74
11/09/2023,$1.77,"1,870",$1.7126,$1.7792,$1.71
11/08/2023,$1.78,"2,756",$1.75,$1.78,$1.7333
11/07/2023,$1.74,"7,063",$1.62,$1.75,$1.60
11/06/2023,$1.62,"2,709",$1.50,$1.62,$1.50
11/03/2023,$1.58,808,$1.58,$1.62,$1.58
11/02/2023,$1.62,"1,668",$1.615,$1.63,$1.615
11/01/2023,$1.59,N/A,$1.59,$1.59,$1.59
10/31/2023,$1.59,"5,841",$1.59,$1.5901,$1.59
10/30/2023,$1.59,"1,614",$1.59,$1.65,$1.59
10/27/2023,$1.5903,"1,372",$1.6001,$1.61,$1.5903
10/26/2023,$1.592,"3,107",$1.63,$1.63,$1.592
10/25/2023,$1.59,"1,213",$1.59,$1.5901,$1.59
10/24/2023,$1.63,"1,377",$1.59,$1.63,$1.59
10/23/2023,$1.59,"5,580",$1.66,$1.668,$1.59
10/20/2023,$1.6296,N/A,$1.6296,$1.6296,$1.6296
10/19/2023,$1.6296,"2,019",$1.63,$1.63,$1.59
10/18/2023,$1.59,N/A,$1.59,$1.59,$1.59
10/17/2023,$1.59,N/A,$1.59,$1.59,$1.59
10/16/2023,$1.59,633,$1.59,$1.67,$1.59
10/13/2023,$1.592,"10,062",$1.59,$1.63,$1.59
10/12/2023,$1.62,"1,275",$1.6098,$1.6699,$1.6098
10/11/2023,$1.59,"1,253",$1.65,$1.65,$1.59
10/10/2023,$1.66,"1,408",$1.665,$1.69,$1.66
10/09/2023,$1.61,"1,071",$1.62,$1.621,$1.60
10/06/2023,$1.5901,"4,219",$1.71,$1.71,$1.59
10/05/2023,$1.61,"3,648",$1.59,$1.61,$1.59
10/04/2023,$1.6001,"1,849",$1.59,$1.62,$1.58
10/03/2023,$1.6544,827,$1.6544,$1.6544,$1.6544
10/02/2023,$1.605,"2,597",$1.61,$1.61,$1.60
09/29/2023,$1.60,"9,742",$1.60,$1.72,$1.59
09/28/2023,$1.58,"27,491",$1.82,$1.90,$1.50
09/27/2023,$1.7801,"15,205",$1.99,$1.99,$1.76
09/26/2023,$2.05,"5,653",$2.09,$2.22,$1.91
09/25/2023,$2.1101,"3,538",$2.272,$2.28,$2.1101
09/22/2023,$2.31,"1,307",$2.355,$2.355,$2.31
09/21/2023,$2.32,"7,917",$2.35,$2.3655,$2.31
09/20/2023,$2.3501,"1,060",$2.3501,$2.3501,$2.35
09/19/2023,$2.35,332,$2.35,$2.35,$2.35
09/18/2023,$2.37,"4,093",$2.405,$2.4597,$2.35
09/15/2023,$2.3501,"1,397",$2.35,$2.465,$2.35
09/14/2023,$2.32,"1,232",$2.32,$2.32,$2.32
09/13/2023,$2.4636,"4,093",$2.36,$2.4636,$2.36
09/12/2023,$2.59,"5,231",$2.42,$2.59,$2.35
09/11/2023,$2.42,"1,514",$2.54,$2.5891,$2.351
09/08/2023,$2.42,N/A,$2.42,$2.42,$2.42
09/07/2023,$2.42,528,$2.3501,$2.475,$2.3501
09/06/2023,$2.56,"1,169",$2.49,$2.56,$2.46
09/05/2023,$2.38,"6,842",$2.36,$2.5168,$2.36
09/01/2023,$2.36,N/A,$2.36,$2.36,$2.36
08/31/2023,$2.36,353,$2.36,$2.36,$2.36
08/30/2023,$2.4297,"7,587",$2.31,$2.455,$2.2701
