Date,Close,Volume,Open,High,Low
03/01/2024,$27.13,"536,762",$27.32,$27.40,$27.005
02/29/2024,$27.23,"447,278",$27.40,$27.40,$27.08
02/28/2024,$27.10,"551,979",$27.84,$28.15,$27.09
02/27/2024,$27.92,"478,589",$28.09,$28.22,$27.706
02/26/2024,$27.97,"722,970",$28.19,$28.42,$27.43
02/23/2024,$28.50,"1,562,765",$27.66,$28.77,$27.33
02/22/2024,$25.95,"1,355,826",$26.60,$26.76,$25.88
02/21/2024,$26.70,"322,040",$26.84,$26.99,$26.51
02/20/2024,$26.89,"453,482",$26.76,$27.03,$26.65
02/16/2024,$27.15,"567,410",$26.97,$27.64,$26.80
02/15/2024,$27.18,"490,486",$27.06,$27.39,$26.86
02/14/2024,$26.81,"393,716",$26.36,$26.84,$26.13
02/13/2024,$26.08,"569,438",$26.19,$26.68,$25.88
02/12/2024,$26.86,"477,797",$26.20,$27.14,$26.14
02/09/2024,$26.40,"351,483",$26.34,$26.50,$25.85
02/08/2024,$26.22,"411,501",$25.90,$26.335,$25.69
02/07/2024,$25.98,"329,395",$26.34,$26.45,$25.87
02/06/2024,$26.24,"338,567",$26.08,$26.545,$25.9901
02/05/2024,$26.14,"341,557",$26.08,$26.39,$25.92
02/02/2024,$26.40,"274,484",$26.48,$26.73,$26.13
02/01/2024,$26.85,"436,036",$25.99,$26.88,$25.89
01/31/2024,$25.99,"472,653",$26.68,$26.80,$25.95
01/30/2024,$26.61,"264,572",$26.84,$26.89,$26.56
01/29/2024,$26.66,"318,729",$26.24,$26.67,$25.98
01/26/2024,$26.33,"344,349",$26.45,$26.73,$26.31
01/25/2024,$26.32,"308,954",$26.15,$26.40,$25.84
01/24/2024,$25.91,"431,001",$26.64,$26.68,$25.8101
01/23/2024,$26.48,"756,574",$26.92,$26.96,$26.14
01/22/2024,$26.69,"544,771",$27.03,$27.35,$26.63
01/19/2024,$26.78,"553,482",$26.43,$26.84,$26.34
01/18/2024,$26.32,"537,222",$26.11,$26.415,$26.02
01/17/2024,$25.94,"411,282",$26.05,$26.54,$25.82
01/16/2024,$26.39,"560,452",$26.10,$26.46,$25.84
01/12/2024,$26.41,"354,345",$27.04,$27.19,$26.19
01/11/2024,$26.75,"623,982",$26.40,$26.77,$26.25
01/10/2024,$26.53,"584,286",$26.03,$26.55,$25.98
01/09/2024,$26.23,"523,720",$26.54,$26.74,$26.21
01/08/2024,$26.82,"931,528",$26.93,$27.08,$26.25
01/05/2024,$26.87,"1,446,233",$26.17,$27.35,$26.17
01/04/2024,$26.15,"3,272,156",$23.78,$27.30,$23.46
01/03/2024,$23.50,"910,554",$23.94,$23.94,$23.067
01/02/2024,$23.92,"1,322,544",$23.47,$24.15,$23.30
12/29/2023,$23.50,"588,024",$23.85,$23.90,$23.46
12/28/2023,$23.88,"535,755",$23.90,$24.085,$23.72
12/27/2023,$23.94,"570,042",$24.41,$24.60,$23.93
12/26/2023,$24.36,"330,581",$24.33,$24.58,$24.10
12/22/2023,$24.22,"272,455",$24.17,$24.48,$24.07
12/21/2023,$24.00,"332,382",$23.91,$24.12,$23.714
12/20/2023,$23.76,"518,295",$24.11,$24.60,$23.72
12/19/2023,$24.13,"421,165",$23.96,$24.5532,$23.96
12/18/2023,$23.72,"551,134",$23.84,$23.87,$23.47
12/15/2023,$23.68,"1,482,281",$25.01,$25.045,$23.63
12/14/2023,$24.94,"773,820",$25.00,$25.545,$24.575
12/13/2023,$24.76,"621,760",$24.02,$24.89,$23.82
12/12/2023,$24.00,"547,171",$23.60,$24.14,$23.60
12/11/2023,$23.79,"394,962",$23.54,$23.925,$23.43
12/08/2023,$23.48,"375,116",$23.51,$23.70,$23.22
12/07/2023,$23.59,"320,328",$23.30,$23.61,$23.0215
12/06/2023,$23.30,"438,891",$23.47,$23.83,$23.22
12/05/2023,$23.28,"590,881",$23.74,$23.79,$23.25
12/04/2023,$23.87,"600,011",$23.38,$23.92,$23.38
12/01/2023,$23.45,"646,322",$22.67,$23.51,$22.67
11/30/2023,$22.60,"557,522",$22.68,$22.79,$22.26
11/29/2023,$22.82,"627,291",$23.08,$23.29,$22.77
11/28/2023,$22.88,"894,664",$23.41,$23.41,$22.835
11/27/2023,$23.42,"328,631",$23.44,$23.58,$23.3229
11/24/2023,$23.60,"161,327",$23.59,$23.88,$23.50
11/22/2023,$23.60,"321,617",$23.36,$23.62,$23.31
11/21/2023,$23.16,"557,918",$23.28,$23.45,$23.11
11/20/2023,$23.37,"337,656",$23.09,$23.59,$23.05
11/17/2023,$23.22,"637,979",$23.41,$23.56,$23.08
11/16/2023,$23.10,"439,460",$23.14,$23.39,$22.83
11/15/2023,$23.19,"457,224",$23.11,$23.77,$23.11
11/14/2023,$23.17,"540,942",$22.60,$23.25,$22.60
11/13/2023,$21.87,"574,547",$21.80,$22.21,$21.56
11/10/2023,$21.91,"749,901",$22.07,$22.31,$21.80
11/09/2023,$21.99,"484,045",$22.49,$22.69,$21.92
11/08/2023,$22.34,"768,102",$21.81,$22.42,$21.705
11/07/2023,$21.95,"814,049",$21.56,$22.045,$21.56
11/06/2023,$21.49,"698,784",$22.11,$22.235,$21.28
11/03/2023,$22.31,"972,731",$23.40,$24.13,$21.50
11/02/2023,$23.00,"979,353",$22.83,$23.26,$22.67
11/01/2023,$22.56,"567,306",$22.62,$23.01,$22.37
10/31/2023,$22.73,"1,759,947",$22.42,$22.96,$22.22
10/30/2023,$22.25,"1,086,879",$22.91,$23.16,$22.24
10/27/2023,$22.61,"443,922",$22.94,$22.98,$22.52
10/26/2023,$22.93,"433,696",$23.25,$23.525,$22.815
10/25/2023,$23.19,"333,944",$23.24,$23.58,$23.03
10/24/2023,$23.48,"501,393",$23.22,$23.67,$23.05
10/23/2023,$23.27,"579,731",$23.40,$23.80,$23.18
10/20/2023,$23.51,"570,207",$24.07,$24.07,$23.42
10/19/2023,$23.92,"556,127",$23.77,$24.29,$23.52
10/18/2023,$23.75,"543,391",$23.81,$24.095,$23.60
10/17/2023,$24.03,"527,746",$23.37,$24.25,$23.26
10/16/2023,$23.55,"474,171",$23.43,$23.93,$23.1401
10/13/2023,$23.17,"377,158",$23.04,$23.40,$22.82
10/12/2023,$23.04,"419,667",$23.79,$23.925,$23.01
10/11/2023,$23.77,"649,676",$24.28,$24.3199,$23.29
10/10/2023,$24.33,"508,357",$24.11,$24.55,$24.02
10/09/2023,$24.11,"442,705",$23.85,$24.20,$23.68
10/06/2023,$24.04,"471,277",$24.25,$24.315,$23.77
10/05/2023,$24.45,"514,301",$24.49,$24.77,$24.20
10/04/2023,$24.47,"632,301",$24.67,$25.03,$24.225
10/03/2023,$24.67,"630,123",$24.88,$24.905,$24.42
10/02/2023,$25.01,"726,635",$25.18,$25.31,$24.90
09/29/2023,$25.27,"600,369",$25.92,$26.09,$25.22
09/28/2023,$25.77,"551,821",$25.45,$25.92,$25.45
09/27/2023,$25.38,"351,755",$25.69,$25.90,$25.13
09/26/2023,$25.49,"445,399",$25.95,$26.11,$25.29
09/25/2023,$26.09,"293,955",$25.82,$26.33,$25.82
09/22/2023,$25.99,"441,802",$25.80,$26.19,$25.74
09/21/2023,$25.71,"494,727",$25.73,$25.99,$25.60
09/20/2023,$25.90,"421,012",$26.35,$26.39,$25.88
09/19/2023,$26.06,"422,979",$26.19,$26.36,$25.99
09/18/2023,$26.13,"351,708",$26.26,$26.275,$25.78
09/15/2023,$25.87,"1,769,837",$26.14,$26.20,$25.59
09/14/2023,$26.35,"463,617",$26.60,$26.96,$26.23
09/13/2023,$26.28,"385,306",$26.35,$26.49,$25.95
09/12/2023,$26.32,"449,104",$26.33,$26.65,$26.11
09/11/2023,$26.46,"364,061",$26.88,$26.92,$26.395
09/08/2023,$26.82,"483,466",$27.22,$27.22,$26.69
09/07/2023,$27.26,"575,849",$27.48,$27.66,$27.18
09/06/2023,$27.60,"371,341",$27.88,$28.13,$27.40
09/05/2023,$27.74,"799,826",$28.57,$28.7424,$27.02
09/01/2023,$29.06,"253,955",$29.42,$29.55,$29.00
08/31/2023,$29.21,"397,506",$29.46,$29.72,$29.16
08/30/2023,$29.41,"284,980",$29.13,$29.77,$29.13
08/29/2023,$29.24,"336,116",$28.97,$29.42,$28.615
08/28/2023,$28.94,"599,534",$28.29,$29.02,$28.29
