Date,Close,Volume,Open,High,Low
03/01/2024,$0.771,"25,141",$0.77,$0.788,$0.7306
02/29/2024,$0.81,"41,689",$0.839,$0.84,$0.74
02/28/2024,$0.749,"48,886",$0.75,$0.7587,$0.7021
02/27/2024,$0.7386,"73,436",$0.73,$0.76,$0.6806
02/26/2024,$0.697,"45,266",$0.6901,$0.7196,$0.68
02/23/2024,$0.68,"29,565",$0.685,$0.7034,$0.661
02/22/2024,$0.7373,"124,157",$0.75,$0.76,$0.651
02/21/2024,$0.735,"60,859",$0.7798,$0.7798,$0.703
02/20/2024,$0.80,"55,482",$0.76,$0.80,$0.76
02/16/2024,$0.799,"44,848",$0.829,$0.829,$0.7618
02/15/2024,$0.81,"67,737",$0.8081,$0.8345,$0.7606
02/14/2024,$0.8182,"84,652",$0.8249,$0.86,$0.77
02/13/2024,$0.8371,"82,673",$0.8064,$0.84,$0.7721
02/12/2024,$0.7866,"114,608",$0.8663,$0.8663,$0.76
02/09/2024,$0.8251,"23,239",$0.848,$0.86,$0.81
02/08/2024,$0.848,"121,047",$0.891,$0.891,$0.801
02/07/2024,$0.87,"72,985",$0.8888,$0.92,$0.8406
02/06/2024,$0.9201,"108,412",$0.9772,$0.9772,$0.8259
02/05/2024,$0.9799,"80,418",$0.99,$0.99,$0.9351
02/02/2024,$0.9882,"49,634",$1.05,$1.05,$0.95
02/01/2024,$1.04,"205,798",$0.966,$1.09,$0.94
01/31/2024,$0.92,"86,001",$0.9501,$0.97,$0.9126
01/30/2024,$0.9365,"202,845",$0.8511,$0.95,$0.8511
01/29/2024,$0.874,"184,273",$0.8821,$0.9103,$0.82
01/26/2024,$0.96,"97,997",$0.9502,$1.018,$0.9129
01/25/2024,$0.99,"180,222",$1.07,$1.10,$0.9201
01/24/2024,$1.10,"517,021",$0.906,$1.10,$0.9039
01/23/2024,$0.87,"177,918",$0.78,$0.898,$0.74
01/22/2024,$0.771,"128,278",$0.73,$0.779,$0.70
01/19/2024,$0.741,"81,104",$0.71,$0.77,$0.71
01/18/2024,$0.7202,"95,898",$0.76,$0.80,$0.72
01/17/2024,$0.76,"216,381",$0.8198,$0.8799,$0.7531
01/16/2024,$0.87,"530,332",$1.09,$1.12,$0.83
01/12/2024,$1.075,"703,708",$1.40,$1.43,$1.02
01/11/2024,$1.2901,"212,556",$1.37,$1.45,$1.29
