Date,Close,Volume,Open,High,Low
03/01/2024,$8.33,"323,604",$8.33,$8.53,$8.30
02/29/2024,$8.18,"157,966",$8.10,$8.20,$7.93
02/28/2024,$8.12,"285,169",$8.10,$8.29,$8.09
02/27/2024,$7.85,"90,510",$7.66,$7.89,$7.66
02/26/2024,$7.70,"103,344",$8.01,$8.01,$7.66
02/23/2024,$8.04,"281,246",$7.72,$8.13,$7.72
02/22/2024,$7.715,"158,422",$7.51,$7.79,$7.51
02/21/2024,$7.52,"95,217",$7.50,$7.64,$7.3601
02/20/2024,$7.43,"67,592",$7.48,$7.48,$7.38
02/16/2024,$7.51,"119,232",$7.32,$7.60,$7.2627
02/15/2024,$7.28,"153,540",$7.20,$7.30,$6.98
02/14/2024,$7.30,"153,471",$7.55,$7.55,$7.11
02/13/2024,$7.42,"225,353",$7.23,$7.46,$7.10
02/12/2024,$7.29,"175,928",$7.16,$7.45,$7.16
02/09/2024,$7.20,"234,750",$7.42,$7.64,$7.19
02/08/2024,$7.40,"59,584",$7.33,$7.44,$7.2201
02/07/2024,$7.42,"124,751",$7.55,$7.56,$7.28
02/06/2024,$7.57,"117,039",$7.48,$7.8699,$7.48
02/05/2024,$7.48,"106,760",$7.32,$7.60,$7.25
02/02/2024,$7.34,"104,857",$7.21,$7.40,$7.19
02/01/2024,$7.19,"152,363",$7.49,$7.685,$7.10
01/31/2024,$7.47,"111,835",$7.42,$7.85,$7.42
01/30/2024,$7.66,"117,120",$7.68,$7.77,$7.53
01/29/2024,$7.69,"121,214",$7.91,$7.92,$7.59
01/26/2024,$8.01,"287,709",$7.56,$8.17,$7.505
01/25/2024,$7.55,"128,172",$7.88,$7.928,$7.40
01/24/2024,$7.88,"109,195",$7.75,$8.05,$7.75
01/23/2024,$7.75,"130,011",$7.76,$7.88,$7.57
01/22/2024,$7.87,"127,722",$7.91,$8.08,$7.86
01/19/2024,$8.00,"132,143",$8.23,$8.3299,$7.94
01/18/2024,$8.20,"263,341",$7.53,$8.21,$7.53
01/17/2024,$7.44,"86,382",$7.42,$7.5813,$7.35
01/16/2024,$7.49,"224,631",$7.90,$8.00,$7.4371
01/12/2024,$7.59,"198,311",$7.30,$7.84,$7.30
01/11/2024,$7.22,"62,096",$7.42,$7.42,$7.18
01/10/2024,$7.37,"185,683",$7.08,$7.5505,$7.08
01/09/2024,$7.04,"163,001",$7.20,$7.24,$6.94
01/08/2024,$7.31,"343,903",$8.01,$8.025,$7.28
01/05/2024,$8.07,"249,959",$7.92,$8.23,$7.92
01/04/2024,$7.96,"332,313",$7.64,$8.0299,$7.64
01/03/2024,$7.75,"203,736",$7.47,$7.92,$7.4101
01/02/2024,$7.58,"100,990",$7.89,$7.90,$7.56
12/29/2023,$7.83,"148,763",$7.88,$7.92,$7.69
12/28/2023,$7.82,"211,094",$7.66,$7.84,$7.65
12/27/2023,$7.67,"268,177",$7.48,$7.91,$7.4232
12/26/2023,$7.41,"173,226",$7.31,$7.54,$7.26
12/22/2023,$7.35,"127,308",$7.23,$7.45,$7.20
12/21/2023,$7.18,"54,545",$7.13,$7.21,$7.07
12/20/2023,$7.05,"118,225",$7.17,$7.34,$7.02
12/19/2023,$7.17,"201,961",$7.22,$7.46,$7.07
12/18/2023,$7.21,"122,316",$7.25,$7.4786,$7.12
12/15/2023,$7.28,"144,003",$7.13,$7.34,$7.04
12/14/2023,$7.16,"121,270",$7.12,$7.43,$7.12
12/13/2023,$7.13,"164,596",$7.04,$7.24,$6.80
12/12/2023,$7.06,"213,479",$7.04,$7.49,$7.01
12/11/2023,$7.01,"97,319",$7.01,$7.145,$6.95
12/08/2023,$7.02,"109,495",$6.98,$7.20,$6.925
12/07/2023,$7.03,"227,432",$7.07,$7.10,$6.77
12/06/2023,$7.14,"232,362",$6.83,$7.32,$6.72
12/05/2023,$6.82,"417,993",$6.70,$7.01,$6.54
12/04/2023,$6.92,"263,515",$7.27,$7.3519,$6.86
12/01/2023,$7.34,"268,265",$7.29,$7.5399,$7.25
11/30/2023,$7.29,"266,364",$7.00,$7.37,$6.86
11/29/2023,$7.00,"232,479",$6.69,$7.05,$6.64
11/28/2023,$6.55,"164,307",$6.66,$6.66,$6.34
11/27/2023,$6.66,"728,725",$6.60,$7.02,$6.54
11/24/2023,$6.58,"371,428",$6.14,$6.66,$6.13
11/22/2023,$5.99,"111,368",$6.00,$6.115,$5.95
11/21/2023,$6.07,"277,930",$5.90,$6.10,$5.771
11/20/2023,$5.845,"228,053",$5.42,$5.98,$5.415
11/17/2023,$5.51,"159,128",$5.50,$5.58,$5.4423
11/16/2023,$5.45,"25,152",$5.40,$5.46,$5.2901
11/15/2023,$5.40,"47,926",$5.33,$5.50,$5.33
11/14/2023,$5.34,"59,053",$5.16,$5.37,$5.07
11/13/2023,$5.11,"35,072",$5.06,$5.13,$5.01
11/10/2023,$5.07,"30,607",$5.11,$5.12,$5.01
11/09/2023,$5.11,"84,598",$4.97,$5.16,$4.9302
11/08/2023,$4.96,"59,872",$4.99,$5.04,$4.87
11/07/2023,$5.01,"43,250",$5.27,$5.27,$4.991
11/06/2023,$5.12,"56,182",$5.09,$5.25,$5.0744
11/03/2023,$5.10,"57,683",$5.25,$5.305,$5.05
11/02/2023,$5.10,"92,972",$5.23,$5.34,$5.10
11/01/2023,$5.19,"38,349",$5.02,$5.20,$5.02
10/31/2023,$5.04,"102,076",$5.12,$5.17,$4.99
10/30/2023,$5.18,"138,738",$5.61,$5.61,$5.165
10/27/2023,$5.55,"239,257",$5.72,$5.73,$5.48
10/26/2023,$5.74,"91,633",$5.75,$5.82,$5.7023
10/25/2023,$5.75,"84,637",$5.80,$5.85,$5.71
10/24/2023,$5.84,"73,252",$5.85,$6.02,$5.82
10/23/2023,$5.82,"69,695",$6.01,$6.03,$5.80
10/20/2023,$6.05,"77,150",$5.9181,$6.20,$5.9181
10/19/2023,$6.055,"126,318",$6.02,$6.08,$5.97
10/18/2023,$6.09,"48,551",$6.20,$6.25,$6.05
10/17/2023,$6.22,"132,114",$6.03,$6.385,$6.03
10/16/2023,$6.11,"102,112",$6.13,$6.14,$6.03
10/13/2023,$6.205,"45,918",$6.29,$6.29,$6.17
10/12/2023,$6.26,"90,982",$6.21,$6.3782,$6.14
10/11/2023,$6.21,"253,894",$6.20,$6.29,$6.085
10/10/2023,$6.23,"229,342",$5.99,$6.25,$5.95
