Date,Close,Volume,Open,High,Low
03/01/2024,$84.83,"177,693",$83.53,$84.926,$82.765
02/29/2024,$83.79,"290,084",$83.31,$84.095,$82.36
02/28/2024,$81.81,"171,628",$81.71,$82.70,$81.635
02/27/2024,$82.85,"194,358",$83.85,$83.99,$82.51
02/26/2024,$82.40,"152,589",$82.39,$83.73,$81.76
02/23/2024,$83.00,"219,234",$82.75,$83.79,$82.50
02/22/2024,$82.55,"266,578",$81.34,$83.1975,$81.34
02/21/2024,$81.65,"420,044",$80.04,$81.95,$79.455
02/20/2024,$79.55,"242,089",$79.08,$79.79,$78.24
02/16/2024,$80.44,"290,093",$79.72,$81.20,$78.18
02/15/2024,$80.88,"415,322",$80.38,$81.78,$79.77
02/14/2024,$79.98,"339,075",$78.59,$80.78,$77.175
02/13/2024,$77.33,"500,108",$77.16,$78.535,$76.25
02/12/2024,$81.95,"414,067",$81.33,$83.93,$81.33
02/09/2024,$81.17,"328,642",$79.55,$81.23,$79.33
02/08/2024,$79.51,"327,041",$77.43,$79.54,$77.43
02/07/2024,$77.46,"555,012",$79.94,$79.99,$77.24
02/06/2024,$79.54,"903,468",$75.50,$80.63,$73.12
02/05/2024,$71.05,"471,356",$70.22,$71.57,$69.39
02/02/2024,$71.39,"252,472",$69.25,$71.72,$68.855
02/01/2024,$70.76,"204,547",$69.58,$70.82,$68.58
01/31/2024,$68.48,"295,176",$69.90,$71.89,$68.39
01/30/2024,$70.04,"160,590",$70.90,$71.38,$69.99
01/29/2024,$71.30,"245,036",$69.30,$71.68,$68.90
01/26/2024,$69.34,"195,240",$69.90,$70.33,$69.00
01/25/2024,$69.37,"207,260",$69.08,$69.78,$68.415
01/24/2024,$67.57,"238,726",$70.65,$70.65,$67.27
01/23/2024,$69.68,"267,731",$72.03,$72.215,$68.82
01/22/2024,$72.00,"216,842",$70.89,$72.21,$70.69
01/19/2024,$69.98,"149,548",$69.54,$70.55,$68.27
01/18/2024,$69.25,"213,477",$67.73,$69.34,$67.12
01/17/2024,$66.73,"287,489",$66.87,$67.845,$66.05
01/16/2024,$68.16,"267,736",$67.36,$68.28,$66.93
01/12/2024,$68.18,"214,703",$69.82,$69.9443,$67.705
