Date,Close,Volume,Open,High,Low
03/01/2024,$141.64,"176,021",$139.43,$142.775,$137.05
02/29/2024,$137.54,"293,201",$138.03,$139.322,$135.99
02/28/2024,$134.99,"183,309",$134.88,$135.95,$133.90
02/27/2024,$136.12,"162,966",$137.91,$139.00,$135.65
02/26/2024,$136.10,"197,840",$133.84,$137.04,$133.22
02/23/2024,$132.99,"246,531",$135.14,$135.14,$131.04
02/22/2024,$135.11,"175,617",$139.76,$139.76,$134.99
02/21/2024,$135.52,"272,754",$136.33,$136.40,$134.68
02/20/2024,$137.83,"216,183",$137.10,$139.24,$136.415
02/16/2024,$139.75,"261,340",$140.92,$142.30,$138.62
02/15/2024,$141.95,"462,397",$142.59,$144.75,$141.02
02/14/2024,$140.91,"619,919",$139.10,$141.32,$137.41
02/13/2024,$136.66,"406,140",$137.18,$140.4331,$135.44
02/12/2024,$144.63,"298,459",$142.56,$145.39,$141.80
02/09/2024,$142.46,"508,118",$138.44,$144.47,$137.2835
02/08/2024,$137.27,"423,124",$136.00,$137.55,$131.80
02/07/2024,$133.71,"828,674",$130.42,$136.3894,$127.735
02/06/2024,$118.30,"643,079",$119.69,$119.69,$115.35
02/05/2024,$120.12,"195,006",$121.77,$122.26,$118.61
02/02/2024,$121.38,"255,317",$120.11,$122.065,$119.27
02/01/2024,$122.35,"383,973",$124.26,$124.745,$119.06
01/31/2024,$123.36,"654,479",$123.64,$128.775,$123.00
01/30/2024,$123.55,"603,364",$128.05,$129.50,$122.44
01/29/2024,$131.46,"274,199",$128.75,$131.49,$127.74
01/26/2024,$128.43,"225,076",$130.85,$131.86,$128.165
01/25/2024,$131.72,"319,293",$136.00,$136.00,$130.80
01/24/2024,$133.01,"319,024",$135.08,$136.61,$133.00
01/23/2024,$133.84,"291,554",$131.03,$134.19,$130.14
01/22/2024,$129.69,"252,019",$127.33,$129.88,$126.6493
01/19/2024,$126.33,"233,754",$123.65,$126.785,$122.37
01/18/2024,$122.21,"409,814",$120.59,$123.03,$119.79
01/17/2024,$116.81,"192,121",$116.74,$117.135,$114.35
01/16/2024,$118.84,"205,781",$117.37,$118.87,$114.98
01/12/2024,$118.08,"211,842",$121.96,$122.50,$118.00
01/11/2024,$120.92,"340,905",$123.84,$124.7929,$119.93
01/10/2024,$124.12,"244,993",$124.08,$125.18,$121.735
01/09/2024,$124.63,"168,340",$122.59,$126.32,$122.59
01/08/2024,$125.10,"251,050",$121.37,$126.71,$120.835
01/05/2024,$120.59,"200,679",$120.30,$122.81,$119.00
01/04/2024,$121.07,"338,230",$119.58,$121.86,$117.70
01/03/2024,$121.49,"427,110",$127.09,$127.09,$121.20
01/02/2024,$127.88,"356,926",$131.02,$131.18,$126.44
12/29/2023,$132.27,"203,353",$135.24,$136.09,$132.09
12/28/2023,$135.45,"141,478",$135.42,$136.46,$134.795
12/27/2023,$135.68,"162,127",$135.96,$136.83,$134.49
12/26/2023,$135.18,"147,367",$133.04,$135.85,$133.02
12/22/2023,$132.01,"172,747",$132.29,$133.75,$131.095
12/21/2023,$131.69,"242,177",$129.60,$131.71,$129.01
12/20/2023,$126.56,"245,704",$129.59,$131.71,$126.45
12/19/2023,$130.37,"271,815",$131.03,$132.69,$130.15
12/18/2023,$130.36,"343,656",$132.48,$132.68,$127.95
12/15/2023,$133.30,"1,105,377",$132.76,$134.42,$130.84
12/14/2023,$131.23,"713,380",$124.51,$131.35,$123.01
12/13/2023,$121.84,"477,843",$120.41,$122.24,$116.70
12/12/2023,$120.46,"350,772",$122.65,$122.65,$120.42
12/11/2023,$122.82,"570,717",$119.89,$124.13,$119.82
12/08/2023,$121.89,"1,311,481",$118.83,$123.47,$118.77
12/07/2023,$117.67,"670,453",$112.32,$118.27,$110.2118
12/06/2023,$111.33,"378,612",$112.56,$113.44,$110.815
12/05/2023,$110.65,"503,982",$108.90,$111.21,$107.05
12/04/2023,$109.87,"360,478",$108.22,$110.21,$107.76
12/01/2023,$109.08,"485,195",$104.66,$109.32,$104.365
11/30/2023,$105.37,"505,093",$102.45,$105.63,$101.59
11/29/2023,$102.28,"267,026",$102.50,$105.29,$102.03
11/28/2023,$101.06,"189,756",$100.32,$101.15,$99.07
11/27/2023,$101.01,"206,868",$100.92,$101.89,$99.5808
11/24/2023,$101.83,"93,448",$101.47,$102.65,$100.95
11/22/2023,$101.81,"256,768",$102.59,$103.50,$101.74
11/21/2023,$101.01,"255,673",$103.00,$103.00,$100.26
11/20/2023,$104.00,"428,823",$99.70,$104.03,$99.13
11/17/2023,$100.00,"247,278",$100.95,$100.98,$99.37
11/16/2023,$100.04,"217,032",$102.22,$102.90,$99.69
11/15/2023,$103.12,"529,091",$100.95,$105.93,$100.55
11/14/2023,$100.39,"302,282",$97.75,$100.99,$97.275
11/13/2023,$93.71,"269,435",$94.01,$94.525,$93.30
11/10/2023,$94.77,"400,882",$95.56,$96.38,$92.55
11/09/2023,$94.15,"530,919",$95.48,$96.615,$94.02
11/08/2023,$94.31,"495,160",$94.10,$95.43,$93.25
11/07/2023,$93.79,"502,161",$91.37,$94.73,$91.37
11/06/2023,$92.19,"612,732",$91.53,$94.36,$90.65
11/03/2023,$91.54,"711,249",$89.77,$94.80,$89.51
11/02/2023,$88.27,"1,689,220",$88.67,$88.97,$84.08
11/01/2023,$87.17,"3,677,362",$75.10,$87.94,$74.56
10/31/2023,$92.18,"741,817",$90.98,$92.515,$89.19
10/30/2023,$91.15,"816,989",$93.49,$94.51,$88.73
10/27/2023,$94.91,"391,346",$95.66,$96.53,$94.17
10/26/2023,$95.72,"417,832",$96.55,$98.24,$95.44
10/25/2023,$95.97,"560,007",$98.21,$99.43,$95.15
10/24/2023,$100.07,"305,467",$100.09,$100.90,$98.21
10/23/2023,$99.90,"472,750",$102.70,$102.70,$99.79
10/20/2023,$103.06,"658,853",$101.18,$103.51,$99.57
10/19/2023,$101.33,"427,145",$104.74,$105.14,$100.63
10/18/2023,$104.00,"670,758",$105.30,$105.34,$101.44
10/17/2023,$106.81,"641,444",$108.86,$108.94,$102.31
10/16/2023,$110.82,"260,555",$110.08,$111.48,$109.7202
10/13/2023,$109.31,"462,679",$114.52,$114.52,$108.43
10/12/2023,$114.78,"201,080",$116.00,$116.175,$113.50
10/11/2023,$116.06,"167,248",$116.60,$117.05,$115.20
10/10/2023,$116.66,"165,045",$114.81,$117.48,$114.32
10/09/2023,$114.26,"203,272",$113.75,$115.15,$112.895
10/06/2023,$115.12,"222,851",$112.78,$115.80,$112.04
10/05/2023,$113.15,"285,466",$114.43,$114.93,$112.15
10/04/2023,$114.26,"190,435",$113.28,$114.755,$112.31
10/03/2023,$112.95,"264,284",$114.91,$115.90,$112.24
10/02/2023,$115.69,"249,984",$115.23,$117.35,$114.69
09/29/2023,$115.89,"273,797",$117.85,$118.24,$115.48
09/28/2023,$116.43,"303,182",$114.88,$117.99,$114.76
09/27/2023,$115.38,"265,844",$115.57,$116.29,$114.09
09/26/2023,$114.64,"212,949",$114.80,$115.13,$113.96
09/25/2023,$115.48,"202,535",$114.05,$115.705,$113.54
09/22/2023,$114.53,"188,348",$115.48,$116.745,$113.74
09/21/2023,$114.55,"275,249",$114.04,$116.46,$113.33
09/20/2023,$115.99,"254,645",$118.23,$118.35,$115.885
09/19/2023,$117.29,"385,309",$117.67,$118.36,$115.83
09/18/2023,$118.13,"843,212",$121.51,$121.90,$117.52
09/15/2023,$121.73,"1,677,770",$121.97,$123.55,$120.20
09/14/2023,$122.94,"435,411",$122.91,$123.86,$120.875
09/13/2023,$121.60,"418,315",$122.00,$122.88,$120.61
09/12/2023,$121.84,"418,888",$123.00,$124.47,$121.33
09/11/2023,$123.92,"348,490",$128.30,$128.72,$123.22
09/08/2023,$126.34,"261,911",$126.75,$127.74,$124.60
09/07/2023,$126.93,"518,628",$128.66,$128.66,$124.00
09/06/2023,$131.33,"255,062",$131.39,$132.815,$130.165
09/05/2023,$131.38,"398,033",$134.04,$134.405,$130.085
09/01/2023,$135.22,"241,636",$135.51,$135.87,$133.91
08/31/2023,$134.86,"476,543",$133.50,$136.83,$133.50
08/30/2023,$133.83,"393,597",$135.00,$135.00,$131.85
08/29/2023,$136.67,"373,484",$130.48,$137.14,$129.65
08/28/2023,$130.83,"383,396",$132.54,$134.26,$129.89
08/25/2023,$130.88,"479,501",$130.83,$131.82,$126.96
08/24/2023,$130.36,"406,226",$135.19,$135.19,$130.045
08/23/2023,$134.97,"267,542",$134.30,$136.245,$133.51
08/22/2023,$135.57,"222,577",$137.13,$137.52,$134.84
08/21/2023,$135.57,"242,492",$132.38,$136.35,$132.37
08/18/2023,$132.26,"222,095",$130.73,$133.40,$130.32
08/17/2023,$132.50,"197,572",$135.05,$135.05,$132.17
08/16/2023,$134.51,"289,333",$137.32,$138.215,$134.205
08/15/2023,$137.04,"279,889",$138.85,$139.48,$136.515
08/14/2023,$140.18,"264,910",$136.04,$140.38,$136.04
08/11/2023,$136.69,"318,415",$136.32,$137.89,$135.77
08/10/2023,$138.27,"242,407",$137.74,$140.78,$137.395
08/09/2023,$136.96,"264,274",$137.39,$138.1887,$135.37
08/08/2023,$137.76,"265,626",$137.63,$139.15,$135.22
08/07/2023,$140.31,"159,064",$140.67,$140.68,$138.00
08/04/2023,$140.12,"248,718",$140.61,$143.12,$138.84
08/03/2023,$142.12,"348,089",$139.64,$142.37,$137.28
08/02/2023,$140.89,"303,221",$144.06,$144.16,$140.13
08/01/2023,$146.90,"272,055",$146.62,$148.05,$145.80
07/31/2023,$149.14,"383,524",$146.68,$149.82,$146.485
07/28/2023,$146.66,"544,549",$146.84,$147.90,$143.78
07/27/2023,$144.27,"738,667",$145.69,$149.20,$142.88
07/26/2023,$144.40,"929,507",$147.95,$148.80,$142.11
07/25/2023,$158.72,"345,384",$155.32,$160.225,$155.32
07/24/2023,$155.85,"222,713",$157.63,$159.36,$155.25
07/21/2023,$157.85,"367,470",$159.95,$161.63,$156.84
07/20/2023,$157.85,"339,891",$161.33,$161.33,$156.49
07/19/2023,$163.07,"188,665",$166.15,$166.29,$161.80
07/18/2023,$166.11,"159,527",$164.87,$166.87,$163.14
07/17/2023,$165.49,"315,599",$159.78,$166.56,$159.00
07/14/2023,$159.16,"235,534",$163.87,$164.83,$158.38
07/13/2023,$165.24,"308,805",$162.71,$166.94,$162.25
07/12/2023,$161.74,"220,832",$162.69,$163.41,$161.34
07/11/2023,$159.86,"210,939",$160.43,$160.43,$156.32
07/10/2023,$160.07,"207,794",$154.96,$160.52,$154.96
07/07/2023,$154.72,"182,050",$153.00,$156.77,$152.98
07/06/2023,$153.16,"244,018",$151.00,$153.25,$150.07
07/05/2023,$154.25,"325,620",$158.97,$158.97,$154.10
07/03/2023,$160.37,"143,800",$157.74,$160.37,$156.90
06/30/2023,$157.74,"208,879",$157.99,$159.08,$157.18
06/29/2023,$155.71,"196,733",$151.76,$155.87,$151.01
06/28/2023,$151.43,"285,775",$150.12,$151.72,$149.50
06/27/2023,$152.67,"304,616",$147.81,$153.325,$147.475
06/26/2023,$147.75,"363,873",$145.86,$149.585,$144.22
06/23/2023,$144.70,"461,518",$146.52,$147.68,$144.33
06/22/2023,$149.99,"255,369",$150.10,$152.535,$149.24
06/21/2023,$151.26,"306,594",$152.75,$153.985,$150.43
06/20/2023,$153.86,"373,279",$157.45,$159.13,$152.90
