Date,Close,Volume,Open,High,Low
03/01/2024,$1.00,"1,081,637",$1.00,$1.04,$0.93
02/29/2024,$1.01,"445,760",$1.06,$1.06,$1.00
02/28/2024,$1.01,"684,894",$1.04,$1.05,$1.00
02/27/2024,$1.01,"1,105,976",$1.05,$1.09,$1.01
02/26/2024,$1.02,"1,030,066",$0.96,$1.0397,$0.92
02/23/2024,$0.9362,"1,261,445",$0.8872,$0.999,$0.885
02/22/2024,$0.885,"750,389",$0.90,$0.90,$0.7837
02/21/2024,$0.855,"588,693",$0.8117,$0.8699,$0.791
02/20/2024,$0.8031,"515,644",$0.7599,$0.8458,$0.73
02/16/2024,$0.77,"639,215",$0.72,$0.78,$0.7102
02/15/2024,$0.7001,"501,868",$0.71,$0.7449,$0.657
02/14/2024,$0.7078,"811,397",$0.75,$0.7711,$0.70
02/13/2024,$0.7441,"1,409,177",$0.7699,$0.86,$0.73
02/12/2024,$0.79,"453,094",$0.7775,$0.8095,$0.753
02/09/2024,$0.7775,"690,215",$0.81,$0.81,$0.7501
02/08/2024,$0.7761,"1,418,611",$0.74,$0.80,$0.72
02/07/2024,$0.73,"1,110,905",$0.679,$0.74,$0.65
02/06/2024,$0.6794,"1,791,818",$0.608,$0.69,$0.59
02/05/2024,$0.6053,"871,773",$0.5805,$0.61,$0.5612
02/02/2024,$0.577,"768,683",$0.5848,$0.6198,$0.5595
02/01/2024,$0.5975,"1,554,858",$0.6529,$0.6788,$0.5737
01/31/2024,$0.64,"2,992,867",$0.60,$0.66,$0.588
01/30/2024,$0.5913,"1,654,531",$0.60,$0.60,$0.551
01/29/2024,$0.586,"2,582,870",$0.5125,$0.597,$0.5061
01/26/2024,$0.506,"826,428",$0.52,$0.52,$0.4986
01/25/2024,$0.5069,"579,709",$0.5262,$0.5278,$0.50
01/24/2024,$0.518,"355,937",$0.5304,$0.5398,$0.5125
01/23/2024,$0.5171,"540,354",$0.51,$0.5353,$0.51
01/22/2024,$0.5195,"572,141",$0.5256,$0.5303,$0.5109
01/19/2024,$0.5265,"811,111",$0.5089,$0.5281,$0.5011
01/18/2024,$0.509,"929,485",$0.508,$0.525,$0.5024
01/17/2024,$0.5213,"600,662",$0.52,$0.5287,$0.505
01/16/2024,$0.525,"690,596",$0.5384,$0.5384,$0.5099
01/12/2024,$0.5329,"1,022,025",$0.5357,$0.5441,$0.5236
01/11/2024,$0.5357,"2,146,861",$0.56,$0.567,$0.513
01/10/2024,$0.5499,"1,126,933",$0.5581,$0.56,$0.5251
01/09/2024,$0.5726,"3,719,032",$0.571,$0.59,$0.56
01/08/2024,$0.55,"2,022,157",$0.575,$0.575,$0.5034
01/05/2024,$0.574,"1,219,433",$0.60,$0.60,$0.5728
01/04/2024,$0.5816,"5,077,213",$0.6158,$0.626,$0.5705
01/03/2024,$0.9055,"1,371,090",$1.03,$1.04,$0.879
01/02/2024,$0.90,"1,719,171",$1.09,$1.17,$0.8999
12/29/2023,$1.06,"497,160",$1.07,$1.14,$1.04
12/28/2023,$1.09,"555,996",$1.04,$1.122,$1.00
12/27/2023,$1.05,"1,314,754",$1.05,$1.0999,$0.9802
12/26/2023,$1.08,"655,624",$1.03,$1.11,$0.99
12/22/2023,$1.02,"1,311,915",$1.15,$1.15,$0.96
12/21/2023,$1.15,"1,219,719",$1.25,$1.30,$1.12
12/20/2023,$1.22,"949,737",$1.26,$1.30,$1.11
12/19/2023,$1.18,"658,231",$1.18,$1.30,$1.1576
12/18/2023,$1.12,"255,816",$1.18,$1.18,$1.08
12/15/2023,$1.15,"480,989",$1.25,$1.25,$1.11
12/14/2023,$1.21,"612,453",$1.06,$1.22,$1.06
12/13/2023,$1.06,"429,168",$1.03,$1.08,$1.01
12/12/2023,$1.02,"274,151",$1.04,$1.04,$0.9738
12/11/2023,$1.03,"278,325",$1.08,$1.09,$1.01
12/08/2023,$1.07,"304,504",$1.03,$1.08,$1.02
